pmid,old_name,new_name,confidence,category,action
25630311,A Large-scale (ball),Chinese,MEDIUM,HAS_BRACKETS,FIXED
27303626,GEO (placentalendocrinology),geo,HIGH,HAS_BRACKETS,FIXED
33858332,TCGA (manticore),tcga,HIGH,HAS_BRACKETS,FIXED
30783007,PDB (ifr48),pdb,HIGH,HAS_BRACKETS,FIXED
28195585,GBIF (science),gbif,HIGH,HAS_BRACKETS,FIXED
34323935,Prokaryotes (toolkit),prokaryotes,MEDIUM,HAS_BRACKETS,FIXED
26040196,Prokaryotes (mlsa),prokaryotes,MEDIUM,HAS_BRACKETS,FIXED
23192551,Genbank (hiv),genbank,MEDIUM,HAS_BRACKETS,FIXED
22080509,Genbank (webapps2),genbank,MEDIUM,HAS_BRACKETS,FIXED
28934507,GEO (134),geo,HIGH,HAS_BRACKETS,FIXED
33166149,Proteomexchange (massive),proteomexchange,MEDIUM,"HAS_BRACKETS,WRONG_EXTRACTION",FIXED
32284610,Prokaryotes (meltomeatlas),prokaryotes,MEDIUM,HAS_BRACKETS,FIXED
29605928,CHEBI,chebi,HIGH,WRONG_EXTRACTION,FIXED
24234439,CHEMBL,chembl,HIGH,WRONG_EXTRACTION,FIXED
24792157,STRING,string,HIGH,WRONG_EXTRACTION,FIXED
25977788,Uniprotkb,uniprotkb | proteomexchange,MEDIUM,WRONG_EXTRACTION,FIXED
"22970177, 28776320, 32003691, 34969046",NCT00931216,HIV,MEDIUM,WRONG_EXTRACTION,FIXED
"26132000, 28578176, 33905618",Phenxtoolkit,COVID-19,MEDIUM,WRONG_EXTRACTION,FIXED
26968569,IR_spectra,ATR-FT-IR,MEDIUM,WRONG_EXTRACTION,FIXED
32572450,DRAFC,AFC,MEDIUM,WRONG_EXTRACTION,FIXED
30999846,Melanoma (khaos),VIGLA-M,MEDIUM,"HAS_BRACKETS,WRONG_EXTRACTION",FIXED
34048576,Covid19dataportal,COVID-19,MEDIUM,WRONG_EXTRACTION,FIXED
21990165,LOVD (brca),BRCA,MEDIUM,"HAS_BRACKETS,WRONG_EXTRACTION",FIXED
31329239,Caliberresearch,CALIBER,MEDIUM,WRONG_EXTRACTION,FIXED
32838343,Covid19 (amp),COVID-19,MEDIUM,"HAS_BRACKETS,WRONG_EXTRACTION",FIXED
21929785,PRO (pir),PRO,MEDIUM,"HAS_BRACKETS,WRONG_EXTRACTION",FIXED
26616131,Hubzero,HIV,MEDIUM,WRONG_EXTRACTION,FIXED
33858848,Hla-ligand-atlas,HLA,MEDIUM,WRONG_EXTRACTION,FIXED
33564397,Covid-19-diagnostics,COVID-19,MEDIUM,WRONG_EXTRACTION,FIXED
21669962,Daikon,EST-SSR,MEDIUM,WRONG_EXTRACTION,FIXED
34613368,Covid19kg,COVID-19,MEDIUM,WRONG_EXTRACTION,FIXED
33630831,Mrcppu-covid,DNA-,MEDIUM,WRONG_EXTRACTION,FIXED
31959765,Ccafs-climate,CMIP5,MEDIUM,WRONG_EXTRACTION,FIXED
31341169,Crctcell,RNA,MEDIUM,WRONG_EXTRACTION,FIXED
34292965,265,265,LOW,NUMERIC_ONLY,FLAGGED_FOR_REVIEW
21841810,2d,2d,LOW,VERY_SHORT,FLAGGED_FOR_REVIEW
24136511,Databases,MAPA,MEDIUM,WRONG_EXTRACTION,FIXED
29152729,Guideline-for-fluoropyrimidines-and-dpyd,CPIC,MEDIUM,WRONG_EXTRACTION,FIXED
28039431,Database (hpcwebapps),Database (hpcwebapps),LOW,"HAS_BRACKETS,WRONG_EXTRACTION",FLAGGED_FOR_REVIEW
28432803,Brachypodium-t-dna-collection,JGI,MEDIUM,WRONG_EXTRACTION,FIXED
29680449,Repository,DEB,MEDIUM,WRONG_EXTRACTION,FIXED
21292723,Alcoholandpregnancy,RE-AIM,MEDIUM,WRONG_EXTRACTION,FIXED
22114206,Database (helixweb),Database (helixweb),LOW,HAS_BRACKETS,FLAGGED_FOR_REVIEW
33455583,BRC,RIKEN,MEDIUM,WRONG_EXTRACTION,FIXED
34078215,EMBASE,COVID-19,MEDIUM,WRONG_EXTRACTION,FIXED
32308920,Vcfclin,VMC,MEDIUM,WRONG_EXTRACTION,FIXED
22161327,Yeastgfp,GFP,MEDIUM,WRONG_EXTRACTION,FIXED
32189629,Rare-book-collection,NYU,MEDIUM,WRONG_EXTRACTION,FIXED
26234511,TargetPred,AIMS,MEDIUM,WRONG_EXTRACTION,FIXED
32266012,Repeatbrowser,UCSC,MEDIUM,WRONG_EXTRACTION,FIXED
34724898,JBrowse-1.16.5,BAC,MEDIUM,WRONG_EXTRACTION,FIXED
29092956,Personalizedcancertherapy,Personalizedcancertherapy,LOW,WRONG_EXTRACTION,FLAGGED_FOR_REVIEW
33683565,Healthy-worm-database,Healthy-worm-database,LOW,WRONG_EXTRACTION,FLAGGED_FOR_REVIEW
