paper_id,title,abstract,true_com,true_ful,v2_com,v2_ful,p4_com_raw,p4_com_clean,p4_ful_raw,p4_ful_clean
21216786,,,,,"[""LPS-annotate""]",[],"[""annotate"", ""LPS""]","[""annotate"", ""LPS""]",[],[]
21217122,,,,,,,"[""Jellyfish""]","[""Jellyfish""]",[],[]
21217125,,,,,"[""ATTED-II""]",[],"[""ATTED"", ""II""]","[""ATTED"", ""II""]",[],[]
21223570,,,,,,,"[""Expression"", ""of"", ""Processing"", ""Series"", ""Short"", ""Time""]","[""Expression"", ""of"", ""Processing"", ""Series"", ""Short"", ""Time""]",[],[]
21224340,,,,,,,"[""2010"", ""Chloroplast""]","[""2010"", ""Chloroplast""]",[],[]
21226895,,,,,,,"[""based"", ""ChIP"", ""for"", ""Identification"", ""Peak"", ""Seq"", ""shape"", ""Tree""]","[""based"", ""ChIP"", ""for"", ""Identification"", ""Peak"", ""Seq"", ""shape"", ""Tree""]",[],[]
21227933,,,,,,,"[""ARTADE"", ""DB""]","[""ARTADE"", ""DB""]",[],[]
21228048,,,,,,,"[""CNAmet""]","[""CNAmet""]",[],[]
21232146,,,,,,,"[""SAMMate""]","[""SAMMate""]",[],[]
21233089,,,,,"[""BIND"", ""PSI-MI""]","[""Biomolecular Interaction Network Database""]","[""Biomolecular"", ""Database"", ""Interaction"", ""Network""]","[""Biomolecular"", ""Database"", ""Interaction"", ""Network""]",[],[]
21233169,,,,,,,"[""16"", ""Clustering"", ""for"", ""Prediction"", ""rRNA""]","[""16"", ""Clustering"", ""for"", ""Prediction"", ""rRNA""]",[],[]
21235461,,,,,,,"[""Antimicrobial"", ""Consumption"", ""of"", ""Surveillance""]","[""Antimicrobial"", ""Consumption"", ""of"", ""Surveillance""]",[],[]
21235794,,,,,,,"[""BiologicalNetworks""]","[""BiologicalNetworks""]",[],[]
21236247,,,,,,,"[""Central""]","[""Central""]",[],[]
21244646,,,,,,,"[""easyDAS""]","[""easyDAS""]",[],[]
21245031,,,,,"[""OrchidBase""]",[],"[""OrchidBase""]","[""OrchidBase""]",[],[]
21245417,,,,,"[""VeryGene""]",[],"[""VeryGene""]","[""VeryGene""]",[],[]
21246630,,,,,,,"[""XANNpred""]","[""XANNpred""]",[],[]
21247929,,,,,"[""CEREALAB""]",[],"[""CEREALAB"", ""database""]","[""CEREALAB"", ""database""]",[],[]
21249219,,,,,,,"[""data"", ""display"", ""ePlant"", ""initiative""]","[""data"", ""display"", ""ePlant"", ""initiative""]",[],[]
21249531,,,,,"[""DIADEM""]","[""DIgital reconstruction of Axonal and DEndritic Morphology""]","[""Axonal"", ""of"", ""reconstruction""]","[""Axonal"", ""of"", ""reconstruction""]",[],[]
21251949,,,,,,,"[""ToxCast""]","[""ToxCast""]",[],[]
21252074,,,,,,,"[""PhyloPro""]","[""PhyloPro""]",[],[]
21252075,,,,,,,"[""biodalliance"", ""Dalliance""]","[""biodalliance"", ""Dalliance""]",[],[]
21253599,,,,,,,"[""PoPoolation""]","[""PoPoolation""]",[],[]
21253872,,,,,"[""TSdb""]",[],"[""TSdb""]","[""TSdb""]",[],[]
21253873,,,,,"[""TGED""]","[""Tetrahymena Gene Expression Database""]","[""Database"", ""Expression"", ""Gene"", ""Tetrahymena""]","[""Database"", ""Expression"", ""Gene"", ""Tetrahymena""]",[],[]
21255607,,,,,"[""A(2)ID""]","[""Aromatic-Aromatic Interactions Database""]","[""Aromatic"", ""Database"", ""Interactions""]","[""Aromatic"", ""Database"", ""Interactions""]",[],[]
21256977,,,,,,,"[""AskHERMES""]","[""AskHERMES""]",[],[]
21257609,,,,,,,"[""OrthoNets""]","[""OrthoNets""]",[],[]
21257716,,,,,,,"[""Angiosperm"", ""Database"", ""DNA"", ""values""]","[""Angiosperm"", ""Database"", ""DNA"", ""values""]",[],[]
21258060,,,,,,,"[""Information"", ""Storage"", ""Toolkit"", ""Workflow""]","[""Information"", ""Storage"", ""Toolkit"", ""Workflow""]",[],[]
21258062,,,,,,,"[""HTSanalyzeR""]","[""HTSanalyzeR""]",[],[]
21258065,,,,,,,"[""PTMClust""]","[""PTMClust""]",[],[]
21258066,,,,,"[""TOMATOMA""]",[],"[""TOMATOMA""]","[""TOMATOMA""]",[],[]
21258067,,,,,,,"[""Omachi""]","[""Omachi""]",[],[]
21264334,,,,,,,"[""PoolHap""]","[""PoolHap""]",[],[]
21265623,,,,,"[""ERA""]","[""European Radiobiological Archives""]","[""archives"", ""European"", ""Radiobiological""]","[""archives"", ""European"", ""Radiobiological""]",[],[]
21266471,,,,,,,"[""ReSequencing""]","[""ReSequencing""]",[],[]
21267068,,,,,"[""Eurexpress atlas""]",[],"[""atlas"", ""Eurexpress""]","[""atlas"", ""Eurexpress""]",[],[]
21269452,,,,,,,"[""AgiMicroRna""]","[""AgiMicroRna""]",[],[]
21269479,,,,,,,"[""Graphical"", ""PROPKA""]","[""Graphical"", ""PROPKA""]",[],[]
21269480,,,,,"[""CPASS""]","[""Comparison of Protein Active-Site Structures""]","[""Active"", ""Comparison"", ""of"", ""Protein"", ""Site"", ""Structures""]","[""Active"", ""Comparison"", ""of"", ""Protein"", ""Site"", ""Structures""]",[],[]
21270440,,,,,,,"[""database"", ""Erythroid"", ""Human"", ""Maturation""]","[""database"", ""Erythroid"", ""Human"", ""Maturation""]",[],[]
21275939,,,,,,,"[""bullosa"", ""dystrophic"", ""epidermolysis"", ""inversa"", ""recessive""]","[""bullosa"", ""dystrophic"", ""epidermolysis"", ""inversa"", ""recessive""]",[],[]
21276248,,,,,"[""ZFNGenome""]",[],"[""ZFNGenome"", ""Zinc""]","[""ZFNGenome"", ""Zinc""]",[],[]
21276275,,,,,,,"[""MEtabolic""]","[""MEtabolic""]",[],[]
21278185,,,,,,,"[""PRINSEQ""]","[""PRINSEQ""]",[],[]
21278189,,,,,,,"[""Conveyor""]","[""Conveyor""]",[],[]
21278191,,,,,,,"[""Bambino""]","[""Bambino""]",[],[]
21281482,,,,,,,"[""NOCORNAc""]","[""NOCORNAc""]",[],[]
21283085,,,,,,,"[""Basic"", ""cord"", ""Function"", ""injury"", ""International"", ""Male"", ""SCI"", ""Set"", ""Sexual"", ""spinal""]","[""Basic"", ""cord"", ""Function"", ""injury"", ""International"", ""Male"", ""SCI"", ""Set"", ""Sexual"", ""spinal""]",[],[]
21292511,,,,,,,"[""assisted"", ""laparoscopic""]","[""assisted"", ""laparoscopic""]",[],[]
21292827,,,,,"[""SSFA-GPHR""]","[""Structure-Function-Analysis of""]","[""Analysis"", ""Function"", ""Glycoprotein"", ""Hormone"", ""of"", ""Receptors"", ""Sequence"", ""Structure""]","[""Analysis"", ""Function"", ""Glycoprotein"", ""Hormone"", ""of"", ""Receptors"", ""Sequence"", ""Structure""]",[],[]
21294843,,,,,,,"[""45"", ""binding"", ""carbohydrate"", ""family"", ""module""]","[""45"", ""binding"", ""carbohydrate"", ""family"", ""module""]",[],[]
21296267,,,,,,,"[""Clinacanthus"", ""nutans""]","[""Clinacanthus"", ""nutans""]",[],[]
21296743,,,,,,,"[""Database"", ""Gene"", ""Human"", ""Mutation""]","[""Database"", ""Gene"", ""Human"", ""Mutation""]",[],[]
21296746,,,,,"[""RGD""]","[""Rat Genome Database""]","[""Database"", ""Genome"", ""Rat""]","[""Database"", ""Genome"", ""Rat""]",[],[]
21296750,,,,,,,"[""SIMA""]","[""SIMA""]",[],[]
21296754,,,,,,,"[""SpaCEM""]","[""SpaCEM""]",[],[]
21300622,,,,,"[""FunSecKB""]","[""Fungal Secretome KnowledgeBase""]","[""Fungal"", ""KnowledgeBase"", ""Secretome""]","[""Fungal"", ""KnowledgeBase"", ""Secretome""]",[],[]
21303863,,,,,,,"[""GeneTUKit""]","[""GeneTUKit""]",[],[]
21305028,,,,,,,"[""readDepth""]","[""readDepth""]",[],[]
21310640,,,,,,,"[""ANAlyzer"", ""binana"", ""BINding""]","[""ANAlyzer"", ""binana"", ""BINding""]",[],[]
21310745,,,,,,,"[""GeneReporter""]","[""GeneReporter""]",[],[]
21310746,,,,,,,"[""Finder"", ""FISH""]","[""Finder"", ""FISH""]",[],[]
21311847,,,,,,,"[""TestSmart""]","[""TestSmart""]",[],[]
21311855,,,,,,,"[""Barley"", ""Oregon"", ""Wolfe""]","[""Barley"", ""Oregon"", ""Wolfe""]",[],[]
21317139,,,,,"[""eGOB""]","[""eukaryotic Gene Order Browser""]","[""Browser"", ""eukaryotic"", ""Gene"", ""Order""]","[""Browser"", ""eukaryotic"", ""Gene"", ""Order""]",[],[]
21321022,,,,,"[""RGD""]","[""Rat Genome Database""]","[""Database"", ""Genome"", ""Rat""]","[""Database"", ""Genome"", ""Rat""]",[],[]
21325299,,,,,,,"[""RSEG""]","[""RSEG""]",[],[]
21325300,,,,,,,"[""putmedid""]","[""putmedid""]",[],[]
21325302,,,,,,,"[""Proteomatic"", ""Proteomics""]","[""Proteomatic"", ""Proteomics""]",[],[]
21326365,,,,,,,"[""database"", ""SolmiRNA""]","[""database"", ""SolmiRNA""]",[],[]
21326606,,,,,"[""dPORE-miRNA""]","[""Database of Polymorphic Regulation of miRNA genes""]","[""dPORE"", ""miRNA""]","[""dPORE"", ""miRNA""]",[],[]
21327471,,,,,,,"[""CancerMath""]","[""CancerMath""]",[],[]
21330290,,,,,,,"[""Find"", ""Individual"", ""Motif"", ""Occurrences""]","[""Find"", ""Individual"", ""Motif"", ""Occurrences""]",[],[]
21330291,,,,,,,"[""libfbi""]","[""libfbi""]",[],[]
21331789,,,,,,,"[""Bank"", ""Breast"", ""Cancer"", ""Tissue""]","[""Bank"", ""Breast"", ""Cancer"", ""Tissue""]",[],[]
21332983,,,,,,,"[""RSpred""]","[""RSpred""]",[],[]
21333005,,,,,,,"[""Mapper"", ""Transcriptome""]","[""Mapper"", ""Transcriptome""]",[],[]
21333642,,,,,,,"[""Hepcidin""]","[""Hepcidin""]",[],[]
21335320,,,,,,,"[""gfold""]","[""gfold""]",[],[]
21335611,,,,,"[""B2G-FAR"", ""Blast2GO""]","[""Blast2GO Functional Annotation Repository""]","[""Annotation"", ""Blast"", ""Functional"", ""GO"", ""Repository""]","[""Annotation"", ""Blast"", ""Functional"", ""GO"", ""Repository""]",[],[]
21335612,,,,,,,"[""fconv""]","[""fconv""]",[],[]
21337704,,,,,"[""GPDE""]","[""Griss Proteomics Database Engine""]","[""Database"", ""Engine"", ""Griss"", ""Proteomics""]","[""Database"", ""Engine"", ""Griss"", ""Proteomics""]",[],[]
21339531,,,,,,,"[""BLASTP"", ""CUDA""]","[""BLASTP"", ""CUDA""]",[],[]
21339535,,,,,,,"[""Analysis"", ""Influence"", ""Margin""]","[""Analysis"", ""Influence"", ""Margin""]",[],[]
21342552,,,,,,,"[""All"", ""Motif"", ""MotifAll""]","[""All"", ""Motif"", ""MotifAll""]",[],[]
21342555,,,,,,,"[""annotation"", ""gene"", ""network"", ""relationship"", ""tools""]","[""annotation"", ""gene"", ""network"", ""relationship"", ""tools""]",[],[]
21342564,,,,,,,"[""gemdock"", ""iGEMDOCK""]","[""gemdock"", ""iGEMDOCK""]",[],[]
21342592,,,,,,,"[""MAppable"", ""Reads"", ""Solution"", ""Un""]","[""MAppable"", ""Reads"", ""Solution"", ""Un""]",[],[]
21343142,,,,,,,"[""EL"", ""Vira""]","[""EL"", ""Vira""]",[],[]
21344013,,,,,,,"[""NeuroMap"", ""neuromapsoftware""]","[""NeuroMap"", ""neuromapsoftware""]",[],[]
21346658,,,,,,,"[""Anatomist"", ""BrainVISA""]","[""Anatomist"", ""BrainVISA""]",[],[]
21347314,,,,,,,"[""Dispom""]","[""Dispom""]",[],[]
21349861,,,,,,,"[""CellProfiler""]","[""CellProfiler""]",[],[]
21349862,,,,,,,"[""pprospector"", ""PrimerProspector""]","[""pprospector"", ""PrimerProspector""]",[],[]
21349863,,,,,,,"[""aggregation"", ""and"", ""correlation"", ""toolbox""]","[""aggregation"", ""and"", ""correlation"", ""toolbox""]",[],[]
21349865,,,,,,,"[""Acids"", ""Potential"", ""Ribonucleic"", ""Statistical""]","[""Acids"", ""Potential"", ""Ribonucleic"", ""Statistical""]",[],[]
21349866,,,,,,,"[""Warp""]","[""Warp""]",[],[]
21349867,,,,,,,"[""NaviCluster""]","[""NaviCluster""]",[],[]
21349869,,,,,,,"[""453"", ""Plus"", ""Toolbox""]","[""453"", ""Plus"", ""Toolbox""]",[],[]
21349870,,,,,"[""MPID-T2""]","[""MHC-Peptide Interaction Database-TR""]","[""Database"", ""Interaction"", ""MHC"", ""Peptide"", ""TR"", ""version""]","[""Database"", ""Interaction"", ""MHC"", ""Peptide"", ""TR"", ""version""]",[],[]
21352538,,,,,,,"[""PaPy""]","[""PaPy""]",[],[]
21352572,,,,,,,"[""::"", ""Bio"", ""Phylo"", ""phyloinformatic""]","[""::"", ""Bio"", ""Phylo"", ""phyloinformatic""]",[],[]
21353266,,,,,"[""LegProt""]",[],"[""database"", ""LegProt"", ""legume"", ""protein"", ""specific""]","[""database"", ""LegProt"", ""legume"", ""protein"", ""specific""]",[],[]
21354447,,,,,,,"[""carcinoma"", ""hepatocellular"", ""Metroticket""]","[""carcinoma"", ""hepatocellular"", ""Metroticket""]",[],[]
21357575,,,,,,,"[""STOCHSIMGPU""]","[""STOCHSIMGPU""]",[],[]
21357752,,,,,,,"[""RNAcode""]","[""RNAcode""]",[],[]
21357905,,,,,,,"[""Clinic"", ""In"", ""the""]","[""Clinic"", ""In"", ""the""]",[],[]
21360289,,,,,"[""DNASU"", ""MR"", ""PSI:Biology-MR""]","[""Protein Structure Initiative:Biology-Materials Repository""]","[""Biology"", ""Initiative"", ""Materials"", ""Protein"", ""Repository"", ""Structure""]","[""Biology"", ""Initiative"", ""Materials"", ""Protein"", ""Repository"", ""Structure""]",[],[]
21361385,,,,,,,"[""ReverseScreen""]","[""ReverseScreen""]",[],[]
21362185,,,,,,,"[""in"", ""OMIM"", ""Search"", ""Synopsis""]","[""in"", ""OMIM"", ""Search"", ""Synopsis""]",[],[]
21364759,,,,,"[""irDIP"", ""mirDIP"", ""NAViGaTing"", ""NAViGaTOR""]","[""microRNA Data Integration Portal""]","[""Data"", ""Integration"", ""microRNA"", ""Portal""]","[""Data"", ""Integration"", ""microRNA"", ""Portal""]",[],[]
21365759,,,,,,,"[""DPAGE"", ""WORLD""]","[""DPAGE"", ""WORLD""]",[],[]
21365761,,,,,,,"[""Visualize""]","[""Visualize""]",[],[]
21366659,,,,,,,"[""Advisor"", ""Reference"", ""Value""]","[""Advisor"", ""Reference"", ""Value""]",[],[]
21366916,,,,,"[""PoPoolation DB""]",[],"[""DB"", ""PoPoolation""]","[""DB"", ""PoPoolation""]",[],[]
21367869,,,,,,,"[""MemLoci""]","[""MemLoci""]",[],[]
21367872,,,,,,,"[""database"", ""Human"", ""variation""]","[""database"", ""Human"", ""variation""]",[],[]
21368279,,,,,,,"[""aggregate"", ""rare"", ""statistic"", ""variant"", ""weighted""]","[""aggregate"", ""rare"", ""statistic"", ""variant"", ""weighted""]",[],[]
21370079,,,,,,,"[""GeneCards""]","[""GeneCards""]",[],[]
21371586,,,,,,,"[""Genomics"", ""Northeast"", ""Structural""]","[""Genomics"", ""Northeast"", ""Structural""]",[],[]
21372084,,,,,,,"[""Analysis"", ""Clustering"", ""Consensus"", ""Data"", ""for"", ""Microarray"", ""Tool""]","[""Analysis"", ""Clustering"", ""Consensus"", ""Data"", ""for"", ""Microarray"", ""Tool""]",[],[]
21372085,,,,,,,"[""Strudel""]","[""Strudel""]",[],[]
21372087,,,,,,,"[""GBOOST""]","[""GBOOST""]",[],[]
21372188,,,,,,,"[""Multilocus"", ""sequence""]","[""Multilocus"", ""sequence""]",[],[]
21372341,,,,,,,"[""Ann"", ""Key""]","[""Ann"", ""Key""]",[],[]
21373993,,,,,,,"[""Atropos""]","[""Atropos""]",[],[]
21375394,,,,,,,"[""Care"", ""Carer"", ""Family"", ""Palliative""]","[""Care"", ""Carer"", ""Family"", ""Palliative""]",[],[]
21375730,,,,,,,"[""MIR"", ""NT""]","[""MIR"", ""NT""]",[],[]
21378592,,,,,,,"[""diseases"", ""Pediatric"", ""respiratory""]","[""diseases"", ""Pediatric"", ""respiratory""]",[],[]
21381738,,,,,,,"[""Adaptively"", ""Boosting"", ""Classifier"", ""Decision"", ""Ensemble"", ""Ligand"", ""of"", ""Stumps""]","[""Adaptively"", ""Boosting"", ""Classifier"", ""Decision"", ""Ensemble"", ""Ligand"", ""of"", ""Stumps""]",[],[]
21383760,,,,,,,"[""and"", ""Basic"", ""cord"", ""Female"", ""Function"", ""injury"", ""International"", ""Reproductive"", ""SCI"", ""Set"", ""Sexual"", ""spinal""]","[""and"", ""Basic"", ""cord"", ""Female"", ""Function"", ""injury"", ""International"", ""Reproductive"", ""SCI"", ""Set"", ""Sexual"", ""spinal""]",[],[]
21383909,,,,,[],"[""Glaucoma database""]","[""database"", ""Glaucoma""]","[""database"", ""Glaucoma""]",[],[]
21383910,,,,,,,"[""SeqMaT""]","[""SeqMaT""]",[],[]
21383924,,,,,"[""TAMI""]","[""Antimicrobial Index""]","[""Antimicrobial"", ""Index""]","[""Antimicrobial"", ""Index""]",[],[]
21385030,,,,,,,"[""Alignment"", ""in"", ""Mappings"", ""of"", ""Pathways"", ""Subnetwork""]","[""Alignment"", ""in"", ""Mappings"", ""of"", ""Pathways"", ""Subnetwork""]",[],[]
21385349,,,,,,,"[""extension"", ""Information"", ""Management"", ""PIMS"", ""Protein"", ""sequencing"", ""System""]","[""extension"", ""Information"", ""Management"", ""PIMS"", ""Protein"", ""sequencing"", ""System""]",[],[]
21385461,,,,,,,"[""LabKey"", ""Server""]","[""LabKey"", ""Server""]",[],[]
21388232,,,,,,,"[""and"", ""Browsing"", ""Domains"", ""Genome"", ""of"", ""Retrieval""]","[""and"", ""Browsing"", ""Domains"", ""Genome"", ""of"", ""Retrieval""]",[],[]
21388526,,,,,,,"[""QiSampler""]","[""QiSampler""]",[],[]
21388547,,,,,,,"[""dChip""]","[""dChip""]",[],[]
21389154,,,,,"[""16SpathDB""]",[],"[""16"", ""SpathDB""]","[""16"", ""SpathDB""]",[],[]
21394448,,,,,,,"[""Data"", ""Good"", ""Interaction"", ""Metamining"", ""Practice"", ""protein""]","[""Data"", ""Good"", ""Interaction"", ""Metamining"", ""Practice"", ""protein""]",[],[]
21394829,,,,,,,"[""analysis"", ""of"", ""the"", ""Variome"", ""web""]","[""analysis"", ""of"", ""the"", ""Variome"", ""web""]",[],[]
21398668,sc-PDB: a database for identifying variations and multiplicity of 'druggable' binding sites in proteins.,"Background The sc-PDB database is an annotated archive of druggable binding sites extracted from the Protein Data Bank. It contains all-atoms coordinates for 8166 protein-ligand complexes, chosen for their geometrical and physico-chemical properties. The sc-PDB provides a functional annotation for proteins, a chemical description for ligands and the detailed intermolecular interactions for complexes. The sc-PDB now includes a hierarchical classification of all the binding sites within a functional class. Method The sc-PDB entries were first clustered according to the protein name indifferent of the species. For each cluster, we identified dissimilar sites (e.g. catalytic and allosteric sites of an enzyme). SCOPE AND APPLICATIONS: The classification of sc-PDB targets by binding site diversity was intended to facilitate chemogenomics approaches to drug design. In ligand-based approaches, it avoids comparing ligands that do not share the same binding site. In structure-based approaches, it permits to quantitatively evaluate the diversity of the binding site definition (variations in size, sequence and/or structure). Availability The sc-PDB database is freely available at: http://bioinfo-pharma.u-strasbg.fr/scPDB.","[""sc-PDB""]","[""sc-PDB""]","[""DB"", ""sc"", ""sc-PDB""]",[],"[""PDB"", ""sc""]","[""PDB"", ""sc""]",[],[]
21398669,,,,,"[""UniCarb-DB""]",[],"[""DB"", ""UniCarb""]","[""DB"", ""UniCarb""]",[],[]
21398672,,,,,,,"[""Santa""]","[""Santa""]",[],[]
21398673,,,,,,,"[""Identification"", ""Method"", ""Pleiotropic"", ""Region""]","[""Identification"", ""Method"", ""Pleiotropic"", ""Region""]",[],[]
21400228,,,,,,,"[""MARSpred""]","[""MARSpred""]",[],[]
21401061,,,,,,,"[""mzMatch"", ""PeakML""]","[""mzMatch"", ""PeakML""]",[],[]
21408061,,,,,,,"[""DeconSeq""]","[""DeconSeq""]",[],[]
21408081,,,,,"[""TargetMine""]",[],"[""TargetMine""]","[""TargetMine""]",[],[]
21409563,,,,,,,"[""CONNJUR"", ""spectrum"", ""Translator""]","[""CONNJUR"", ""spectrum"", ""Translator""]",[],[]
21410407,,,,,"[""GRIPDB""]","[""coupled Receptor Interaction Partners DataBase"", ""G protein coupled Receptor Interaction Partners DataBase""]","[""coupled"", ""DataBase"", ""Interaction"", ""Partners"", ""protein"", ""Receptor""]","[""coupled"", ""DataBase"", ""Interaction"", ""Partners"", ""protein"", ""Receptor""]",[],[]
21410983,,,,,,,"[""Confab""]","[""Confab""]",[],[]
21410990,,,,,,,"[""AnyExpress""]","[""AnyExpress""]",[],[]
21414208,,,,,,,"[""pROC""]","[""pROC""]",[],[]
21414234,,,,,,,"[""Analysis"", ""and"", ""Automated"", ""Quantitative"", ""SRM"", ""Targeted"", ""with""]","[""Analysis"", ""and"", ""Automated"", ""Quantitative"", ""SRM"", ""Targeted"", ""with""]",[],[]
21414985,,,,,,,"[""Ag"", ""Spike""]","[""Ag"", ""Spike""]",[],[]
21414988,,,,,,,"[""Compounds"", ""In"", ""Literature""]","[""Compounds"", ""In"", ""Literature""]",[],[]
21414989,,,,,,,"[""based"", ""Metal"", ""Prediction"", ""Site"", ""TEmplate""]","[""based"", ""Metal"", ""Prediction"", ""Site"", ""TEmplate""]",[],[]
21414990,,,,,,,"[""AStream""]","[""AStream""]",[],[]
21414991,,,,,,,"[""OndexView""]","[""OndexView""]",[],[]
21414992,,,,,,,"[""ALigner"", ""based"", ""GRAph"", ""Integrative"", ""Matching""]","[""ALigner"", ""based"", ""GRAph"", ""Integrative"", ""Matching""]",[],[]
21418024,,,,,,,"[""PlantPIs""]","[""PlantPIs""]",[],[]
21418615,,,,,,,"[""Genevestigator"", ""RefGenes""]","[""Genevestigator"", ""RefGenes""]",[],[]
21420460,,,,,,,"[""Allergenic"", ""AllerML"", ""Proteins"", ""Structural""]","[""Allergenic"", ""AllerML"", ""Proteins"", ""Structural""]",[],[]
21421552,,,,,,,"[""SplamiR""]","[""SplamiR""]",[],[]
21423624,,,,,"[""G"", ""L1base""]",[],"[""base""]","[""base""]",[],[]
