"extracted_name","baseline_name","score","is_match","signals","review_flags","edit_distance","extracted_url","baseline_url"
"ACD","Antimicrobial chemotherapeutics database","3.05","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH","37","http://amdr.amu.ac.in/acd","http://amdr.amu.ac.in/acd"
"RARGE II","Arabidopsis Genome Encyclopedia II","2.75","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","HIGH_ED_MATCH","27","http://rarge-v2.psc.riken.jp/","http://rarge-v2.psc.riken.jp"
"ANAP","Arabidopsis Network Analysis Pipeline","3.15","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_0.86","HIGH_ED_MATCH","33","http://gmdd.shgmo.org/Computational-Biology/ANAP","http://gmdd.shgmo.org/Computational-Biology/ANAP"
"ABIDE","Autism Brain Imaging Data Exchange","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","29","http://fcon_1000.projects.nitrc.org/indi/abide/","http://fcon_1000.projects.nitrc.org/indi/abide"
"Brain cancer gene database","BCGene","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","20","http://soft.bioinfo-minzhao.org/bcgene/","http://soft.bioinfo-minzhao.org/bcgene"
"BCD","Bird Chromosome Database","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","21","https://sites.unipampa.edu.br/birdchromosomedatabase","http://sites.unipampa.edu.br/birdchromosomedatabase"
"BAR-PLUS","Bologna Annotation Resource","2.15","Y","SAME_DOMAIN_SPECIFIC, URL_SIM_0.92, LONG_SIM_0.92","HIGH_ED_MATCH","23","http://bar.biocomp.unibo.it/bar2.0","http://bar.biocomp.unibo.it/bar3"
"BTD","Brain Tumor Database","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","17","http://tumorsdatabase.altervista.org","http://tumorsdatabase.altervista.org"
"BOSS","Breast Oncogenic Specific siRNAs","2.65","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH, LONG_SIM_0.88","GENERIC_DOMAIN, HIGH_ED_MATCH","28","http://bioinformatics.cimap.res.in/sharma/boss/","http://bioinformatics.cimap.res.in/sharma/boss"
"CB Database","CB","2.25","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH","GENERIC_DOMAIN","9","http://search.bwh.harvard.edu/new/CBDatabase.html","http://search.bwh.harvard.edu/new/CBDatabase.html"
"Cell Death Proteomics Database","CDP","2.75","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","HIGH_ED_MATCH","27","http://celldeathproteomics.uio.no","http://celldeathproteomics.uio.no"
"Canis mtDNA HV1","CHD","2.75","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","HIGH_ED_MATCH","13","http://chd.vnbiology.com","http://chd.vnbiology.com"
"Brazilian mammal karyotypes","CIPEMAB","2.75","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","HIGH_ED_MATCH","24","http://www.citogenetica.ufes.br","http://www.citogenetica.ufes.br"
"CNV-disease database","CNVdigest","2.75","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","HIGH_ED_MATCH","12","http://cnv.gtxlab.com","http://cnv.gtxlab.com"
"SCLC-CellMiner","CellMiner-SCLC","2.25","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH","GENERIC_DOMAIN","10","https://discover.nci.nih.gov/SclcCellMinerCDB/","http://discover.nci.nih.gov/SclcCellMinerCDB"
"CGGA","Chinese Glioma Genome Atlas","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","23","http://www.cgga.org.cn","http://www.cgga.org.cn"
"Clone DB","Clone","3.35","Y","SAME_DOMAIN_GENERIC, EDIT_DIST_3, CONTAINS_0.8, URL_EXACT_MATCH","GENERIC_DOMAIN","3","http://www.ncbi.nlm.nih.gov/clone/","http://www.ncbi.nlm.nih.gov/clone"
"Coronavirus Database","CoVdb","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","15","http://covdb.popgenetics.net","http://covdb.popgenetics.net"
"CoCoPUTs","Codon and Codon-Pair Usage Tables","3.05","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH","25","https://hive.biochemistry.gwu.edu/review/codon2","http://hive.biochemistry.gwu.edu/review/codon2"
"NMR metabolomics database","Complex Mixture Analysis by NMR","2.25","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH","GENERIC_DOMAIN, HIGH_ED_MATCH","25","http://spin.ccic.ohio-state.edu/index.php/hsqc/index","http://spin.ccic.ohio-state.edu/index.php/hsqc/index"
"Cyanobacterial strains database","CyanoType","2.75","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","HIGH_ED_MATCH","24","http://lege.ciimar.up.pt/cyanotype","http://lege.ciimar.up.pt/cyanotype"
"Cyanobacteria Scratchpad","Cyanobacteria culture collection","3.15","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_0.75","HIGH_ED_MATCH","16","http://cyanobacteria.myspecies.info/","http://cyanobacteria.myspecies.info"
"CKB","Cyanobacterial KnowledgeBase","3.05","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH","25","http://nfmc.res.in/ckb/index.html","http://nfmc.res.in/ckb/index.html"
"CFC","Cystic Fibrosis Cloud database","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","27","http://servoy.infocomsa.com/cfc_database","http://servoy.infocomsa.com/cfc_database"
"DNPAO Data Trends and Maps","DTM","2.75","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","HIGH_ED_MATCH","23","https://www.cdc.gov/nccdphp/dnpao/data-trends-maps/index.html","http://www.cdc.gov/nccdphp/dnpao/data-trends-maps/index.html"
"MPIC","Database","2.25","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH","GENERIC_DOMAIN","8","http://www.plantenergy.uwa.edu.au/applications/mpic","http://www.plantenergy.uwa.edu.au/applications/mpic"
"DistAA","Distances of Amino Acids","2.75","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","HIGH_ED_MATCH","18","http://andromeda.matf.bg.ac.rs/aadis_dynamic/","http://andromeda.matf.bg.ac.rs/aadis_dynamic"
"African Compounds","EANPDB","2.75","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","HIGH_ED_MATCH","13","http://african-compounds.org","http://african-compounds.org"
"Murine basal ganglia database","EBRAINS","2.75","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","HIGH_ED_MATCH","24","https://kg.ebrains.eu","http://kg.ebrains.eu"
"C. difficile Database","EnteroBase","2.25","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH","GENERIC_DOMAIN, HIGH_ED_MATCH","16","http://enterobase.warwick.ac.uk","http://enterobase.warwick.ac.uk"
"EGTC","Exchangeable Gene Trap Clones","3.15","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_0.87","HIGH_ED_MATCH","25","http://egtc.jp","http://egtc.jp"
"FARME DB","Functional Antibiotic Resistant Metagenomic Element","2.65","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH, LONG_SIM_0.78","GENERIC_DOMAIN, HIGH_ED_MATCH","45","http://staff.washington.edu/jwallace/farme","http://staff.washington.edu/jwallace/farme"
"GALT","GALT Protein Database","3.55","Y","SAME_DOMAIN_SPECIFIC, CONTAINS_0.8, URL_EXACT_MATCH","HIGH_ED_MATCH","17","http://bioinformatica.isa.cnr.it/GALT/GALT2.0","http://bioinformatica.isa.cnr.it/GALT/GALT2.0"
"Global Earth Mineral Inventory","GEMI","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","26","https://dx.deepcarbon.net/11121/6200-6954-6634-8243-CC","http://dx.deepcarbon.net/11121/6200-6954-6634-8243-CC"
"GH19 Engineering Database","GH19ED","2.75","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","HIGH_ED_MATCH","19","https://gh19ed.biocatnet.de","http://gh19ed.biocatnet.de"
"Genome Properties","GPs","2.25","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH","GENERIC_DOMAIN, HIGH_ED_MATCH","14","https://www.ebi.ac.uk/interpro/genomeproperties","http://www.ebi.ac.uk/interpro/genomeproperties"
"VRI_transcriptome","GXB","2.75","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","HIGH_ED_MATCH","17","http://vri1.gxbsidra.org/dm3/geneBrowser/list","http://vri1.gxbsidra.org/dm3/geneBrowser/list"
"Dietary restriction gene network","GenDR","2.75","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","HIGH_ED_MATCH","28","http://genomics.senescence.info/diet/","http://genomics.senescence.info/diet"
"GEB","Gene Expression Barcode","2.25","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH","GENERIC_DOMAIN, HIGH_ED_MATCH","20","http://rafalab.jhsph.edu/barcode","http://rafalab.jhsph.edu/barcode"
"Gene ATLAS","GeneATLAS","3.25","Y","SAME_DOMAIN_GENERIC, EDIT_DIST_1, URL_EXACT_MATCH","GENERIC_DOMAIN","1","http://geneatlas.roslin.ed.ac.uk","http://geneatlas.roslin.ed.ac.uk"
"GCD","Genome Composition Database","2.25","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH","GENERIC_DOMAIN, HIGH_ED_MATCH","24","http://esper.lab.nig.ac.jp/genome-composition-database/","http://esper.lab.nig.ac.jp/genome-composition-database"
"GWIDD","Genome-Wide Docking Database","2.25","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH","GENERIC_DOMAIN, HIGH_ED_MATCH","23","http://gwidd.bioinformatics.ku.edu","http://gwidd.bioinformatics.ku.edu"
"Ginseng GDB","Ginseng Genome Database","3.05","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH","12","http://ginsengdb.snu.ac.kr","http://ginsengdb.snu.ac.kr"
"GFKB","GutFeelingKB","2.25","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH","GENERIC_DOMAIN","8","https://hive.biochemistry.gwu.edu/gfkb","http://hive.biochemistry.gwu.edu/gfkb"
"Human Breathomics Database","HBDB","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","22","https://hbdb.cmdm.tw","http://hbdb.cmdm.tw"
"Hymenoptera Genome Database","HGD","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","24","http://HymenopteraGenome.org","http://hymenopteragenome.org"
"Oral Microbiome Bank","HOMD","2.75","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","HIGH_ED_MATCH","18","http://www.sklod.org/ombc","http://www.sklod.org/ombc"
"HPD","HProtDB","3.05","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH, LONG_SIM_1.00","GENERIC_DOMAIN","4","http://webapp.cabgrid.res.in/protein/","http://webapp.cabgrid.res.in/protein"
"HSPW","HSP","4.05","Y","SAME_DOMAIN_GENERIC, EDIT_DIST_1, URL_EXACT_MATCH, LONG_SIM_1.00","GENERIC_DOMAIN","1","https://salivaryproteome.nidcr.nih.gov/","http://salivaryproteome.nidcr.nih.gov"
"HfwADB","Hawaiian Freshwater Algal Database","3.05","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH","28","http://algae.manoa.hawaii.edu/hfwadb/","http://algae.manoa.hawaii.edu/hfwadb"
"HSD","Helminth Secretome Database","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","24","http://estexplorer.biolinfo.org/hsd","http://estexplorer.biolinfo.org/hsd"
"HomeoDB","HomeoDB2","5.75","Y","SAME_DOMAIN_GENERIC, DIGIT_VERSION_DIFF, EDIT_DIST_1, CONTAINS_0.6, URL_EXACT_MATCH, LONG_SIM_0.87","GENERIC_DOMAIN","1","http://homeodb.zoo.ox.ac.uk","http://homeodb.zoo.ox.ac.uk"
"HSDB","Horse Single Nucleotide Polymorphism and Expression Database","2.65","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH, LONG_SIM_0.71","GENERIC_DOMAIN, HIGH_ED_MATCH","56","http://snugenome2.snu.ac.kr/HSDB","http://snugenome2.snu.ac.kr/HSDB"
"Insect Barcode System","IBIn","2.25","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH","GENERIC_DOMAIN, HIGH_ED_MATCH","19","http://www.nabg-nbaii.res.in/barcode","http://www.nabg-nbaii.res.in/barcode"
"IGDB","IGDB.NSCLC","3.05","Y","SAME_DOMAIN_GENERIC, CONTAINS_0.8, URL_EXACT_MATCH","GENERIC_DOMAIN","6","http://igdb.nsclc.ibms.sinica.edu.tw","http://igdb.nsclc.ibms.sinica.edu.tw"
"IHEC Data Portal","IHEC","3.55","Y","SAME_DOMAIN_SPECIFIC, CONTAINS_0.8, URL_EXACT_MATCH","HIGH_ED_MATCH","12","http://epigenomesportal.ca/ihec","http://epigenomesportal.ca/ihec"
"Macromolecular diffraction experiments database","IRRMC","2.75","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","HIGH_ED_MATCH","43","http://www.proteindiffraction.org","http://www.proteindiffraction.org"
"ImmPort","ImmuNet","2.55","Y","SAME_DOMAIN_GENERIC, EDIT_DIST_3, URL_EXACT_MATCH","GENERIC_DOMAIN","3","http://immunet.princeton.edu","http://immunet.princeton.edu"
"INSDC","International Nucleotide Sequence Database Collaboration","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","51","http://www.insdc.org","http://www.insdc.org"
"IDEAL","Intrinsically Disordered proteins with Extensive Annotations and Literature","3.05","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH","70","http://www.ideal.force.cs.is.nagoya-u.ac.jp/IDEAL/","http://www.ideal.force.cs.is.nagoya-u.ac.jp/IDEAL"
"Vietnamese Genetic Variation Database","KHV","2.75","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","HIGH_ED_MATCH","36","https://genomes.vn","http://genomes.vn"
"KMarkerDB","Kazusa Marker DataBase","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","13","http://marker.kazusa.or.jp","http://marker.kazusa.or.jp"
"KGD","Kiwifruit Genome Database","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","22","http://kiwifruitgenome.org/","http://kiwifruitgenome.org"
"Lichen metabolites database","LDB","2.65","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH, LONG_SIM_0.71","GENERIC_DOMAIN, HIGH_ED_MATCH","24","https://www.ebi.ac.uk/metabolights/MTBLS999","http://www.ebi.ac.uk/metabolights/MTBLS999"
"LIVE NFLX II","LIVE-NFLX-II","2.85","Y","SAME_DOMAIN_GENERIC, EDIT_DIST_2, URL_EXACT_MATCH","GENERIC_DOMAIN","2","http://live.ece.utexas.edu/research/LIVE_NFLX_II/live_nflx_plus.html","http://live.ece.utexas.edu/research/LIVE_NFLX_II/live_nflx_plus.html"
"lncEFdb","LncEnvironmentDB","2.25","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH","GENERIC_DOMAIN","10","http://bioinfo.hrbmu.edu.cn/lncefdb/","http://bioinfo.hrbmu.edu.cn/lncefdb"
"Rice Proteins Database","MCDRP","2.75","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","HIGH_ED_MATCH","20","http://www.genomeindia.org/biocuration","http://www.genomeindia.org/biocuration"
"MultiDomainBenchmark","MDB","2.25","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH","GENERIC_DOMAIN, HIGH_ED_MATCH","17","http://csc.columbusstate.edu/carroll/MDB/","http://csc.columbusstate.edu/carroll/MDB"
"MEGADOCK-Web","MEGADOCK","3.05","Y","SAME_DOMAIN_GENERIC, CONTAINS_0.8, URL_EXACT_MATCH","GENERIC_DOMAIN","4","http://www.bi.cs.titech.ac.jp/megadock-web/","http://www.bi.cs.titech.ac.jp/megadock-web"
"MGPP","MGP Portal","3.05","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH, LONG_SIM_1.00","GENERIC_DOMAIN","6","https://research.nhgri.nih.gov/mnemiopsis/","http://research.nhgri.nih.gov/mnemiopsis"
"My Personal Mutanome","MPM","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","17","https://mutanome.lerner.ccf.org","http://mutanome.lerner.ccf.org"
"MFGA","Male Fertility Gene Atlas","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","21","https://mfga.uni-muenster.de","http://mfga.uni-muenster.de"
"Mammalian metabolic enzymes database","Mammalian Metabolic Enzyme Database","2.35","Y","SAME_DOMAIN_GENERIC, EDIT_DIST_1, URL_SIM_0.73, LONG_SIM_0.99","GENERIC_DOMAIN","1","https://hpcwebapps.cit.nih.gov/ESBL/Database/MetabolicEnzymes/MetabolicEnzymeDatabase.html","http://hpcwebapps.cit.nih.gov/ESBL/Database/MetabolicEnzymes/MetabolicEnzymeDatabase.html, http://hpcwebapps.cit.nih.gov/ESBL/Database/MetabolicEnzymes"
"MSGP","Mammalian Stress Granules Proteome","3.15","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_0.87","HIGH_ED_MATCH","30","https://msgp.pt/","http://msgp.pt"
"MPPD","Medicago PhosphoProtein Database","3.05","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH","28","http://phospho.medicago.wisc.edu","http://phospho.medicago.wisc.edu"
"MTGD","Medicago truncatula genome database","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","31","http://www.MedicagoGenome.org","http://www.MedicagoGenome.org"
"MINEs","Metabolic In silico Network Expansions","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","33","http://minedatabase.mcs.anl.gov","http://minedatabase.mcs.anl.gov"
"ML Repo","Microbiome Learning Repo","3.15","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_0.89","HIGH_ED_MATCH","17","https://knights-lab.github.io/MLRepo/","http://knights-lab.github.io/MLRepo"
"MODB","Mollusca mitochondrial database","2.65","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH, LONG_SIM_0.89","GENERIC_DOMAIN, HIGH_ED_MATCH","27","http://modb.ytu.edu.cn/","http://modb.ytu.edu.cn"
"MBPD","Monosaccharide Biosynthesis Pathways Database","3.05","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH","41","http://www.bio.iitb.ac.in/mbpd/","http://www.bio.iitb.ac.in/mbpd"
"MLPD","Mouse Liver Portal","2.75","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","HIGH_ED_MATCH","15","http://mouseliver.com","http://mouseliver.com"
"MSRDB","Mycobacterial Systems Resource","3.15","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_0.87","HIGH_ED_MATCH","27","https://msrdb.org/","http://msrdb.org"
"Nelumbo Genome Database","NGD","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","20","http://nelumbo.biocloud.net","http://nelumbo.biocloud.net"
"NGS Catalog","NGS","2.65","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH, LONG_SIM_0.89","GENERIC_DOMAIN","8","http://bioinfo.mc.vanderbilt.edu/NGS/index.html","http://bioinfo.mc.vanderbilt.edu/NGS/index.html"
"NMRGR","Naked Mole Rat Genome Resource","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","25","http://www.naked-mole-rat.org","http://www.naked-mole-rat.org"
"Nanosized Cancer Database","Nanosized Cancer Polymarker Biochip Project","3.15","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_0.85","HIGH_ED_MATCH","23","https://serviziweb.ulss12.ve.it/firbabo","http://serviziweb.ulss12.ve.it/firbabo"
"NCAA-DB","Noncoded Amino acids Database","3.05","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH","23","http://recerca.upc.edu/imem/index.htm","http://recerca.upc.edu/imem/index.htm"
"NEIHPID","Northeast India Helminth Parasite Information Database","3.05","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH","47","http://nepiac.nehu.ac.in/index.php","http://nepiac.nehu.ac.in/index.php"
"OCTAD","Open Cancer TherApeutic Discovery","3.15","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_0.88","HIGH_ED_MATCH","28","http://octad.org","http://octad.org"
"PAMDB","PAMBD","3.65","Y","SAME_DOMAIN_GENERIC, EDIT_DIST_2, URL_EXACT_MATCH, LONG_SIM_0.99","GENERIC_DOMAIN","2","http://pseudomonas.umaryland.edu","http://pseudomonas.umaryland.edu"
"PASS2","PASS2.4","3.65","Y","SAME_DOMAIN_GENERIC, EDIT_DIST_2, CONTAINS_0.8, URL_EXACT_MATCH","GENERIC_DOMAIN","2","http://caps.ncbs.res.in/pass2/","http://caps.ncbs.res.in/pass2"
"PDB-2-PB","PDB-2-PBv3.0","2.85","Y","SAME_DOMAIN_GENERIC, CONTAINS_0.6, URL_EXACT_MATCH","GENERIC_DOMAIN","4","http://bioinfo.bdu.ac.in/pb3","http://bioinfo.bdu.ac.in/pb3"
"PlanExp","PLANEX","2.0","Y","EDIT_DIST_1, CONTAINS_0.6, LONG_SIM_0.84","THRESHOLD_EDGE","1","https://compgen.bio.ub.edu/PlanNET/planexp","http://planex.plantbioinformatics.org"
"PMSDN","PMS_DN","4.05","Y","SAME_DOMAIN_GENERIC, EDIT_DIST_1, URL_EXACT_MATCH, LONG_SIM_1.00","GENERIC_DOMAIN","1","https://pmsdn.hms.harvard.edu","http://pmsdn.hms.harvard.edu"
"Poaceae orphan genes database","POGD","3.05","Y","SAME_DOMAIN_GENERIC, URL_EXACT_MATCH, LONG_SIM_1.00","GENERIC_DOMAIN, HIGH_ED_MATCH","25","http://bioinfo.ahau.edu.cn/pogd","http://bioinfo.ahau.edu.cn/pogd"
"POGs","POGs2","5.35","Y","SAME_DOMAIN_GENERIC, DIGIT_VERSION_DIFF, EDIT_DIST_1, CONTAINS_0.6, URL_EXACT_MATCH","GENERIC_DOMAIN","1","http://pogs.uoregon.edu/","http://pogs.uoregon.edu"
"PIRD","Pan Immune Repertoire Database","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","26","https://db.cngb.org/pird","http://db.cngb.org/pird"
"Hybrid Rat Diversity Panel","PhenoGen","2.75","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH","HIGH_ED_MATCH","24","http://phenogen.org","http://phenogen.org"
"PlantCyc","Plant Metabolic Network","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","17","https://plantcyc.org","http://plantcyc.org"
"PAIR","Predicted Arabidopsis Interactome Resource","3.55","Y","SAME_DOMAIN_SPECIFIC, URL_EXACT_MATCH, LONG_SIM_1.00","HIGH_ED_MATCH","38","http://public.synergylab.cn/pair/","http://public.synergylab.cn/pair"
