name_modification_flags,ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,affiliation_countries,best_name_original,url_validation,paper_titles,source_batch,qc_manual_review,qc_fix_applied,qc_confidence,qc_issue_category,was_merged
"CAPITALIZED,TITLE_CAPITALIZED",28890946,OncoKB,0.99881655,oncokb,0.99881655,,0.99881655,1,http://oncokb.org/,200,United States,"(40.7339,-74.0054)",,2017-05-16,", Marie-Josée and Henry R. Kravis Center for Molecular Oncology, Memorial Sloan Kettering Cancer Center, New York, NY, USA; , Gastrointestinal Oncology Service, Division of Solid Tumor Oncology, Department of Medicine, Memorial Sloan Kettering Cancer Center, New York, NY, USA; , Gynecologic Medical Oncology Service, Division of Solid Tumor Oncology, Department of Medicine, Memorial Sloan Kettering Cancer Center, New York, NY, USA; , Breast Medicine Service, Division of Solid Tumor Oncology, Department of Medicine, Memorial Sloan Kettering Cancer Center, New York, NY, USA, Human Oncology and Pathogenesis Program, Memorial Sloan Kettering Cancer Center, New York, NY, USA, Weill Cornell Medical College, New York, NY USA; , Breast Medicine Service, Division of Solid Tumor Oncology, Department of Medicine, Memorial Sloan Kettering Cancer Center, New York, NY, USA; , Thoracic Oncology Service, Division of Solid Tumor Oncology, Department of Medicine, Memorial Sloan Kettering Cancer Center , New York, NY, USA, Weill Cornell Medical College, New York, NY USA; , Head and Neck Oncology Service, Division of Solid Tumor Oncology, Department of Medicine, Memorial Sloan Kettering Cancer Center, New York, NY, USA; , , Department of Hematology and Oncology, Quest Diagnostics Nichols Institute, 33608 Ortega Highway, San Juan Capistrano, CA, 92675, USA; , Department of R&D and Bioinformatics, Quest Diagnostics Nichols Institute, 33608 Ortega Highway, San Juan Capistrano, CA, 92675, USA; , Head and Neck Oncology Service, Division of Solid Tumor Oncology, Department of Medicine, Memorial Sloan Kettering Cancer Center, New York, NY, USA, Weill Cornell Medical College, New York, NY USA; , Melanoma and Immunotherapeutics Service, Department of Medicine, Memorial Sloan Kettering Cancer Center, New York, NY, USA, Weill Cornell Medical College, New York, NY USA; , Gynecologic Medical Oncology Service, Division of Solid Tumor Oncology, Department of Medicine, Memorial Sloan Kettering Cancer Center, New York, NY, USA; , Human Oncology and Pathogenesis Program, Memorial Sloan Kettering Cancer Center, New York, NY, USA, Sarcoma Medical Oncology Service, Division of Solid Tumor Oncology, Department of Medicine, Memorial Sloan-Kettering Cancer Center, New York, NY, USA, Weill Cornell Medical College, New York, NY USA; Genitourinary Oncology Service, Division of Solid Tumor Oncology, Department of Medicine, Memorial Sloan Kettering Cancer Center, New York, NY, USA, Weill Cornell Medical College, New York, NY USA; , Developmental Therapeutics, Department of Medicine, Memorial Sloan Kettering Cancer Center, New York, NY, USA, Sarcoma Medical Oncology Service, Division of Solid Tumor Oncology, Department of Medicine, Memorial Sloan-Kettering Cancer Center, New York, NY, USA, Weill Cornell Medical College, New York, NY USA; , Gastrointestinal Oncology Service, Division of Solid Tumor Oncology, Department of Medicine, Memorial Sloan Kettering Cancer Center, New York, NY, USA, Weill Cornell Medical College, New York, NY USA; , Department of Neurology, Memorial Sloan Kettering Cancer Center, New York, NY, USA; , Brain Tumor Center, Memorial Sloan Kettering Cancer Center, New York, NY, USA, Department of Neurology, Memorial Sloan Kettering Cancer Center, New York, NY, USA; , Department of Oncology and Internal Medicine, Memorial Sloan Kettering Cancer Center, New York, NY, USA, Weill Cornell Medical College, New York, NY USA; , Department of Pediatrics, Memorial Sloan Kettering Cancer Center, New York, NY, USA; , Genitourinary Oncology Service, Division of Solid Tumor Oncology, Department of Medicine, Memorial Sloan Kettering Cancer Center, New York, NY, USA , Human Oncology and Pathogenesis Program, Memorial Sloan Kettering Cancer Center, New York, NY, USA; , Department of Pathology, Memorial Sloan Kettering Cancer Center, New York, NY, USA, Department of Pathology, Memorial Sloan Kettering Cancer Center, New York, NY, USA, Marie-Josée and Henry R. Kravis Center f","Baselga J, Baxi SS, Berger MF, Callahan MK, Chakravarty D, Chandarlapaty S, Chang MT, Chi P, Danila D, Gao J, Gounder M, Grupe A, Hantash FM, Harding JJ, Hellmann MD, Ho AL, Hyman DM, Iyer G, Janjigian Y, Kaley T, Kundra R, Ladanyi M, Levine DA, Lowery M, Nissan MH, Omuro A, Paik PK, Paraiso E, Phillips SM, Postow MA, Rathkopf D, Riely GJ, Rudolph JE, Sabbatini P, Saltz LB, Schultz N, Shoushtari AN, Shukla N, Snyder A, Solit DB, Soumerai T, Taylor BS, Traina TA, Voss M, Wang J, Yaeger R, Zehir A, Zhang H",P30 CA008748,NCI NIH HHS,1749.0,"Andorra, United States",oncokb,ok,OncoKB: A Precision Oncology Knowledge Base.,2010-2022,,,,,False
CAPITALIZED,28732212,UALCAN,0.9986914,ualcan,0.9986914,,0.9986914,1,http://ualcan.path.uab.edu,200,United States,"(33.5207,-86.8025)",,2017-07-18,"Molecular and Cellular Pathology, Department of Pathology, University of Alabama at Birmingham; Comprehensive Cancer Center, University of Alabama at Birmingham, Birmingham, AL 35233, USA.","Balasubramanya SAH, Bashel B, Chakravarthi BVSK, Chandrashekar DS, Creighton CJ, Ponce-Rodriguez I, Varambally S","P30 CA125123, R01 CA154980, R01 CA157845",NCI NIH HHS,4258.0,"Andorra, United States",ualcan,ok,UALCAN: A Portal for Facilitating Tumor Subgroup Gene Expression and Survival Analyses.,2010-2022,,,,,True
TITLE_CAPITALIZED,29897488,GlycoStore,0.9984915,,0.9984915,glycostore,0.9984915,1,http://www.glycostore.org,200,United States,"(37.7621,-122.3971)",,2018-09-01,"Bioprocessing Technology Institute, Agency for Science, Technology and Research (A*STAR), Singapore.","Abrahams JL, Campbell MP, Fernandes DL, Nguyen-Khuong T, Packer NH, Royle L, Rudd PM, Spencer D, Walsh I, Zhao S",,"Biomedical Research Council Strategic Positioning Fund, HighGlycoART, Institute for Glycomics, Macquarie University-Ludger Pilot Scheme",59.0,"Andorra, Singapore",glycostore,ok,GlycoStore: a database of retention properties for glycan analysis.,2010-2022,,,,,False
TITLE_CAPITALIZED,22123736,UniProt,0.97680056,,0.97680056,uniprot,0.97680056,1,http://www.ebi.ac.uk/GOA,200,United Kingdom,"(51.8797,-0.4175)",,2011-11-28,"European Bioinformatics Institute, Wellcome Trust Genome Campus, Hinxton, Cambridge CB10 1SD, UK. edimmer@ebi.ac.uk","Alam-Faruque Y, Apweiler R, Argoud-Puy G, Auchincloss A, Axelsen K, Bely B, Blatter MC, Bougueleret L, Boutet E, Braconi-Quintaje S, Breuza L, Bridge A, Browne P, Coudert E, Cusin I, Dimmer EC, Duek-Roggli P, Eberhardt R, Estreicher A, Famiglietti L, Ferro-Rojas S, Feuermann M, Gardner M, Gos A, Gruaz-Gumowski N, Hinz U, Hulo C, Huntley RP, James J, Jimenez S, Jungo F, Keller G, Laiho K, Legge D, Lemercier P, Lieberherr D, Magrane M, Martin MJ, Masson P, Moinat M, Mun Chan W, O'Donovan C, Pedruzzi I, Pichler K, Poggioli D, Poux S, Rivoire C, Roechert B, Sawford T, Schneider M, Sehra H, Stutz A, Sundaram S, Tognolli M, Xenarios I","1U41HG006104-02, 3P41HG002273-09, SP:07/007/23671","British Heart Foundation, NHGRI NIH HHS",314.0,United Kingdom,uniprot,ok,The UniProt-GO Annotation database in 2011.,2010-2022,,,,,False
CAPITALIZED,25326082,PDB,0.0,pdb,0.0,,0.0,1,http://www.eppic-web.org/ewui/\#downloads,200,United States,"(40.7143,-74.0060)",,2014-10-18,,"Baskaran K, Biyani N, Bliven S, Capitani G, Duarte JM",,Intramural NIH HHS,46.0,,pdb,ok,"A PDB-wide, evolution-based assessment of protein-protein interfaces.",2010-2022,,,,,False
TITLE_CAPITALIZED,26153137,EpiFactors,0.99873567,,0.99873567,epifactors,0.99873567,1,http://epifactors.autosome.ru,200,Netherlands,"(52.3740,4.8897)",,2015-07-07,"Institute of Personal and Predictive Medicine of Cancer, 08916 Badalona, Spain, Department of Computational Biology, Vavilov Institute of General Genetics, Russian Academy of Sciences, 119991 Moscow, Russia, ju.medvedeva@gmail.com.","Drabløs F, Ehsani R, Kasukawa T, Khimulya G, Kulakovskiy IV, Lennartsson A, Medvedeva YA, Panahandeh P, Vorontsov IE",,,223.0,"Andorra, Comoros, Spain",epifactors,ok,EpiFactors: a comprehensive database of human epigenetic factors and complexes.,2010-2022,,,,,False
TITLE_CAPITALIZED,"29805321, 31444973",Cellosaurus,0.91077185,,0.91077185,cellosaurus,0.91077185,2,https://web.expasy.org/cellosaurus/,200,Germany,"(50.1112,8.6831)",,2018-05-10,"Computer and Laboratory Investigation of Proteins of Human Origin Group, Faculty of Medicine, Swiss Institute of Bioinformatics, University of Geneva, Geneva 4, Switzerland.; CALIPHO Group, SIB Swiss Institute of Bioinformatics, CMU, Geneva, Switzerland.","Bairoch A, Capes-Davis A, Robin T",,,565.0,"Andorra, Switzerland",cellosaurus,ok,"The Cellosaurus, a Cell-Line Knowledge Resource. | CLASTR: The Cellosaurus STR similarity search tool - A precious help for cell line authentication.",2010-2022,,,,,False
TITLE_CAPITALIZED,32090262,dbPepNeo,0.9990477,,0.9990477,dbpepneo,0.9990477,1,http://www.biostatistics.online/dbPepNeo/,200,China,"(30.2936,120.1614)",,2020-01-01,"School of Medical Instrument and Food Engineering, University of Shanghai for Science and Technology, No. 516, Jungong Road, Yangpu District, Shanghai 200093, China.","Huang P, Jian X, Li D, Li Y, Lin Y, Ouyang J, Tan X, Wan H, Wang G, Xie L",,,48.0,"Andorra, China",dbpepneo,ok,dbPepNeo: a manually curated database for human tumor neoantigen peptides.,2010-2022,,,,,False
TITLE_CAPITALIZED,29912458,CircadiOmics,0.9963923,,0.9963923,circadiomics,0.9963923,1,http://circadiomics.ics.uci.edu,200,United States,"(33.6695,-117.8231)",,2018-07-01,"Department of Computer Science, University of California, Irvine, CA 92617, USA.","Agostinelli F, Baldi P, Ceglia N, Chen S, Eckel-Mahan K, Liu Y, Sassone-Corsi P","D17AP00002, GM123558, R01 GM123558","Defense Advanced Research Projects Agency, NIGMS NIH HHS, National Institute of General Medical Sciences",35.0,United States,circadiomics,ok,CircadiOmics: circadian omic web portal.,2010-2022,,,,,True
TITLE_CAPITALIZED,29746699,RepeatsDB,0.925015,,0.925015,repeatsdb,0.925015,1,http://protein.bio.unipd.it/repeatsdb-lite,200,Italy,"(45.4080,11.8859)",,2018-07-01,"Dept. of Biomedical Sciences, University of Padua, Padua, Italy.","Hirsh L, Paladin L, Piovesan D, Tosatto SCE",,,22.0,Italy,repeatsdb,ok,RepeatsDB-lite: a web server for unit annotation of tandem repeat proteins.,2010-2022,,,,,False
TITLE_CAPITALIZED,22096232,BioSample Database,0.8138091,,0.8138091,biosample database,0.8138091,1,http://www.ebi.ac.uk/biosamples,200,United Kingdom,"(51.8797,-0.4175)",,2011-11-16,"EMBL-EBI, the European Bioinformatics Institute, Wellcome Trust Genome Campus, Hinxton, Cambridgeshire CB10 1SD, UK.","Brandizi M, Brazma A, Faulconbridge A, Fernandez-Banet J, Gostev M, Parkinson H, Sarkans U","BB/G000638/1, BB/G022755/1, FP7_201413, FP7_241669","Biotechnology and Biological Sciences Research Council, European Commission FP7",43.0,United Kingdom,biosample database,ok,The BioSample Database (BioSD) at the European Bioinformatics Institute.,2010-2022,,,,,True
CAPITALIZED,22125387,CTD,0.9975765,ctd,0.9975765,,0.9975765,1,http://ctd.mdibl.org/,200,United States,"(44.4390,-68.3700)",,2011-10-14,"Department of Bioinformatics, the Mount Desert Island Biological Laboratory, Salisbury Cove, ME 04672, USA.","Davis AP, Mattingly CJ, Rosenstein MC, Wiegers TC","P20 RR016463, R01 ES014065","NCRR NIH HHS, NIEHS NIH HHS",8.0,United States,ctd,ok,DiseaseComps: a metric that discovers similar diseases based upon common toxicogenomic profiles at CTD.,2010-2022,,,,,False
"CAPITALIZED,TITLE_CAPITALIZED",31796060,CIViC,0.98466015,civic,0.98466015,,0.98466015,1,http://bionlp.bcgsc.ca/civicmine/,200,Canada,"(49.2497,-123.1193)",,2019-12-03,"Canada's Michael Smith Genome Sciences Centre, Vancouver, BC, Canada.","Bonakdar M, Culibrk L, Danos AM, Grewal JK, Griffith M, Griffith OL, Jones MR, Jones SJM, Krysiak K, Lever J","R00 HG007940, R00HG007940, U01 CA209936, U01CA209936, U24 CA237719","NCI NIH HHS, NHGRI NIH HHS, NIH HHS, National Human Genome Research Institute, National Institutes of Health",30.0,Canada,civic,ok,Text-mining clinically relevant cancer biomarkers for curation into the CIViC database.,2010-2022,,,,,False
CAPITALIZED,"32436344, 33735471",CLRP,0.9660077,clrp,0.9660077,,0.9660077,2,https://physics.carleton.ca/clrp/egs_brachy/seed_database_v2,200,Canada,"(45.4112,-75.6981)",,2020-07-13,"Carleton Laboratory for Radiotherapy Physics (CLRP), Department of Physics, Carleton University, Ottawa, ON, K1S 5B6, Canada.; Carleton Laboratory for Radiotherapy Physics, Department of Physics, Carleton University, Ottawa, ON, K1S 5B6, Canada.","Allen CH, Chamberland MJP, Deering SG, Martinov MP, Parsons Z, Rogers DWO, Safigholi H, Taylor REP, Thomson RM",,"Canada National Resource Allocation, Canada Research Chairs, Ministry of Research and Innovation of Ontario, Natural Sciences and Engineering Research Council of Canada",24.0,Canada,clrp,ok,Update of the CLRP TG-43 parameter database for low-energy brachytherapy sources. | Update of the CLRP eye plaque brachytherapy database for photon-emitting sources.,2010-2022,,,,,True
CAPITALIZED,33109251,IRD,0.0,ird,0.0,,0.0,1,https://www.retina.com.pt,200,Portugal,"(40.5426,-8.5386)",,2020-10-27,"Ophthalmology Unit, Centro de Responsabilidade Integrado em Oftalmologia (CRIO), Centro Hospitalar e Universitário de Coimbra (CHUC), Praceta Prof. Mota Pinto, 3000-075, Coimbra, Portugal. marquesjoaopedro@gmail.com.","Carvalho AL, Henriques J, Marques JP, Murta JN, Saraiva J, Silva R",,"Novartis, Sociedade Portuguesa de Oftalmologia",31.0,"Comoros, Portugal",ird,ok,"Design, development and deployment of a web-based interoperable registry for inherited retinal dystrophies in Portugal: the IRD-PT.",2010-2022,,,,,False
