inventory_idx,best_name,baseline_resource_name,normalized_url,baseline_normalized_url,match_type,confidence,extracted_url,baseline_url,baseline_resource_id,baseline_resource_full,is_gcbr,source_batch,paper_titles,real_match
1382,Data Bank,RCSB PDB,rcsb.org,rcsb.org,URL_EXACT,0.95,https://www.rcsb.org/,http://rcsb.org,6275,The RCSB Protein Data Bank,0,2022-2025,RCSB Protein Data Bank: supporting research and education worldwide through explorations of experimentally determined and computationally predicted atomic level 3D biostructures.,
1428,NCBI,GEO,ncbi.nlm.nih.gov/geo,ncbi.nlm.nih.gov/geo,URL_EXACT,0.95,https://www.ncbi.nlm.nih.gov/geo/,http://www.ncbi.nlm.nih.gov/geo,7675,Gene Expression Omnibus,0,2022-2025,NCBI GEO: archive for gene expression and epigenomics data sets: 23-year update.,
1462,Missense3D-PPI,Missense3D-DB,missense3d.bc.ic.ac.uk,missense3d.bc.ic.ac.uk,URL_EXACT,0.95,http://missense3d.bc.ic.ac.uk,http://missense3d.bc.ic.ac.uk,5727,,0,2022-2025,Missense3D-PPI: A Web Resource to Predict the Impact of Missense Variants at Protein Interfaces Using 3D Structural Data.,
1596,DichroPipeline,PCDDB,pcddb.cryst.bbk.ac.uk,pcddb.cryst.bbk.ac.uk,URL_EXACT,0.95,https://pcddb.cryst.bbk.ac.uk/,http://pcddb.cryst.bbk.ac.uk,6133,Protein Circular Dichroism Data Bank,0,2022-2025,"DichroPipeline: A suite of online and downloadable tools and resources for protein circular dichroism spectroscopic data analyses, interpretations, and their interoperability with other bioinformatics tools and resources.",
2047,PhaSeDis,MloDisDB,mlodis.phasep.pro,mlodis.phasep.pro,URL_EXACT,0.95,http://mlodis.phasep.pro,http://mlodis.phasep.pro,5722,,0,2022-2025,PhaSeDis: A Manually Curated Database of Phase Separation-disease Associations and Corresponding Small Molecules.,
2337,JADBIO,EGA,ega-archive.org,ega-archive.org,URL_EXACT,0.95,https://ega-archive.org/,http://ega-archive.org,5070,European Genome-phenome Archive,0,2022-2025,Automated machine learning for genome wide association studies.,
67,OPL,NCRO,purl.obolibrary.org/obo/opl.owl,purl.obolibrary.org/obo/ncro.owl,URL_DOMAIN_SINGLE,0.75,http://purl.obolibrary.org/obo/opl.owl,http://purl.obolibrary.org/obo/ncro.owl,6265,The Non-Coding RNA Ontology,0,2010-2022,The Ontology for Parasite Lifecycle (OPL): towards a consistent vocabulary of lifecycle stages in parasitic organisms.,1.0
110,ConTEdb,DPTEdb,genedenovoweb.ticp.net:81/contedb/index.php,genedenovoweb.ticp.net:81/dptedb/index.php,URL_DOMAIN_SINGLE,0.75,http://genedenovoweb.ticp.net:81/conTEdb/index.php,http://genedenovoweb.ticp.net:81/DPTEdb/index.php,4950,dioecious plant transposable element database,0,2010-2022,ConTEdb: a comprehensive database of transposable elements in conifers.,1.0
207,m6A-Atlas,m5C-Atlas,xjtlu.edu.cn/biologicalsciences/atlas,xjtlu.edu.cn/biologicalsciences/m5c-atlas,URL_DOMAIN_SINGLE,0.75,http://www.xjtlu.edu.cn/biologicalsciences/atlas,http://www.xjtlu.edu.cn/biologicalsciences/m5c-atlas,8057,,0,2010-2022,m6A-Atlas: a comprehensive knowledgebase for unraveling the N6-methyladenosine (m6A) epitranscriptome.,1.0
211,RSIADB,DPTEdb,genedenovoweb.ticp.net:81/rsia/index.php,genedenovoweb.ticp.net:81/dptedb/index.php,URL_DOMAIN_SINGLE,0.75,http://genedenovoweb.ticp.net:81/rsia/index.php,http://genedenovoweb.ticp.net:81/DPTEdb/index.php,4950,dioecious plant transposable element database,0,2010-2022,"RSIADB, a collective resource for genome and transcriptome analyses in Rhizoctonia solani AG1 IA.",1.0
292,Uberon,NCRO,purl.obolibrary.org/obo/uberon/releases/2013-02-21,purl.obolibrary.org/obo/ncro.owl,URL_DOMAIN_SINGLE,0.75,http://purl.obolibrary.org/obo/uberon/releases/2013-02-21/,http://purl.obolibrary.org/obo/ncro.owl,6265,The Non-Coding RNA Ontology,0,2010-2022,Unification of multi-species vertebrate anatomy ontologies for comparative biology in Uberon.,1.0
893,NOD,The Mouse Genomes Project,sanger.ac.uk/resources/mouse/nod,sanger.ac.uk/resources/mouse/genomes,URL_DOMAIN_SINGLE,0.75,http://www.sanger.ac.uk/resources/mouse/nod/,http://www.sanger.ac.uk/resources/mouse/genomes,7958,The Mouse Genomes Project,0,2010-2022,"The non-obese diabetic mouse sequence, annotation and variation resource: an aid for investigating type 1 diabetes.",1.0
1379,HCC,HCCDB,lifeome.net/database/hccdb2,lifeome.net/database/hccdb,URL_DOMAIN_SINGLE,0.75,http://lifeome.net/database/hccdb2,http://lifeome.net/database/hccdb,5431,Hepatocellular Carcinoma Expression Atlas,0,2022-2025,HCCDB v2.0: Decompose Expression Variations by Single-cell RNA-seq and Spatial Transcriptomics in HCC.,1.0
64,IMG,Integrated Microbial Genomes and Metagenomes,hmpdacc-resources.org/img_hmp,hmpdacc-resources.org/imgm_hmp,URL_DOMAIN_SINGLE,0.75,http://www.hmpdacc-resources.org/img_hmp,http://www.hmpdacc-resources.org/imgm_hmp,7395,Integrated Microbial Genomes and Metagenomes,0,2010-2022,IMG: the Integrated Microbial Genomes database and comparative analysis system.,1.0
82,LungMAP,Lung CellCards,lungmap.net,lungmap.net/cell-cards,URL_DOMAIN_SINGLE,0.75,http://www.lungmap.net,http://www.lungmap.net/cell-cards,7581,,0,2010-2022,LungMAP: The Molecular Atlas of Lung Development Program.,1.0
118,UMD-DYSF,UMD-APC,umd.be/dysf,umd.be/apc,URL_DOMAIN_SINGLE,0.75,http://www.umd.be/DYSF/,http://www.umd.be/APC,7945,,0,2010-2022,"UMD-DYSF, a novel locus specific database for the compilation and interactive analysis of mutations in the dysferlin gene.",1.0
151,Cellminercdb,CellMiner-SCLC,discover.nci.nih.gov/cellminercdb,discover.nci.nih.gov/sclccellminercdb,URL_DOMAIN_SINGLE,0.75,https://discover.nci.nih.gov/cellminercdb/,http://discover.nci.nih.gov/SclcCellMinerCDB,4770,,0,2010-2022,CellMinerCDB for Integrative Cross-Database Genomics and Pharmacogenomics Analyses of Cancer Cell Lines.,1.0
206,SUS-BAR,Bologna Annotation Resource,bar.biocomp.unibo.it/bar2.0,bar.biocomp.unibo.it/bar3,URL_DOMAIN_SINGLE,0.75,http://bar.biocomp.unibo.it/bar2.0,http://bar.biocomp.unibo.it/bar3,3837,Bologna Annotation Resource,0,2010-2022,SUS-BAR: a database of pig proteins with statistically validated structural and functional annotation.,1.0
418,EumicrobeDBLite,OTD,eumicrobedb.org,eumicrobedb.org/transcripts,URL_DOMAIN_SINGLE,0.75,http://www.eumicrobedb.org,http://www.eumicrobedb.org/transcripts,7104,Oomycete Transcriptomics Database,0,2010-2022,EumicrobeDBLite: a lightweight genomic resource and analytic platform for draft oomycete genomes.,1.0
532,Raman Open Database,COD,crystallography.net/cod,crystallography.net,URL_DOMAIN_SINGLE,0.75,http://www.crystallography.net/cod,http://www.crystallography.net,7093,Crystallography Open Database,0,2010-2022,Raman Open Database: first interconnected Raman-X-ray diffraction open-access resource for material identification.,1.0
643,CompTox,DSSTox,comptox.epa.gov,comptox.epa.gov/dashboard,URL_DOMAIN_SINGLE,0.75,https://comptox.epa.gov,http://comptox.epa.gov/dashboard,4548,Distributed Structure-Searchable Toxicity Database,0,2010-2022,The CompTox Chemistry Dashboard: a community data resource for environmental chemistry.,1.0
727,peptide,ViPR,viprbrc.org,viprbrc.org/brc/home.spg,URL_DOMAIN_SINGLE,0.75,https://www.viprbrc.org,http://www.viprbrc.org/brc/home.spg?decorator=flavi_hcv,8012,Virus Pathogen Resource,0,2010-2022,Mat_peptide: comprehensive annotation of mature peptides from polyproteins in five virus families.,1.0
736,An open,BioTop,purl.org/ao,purl.org/biotop,URL_DOMAIN_SINGLE,0.75,http://purl.org/ao/,http://purl.org/biotop,6291,,0,2010-2022,An open annotation ontology for science on web 3.0.,1.0
916,THISP,PeptideAtlas,peptideatlas.org/thisp,peptideatlas.org,URL_DOMAIN_SINGLE,0.75,http://www.peptideatlas.org/thisp/,http://www.peptideatlas.org,7727,,0,2010-2022,Tiered Human Integrated Sequence Search Databases for Shotgun Proteomics.,1.0
958,m7GHub,DirectRMDB,rnamd.org/m7ghub2,rnamd.org/directrmdb,URL_DOMAIN_SINGLE,0.75,http://www.rnamd.org/m7GHub2,http://www.rnamd.org/directRMDB,8079,,0,2022-2025,m7GHub V2.0: an updated database for decoding the N7-methylguanosine (m7G) epitranscriptome.,1.0
986,Sarcoma_CellminerCDB,CellMiner-SCLC,discover.nci.nih.gov/sarcomacellminercdb,discover.nci.nih.gov/sclccellminercdb,URL_DOMAIN_SINGLE,0.75,https://discover.nci.nih.gov/SarcomaCellMinerCDB,http://discover.nci.nih.gov/SclcCellMinerCDB,4770,,0,2022-2025,Sarcoma_CellminerCDB: A tool to interrogate the genomic and functional characteristics of a comprehensive collection of sarcoma cell lines.,1.0
1545,COV2Var,COVIDanno,biomedbdc.wchscu.cn/cov2var,biomedbdc.wchscu.cn/covidanno,URL_DOMAIN_SINGLE,0.75,http://biomedbdc.wchscu.cn/COV2Var/,http://biomedbdc.wchscu.cn/COVIDanno,4388,,0,2022-2025,"COV2Var, a function annotation database of SARS-CoV-2 genetic variation.",1.0
1993,O-GlcNAcPRED-DL,O-GlcNAcAtlas,oglcnac.org/pred_dl,oglcnac.org,URL_DOMAIN_SINGLE,0.75,http://oglcnac.org/pred_dl,http://oglcnac.org,5948,,0,2022-2025,O-GlcNAcPRED-DL: Prediction of Protein O-GlcNAcylation Sites Based on an Ensemble Model of Deep Learning.,1.0
2306,UMD-VHL,UMD-APC,umd.be/vhl,umd.be/apc,URL_DOMAIN_SINGLE,0.75,http://www.umd.be/VHL/,http://www.umd.be/APC,7945,,0,2022-2025,Update of the UMD-VHL database: classification of 164 challenging variants based on genotype-phenotype correlation among 605 entries.,1.0
2329,Complexity Of Gpcr Modulation And Signaling,bio.tools,bio.tools/t,bio.tools,URL_DOMAIN_SINGLE,0.75,https://bio.tools/t?domain=gpcr,http://bio.tools,4097,,0,2022-2025,A bio. tools collection of online resources for GPCR research.,1.0
92,ZebraShare,ZFIN,zfin.org/action/zebrashare,zfin.org,URL_DOMAIN_MULTI,0.5,https://zfin.org/action/zebrashare,http://zfin.org,8107,Zebrafish Model Organism Database,1,2010-2022,ZebraShare: a new venue for rapid dissemination of zebrafish mutant data.,1.0
153,mvTool,MSeqDR,mseqdr.org/mvtool.php,mseqdr.org,URL_DOMAIN_MULTI,0.5,https://mseqdr.org/mvtool.php,http://mseqdr.org,5621,Mitochondrial Disease Sequence Data Resource,0,2010-2022,"MSeqDR mvTool: A mitochondrial DNA Web and API resource for comprehensive variant annotation, universal nomenclature collation, and reference genome conversion.",1.0
246,ANGI,NCT,clinicaltrials.gov/ct2/show/nct01916538,clinicaltrials.gov,URL_DOMAIN_MULTI,0.5,https://clinicaltrials.gov/ct2/show/NCT01916538?cond=Anorexia+Nervosa&draw=1&rank=3,https://clinicaltrials.gov,8385,National Clinical Trials Registry,0,2010-2022,The Anorexia Nervosa Genetics Initiative (ANGI): Overview and methods.,1.0
1588,Xenopus,Xenbase,xenbase.org/entry/zahn.do,xenbase.org,URL_DOMAIN_MULTI,0.5,http://www.xenbase.org/entry/zahn.do,http://www.xenbase.org,8083,Xenopus model organism,0,2022-2025,Normal Table of Xenopus development: a new graphical resource.,1.0
