url,pmid,primary_entity_long,primary_entity_short,domain,source_file,sample_priority,title,db_keyword_found,very_high_conf,article_count,is_live,status_code,total_score,likelihood,indicators_found,response_time_ms,error_message
http://www.bloodspot.eu,"26507857, 30395307",bloodspot,,www.bloodspot.eu,linguistic_high_conf_dedup,high_conf_dedup,BloodSpot: a database of gene expression profiles and transcriptional programs for healthy and malignant haematopoiesis.,True,True,2,True,200.0,0,VERY LOW,,313.5,
http://www.yeastgenome.org,"24265222, 28365719, 29140510",saccharomyces genome database,,www.yeastgenome.org,linguistic_high_conf_dedup,high_conf_dedup,Saccharomyces genome database provides new regulation data.,True,False,3,True,200.0,11,HIGH,Content: EBI; Content: NCBI; Content: Curation; Content: Genomics,2332.85,
http://tripal.info,"24163125, 31328773",,tripal,tripal.info,linguistic_high_conf_dedup,high_conf_dedup,Tripal v1.1: a standards-based toolkit for construction of online genetic and genomic databases.,True,True,2,True,200.0,11,HIGH,Content: NCBI; Content: FASTA; Content: GFF; Content: Genomics,1406.93,
http://imp.princeton.edu,"22684505, 25969450",,imp,imp.princeton.edu,linguistic_high_conf_dedup,high_conf_dedup,"IMP: a multi-species functional genomics portal for integration, visualization and prediction of protein functions and networks.",True,True,2,True,200.0,5,MEDIUM,Content: NCBI; Content: Genomics,710.17,
http://www.essentialgene.org,"24243843, 25636622",,deg,www.essentialgene.org,linguistic_high_conf_dedup,high_conf_dedup,"DEG 10, an update of the database of essential genes that includes both protein-coding genes and noncoding genomic elements.",True,False,2,True,200.0,0,VERY LOW,,940.58,
http://www.ebi.ac.uk/miriam,"22140103, 23584831",,,www.ebi.ac.uk,linguistic_high_conf_dedup,high_conf_dedup,Identifiers.org and MIRIAM Registry: community resources to provide persistent identification.,True,False,2,True,200.0,7,MEDIUM,Content: EBI; Title: Identifier,352.04,
https://web.expasy.org/cellosaurus/,29805321,cellosaurus,,web.expasy.org,linguistic_high_conf_dedup,high_conf_dedup,"The Cellosaurus, a Cell-Line Knowledge Resource.",True,False,1,True,200.0,7,MEDIUM,Content: NCBI; Content: Identifier,658.3,
http://ualcan.path.uab.edu,28732212,,ualcan,ualcan.path.uab.edu,linguistic_high_conf_dedup,high_conf_dedup,UALCAN: A Portal for Facilitating Tumor Subgroup Gene Expression and Survival Analyses.,True,True,1,True,200.0,5,MEDIUM,Content: NCBI; Content: Proteomics,964.8,
http://eurisco.ecpgr.org,27580718,,eurisco,eurisco.ecpgr.org,linguistic_high_conf_dedup,high_conf_dedup,EURISCO: The European search catalogue for plant genetic resources.,True,True,1,True,200.0,6,MEDIUM,Content: Accession; Content: Identifier,977.25,
http://www.glycostore.org,29897488,glycostore,,www.glycostore.org,linguistic_high_conf_dedup,high_conf_dedup,GlycoStore: a database of retention properties for glycan analysis.,True,True,1,True,200.0,0,VERY LOW,,1033.62,
http://www.nii.ac.in/rippminer.html,28499008,rippminer,,www.nii.ac.in,linguistic_high_conf_dedup,high_conf_dedup,RiPPMiner: a bioinformatics resource for deciphering chemical structures of RiPPs based on prediction of cleavage and cross-links.,True,True,1,True,200.0,3,LOW,Content: PDB,728.39,
http://www.ebi.ac.uk/biosamples,22096232,biosample database,,www.ebi.ac.uk,linguistic_high_conf_dedup,high_conf_dedup,The BioSample Database (BioSD) at the European Bioinformatics Institute.,True,False,1,True,200.0,7,MEDIUM,Content: EBI; Content: Identifier,235.55,
http://bigd.big.ac.cn/gvm/,"29069473, 33170268",genome variation map,,bigd.big.ac.cn,linguistic_high_conf_dedup,high_conf_dedup,Genome Variation Map: a data repository of genome variations in BIG Data Center.,True,True,2,True,200.0,18,CRITICAL,Content: EBI; Content: NCBI; Content: Accession; Content: Data Submission; Content: Deposit Data; Content: Data Repository; Content: Knowledgebase; Content: Genomics,3727.84,
http://bio.informatics.iupui.edu/cmaps,26423722,,dmap,bio.informatics.iupui.edu,linguistic_high_conf_dedup,high_conf_dedup,DMAP: a connectivity map database to enable identification of novel drug repositioning candidates.,True,True,1,False,,0,VERY LOW,,,"Error: HTTPConnectionPool(host='bio.informatics.iupui.edu', port=80): Max retries exceeded with url: /cmaps"
http://ugene.net/download.html,26527191,,ugene,ugene.net,linguistic_high_conf_dedup,high_conf_dedup,Shared bioinformatics databases within the Unipro UGENE platform.,True,False,1,True,200.0,0,VERY LOW,,240.42,
http://npidb.belozersky.msu.ru/,23193292,nucleic acid-protein interaction database,,npidb.belozersky.msu.ru,linguistic_high_conf_dedup,high_conf_dedup,NPIDB: Nucleic acid-Protein Interaction DataBase.,True,False,1,True,200.0,0,VERY LOW,,660.92,
https://heisenberg.ucam.edu:5000,34194678,,waddaica,heisenberg.ucam.edu:5000,linguistic_high_conf_dedup,high_conf_dedup,WADDAICA: A webserver for aiding protein drug design by artificial intelligence and classical algorithm.,True,True,1,True,200.0,0,VERY LOW,,345.22,
http://www4g.biotec.or.th/FeptideDB/,31372542,feptidedb,,www4g.biotec.or.th,linguistic_high_conf_dedup,high_conf_dedup,FeptideDB: A web application for new bioactive peptides from food protein.,True,True,1,False,,0,VERY LOW,,,"Error: HTTPConnectionPool(host='www4g.biotec.or.th', port=80): Max retries exceeded with url: /FeptideDB/ ("
http://circadiomics.ics.uci.edu,29912458,circadiomics,,circadiomics.ics.uci.edu,linguistic_high_conf_dedup,high_conf_dedup,CircadiOmics: circadian omic web portal.,True,True,1,True,200.0,1,LOW,Content: Genomics,1511.34,
http://cansar.icr.ac.uk,22013161,,cansar,cansar.icr.ac.uk,linguistic_high_conf_dedup,high_conf_dedup,canSAR: an integrated cancer public translational research and drug discovery resource.,True,True,1,True,200.0,8,MEDIUM,Content: EBI; Content: PDB; Content: Knowledgebase,3129.0,
http://csbio.njust.edu.cn/bioinf/targetdbpplus/,33410688,targetdbp,,csbio.njust.edu.cn,linguistic_high_conf_dedup,high_conf_dedup,TargetDBP+: Enhancing the Performance of Identifying DNA-Binding Proteins via Weighted Convolutional Features.,True,False,1,True,200.0,0,VERY LOW,,1930.16,
http://caps.ncbs.res.in/pass2/,26553811,,pass2,caps.ncbs.res.in,linguistic_high_conf_dedup,high_conf_dedup,PASS2 database for the structure-based sequence alignment of distantly related SCOP domain superfamilies: update to version 5 and added features.,True,False,1,True,200.0,0,VERY LOW,,1310.23,
http://medical-data-models.org,"23920826, 26868052, 29295221",,,medical-data-models.org,linguistic_high_conf_dedup,high_conf_dedup,Analyses of medical data models - identifying common concepts and items in a repository of medical forms.,True,False,3,False,,0,VERY LOW,,,Timeout (10s)
http://bidd.nus.edu.sg/group/ttd/ttd.asp,"26578601, 29140520",therapeutic target database,,bidd.nus.edu.sg,linguistic_high_conf_dedup,high_conf_dedup,Therapeutic target database update 2016: enriched resource for bench to clinical drug target and targeted pathway information.,True,False,2,False,,0,VERY LOW,,,Timeout (10s)
http://bidd2.nus.edu.sg/NPASS/,29106619,,npass,bidd2.nus.edu.sg,linguistic_high_conf_dedup,high_conf_dedup,"NPASS: natural product activity and species source database for natural product research, discovery and tool development.",True,True,1,False,,0,VERY LOW,,,Timeout (10s)
http://cys.bios.niu.edu/dbCAN2,29771380,,dbcan2,cys.bios.niu.edu,linguistic_high_conf_dedup,high_conf_dedup,dbCAN2: a meta server for automated carbohydrate-active enzyme annotation.,True,True,1,False,,0,VERY LOW,,,Timeout (10s)
http://bionot.askhermes.org/,22032181,,bionøt,bionot.askhermes.org,linguistic_high_conf_dedup,high_conf_dedup,BioNØT: a searchable database of biomedical negated sentences.,True,True,1,False,,0,VERY LOW,,,Timeout (10s)
http://bionlp.bcgsc.ca/civicmine/,31796060,,civic,bionlp.bcgsc.ca,linguistic_high_conf_dedup,high_conf_dedup,Text-mining clinically relevant cancer biomarkers for curation into the CIViC database.,True,False,1,False,,0,VERY LOW,,,Timeout (10s)
http://pauling.mbu.iisc.ac.in/NOD/NOD/,34188160,,nod,pauling.mbu.iisc.ac.in,linguistic_high_conf_dedup,high_conf_dedup,NOD: a web server to predict New use of Old Drugs to facilitate drug repurposing.,True,True,1,False,,0,VERY LOW,,,Timeout (10s)
