ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,affiliation_countries,best_name_original,name_modification_flags,url_validation
"29023571, 33367505",PICKLE,0.99655414,pickle,0.99655414,,0.99655414,2,http://www.pickle.gr,200,Greece,"(38.2978,21.8096)",,2017-10-12,"Department of General Biology, School of Medicine, University of Patras, Patras, Greece.; Laboratory of General Biology, School of Medicine, University of Patras, Patras, Greece.","Dimitrakopoulos GN, Gioutlakis A, Klapa MI, Moschonas NK","613877 (STREPSYNTH), MIS 5002469, MIS 5002550, MIS 5002780, MIS 5028091, NSRF 2014-2020","Action for the Strategic Development on the Research and Technological Sector, Agriculture and Fisheries, Biotechnology, Competitiveness, EATRIS-GR, ELIXIR-GR, Entrepreneurship and Innovation, European Regional Development Fund, FORTH/ICE-HT, FP7 Food, Greece and EU, Greek NSRF 2014-2020 Operational Program, INSPIRED, Reinforcement of the Research and Innovation Infrastructure, Strategic Development on the Research and Technological Sector’, University of Patras Special Account for Research Funds",56.0,Greece,pickle,CAPITALIZED,ok
"23321019, 28857516",OCHEM,0.9990594,ochem,0.9990594,,0.9990594,2,http://ochem.eu,"HTTPConnectionPool(host='ochem.eu', port=80): Max retries exceeded with url: / (Caused by ConnectTim",,,http://web.archive.org/web/20250408090245/https://ochem.eu/,2013-01-15,"Institute of Structural Biology, Helmholtz-Zentrum München - German Research Center for Environmental Health, Ingolstaedter Landstrasse 1b, 60w, D-85764 Neuherberg, Germany. itetko@vcclab.org.; Beijing Computing Center, Beijing Academy of Science and Technology, 7 Fengxian road, Beijing, 100094, China.","Li H, Li X, Novotarskyi S, Oprisiu I, Tetko IV, Zhang Y, Zhao Y",Z16010101204,"Beijing Postdoctoral Research Foundation, Special Promotion For Scientific Small and Medium Enterprise of Beijing",49.0,"Andorra, China, Germany",ochem,CAPITALIZED,ok
"31239187, 33129577",phla3d,0.9984779,phla3d,0.9984779,,0.9984779,2,http://www.phla3d.com.br,200,Canada,"(43.6532,-79.3832)",,2019-06-22,"Laboratory of Immunogenetics and Molecular Biology, Federal University of Piauí, Teresina, PI, Brazil.; Laboratory of Immunogenetics and Molecular Biology, Federal University of Piauí, Teresina, PI, Brazil.","Claudio Demes da Mata Sousa L, Coelho AGB, Costa JMS, Gilberto Borges Coelho A, Jamil Hadad do Monte S, Marroquim MSC, Martins Ramos R, Matheus Sousa Costa J, Melo Santos de Serpa Brandão R, Menezes Teles E Oliveira D, Miranda Pereira E, Ramos RM, Socorro da Silva A, Sérgio Coelho Marroquim M, Teles E Oliveira DM, Vanildo de Sousa Lima A, da Mata Sousa LCD, da Silva AS, das Chagas Alves Lima F, de Serpa Brandão RMS, de Sousa Lima AV, do Monte SJH",,Universidade Federal do Piauí,106.0,"Andorra, Brazil",phla3d,,ok
"30052798, 30052798",zfregeneration,0.9963969,,0.9963969,zfregeneration,0.9963969,2,http://www.zfregeneration.org,200,United Kingdom,"(51.5177,-0.6215)",,2019-02-01,"Independent Researcher, Boxbergring 107, Heidelberg, Germany.; Independent Researcher, Boxbergring 107, Heidelberg, Germany.","Nieto-Arellano R, Sánchez-Iranzo H",,,40.0,Germany,zfregeneration,,ok
"25378316, 30196491",IMGT,0.95293343,imgt,0.95293343,,0.95293343,2,http://www.imgt.org,"HTTPConnectionPool(host='www.imgt.org', port=80): Max retries exceeded with url: / (Caused by Connec",,,http://web.archive.org/web/20250809143206/https://imgt.org/,2014-11-05,"IMGT, the international ImMunoGeneTics information system, Université de Montpellier, Laboratoire d'ImmunoGénétique Moléculaire LIGM, UPR CNRS 1142, Institut de Génétique Humaine IGH, 141 rue de la Cardonille, Montpellier, 34396 cedex 5, France Marie-Paule.Lefranc@igh.cnrs.fr.; IMGT®, The International ImMunoGeneTics Information System®, Laboratoire d'ImmunoGénétique Moléculaire (LIGM), Institut de Génétique Humaine (IGH), UMR 9002 CNRS-UM, Université de Montpellier, Montpellier Cedex 5, France. Marie-Paule.Lefranc@igh.cnrs.fr.","Aouinti S, Carillon E, Duroux P, Duvergey H, Ehrenmann F, Folch G, Giudicelli V, Hadi-Saljoqi S, Houles A, Jabado-Michaloud J, Kossida S, Lefranc G, Lefranc MP, Paysan-Lafosse T, Sasorith S",,,461.0,France,imgt,CAPITALIZED,ok
"21948793, 26578601, 29140520",therapeutic target database,0.9952096,,0.9952096,therapeutic target database,0.9952096,3,http://bidd.nus.edu.sg/group/ttd/ttd.asp,"HTTPConnectionPool(host='bidd.nus.edu.sg', port=80): Max retries exceeded with url: /group/ttd/ttd.a",,,http://web.archive.org/web/20200209210041/http://bidd.nus.edu.sg:80/group/ttd/ttd.asp,2011-09-24,"Bioinformatics and Drug Design Group, Department of Pharmacy, and Center for Computational Science and Engineering, National University of Singapore, Singapore 117543.; Bioinformatics and Drug Design Group, Department of Pharmacy, and Center for Computational Science and Engineering, National University of Singapore, 117543, Singapore Innovative Drug Research Centre and College of Chemistry and Chemical Engineering, Chongqing University, Chongqing 401331, P. R. China.; Bioinformatics and Drug Design Group, Department of Pharmacy and Center for Computational Science and Engineering, National University of Singapore, Singapore 117543, Singapore.","Chen Y, Chen YZ, Chen Z, Cui X, Fu T, Han B, Li S, Li XX, Li YH, Liu X, Qin C, Shi Z, Song Y, Sun Q, Tang J, Tao L, Tu G, Xu F, Yang F, Yang H, Yang Q, Yu CY, Zeng X, Zhang J, Zhang L, Zhang P, Zhang X, Zhang Y, Zhou J, Zhu F",,,872.0,"Andorra, China, Singapore",therapeutic target database,,ok
"31372645, 31372645",malaria.tools,0.986191,,0.986191,malaria.tools,0.986191,2,http://www.malaria.tools,200,United States,"(38.9072,-77.0369)",,2020-01-01,"School of Biological Sciences, Nanyang Technological University, 60 Nanyang Drive, Singapore 637551, Singapore.; School of Biological Sciences, Nanyang Technological University, 60 Nanyang Drive, Singapore 637551, Singapore.","Mutwil M, Tan QW",,Nanyang Technological University,32.0,Singapore,malaria.tools,,ok
"22908213, 33221922",UCSC,0.79967725,ucsc,0.79967725,,0.79967725,2,http://genome.ucsc.edu,200,United States,"(37.269,-122.0167)",,2012-08-20,"Center for Biomolecular Science and Engineering, University of California, Santa Cruz, 1156 High Street, Santa Cruz, CA 95064, USA. kuhn@soe.ucsc.edu; Genomics Institute, University of California Santa Cruz, Santa Cruz, CA 95064, USA.","Barber GP, Benet-Pagès A, Casper J, Clawson H, Diekhans M, Fernandes JD, Fyfe AC, Haeussler M, Haussler D, Hinrichs AS, Kent WJ, Kuhn RM, Lee BT, Lee CM, Maulding ND, Nassar LR, Navarro Gonzalez J, Powell CC, Raney BJ, Rosenbloom KR, Schmelter D, Speir ML, Zweig AS","090100, 1U41HG010972, 2017-171531, 2018-194093, 2020-0000000026, 5R01HG008742, 5R01HG010329, 5U41HG002371, 5U41HG007234, GC1R-06673-C, P01HG5062, P41HG002371, R00RG2456, R01 HG008742, R01 HG010329, RC2HD064525, U01 HG010971, U01 MH114825, U01DE20057, U01ES017154, U01HG004695, U01MH114825, U41 HG002371, U41 HG007234, U41 HG010972, U41HG004269, U41HG004568","California Institute for Regenerative Medicine, Center for Information Technology Research in the Interest of Society, Howard Hughes Medical Institute, NHGRI NIH HHS, NICHD NIH HHS, NIDCR NIH HHS, NIEHS NIH HHS, NIMH NIH HHS, National Human Genome Research Institute, National Institutes of Health, Silicon Valley Community Foundation, UCSC Baskin Endowed Chair Funds, University of California Office of the President Emergency",1125.0,"Andorra, United States",ucsc,CAPITALIZED,ok
"24271396, 30976793",embl-ebi,0.99455833,embl-ebi,0.99455833,,0.99455833,2,http://www.ebi.ac.uk,200,United Kingdom,"(52.1932,0.1426)",,2013-11-23,"European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Trust Genome Campus, Hinxton, Cambridge CB10 1SD, UK.; European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Trust Genome Campus, Hinxton, Cambridge CB10 1SD, UK.","Apweiler R, Basutkar P, Bergman MT, Birney E, Brooksbank C, Buso N, Finn RD, Gur T, Lee J, Lopez R, Madeira F, Madhusoodanan N, Park YM, Potter SC, Thornton J, Tivey ARN",654039,"European Molecular Biology Laboratory, Wellcome Trust",3010.0,United Kingdom,embl-ebi,,ok
"27899670, 30445434",GWAS,0.87147605,gwas,0.87147605,,0.87147605,2,http://www.ebi.ac.uk/gwas/,200,,,,2016-11-29,"European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridge, CB10 1SD, UK.; European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridge CB10 1SD, UK.","Amode R, Bowler E, Buniello A, Burdett T, Cerezo M, Cunningham F, Flicek P, Gil L, Guillen JA, Hall P, Harris LW, Hastings E, Hayhurst J, Hindorff L, Hindorff LA, Junkins H, MacArthur J, MacArthur JAL, Malangone C, McMahon A, Milano A, Morales J, Mountjoy E, Parkinson H, Pendlington ZM, Riat HS, Sollis E, Suveges D, Trevanion SJ, Vrousgou O, Welter D, Whetzel PL","U41 HG006104, U41 HG007823, U41-HG007823, U54 HG004028","NHGRI NIH HHS, National Institutes of Health, Wellcome Trust",4558.0,United Kingdom,gwas,CAPITALIZED,ok
"25685613, 27899642",CSC,0.7818854,csc,0.7818854,,0.7818854,2,http://genome.ucsc.edu/ebolaPortal/,200,United States,"(37.269,-122.0167)",,2014-11-07,"CBSE, University of California Santa Cruz, Santa Cruz, California, USA.; Genomics Institute, University of California Santa Cruz, Santa Cruz, CA 95064, USA cath@ucsc.edu.","Barber GP, Casper J, Clawson H, Diekhans M, Eisenhart C, Fischer CM, Fujita PA, Gibson D, Gonzalez JN, Guruvadoo L, Haeussler M, Haussler D, Heitner S, Hinrichs AS, Karolchik D, Kent WJ, Kuhn RM, Lee BT, Lee CM, Nejad P, Raney BJ, Rosenbloom KR, Speir ML, Tyner C, Villarreal C, Vivian J, Zweig AS","090100, U24 HG002371, U41 HG002371, U54 HG007990","Howard Hughes Medical Institute, NHGRI NIH HHS",260.0,United States,csc,CAPITALIZED,ok
"24574175, 25159016, 26227301, 25407602, 26351202",proteomexchange,0.6883858,,0.6883858,proteomexchange,0.6883858,5,http://proteomecentral.proteomexchange.org/dataset/PXD000363,200,United States,"(47.3168,-121.9958)",,2014-05-01,"Department of Molecular Biology and Immunology, University of North Texas Health Science Center, Fort Worth, TX, USA.; Departments of Biomedical Sciences, Medical Research Center, Seoul National University College of Medicine, Seoul, Korea; Biomedical Engineering, Medical Research Center, Seoul National University College of Medicine, Seoul, Korea; Institute of Medical & Biological Engineering, Medical Research Center, Seoul National University College of Medicine, Seoul, Korea.; Donnelly Centre for Cellular and Biomolecular Research, University of Toronto, Toronto, ON, Canada.; Biozentrum, University of Basel, Basel, Switzerland; Laboratory of Systems Biology and Genetics, Institute of Bioengineering, School of Life Sciences, Ecole Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland.; Department of Clinical and Experimental Medicine, Cell Biology, Faculty of Medicine and Health Sciences, Linköping University, Linköping, Sweden.","Ahrné E, Apraiz I, Campos A, Cristobal S, Deplancke B, Domonkos I, Emili A, Foltz K, Garcia-Vedrenne AE, Gombos Z, Guo H, Hamelin R, Han D, Isserlin R, Jin J, Kim K, Kim Y, Kis M, Kuzmanov U, Lugowski A, Ma H, Miao Y, Moniatte M, Morada A, Prokai L, Simicevic J, Sun A, Talamantes T, Ughy B, Wan C, Yu J, da Fonseca RR","#10045352, 00007370, 2011-0030740, BK-0031, OTKA K82052, TAMOP 4.2.2.A-11/1/KONV-2012-0047","European Union Seventh Framework Program, Industrial Strategic Technology Development Program, Korea), Korean government [MISP], Marie Curie International Reintegration, Ministry of Knowledge Economy (MKE, National Research Foundation of Korea, Ontario Research Fund, Swiss National Science Foundation, Villum Fonden, Welch Foundation",62.0,"Andorra, Canada, Sweden, Switzerland, United States",proteomexchange,,ok
"29067135, 30088220",braingraph,0.0,,0.0,,0.0,2,http://braingraph.org,200,France,"(48.9742,8.1851)",,2017-06-20,"PIT Bioinformatics Group, Eötvös University, Budapest, 1117 Hungary.; PIT Bioinformatics Group, Eötvös University, H-1117, Budapest, Hungary. szalkai@pitgroup.org.","Grolmusz V, Kerepesi C, Szalkai B, Varga B","LP2012-19/2012, NKFI-126472, U54 MH091657","Emberi Eroforrások Minisztériuma, Magyar Tudományos Akadémia, NIMH NIH HHS, Nemzeti Kutatási és Technológiai Hivatal",32.0,Hungary,,POPULATED_FROM_URL,ok
"23161693, 29140435",HMDB,0.9975249,hmdb,0.9975249,,0.9975249,2,http://www.hmdb.ca,200,Canada,"(45.5029,-73.5723)",,2012-11-17,"Department of Computing Science, University of Alberta, Edmonton, AB, Canada T6G 2E8. david.wishart@ualberta.ca; Department of Biological Sciences University of Alberta, Edmonton, AB T6G 2E9, Canada.","Allen F, Arndt D, Assempour N, Aziat F, Badran H, Berjanskii M, Bjorndahl T, Bouatra S, Djoumbou Y, Dong E, Eisner R, Feunang YD, Grant J, Greiner R, Guo AC, Jewison T, Johnson D, Karu N, Knox C, Li C, Liang K, Liang Y, Liu P, Liu Y, Lo E, Manach C, Mandal R, Marcu A, Neveu V, Perez-Pineiro R, Pon A, Sajed T, Sayeeda Z, Scalbert A, Serra-Cayuela A, Sinelnikov I, Singhal S, Vázquez-Fresno R, Wilson M, Wishart DS, Xia J, Yallou F",001,"Canadian Institutes of Health Research, World Health Organization",4375.0,Canada,hmdb,CAPITALIZED,ok
25157074,mirbase,0.9978651,,0.9978651,mirbase,0.9978651,1,http://www.mirbasetracker.org,"HTTPConnectionPool(host='www.mirbasetracker.org', port=80): Max retries exceeded with url: / (Caused",,,http://web.archive.org/web/20250812183205/http://mirbasetracker.org/,2014-08-25,"Center for Medical Genetics Ghent, Ghent University, Ghent, Belgium.","Anckaert J, Beckers A, Lefever S, Mestdagh P, Ongenaert M, Rihani A, Van Goethem A, Van Peer G, Vandesompele J, Volders PJ, Zeka F",,,63.0,Belgium,mirbase,,ok
