pmid,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,title
36200824,2023-01-01,"Lymphocyte Nuclear Biology, National Institute of Arthritis and Musculoskeletal and Skin Diseases, National Institutes of Health, Bethesda, MD 20892, USA.",Zhao Y,,National Institute of Arthritis and Musculoskeletal and Skin Diseases,7,TFSyntax: a database of transcription factors binding syntax in mammalian genomes.
37166951,2023-07-01,"College of Pharmaceutical Sciences, The Second Affiliated Hospital, Zhejiang University School of Medicine, Zhejiang University, Hangzhou 310058, China.","Wang Y, Chen Z, Pan Z, Huang S, Liu J, Xia W, Zhang H, Zheng M, Li H, Hou T, Zhu F","81872798, LR21H300001, 22220102001, U1909208, 2020C03010, 181201*194232101, 2018QNA7023","National Natural Science Foundation of China, Natural Science Foundation of Zhejiang Province, Alibaba-Zhejiang University Joint Research Center of Future Digital Healthcare, Westlake Laboratory, National Natural Science Foundation of China, National Natural Science Foundation of China, Key R&amp;D Program of Zhejiang Province, Alibaba Cloud, ‘Double Top-Class’ University Project, Fundamental Research Fund for Central Universities, Information Technology Center of Zhejiang University, Ten Thousand Plan",27,RNAincoder: a deep learning-based encoder for RNA and RNA-associated interaction.
35609995,2022-07-01,"Department of Software Engineering, Faculty of Mathematics and Physics, Charles University, Czech Republic.","Jakubec D, Skoda P, Krivak R, Novotny M, Hoksza D","MEYS CR, LM2018131","ELIXIR CZ Research Infrastructure, ELIXIR CZ Research Infrastructure",104,PrankWeb 3: accelerated ligand-binding site predictions for experimental and modelled protein structures.
37649366,2023-08-30,"School of Psychology, University of Nottingham, Nottingham, UK.","van Heuven WJ, Payne JS, Jones MW",,,0,SUBTLEX-CY: A new word frequency database for Welsh.
39550226,2024-09-01,"Department of Physics, School of Science, Tianjin University, No. 92 Weijin Road, Nankai District, Tianjin 300072, China.","Geng YQ, Lai FL, Luo H, Gao F",,,2,Nmix: a hybrid deep learning model for precise prediction of 2'-O-methylation sites based on multi-feature fusion and ensemble learning.
38239810,2023-11-27,"State Key Laboratory of Herbage Improvement and Grassland Agro-ecosystems, College of Pastoral Agriculture Science and Technology, Lanzhou University, Lanzhou 730020, China.","Fang L, Liu T, Li M, Dong X, Han Y, Xu C, Li S, Zhang J, He X, Zhou Q, Luo D, Liu Z","2022ZD040120301, 32201463 and 32201444, XDA26030103","alfalfa breeding project of the Ministry of Science, National Natural Science Foundation of China, Strategic Priority Science and Technology project of the Chinese Academy of Sciences",14,MODMS: a multi-omics database for facilitating biological studies on alfalfa (<i>Medicago sativa</i> L.).
34648031,2022-01-01,"National Center for Advancing Translational Sciences, National Institutes of Health, Rockville, MD, USA.","Siramshetty VB, Grishagin I, Nguyễn ÐT, Peryea T, Skovpen Y, Stroganov O, Katzel D, Sheils T, Jadhav A, Mathé EA, Southall NT",,National Institutes of Health,36,NCATS Inxight Drugs: a comprehensive and curated portal for translational research.
38371639,2023-12-29,"Engineering Laboratory of Genetic Improvement of Horticultural Crops of Shandong Province, College of Horticulture, Qingdao Agricultural University, Qingdao 266109, China.","Yang P, Yuan Y, Yan C, Jia Y, You Q, Da L, Lou A, Lv B, Zhang Z, Liu Y","ZR2020QC070, 32002064, 32170313, and 32000458","Taishan Scholar Foundation of the People’s Government of Shandong Province, Breeding Plan of Shandong Provincial Qingchuang Research Team, Youth Fund of Shandong Natural Science Foundation, National Natural Science Foundation of China",7,AlliumDB: a central portal for comparative and functional genomics in <i>Allium</i>.
37290059,2023-06-01,"Department of Biothermodynamics and Drug Design, Institute of Biotechnology, Life Sciences Center, Vilnius University, Saulėtekio 7, Vilnius LT-10257, Lithuania.","Lingė D, Gedgaudas M, Merkys A, Petrauskas V, Vaitkus A, Grybauskas A, Paketurytė V, Zubrienė A, Zakšauskas A, Mickevičiūtė A, Smirnovienė J, Baranauskienė L, Čapkauskaitė E, Dudutienė V, Urniežius E, Konovalovas A, Kazlauskas E, Shubin K, Schiöth HB, Chen WY, Ladbury JE, Gražulis S, Matulis D",S-LLT-20-2,Lietuvos Mokslo Taryba,12,PLBD: protein-ligand binding database of thermodynamic and kinetic intrinsic parameters.
35844834,2022-01-21,"Univ Lyon, Univ Lyon 1, ENSL, CNRS, LGL-TPE Villeurbanne France.","Mandon L, Beck P, Quantin-Nataf C, Dehouck E, Thollot P, Loizeau D, Volat M","SOLARYS ERC‐CoG201777169, ANR‐18‐ERC1‐000","European Research Council, Agence Nationale de la Recherche",2,ROMA: A Database of Rock Reflectance Spectra for Martian In Situ Exploration.
39111721,2024-08-05,"State Key Laboratory of Reproductive Regulation and Breeding of Grassland Livestock, Institutes of Biomedical Sciences, College of Life Sciences, Inner Mongolia University, Hohhot 010021, PR China; Inner Mongolia International Mongolian Hospital, Hohhot 010065, PR China.","Liang Y, Guo Y, Zhai Y, Zhou J, Yang W, Zuo Y",,,0,Disease trend analysis platform accurately predicts the occurrence of cervical cancer under mixed diseases.
38845051,2024-06-06,"Key Laboratory for the Genetics of Development & Neuropsychiatric Disorders (Ministry of Education), Bio-X Institutes, Shanghai Jiao Tong University, Shanghai, 200240, China.","Cao Y, Tian GG, Hong X, Lu Q, Wei T, Chen HF, Wu J","2022YFA0806301, 21977068, 2020YFA0907701, 22Z033003297, YG2023LC03, 32171242","National Key Research and Development Program of China, National Natural Science Foundation of China, National Key Research and Development Program of China, National Natural Science Foundation of China, Fundamental Research Funds for the Central Universities, Center for HPC at Shanghai Jiao Tong University, National Natural Science Foundation of China",0,Reproductive chemical database: a curated database of chemicals that modulate protein targets regulating important reproductive biological processes.
39663244,2024-11-01,"Institute for Research in Biomedicine (IRB Barcelona), The Barcelona Institute of Science and Technology, Barcelona, 08028, Spain.","Martínez-Millán D, Brando F, L Grau M, Sánchez-Guixé M, López-Elorduy C, Reyes-Salazar I, Deu-Pons J, López-Bigas N, González-Pérez A","101057509, 101057509, 101057509, 682398","European Union’s Horizon Europe programme, European Union's Horizon Europe programme, European Research Council, European Research Council",1,OpenVariant: a toolkit to parse and operate multiple input file formats.
37356904,2023-03-22,"Indian Institute of Science Education and Research, Bhopal, India.","Malwe AS, Srivastava GN, Sharma VK",BT/PR34239/AI/133/23/2019,"Department of Biotechnology, Ministry of Science and Technology, India, Indian Institute of Science Education and Research Bhopal",16,GutBug: A Tool for Prediction of Human Gut Bacteria Mediated Biotransformation of Biotic and Xenobiotic Molecules Using Machine Learning.
39558158,2025-01-01,"Department of Drug Design and Pharmacology, University of Copenhagen, Universitetsparken 2, 2100 Copenhagen, Denmark.","Herrera LPT, Andreassen SN, Caroli J, Rodríguez-Espigares I, Kermani AA, Keserű GM, Kooistra AJ, Pándy-Szekeres G, Gloriam DE","NAP3.0, NNF23OC0082561, R313-2019-526","Hungarian Academy of Sciences, Novo Nordisk Foundation, Lundbeck Foundation",25,"GPCRdb in 2025: adding odorant receptors, data mapper, structure similarity search and models of physiological ligand complexes."
38632050,2024-03-01,"Department of Statistics, Miami University, Oxford, OH 45056, United States.","Lee D, Bacanu SA",,"Shelter Diabetes Research Award, Miami University",4,"GAUSS: a summary-statistics-based R package for accurate estimation of linkage disequilibrium for variants, Gaussian imputation, and TWAS analysis of cosmopolitan cohorts."
34546290,2022-01-01,"College of Information Engineering, Zhejiang University of Technology, Hangzhou 310023, China.","Rao L, Jia NX, Hu J, Yu DJ, Zhang GJ","LY21F020025, BK20201304, 61773346, 62072243, LZ20F030002, 61902352, RF-A20200012, 61772273","Natural Science Foundation of Zhejiang, Natural Science Foundation of Jiangsu, National Natural Science Foundation of China, National Natural Science Foundation of China, Natural Science Foundation of Zhejiang, National Natural Science Foundation of China, Fundamental Research Funds for the Provincial Universities of Zhejiang, National Natural Science Foundation of China",5,ATPdock: a template-based method for ATP-specific protein-ligand docking.
35445695,2022-05-01,"Department of Chemistry, Iowa State University, Ames, 50011 IA, USA.","Badaczewska-Dawid AE, Garcia-Pardo J, Kuriata A, Pujols J, Ventura S, Kmiecik S","PhasAge/H2020-WIDESPREAD-2020-5, PID2019-105017RB-I00, IJC2019-041039-I, 2020/39/B/NZ2/01301","ICREA, ICREA-Academia 2019, EU, Spanish Ministry of Science and Innovation, Spanish Ministry of Science and Innovation with a Juan de la Cierva Incorporacion, Carver Charitable Trust and Iowa State University Foundation, National Science Centre, Poland",8,A3D database: structure-based predictions of protein aggregation for the human proteome.
37930837,2024-01-01,"School of Pharmacy, Hebei Medical University, Shijiazhuang 050017, China.","Zhang Y, Liu X, Li F, Yin J, Yang H, Li X, Liu X, Chai X, Niu T, Zeng S, Jia Q, Zhu F","2020C03010, 21372601D, 82373790, LR21H300001, 181201*194232101, 22220102001, H2021206352, 81872798, U1909208, 2018QNA7023, 2022YFC3400501, H2021206448, 2020C03010, 2022YFC3400501","Key R&amp;D Program of Zhejiang Province, Hebei Provincial Department of Science and Technology, National Natural Science Foundation of China, Natural Science Foundation of Zhejiang Province, Westlake Laboratory (Westlake Laboratory of Life Science &amp; Biomedicine); Alibaba Cloud, Westlake Laboratory (Westlake Laboratory of Life Science & Biomedicine); Alibaba Cloud, The Double Top-Class Universities, National Natural Science Foundation of China, Information Technology Center of Zhejiang University, Leading Talent of the 'Ten Thousand Plan' National High-Level Talents Special Support Plan of China, Natural Science Foundation of Hebei Province, National Natural Science Foundation of China, National Natural Science Foundation of China, Alibaba-Zhejiang University Joint Research Center of Future Digital Healthcare, Fundamental Research Funds for Central Universities, National Key R&amp;D Program of China, Natural Science Foundation of Hebei Province, Key R&D Program of Zhejiang Province, National Key R&D Program of China, Leading Talent of the ‘Ten Thousand Plan’ National High-Level Talents Special Support Plan of China",11,INTEDE 2.0: the metabolic roadmap of drugs.
39703430,2024-12-18,"Institut Pasteur, Université Paris Cité, Bioinformatics and Biostatistics Hub, 28 rue du Dr Roux, F-75015 Paris, France.","Malesys S, Torchet R, Saunier B, Maillet N",,,0,AntiBody Sequence Database.
37648696,2023-08-30,"Department of Gastroenterology, The First Affiliated Hospital of Chengdu Medical College, 278# Bao Guang Road, Xindu District, Chengdu, 610000, Sichuan, People's Republic of China. lij523@mcmaster.ca.","Li J, Wei C, Zhou T, Mo C, Wang G, He F, Wang P, Qin L, Peng F","22NSFSC1601, 19PJ190, 2021-YF05-00975 -SN, 81702446","Department of Science and Technology of Sichuan Province, Scientific Research Project of Health Commission of Sichuan Province, Chengdu Science and Technology Bureau, National Natural Science Foundation of China",0,A display and analysis platform for gut microbiomes of minority people and phenotypic data in China.
36255213,2022-10-01,"Personal Genomics Institute (PGI), Genome Research Foundation (GRF), Cheongju 28190, Republic of Korea.","Kim J, Choi JP, Kim MS, Bhak J","20011684, 20003641","Ministry of Trade, Industry and Energy, Ministry of Trade, Industry and Energy",3,PharmaKoVariome database for supporting genetic testing.
34850118,2022-01-01,"Sequentia Biotech SL, Calle Comte D'Urgell 240, 08036 Barcelona, Spain.","Calle García J, Guadagno A, Paytuvi-Gallart A, Saera-Vila A, Amoroso CG, D'Esposito D, Andolfo G, Aiese Cigliano R, Sanseverino W, Ercolano MR",101000716,"HARNESSTOM, Horizon 2020",50,PRGdb 4.0: an updated database dedicated to genes involved in plant disease resistance process.
34570219,2022-01-01,"Department of Drug Design and Pharmacology, University of Copenhagen, 2100 Copenhagen, Denmark.","Pándy-Szekeres G, Esguerra M, Hauser AS, Caroli J, Munk C, Pilger S, Keserű GM, Kooistra AJ, Gloriam DE","2017-1.2.1-NKP-2017-00002, NNF18OC0031226, R218-2016-1266, NNF18OC0031226, 8021-00173B","Hungarian Brain Research Program, Novo Nordisk Fonden, Lundbeck Foundation, Novo Nordisk Foundation, Independent Research Fund Denmark",63,"The G protein database, GproteinDb."
37850638,2024-01-01,"College of Pharmaceutical Sciences, The First Affiliated Hospital, The Second Affiliated Hospital, Zhejiang University School of Medicine, Zhejiang University, Hangzhou 310058, China.","Zhang Y, Zhou Y, Zhou Y, Yu X, Shen X, Hong Y, Zhang Y, Wang S, Mou M, Zhang J, Tao L, Gao J, Qiu Y, Chen Y, Zhu F","2020C03010, 82373790, 2022YFC3400501, 2022YFC3400501, LR21H300001, 181201*194232101, 2018QNA7023, 81971982, 22220102001, 2020C03010, 81872798, U1909208","Key R&amp;D Program of Zhejiang Province, National Natural Science Foundation of China, Leading Talent of the ‘Ten Thousand Plan’ National High-Level Talents Special Support Plan of China, National Key R&D Program of China, National Key R&amp;D Program of China, Natural Science Foundation of Zhejiang Province, Alibaba Cloud, The Double Top-Class Universities, Fundamental Research Funds for Central Universities, National Natural Science Foundation of China, National Natural Science Foundation of China, Alibaba-Zhejiang University Joint Research Center of Future Digital Healthcare, Leading Talent of the 'Ten Thousand Plan' National High-Level Talents Special Support Plan of China, Westlake Laboratory, Zhejiang University, Key R&D Program of Zhejiang Province, National Natural Science Foundation of China, National Natural Science Foundation of China",32,TheMarker: a comprehensive database of therapeutic biomarkers.
36200814,2023-01-01,"College of Pharmaceutical Sciences, The Second Affiliated Hospital, Zhejiang University School of Medicine, Zhejiang University, Hangzhou 310058, China.","Amahong K, Zhang W, Zhou Y, Zhang S, Yin J, Li F, Xu H, Yan T, Yue Z, Liu Y, Hou T, Qiu Y, Tao L, Han L, Zhu F","181201*194232101, LR21H300001, 2018QNA7023, 2020C03010, U1909208, 81872798","Chinese ‘Double Top-Class’ Universities, Information Tech Center of Zhejiang University, Natural Science Foundation of Zhejiang Province, Fundamental Research Fund of Central University, Key Research and Development Program of Zhejiang Province, National Natural Science Foundation of China, Westlake Laboratory of Life Science &amp; Biomedicine, Alibaba-Zhejiang University Joint Research Center of Future Digital Healthcare, Alibaba Cloud, National Natural Science Foundation of China",14,CovInter: interaction data between coronavirus RNAs and host proteins.
35111182,2022-01-17,"Institute for Integrative Systems Biology (I2SysBio), Universitat de València-CSIC, Valencia, Spain.","Navarro-Payá D, Santiago A, Orduña L, Zhang C, Amato A, D'Inca E, Fattorini C, Pezzotti M, Tornielli GB, Zenoni S, Rustenholz C, Matus JT","201906300087, PRE2019-088044, PGC2018-099449-A-I00, RYC-2017-23645","China Scholarship Council, Agencia Estatal de Investigación, Agencia Estatal de Investigación, Agencia Estatal de Investigación",22,The Grape Gene Reference Catalogue as a Standard Resource for Gene Selection and Genetic Improvement.
35833709,2022-07-14,"www.natalya.com, Cambridge, MA, USA.","Zahn N, James-Zorn C, Ponferrada VG, Adams DS, Grzymkowski J, Buchholz DR, Nascone-Yoder NM, Horb M, Moody SA, Vize PD, Zorn AM","P41 HD064556, R01 HD095937, P40-OD010997, P41 HD064556, T32 GM133366, R24-OD030008, R24 OD030008, P40 OD010997","Eunice Kennedy Shriver National Institute of Child Health and Human Development, NICHD NIH HHS, National Institute of Child Health and Human Development, NICHD NIH HHS, NIGMS NIH HHS, National Institute of Child Health and Human Development, NIH HHS, Cincinnati Children&apos;s Hospital Medical Center, NIH HHS",110,Normal Table of Xenopus development: a new graphical resource.
35133949,2022-01-01,"Department of Informatics and Chemistry, University of Chemistry and Technology, Prague, Czech Republic.","Prihoda D, Maamary J, Waight A, Juan V, Fayadat-Dilman L, Svozil D, Bitton DA",LM2018130,"Merck Sharp &amp; Dohme Corp., a subsidiary of Merck &amp; Co., Inc., Kenilworth, NJ, USA, Ministry of Education, Youth and Sports of the Czech Republic",129,"BioPhi: A platform for antibody design, humanization, and humanness evaluation based on natural antibody repertoires and deep learning."
38277370,2024-01-26,"Department of Molecular Microbiology, Instituto de Biotecnología, Universidad Nacional Autónoma de México, Cuernavaca, Morelos, México.","Dorantes-Torres C, Carrera-Reyna M, Santos W, Sánchez-López R, Merino E",,,0,"PhyloString: A web server designed to identify, visualize, and evaluate functional relationships between orthologous protein groups across different phylogenetic lineages."
39171722,2024-08-27,"Tsukuba Life Science Innovation Program, University of Tsukuba, Tsukuba, Japan.","Liu T, Pan X, Ren L, Ye X, Zheng K, Zhang Y","62202069, 82372244, 2023NSFSC0678","National Natural Science Foundation of China, National Natural Science Foundation of China, Natural Science Foundation of Sichuan Province",0,Mapping autophagy-related membrane contact site proteins and complexes with AutoMCS Navigator.
37340940,2023-06-21,"Department of Archaeology, ArcheOs: Research Laboratory for Biological Anthropology, Ghent University, Ghent, Belgium.","De Groote I, Van de Vijver K, Veselka B, De Potter P, Massagé L, Van der Dooren L, Vandenborre J, Larmuseau MHD, Danckers J, Robberechts B",,,0,"MEMOR: A database of archeological human remains collections from Flanders, Belgium."
39341795,2024-09-01,"Faculty of Computing, Harbin Institute of Technology, Harbin 150001, China.","Guo H, Zhang L, Cui X, Cheng L, Zhao T, Wang Y",,,4,SCancerRNA: Expression at the Single-cell Level and Interaction Resource of Non-coding RNA Biomarkers for Cancers.
39526369,2025-01-01,"Department of Biology, Institute of Microbiology and Swiss Institute of Bioinformatics, ETH Zürich, 8093 Zürich, Switzerland.","Dmitrijeva M, Ruscheweyh HJ, Feer L, Li K, Miravet-Verde S, Sintsova A, Mende DR, Zeller G, Sunagawa S","51NF40_225148, 031A537B, 205321, 201006, 215395, 031L0181A, 205321_184955, 101118531, 184955, 205320_215395, 51NF40_180575, 205320, LT0050/2023-L","NCCR, Federal Ministry of Education and Research, Swiss National Science Foundation, Swiss National Science Foundation, Swiss National Science Foundation, Swiss National Science Foundation, Federal Ministry of Education and Research, ETH Zurich, Swiss National Science Foundation, European Research Council, Swiss National Science Foundation, Swiss National Science Foundation, NCCR, European Molecular Biology Laboratory, Swiss National Science Foundation, Human Frontier Science Program",7,The mOTUs online database provides web-accessible genomic context to taxonomic profiling of microbial communities.
38662570,2024-05-01,"Switch Laboratory, VIB Center for Brain and Disease Research, VIB, 3000 Leuven, Belgium.","Louros N, Rousseau F, Schymkowitz J","G0C3522N, G0C2818N, G0C0320N, R01 AG079234, G053420N","Flanders Institute for Biotechnology, Flanders Institute for Biotechnology, Flanders Institute for Biotechnology, NIA NIH HHS, Flanders Institute for Biotechnology",3,CORDAX web server: an online platform for the prediction and 3D visualization of aggregation motifs in protein sequences.
37994706,2024-01-01,"Osteoarthritis Research Program, Division of Orthopedic Surgery, Schroeder Arthritis Institute, Toronto, Ontario M5T 0S8, Canada.","Pastrello C, Kotlyar M, Abovsky M, Lu R, Jurisica I","RDI 34876, RE010-020, 225404, 203475, 30865","Ontario Research Fund, Ontario Research Fund, Canada Foundation for Innovation, Natural Sciences Research Council, Ian Lawson van Toch Fund, Canada Foundation for Innovation",21,PathDIP 5: improving coverage and making enrichment analysis more biologically meaningful.
40504102,2025-06-12,"Plant Physiology, Department of Organisms and Systems Biology, Faculty of Biology and Biotechnology Institute of Asturias, University of Oviedo, Oviedo, 33071, Spain.","Roces V, Cañal MJ, Mateo JL, Valledor L","PID2019-107107GB-I00, FPU18/02953","Ministerio de Ciencia e Innovación, Ministerio de Universidades",1,Pra-GE-ATLAS: Empowering Pinus radiata stress and breeding research through a multi-omics database.
37933855,2024-01-01,"National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Bethesda, MD, 20892, USA.","Clough E, Barrett T, Wilhite SE, Ledoux P, Evangelista C, Kim IF, Tomashevsky M, Marshall KA, Phillippy KH, Sherman PM, Lee H, Zhang N, Serova N, Wagner L, Zalunin V, Kochergin A, Soboleva A",,"National Center for Biotechnology Information, NIH HHS, National Institutes of Health, National Library of Medicine, NLM NIH HHS",174,NCBI GEO: archive for gene expression and epigenomics data sets: 23-year update.
38776380,2024-05-01,"Institute for Medicinal Plants, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan 430070, China.","Li W, Chen Y, Yang R, Hu Z, Wei S, Hu S, Xiong X, Wang M, Lubeiny A, Li X, Feng M, Dong S, Xie X, Nie C, Zhang J, Luo Y, Zhou Y, Liu R, Pan J, Kong DX, Hu X","SAF202102, 202205AF150004 ZY2023Z005, 2018FY100704, 2020-620-000-002-04, 2022EHB047, 21977033","Shennongjia Academy of Forestry, Hubei, China, Yunnan Science and Technology Program, National Science &amp; Technology Fundamental Resources Investigation Program of China, Hubei Technology Innovation Center for Agricultural Sciences, Program of Hubei Province for International Cooperation, National Natural Science Foundation of China",1,A terpenoids database with the chemical content as a novel agronomic trait.
34792158,2022-01-01,"State Key Laboratory of Rice Biology & Ministry of Agricultural and Rural Affairs Key Laboratory of Molecular Biology of Crop Pathogens and Insect Pests, Institute of Insect Sciences, Zhejiang University, Hangzhou 310058, China.","Mei Y, Jing D, Tang S, Chen X, Chen H, Duanmu H, Cong Y, Chen M, Ye X, Zhou H, He K, Li F","LZ18C060001, 2019YFD1002100, 2019FY100400, 2020QNA6024, 31972354","Zhejiang National Science Foundation of China, National High Technology Research and Development Program of China, National Science &amp; Technology Fundamental Resources Investigation Program of China, Fundamental Research Funds for the Central Universities, National Science Foundation of China",111,InsectBase 2.0: a comprehensive gene resource for insects.
39226898,2024-09-02,"Children's Cancer Institute, Lowy Cancer Research Centre, UNSW Sydney, Sydney, NSW, Australia; School of Clinical Medicine, UNSW Medicine & Health, UNSW Sydney, Sydney, NSW, Australia; UNSW Centre for Childhood Cancer Research, UNSW Sydney, Sydney, NSW, Australia.","Sullivan PJ, Quinn JMW, Wu W, Pinese M, Cowley MJ",1176265,"NSW Health, University of New South Wales, Petre Foundation, University of Sydney, Children&apos;s Medical Research Institute, Fulbright Association, National Health and Medical Research Council, Kids Cancer Alliance, Australian Government, Cancer Australia",9,SpliceVarDB: A comprehensive database of experimentally validated human splicing variants.
34751395,2022-01-01,"National Genomics Data Center & CAS Key Laboratory of Genome Sciences and Information, Beijing Institute of Genomics, Chinese Academy of Sciences, Beijing 100101, China.","Liu L, Li Z, Liu C, Zou D, Li Q, Feng C, Jing W, Luo S, Zhang Z, Ma L","2019104, 32030021, XDB38030400, XDA19050302, 31871328","Youth Innovation Promotion Association of Chinese Academy of Sciences, National Natural Science Foundation of China, Chinese Academy of Sciences, Chinese Academy of Sciences, National Natural Science Foundation of China",26,LncRNAWiki 2.0: a knowledgebase of human long non-coding RNAs with enhanced curation model and database system.
