ID,extracted_url,text,best_common,best_common_prob,best_full,best_full_prob,best_name,best_name_prob,article_count,duplicate_urls,duplicate_names,low_prob,review_low_prob,review_dup_urls,review_dup_names,review_notes_low_prob,review_notes_dup_urls,review_notes_dup_names,publication_date
26980515,http://2p2idb.cnrs-mrs.fr,"2P2Idb v2: update of a structural database dedicated to orthosteric modulation of protein-protein interactions. . 2P2Idb is a hand-curated structural database dedicated to protein-protein interactions with known small molecule orthosteric modulators. It compiles the structural information related to orthosteric inhibitors and their target [i.e. related 3D structures available in the RCSB Protein Data Bank (PDB)] and provides links to other useful databases. 2P2Idb includes all interactions for which both the protein-protein and protein-inhibitor complexes have been structurally characterized. Since its first release in 2010, the database has grown constantly and the current version contains 27 protein-protein complexes and 274 protein-inhibitor complexes corresponding to 242 unique small molecule inhibitors which represent almost a 5-fold increase compared to the previous version. A number of new data have been added, including new protein-protein complexes, binding affinities, molecular descriptors, precalculated interface parameters and links to other webservers. A new query tool has been implemented to search for inhibitors within the database using standard molecular descriptors. A novel version of the 2P2I-inspector tool has been implemented to calculate a series of physical and chemical parameters of the protein interfaces. Several geometrical parameters including planarity, eccentricity and circularity have been added as well as customizable distance cutoffs. This tool has also been extended to protein-ligand interfaces. The 2P2I database thus represents a wealth of structural source of information for scientists interested in the properties of protein-protein interactions and the design of protein-protein interaction modulators. Database URL: http://2p2idb.cnrs-mrs.fr.",2P2Idb,0.997046232,NA,0,2P2Idb,0.997046232,1,23203891,NA,NA,NA,merge on record with best name prob,NA,NA,NA,NA,3/15/2016
27081154,http://3cdb.big.ac.cn,"3CDB: a manually curated database of chromosome conformation capture data. . Chromosome conformation capture (3C) is a biochemical technology to analyse contact frequencies between selected genomic sites in a cell population. Its recent genomic variants, e.g. Hi-C/ chromatin interaction analysis by paired-end tag (ChIA-PET), have enabled the study of nuclear organization at an unprecedented level. However, due to the inherent low resolution and ultrahigh cost of Hi-C/ChIA-PET, 3C is still the gold standard for determining interactions between given regulatory DNA elements, such as enhancers and promoters. Therefore, we developed a database of 3C determined functional chromatin interactions (3CDB;http://3cdb.big.ac.cn). To construct 3CDB, we searched PubMed and Google Scholar with carefully designed keyword combinations and retrieved more than 5000 articles from which we manually extracted 3319 interactions in 17 species. Moreover, we proposed a systematic evaluation scheme for data reliability and classified the interactions into four categories. Contact frequencies are not directly comparable as a result of various modified 3C protocols employed among laboratories. Our evaluation scheme provides a plausible solution to this long-standing problem in the field. A user-friendly web interface was designed to assist quick searches in 3CDB. We believe that 3CDB will provide fundamental information for experimental design and phylogenetic analysis, as well as bridge the gap between molecular and systems biologists who must now contend with noisy high-throughput data.Database URL:http://3cdb.big.ac.cn.",3CDB,0.995992641,NA,0,3CDB,0.995992641,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/14/2016
27694207,http://nucleus3d.cent.uw.edu.pl/influenza,"3DFlu: database of sequence and structural variability of the influenza hemagglutinin at population scale. . The influenza virus type A (IVA) is an important pathogen which is able to cause annual epidemics and even pandemics. This fact is the consequence of the antigenic shifts and drifts capabilities of IVA, caused by the high mutation rate and the reassortment capabilities of the virus. The hemagglutinin (HA) protein constitutes the main IVA antigen and has a crucial role in the infection mechanism, being responsible for the recognition of host-specific sialic acid derivatives. Despite the relative abundance of HA sequence and serological studies, comparative structure-based analysis of HA are less investigated. The 3DFlu database contains well annotated HA representatives: 1192 models and 263 crystallographic structures. The relations between these proteins are defined using different metrics and are visualized as a network in the provided web interface. Moreover structural and sequence comparison of the proteins can be explored. Metadata information (e.g. protein identifier, IVA strain, year and location of infection) can enhance the exploration of the presented data. With our database researchers gain a useful tool for the exploration of high quality HA models, viewing and comparing changes in the HA viral subtypes at several information levels (sequence, structure, ESP). The complete and integrated view of those relations might be useful to determine the efficiency of transmission, pathogenicity and for the investigation of evolutionary tendencies of the influenza virus.Database URL: http://nucleus3d.cent.uw.edu.pl/influenza.",3DFlu,0.99639225,NA,0,3DFlu,0.99639225,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/2/2016
24526713,http://3dgd.biosino.org,"The 3DGD: a database of genome 3D structure. Unlabelled The studies of chromatin 3D structure help us to understand its formation and function. Techniques combining chromosome conformation capture and next generation sequencing can capture chromatin structure information and has been applied to several different species and cell lines. We built 3DGD (3D Genome Database), a database that currently collected Hi-C data on four species, for easy accessing and visualization of chromatin 3D structure data. With the integration of other omics data such as genome-wide protein-DNA-binding data, this data source would be useful for researchers interested in chromatin structure and its biological functions. Availability and implementation The 3DGD v1.1, data browser, downloadable files and documentation are available at: http://3dgd.biosino.org/.",3DGD,0.996886671,Genome Database,0.968708754,3DGD,0.996886671,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/12/2014
24081580,http://3did.irbbarcelona.org,"3did: a catalog of domain-based interactions of known three-dimensional structure. The database of 3D interacting domains (3did, available online for browsing and bulk download at http://3did.irbbarcelona.org) is a catalog of protein-protein interactions for which a high-resolution 3D structure is known. 3did collects and classifies all structural templates of domain-domain interactions in the Protein Data Bank, providing molecular details for such interactions. The current version also includes a pipeline for the discovery and annotation of novel domain-motif interactions. For every interaction, 3did identifies and groups different binding modes by clustering similar interfaces into 'interaction topologies'. By maintaining a constantly updated collection of domain-based structural interaction templates, 3did is a reference source of information for the structural characterization of protein interaction networks. 3did is updated every 6 months.",3did,0.997478525,interacting domains,0.710986495,3did,0.997478525,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/29/2013
29106613,http://kobic.kr/3div,"3DIV: A 3D-genome Interaction Viewer and database. Three-dimensional (3D) chromatin structure is an emerging paradigm for understanding gene regulation mechanisms. Hi-C (high-throughput chromatin conformation capture), a method to detect long-range chromatin interactions, allows extensive genome-wide investigation of 3D chromatin structure. However, broad application of Hi-C data have been hindered by the level of complexity in processing Hi-C data and the large size of raw sequencing data. In order to overcome these limitations, we constructed a database named 3DIV (a 3D-genome Interaction Viewer and database) that provides a list of long-range chromatin interaction partners for the queried locus with genomic and epigenomic annotations. 3DIV is the first of its kind to collect all publicly available human Hi-C data to provide 66 billion uniformly processed raw Hi-C read pairs obtained from 80 different human cell/tissue types. In contrast to other databases, 3DIV uniquely provides normalized chromatin interaction frequencies against genomic distance dependent background signals and a dynamic browsing visualization tool for the listed interactions, which could greatly advance the interpretation of chromatin interactions. '3DIV' is available at http://kobic.kr/3div.",3DIV,0.995887399,3D-genome Interaction Viewer and database,0.817636555,3DIV,0.995887399,1,NA,33245777,NA,NA,NA,"merge all ""dup name"" IDs",NA,NA,URL assoc with best name prob RESOLVES SATISFACTORILY,1/1/2018
33245777,http://3div.kr,"3DIV update for 2021: a comprehensive resource of 3D genome and 3D cancer genome. Three-dimensional (3D) genome organization is tightly coupled with gene regulation in various biological processes and diseases. In cancer, various types of large-scale genomic rearrangements can disrupt the 3D genome, leading to oncogenic gene expression. However, unraveling the pathogenicity of the 3D cancer genome remains a challenge since closer examinations have been greatly limited due to the lack of appropriate tools specialized for disorganized higher-order chromatin structure. Here, we updated a 3D-genome Interaction Viewer and database named 3DIV by uniformly processing ÃÂ¢ÃÂÃÂ¼230 billion raw Hi-C reads to expand our contents to the 3D cancer genome. The updates of 3DIV are listed as follows:ÃÂÃÂ (i) the collection of 401 samples including 220 cancer cell line/tumor Hi-C data, 153 normal cell line/tissue Hi-C data, and 28 promoter capture Hi-C data, (ii) the live interactive manipulation of the 3D cancer genome to simulate the impact of structural variations and (iii) the reconstruction of Hi-C contact maps by user-defined chromosome order to investigate the 3D genome of the complex genomic rearrangement. In summary, the updated 3DIV will be the most comprehensive resource to explore the gene regulatory effects of both the normal and cancer 3D genome. '3DIV' is freely available at http://3div.kr.",3DIV,0.989706784,3D-genome Interaction Viewer and database,0.976927248,3DIV,0.989706784,1,NA,29106613,NA,NA,NA,"merge all ""dup name"" IDs",NA,NA,URL assoc with best name prob RESOLVES SATISFACTORILY,1/1/2021
23293959,"http://www.genome.jp/kegg/compound/, http://www.3dmet.dna.affrc.go.jp","Three-dimensional structure database of natural metabolites (3DMET): a novel database of curated 3D structures. A database of 3D structures of natural metabolites has been developed called 3DMET. During the process of structure conversion from 2D to 3D, we found many structures were misconverted at chiral atoms and bonds. Several popular converters were tested in regard to their conversion accuracy. For verification, three canonical strings were also tested. No procedure could satisfactorily cover all the structures of the natural products. The misconverted structures had to be corrected manually. However, a nonnegligible number of mistakes were also observed even after manual curation, so a self-checking system was developed and introduced to our work flow. Thus, the 3D structures in our 3DMET database were evaluated in two steps: automatically and manually. The current version includes most of the natural products of the KEGG COMPOUND collection [ http://www.genome.jp/kegg/compound/ ] and is searchable by string, value range, and substructure. 3DMET can be accessed via http://www.3dmet.dna.affrc.go.jp/ , which also has detailed manuals.",3DMET,0.974991322,Three-dimensional structure database of natural metabolites,0.861961424,3DMET,0.974991322,1,NA,NA,low_prob_best_name,do not remove,NA,NA,NA,NA,NA,3/7/2013
27789693,http://biotech.bmi.ac.cn/3dsnp,"3DSNP: a database for linking human noncoding SNPs to their three-dimensional interacting genes. The vast noncoding portion of the human genome harbors a rich array of functional elements and disease-causing regulatory variants. Recent high-throughput chromosome conformation capture studies have outlined the principles of these elements interacting and regulating the expression of distal target genes through three-dimensional (3D) chromatin looping. Here we present 3DSNP, an integrated database for annotating human noncoding variants by exploring their roles in the distal interactions between genes and regulatory elements. 3DSNP integrates 3D chromatin interactions, local chromatin signatures in different cell types and linkage disequilibrium (LD) information from the 1000 Genomes Project. 3DSNP provides informative visualization tools to display the integrated local and 3D chromatin signatures and the genetic associations among variants. Data from different functional categories are integrated in a scoring system that quantitatively measures the functionality of SNPs to help select important variants from a large pool. 3DSNP is a valuable resource for the annotation of human noncoding genome sequence and investigating the impact of noncoding variants on clinical phenotypes. The 3DSNP database is available at http://biotech.bmi.ac.cn/3dsnp/.",3DSNP,0.99662596,NA,0,3DSNP,0.99662596,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/26/2016
24700812,http://caps.ncbs.res.in/3pfdbplus,"3PFDB+: improved search protocol and update for the identification of representatives of protein sequence domain families. Protein domain families are usually classified on the basis of similarity of amino acid sequences. Selection of a single representative sequence for each family provides targets for structure determination or modeling and also enables fast sequence searches to associate new members to a family. Such a selection could be challenging since some of these domain families exhibit huge variation depending on the number of members in the family, the average family sequence length or the extent of sequence divergence within a family. We had earlier created 3PFDB database as a repository of best representative sequences, selected from each PFAM domain family on the basis of high coverage. In this study, we have improved the database using more efficient strategies for the initial generation of sequence profiles and implement two independent methods, FASSM and HMMER, for identifying family members. HMMER employs a global sequence similarity search, while FASSM relies on motif identification and matching. This improved and updated database, 3PFDB+ generated in this study, provides representative sequences and profiles for PFAM families, with 13 519 family representatives having more than 90% family coverage. The representative sequence is also highlighted in a two-dimensional plot, which reflects the relative divergence between family members. Representatives belonging to small families with short sequences are mainly associated with low coverage. The set of sequences not recognized by the family representative profiles, highlight several potential false or weak family associations in PFAM. Partial domains and fragments dominate such cases, along with sequences that are highly diverged or different from other family members. Some of these outliers were also predicted to have different secondary structure contents, which reflect different putative structure or functional roles for these domain sequences. Database URL: http://caps.ncbs.res.in/3pfdbplus/.",3PFDB,0.971633414,NA,0,3PFDB,0.971633414,1,NA,NA,low_prob_best_name,remove,NA,NA,FALSE POS: PARTIAL NAME,NA,NA,4/3/2014
31240104,http://jmorp.megabank.tohoku.ac.jp,"3.5KJPNv2: an allele frequency panel of 3552 Japanese individuals including the X chromosome. The first step towards realizing personalized healthcare is to catalog the genetic variations in a population. Since the dissemination of individual-level genomic information is strictly controlled, it will be useful to construct population-level allele frequency panels with easy-to-use interfaces. In the Tohoku Medical Megabank Project, we sequenced nearly 4000 individuals from a Japanese population and constructed an allele frequency panel of 3552 individuals after removing related samples. The panel is called the 3.5KJPNv2. It was constructed by using a standard pipeline including the 1KGP and gnomAD algorithms to reduce technical biases and to allow comparisons to other populations. Our database is the first large-scale panel providing the frequencies of variants present on the X chromosome and on the mitochondria in the Japanese population. All the data are available on our original database at https://jmorp.megabank.tohoku.ac.jp.",5KJPNv2,0.771728354,NA,0,5KJPNv2,0.771728354,1,"29069501.0, 33179747.0",NA,low_prob_best_name,remove,conflicting record(s) to be removed,NA,FALSE POS: PARTIAL NAME,NA,NA,6/18/2019
26490961,http://combio.pl/5srnadb,"5SRNAdb: an information resource for 5S ribosomal RNAs. Ribosomal 5S RNA (5S rRNA) is the ubiquitous RNA component found in the large subunit of ribosomes in all known organisms. Due to its small size, abundance and evolutionary conservation 5S rRNA for many years now is used as a model molecule in studies on RNA structure, RNA-protein interactions and molecular phylogeny. 5SRNAdb (http://combio.pl/5srnadb/) is the first database that provides a high quality reference set of ribosomal 5S RNAs (5S rRNA) across three domains of life. Here, we give an overview of new developments in the database and associated web tools since 2002, including updates to database content, curation processes and user web interfaces.",5SRNAdb,0.94896158,NA,0,5SRNAdb,0.94896158,1,NA,NA,low_prob_best_name,do not remove,NA,NA,NA,NA,NA,10/20/2015
