pmid,title_snippet,agent_score,confidence_level,reasoning,setfit_confidence,ling_score,review_score,agent,agent_sample_size,title,abstract,ling_has_intro_pattern,ling_has_title_pattern,ling_has_url,ling_impl_keywords,ling_usage_keywords,agent2_score,agent2_rationale,expert_score,classification,category,evidence_count,title_match,intro_phrases,has_url,impl_keywords,usage_keywords,has_stats,agent4_score,agent4_notes,notes
31645349,Data sharing for clinical utility.,0.6,medium,Weak intro signals,0.622,1.0,0.6,1,200,,,,,,,,,,,,,,,,,,,,,,
32312123,United to end female genital mutilation: an on line knowledge platform for profe...,0.5,low,Neutral indicators,0.57,2.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
21543452,MemPype: a pipeline for the annotation of eukaryotic membrane proteins.,0.85,high,Resource in title + intro language; Has URL; Named resource in title; Statistical analysis focus,0.69,0.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
32076703,Zygnematophyceae: from living algae collections to the establishment of future m...,0.6,medium,Weak intro signals,0.683,0.0,0.6,1,200,,,,,,,,,,,,,,,,,,,,,,
21713030,The Genomic Standards Consortium.,0.6,medium,Weak intro signals,0.712,0.0,0.6,1,200,,,,,,,,,,,,,,,,,,,,,,
25411633,An effective method of large scale ontology matching.,0.6,medium,Weak intro signals,0.722,0.0,0.6,1,200,,,,,,,,,,,,,,,,,,,,,,
34218521,Anti-SARS-CoV-2 Repurposing Drug Database: Clinical Pharmacology Considerations.,0.4,medium,Resource in title + intro language; Multiple resources mentioned (likely usage),0.512,0.0,0.4,1,200,,,,,,,,,,,,,,,,,,,,,,
23539303,An accessible database for mouse and human whole transcriptome qPCR primers.,0.75,medium,Resource in title + intro language; Weak usage language; Has URL,0.714,2.0,0.75,1,200,,,,,,,,,,,,,,,,,,,,,,
22125386,BFluenza: A Proteomic Database on Bird Flu.,0.5,low,Neutral indicators,0.715,2.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
32804927,In-depth quantitative proteomics uncovers specie-specific metabolic programs in ...,0.7,medium,Some intro signals,0.614,0.0,0.7,1,200,,,,,,,,,,,,,,,,,,,,,,
25407965,Vindel: a simple pipeline for checking indel redundancy.,0.5,low,Neutral indicators,0.654,1.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
29184056,Functional mapping and annotation of genetic associations with FUMA.,0.6,medium,Weak intro signals,0.706,0.0,0.6,1,200,,,,,,,,,,,,,,,,,,,,,,
23650175,The comprehensive antibiotic resistance database.,0.95,high,Resource in title + intro language; Has URL,0.719,2.0,0.95,1,200,,,,,,,,,,,,,,,,,,,,,,
23507027,Population structures in the SARA and SARB reference collections of Salmonella e...,0.5,low,Neutral indicators,0.529,0.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
21791100,Prototype semantic infrastructure for automated small molecule classification an...,0.3,medium,Weak usage language,0.722,0.0,0.3,1,200,,,,,,,,,,,,,,,,,,,,,,
24479419,QTrim: a novel tool for the quality trimming of sequence reads generated using t...,0.3,medium,Weak usage language,0.656,0.0,0.3,1,200,,,,,,,,,,,,,,,,,,,,,,
22870860,Database of DNA polymerases.,0.5,low,Neutral indicators,0.613,0.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
30258452,A Dynamic Co-expression Map of Early Inflorescence Development in <i>Setaria vir...,0.95,high,Resource in title + strong intro language,0.712,2.0,0.95,1,200,,,,,,,,,,,,,,,,,,,,,,
24194668,Herbarium of the university of malaga (Spain): vascular plants collection.,0.5,low,Neutral indicators,0.592,2.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
33507077,Remodeling nanoDESI Platform with Ion Mobility Spectrometry to Expand Protein Co...,0.3,medium,Weak usage language,0.622,0.0,0.3,1,200,,,,,,,,,,,,,,,,,,,,,,
29065853,An optimized approach for annotation of large eukaryotic genomic sequences using...,0.6,medium,Weak intro signals,0.709,0.0,0.6,1,200,,,,,,,,,,,,,,,,,,,,,,
29527758,Toolbox: Creating a systematic database of secretory pathway proteins uncovers n...,0.85,high,Resource in title + intro language,0.678,0.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
34603390,"HandyCNV: Standardized Summary, Annotation, Comparison, and Visualization of Cop...",0.7,medium,Weak intro signals; Named resource in title,0.7,0.0,0.7,1,200,,,,,,,,,,,,,,,,,,,,,,
24785542,A lightweight Web of Things Open Platform to facilitate context data management ...,0.85,high,Resource in title + intro language,0.691,1.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
31921945,A bacterial phyla dataset for protein function prediction.,0.6,medium,Weak intro signals,0.719,0.0,0.6,1,200,,,,,,,,,,,,,,,,,,,,,,
28545396,Transcriptomic resources for the medicinal legume Mucuna pruriens: de novo trans...,0.85,high,Resource in title + intro language,0.568,0.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
22536971,GIDL: a rule based expert system for GenBank Intelligent Data Loading into the M...,0.4,medium,Multiple resources mentioned (likely usage),0.725,1.0,0.4,1,200,,,,,,,,,,,,,,,,,,,,,,
33306802,NPBS database: a chemical data resource with relational data between natural pro...,0.5,low,Neutral indicators,0.718,2.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
29530617,Neural Parallel Engine: A toolbox for massively parallel neural signal processin...,0.95,high,Resource in title + strong intro language,0.713,0.0,0.95,1,200,,,,,,,,,,,,,,,,,,,,,,
24531082,SMAL: A Resource of Spontaneous Mutation Accumulation Lines.,0.95,high,Resource in title + intro language; Has URL,0.703,2.0,0.95,1,200,,,,,,,,,,,,,,,,,,,,,,
30704241,Reversible and Distance-Controllable DNA Scissor: A Regenerated Electrochemilumi...,0.5,low,Neutral indicators,0.596,0.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
31391056,"Architecture and usability of OntoKeeper, an ontology evaluation tool.",0.95,high,Resource in title + strong intro language,0.711,2.0,0.95,1,200,,,,,,,,,,,,,,,,,,,,,,
22154230,MultiBac: expanding the research toolbox for multiprotein complexes.,0.95,high,Resource in title + intro language; Named resource in title,0.676,0.0,0.95,1,200,,,,,,,,,,,,,,,,,,,,,,
31032841,YeasTSS: an integrative web database of yeast transcription start sites.,0.95,high,Resource in title + intro language; Named resource in title,0.715,1.0,0.95,1,200,,,,,,,,,,,,,,,,,,,,,,
25302695,A modular cloning toolbox for the generation of chloroplast transformation vecto...,0.85,high,Resource in title + intro language,0.688,0.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
29855020,A toolbox for discrete modelling of cell signalling dynamics.,0.85,high,Resource in title + intro language,0.724,0.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
23382848,A stochastic model for electron multiplication charge-coupled devices--from theo...,0.6,medium,Weak intro signals,0.693,0.0,0.6,1,200,,,,,,,,,,,,,,,,,,,,,,
33391092,art.pics Database: An Open Access Database for Art Stimuli for Experimental Rese...,0.95,high,Resource in title + intro language; Has URL,0.688,2.0,0.95,1,200,,,,,,,,,,,,,,,,,,,,,,
30170633,Representing vaccine misinformation using ontologies.,0.6,medium,Weak intro signals,0.702,2.0,0.6,1,200,,,,,,,,,,,,,,,,,,,,,,
33511996,"Transcriptome annotation in the cloud: complexity, best practices, and cost.",0.7,medium,Some intro signals,0.624,2.0,0.7,1,200,,,,,,,,,,,,,,,,,,,,,,
22135368,GCAT-SEEKquence: genome consortium for active teaching of undergraduates through...,0.7,medium,Some intro signals,0.658,0.0,0.7,1,200,,,,,,,,,,,,,,,,,,,,,,
33060171,Ultrafast and scalable variant annotation and prioritization with big functional...,0.6,medium,Weak intro signals,0.716,1.0,0.6,1,200,,,,,,,,,,,,,,,,,,,,,,
27021133,Improving Automated Annotation of Benthic Survey Images Using Wide-band Fluoresc...,0.4,medium,Weak intro signals; Weak usage language; Review/guide content,0.565,0.0,0.4,1,200,,,,,,,,,,,,,,,,,,,,,,
34349739,Beyond Taxonomic Identification: Integration of Ecological Responses to a Soil B...,0.25,medium,Resource in title + intro language; Weak usage language; Has URL; Multiple resources mentioned (likely usage); Statistical analysis focus,0.684,0.0,0.25,1,200,,,,,,,,,,,,,,,,,,,,,,
27027346,Towards understanding the lifespan extension by reduced insulin signaling: bioin...,0.5,low,Neutral indicators,0.602,2.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
22981871,The Zebrafish Anatomy Portal: a novel integrated resource to facilitate zebrafis...,0.85,high,Resource in title + intro language,0.711,0.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
31258155,"New UV-source catalogs, UV spectral database, UV variables and science tools fro...",0.85,high,Resource in title + intro language,0.712,2.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
25887686,Wide-coverage relation extraction from MEDLINE using deep syntax.,0.5,low,Neutral indicators,0.716,0.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
33229137,Emerging Perspectives on Resource Tracking and Animal Movement Ecology.,0.85,high,Resource in title + intro language,0.683,2.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
28229023,ToxGen: an improved reference database for the identification of type B-trichoth...,0.8,medium,Resource in title + intro language; Named resource in title; Statistical analysis focus,0.695,0.0,0.8,1,200,,,,,,,,,,,,,,,,,,,,,,
29579071,HMMER Cut-off Threshold Tool (HMMERCTTER): Supervised classification of superfam...,0.95,high,Resource in title + intro language; Has URL,0.717,2.0,0.95,1,200,,,,,,,,,,,,,,,,,,,,,,
29451740,Caveat Usor: Assessing Differences between Major Chemistry Databases.,0.5,low,Neutral indicators,0.666,0.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
33997191,CineScale: A dataset of cinematic shot scale in movies.,0.7,medium,Weak intro signals; Named resource in title,0.713,1.0,0.7,1,200,,,,,,,,,,,,,,,,,,,,,,
23160416,Biocuration workflows and text mining: overview of the BioCreative 2012 Workshop...,0.5,low,Review/guide content,0.678,1.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
32239516,FungalRoot: global online database of plant mycorrhizal associations.,1.0,high,Resource in title + strong intro language; Named resource in title,0.722,2.0,1.0,1,200,,,,,,,,,,,,,,,,,,,,,,
33902433,Advantages of using graph databases to explore chromatin conformation capture ex...,0.5,low,Neutral indicators,0.725,0.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
33449888,Platform for Healthcare Promotion and Cardiovascular Disease Prevention.,0.85,high,Resource in title + intro language,0.656,2.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
30293062,Improvements to the Rice Genome Annotation Through Large-Scale Analysis of RNA-S...,0.5,low,Neutral indicators,0.678,0.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
31035936,Automated assessment of biological database assertions using the scientific lite...,0.65,medium,Resource in title + intro language; Weak usage language,0.705,0.0,0.65,1,200,,,,,,,,,,,,,,,,,,,,,,
24945246,"A digital framework to build, visualize and analyze a gene expression atlas with...",0.65,medium,Resource in title + intro language; Weak usage language,0.711,1.0,0.65,1,200,,,,,,,,,,,,,,,,,,,,,,
34597583,Atlas of clinically distinct cell states and ecosystems across human solid tumor...,0.65,medium,Resource in title + intro language; Weak usage language,0.661,2.0,0.65,1,200,,,,,,,,,,,,,,,,,,,,,,
28763495,DNA barcoding of odonates from the Upper Plata basin: Database creation and gene...,0.85,high,Resource in title + intro language,0.526,2.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
24199189,A guide RNA sequence design platform for the CRISPR/Cas9 system for model organi...,0.5,low,Resource description present; Review/guide content,0.706,2.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
25010449,Metagenomic data utilization and analysis (MEDUSA) and construction of a global ...,0.6,medium,Weak intro signals,0.712,2.0,0.6,1,200,,,,,,,,,,,,,,,,,,,,,,
23145111,"How are academic age, productivity and collaboration related to citing behavior ...",0.5,low,Neutral indicators,0.541,2.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
23500333,DNA barcoding in plants: evolution and applications of in silico approaches and ...,0.15,high,Weak usage language; Statistical analysis focus,0.714,0.0,0.15,1,200,,,,,,,,,,,,,,,,,,,,,,
26262133,TCGA4U: A Web-Based Genomic Analysis Platform To Explore And Mine TCGA Genomic D...,0.5,low,Neutral indicators,0.708,2.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
28241374,Linking above- and belowground traits to soil and climate variables: an integrat...,0.85,high,Resource in title + intro language,0.626,2.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
29245374,"Additions to Idiostolidae <i>in</i> Coscarón (2017) ""A catalogue of the Heteropt...",0.5,low,Neutral indicators,0.579,0.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
34903605,A pan-cancer immunogenomic atlas for immune checkpoint blockade immunotherapy.,0.95,high,Resource in title + intro language; Has URL,0.688,2.0,0.95,1,200,,,,,,,,,,,,,,,,,,,,,,
26481350,The SIDER database of drugs and side effects.,0.5,low,Neutral indicators,0.684,2.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
32797645,Using collections of structural models to predict changes of binding affinity ca...,0.6,medium,Weak intro signals,0.715,0.0,0.6,1,200,,,,,,,,,,,,,,,,,,,,,,
24304899,"SCOPe: Structural Classification of Proteins--extended, integrating SCOP and AST...",0.8,medium,Some intro signals; Has URL,0.718,2.0,0.8,1,200,,,,,,,,,,,,,,,,,,,,,,
31831521,Genome-Wide Analysis of Differential Gene Expression and Splicing in Excitatory ...,0.25,medium,Weak intro signals; Weak usage language; Statistical analysis focus,0.542,1.0,0.25,1,200,,,,,,,,,,,,,,,,,,,,,,
27907895,mutLBSgeneDB: mutated ligand binding site gene DataBase.,0.85,high,Resource in title + strong intro language; Has URL; Statistical analysis focus,0.69,2.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
27632205,Expanding the UniFrac Toolbox.,0.85,high,Resource in title + intro language,0.692,0.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
23912507,"Neuroinformatics Database (NiDB)--a modular, portable database for the storage, ...",0.95,high,Resource in title + strong intro language,0.711,2.0,0.95,1,200,,,,,,,,,,,,,,,,,,,,,,
31004926,Highly stable Ru-complex-grafted 2D metal-organic layer with superior electroche...,0.5,low,Neutral indicators,0.512,1.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
28503356,Towards an Obesity-Cancer Knowledge Base: Biomedical Entity Identification and R...,0.6,medium,Weak intro signals,0.692,0.0,0.6,1,200,,,,,,,,,,,,,,,,,,,,,,
23679342,LIPS database with LIPService: a microscopic image database of intracellular str...,0.4,medium,Resource in title + intro language; Multiple resources mentioned (likely usage),0.711,0.0,0.4,1,200,,,,,,,,,,,,,,,,,,,,,,
23312004,Identification of missing proteins in the neXtProt database and unregistered pho...,0.5,low,Neutral indicators,0.543,0.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
33227425,A collaborative resource platform for non-human primate neuroimaging.,0.85,high,Resource in title + intro language,0.705,2.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
27678076,A drug target slim: using gene ontology and gene ontology annotations to navigat...,0.4,medium,Weak intro signals; Weak usage language; Multiple resources mentioned (likely usage),0.719,2.0,0.4,1,200,,,,,,,,,,,,,,,,,,,,,,
25423910,The Chromosome Counts Database (CCDB) - a community resource of plant chromosome...,0.5,low,Neutral indicators,0.695,0.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
28723579,Elucidating high-dimensional cancer hallmark annotation via enriched ontology.,0.5,low,Neutral indicators,0.704,2.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
31089686,GIDB: a knowledge database for the automated curation and multidimensional analy...,0.85,high,Resource in title + intro language,0.715,0.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
31594953,"The ENERTALK dataset, 15 Hz electricity consumption data from 22 houses in Korea...",0.5,low,Neutral indicators,0.693,0.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
29189001,Searching Online Chemical Data Repositories via the ChemAgora Portal.,0.85,high,Resource in title + intro language,0.689,0.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
24111394,Towards a multi-site international public dataset for the validation of retinal ...,0.5,low,Neutral indicators,0.646,0.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
32822693,A surface metric and software toolbox for EEG electrode grids in the macaque.,0.85,high,Resource in title + intro language,0.703,2.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
26136162,Compound Passport Service: supporting corporate collection owners in open innova...,0.5,low,Neutral indicators,0.708,0.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
31083780,Proposal for a chemically consistent way to annotate ions arising from the analy...,0.85,high,Resource in title + intro language,0.645,0.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
31500643,OPA1: 516 unique variants and 831 patients registered in an updated centralized ...,0.15,high,Weak usage language; Multiple resources mentioned (likely usage); Statistical analysis focus,0.595,1.0,0.15,1,200,,,,,,,,,,,,,,,,,,,,,,
27113915,Hipposeq: a comprehensive RNA-seq database of gene expression in hippocampal pri...,0.75,medium,Resource in title + intro language; Weak usage language; Has URL,0.711,1.0,0.75,1,200,,,,,,,,,,,,,,,,,,,,,,
30135721,"Analysis of a large food chemical database: chemical space, diversity, and compl...",0.5,low,Neutral indicators,0.713,0.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
32958121,Helper virus-free gutless adenovirus (HF-GLAd): a new platform for gene therapy.,0.85,high,Resource in title + intro language,0.54,2.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
31165883,WashU Epigenome Browser update 2019.,1.0,high,Resource in title + strong intro language; Has URL; Named resource in title,0.712,2.0,1.0,1,200,,,,,,,,,,,,,,,,,,,,,,
34710081,Crowdsourcing biocuration: The Community Assessment of Community Annotation with...,0.4,medium,Weak intro signals; Weak usage language,0.719,1.0,0.4,1,200,,,,,,,,,,,,,,,,,,,,,,
31711540,Exploring semantic deep learning for building reliable and reusable one health k...,0.1,high,Strong usage language,0.694,0.0,0.1,1,200,,,,,,,,,,,,,,,,,,,,,,
23092926,DFVF: database of fungal virulence factors.,0.5,low,Neutral indicators,0.719,0.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
30569871,pLoc_bal-mEuk: Predict Subcellular Localization of Eukaryotic Proteins by Genera...,0.5,low,Neutral indicators,0.656,2.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
25406361,IsoSCM: improved and alternative 3' UTR annotation using multiple change-point i...,0.8,medium,Weak intro signals; Has URL; Named resource in title,0.706,2.0,0.8,1,200,,,,,,,,,,,,,,,,,,,,,,
33241205,scREAD: A Single-Cell RNA-Seq Database for Alzheimer's Disease.,0.85,high,Resource in title + intro language,0.684,2.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
21278190,A Ruby API to query the Ensembl database for genomic features.,0.3,medium,Weak usage language,0.708,2.0,0.3,1,200,,,,,,,,,,,,,,,,,,,,,,
34855856,An investigation into the deep learning approach in sentimental analysis using g...,0.6,medium,Weak intro signals,0.665,1.0,0.6,1,200,,,,,,,,,,,,,,,,,,,,,,
26678261,An Ethylmethane Sulfonate Mutant Resource in Pre-Green Revolution Hexaploid Whea...,0.85,high,Resource in title + intro language,0.528,0.0,0.85,1,200,,,,,,,,,,,,,,,,,,,,,,
34097179,"Resolving Human Lactation Heterogeneity Using Single Milk-Derived Cells, a Resou...",0.5,low,Neutral indicators,0.666,0.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
33608948,The Oxford Catalogue of Opioids: A systematic synthesis of opioid drug names and...,0.3,medium,Weak usage language,0.538,1.0,0.3,1,200,,,,,,,,,,,,,,,,,,,,,,
23666724,Algorithms for database-dependent search of MS/MS data.,0.4,medium,Resource in title + strong intro language; Multiple resources mentioned (likely usage),0.71,2.0,0.4,1,200,,,,,,,,,,,,,,,,,,,,,,
29023519,Essential Annotation Schema for Ecology (EASE)-A framework supporting the effici...,0.5,low,Neutral indicators,0.726,0.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
23368412,A computational approach for identifying microRNA-target interactions using high...,0.5,low,Some intro signals; Weak usage language,0.71,0.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
33734353,Leveraging the cell lineage to predict cell-type specificity of regulatory varia...,0.6,medium,Weak intro signals,0.714,2.0,0.6,1,200,,,,,,,,,,,,,,,,,,,,,,
30249455,Seasonal ecology in ice-covered Arctic seas - Considerations for spill response ...,0.6,medium,Weak intro signals,0.559,0.0,0.6,1,200,,,,,,,,,,,,,,,,,,,,,,
26313379,GARN: Sampling RNA 3D Structure Space with Game Theory and Knowledge-Based Scori...,0.7,medium,Weak intro signals; Has URL,0.721,2.0,0.7,1,200,,,,,,,,,,,,,,,,,,,,,,
24364365,Database construction for PromoterCAD: synthetic promoter design for mammals and...,0.5,low,Neutral indicators,0.721,2.0,0.5,1,200,,,,,,,,,,,,,,,,,,,,,,
31245298,Multi-platform Approach for Microbial Biomarker Identification Using <i>Borrelia...,0.3,medium,Weak usage language,0.659,0.0,0.3,1,200,,,,,,,,,,,,,,,,,,,,,,
