"extracted_name","extracted_long","baseline_name","baseline_full","edit_distance","contains","long_sim","match_type","score","confidence"
"MPPD","Medicago PhosphoProtein Database","ppd","plasma proteome database","1","True","0.75","edit_dist=1, contains, long_sim=0.75","1.8","HIGH"
"PIRD","Pan Immune Repertoire Database","ird","influenza research database","1","True","0.7017543859649122","edit_dist=1, contains, long_sim=0.70","1.8","HIGH"
"OCDD","Obesity and Co-morbid Disease Database","cdd","conserved domain database","1","True","0.7301587301587301","edit_dist=1, contains, long_sim=0.73","1.8","HIGH"
"PEPD","Pediatric Ependymoma Protein Database","epd","eukaryotic promoter database","1","True","0.7384615384615385","edit_dist=1, contains, long_sim=0.74","1.8","HIGH"
"PGDB","Pathway-Genome Database","pgdbj","plant genome database japan","1","True","0.76","edit_dist=1, contains, long_sim=0.76","1.8","HIGH"
"OMAP","Oryza Map Alignment Project","map","microrna analysis portal","1","True","0.7058823529411765","edit_dist=1, contains, long_sim=0.71","1.8","HIGH"
"MRDP","Modern Research Data Portal","rdp","ribosomal database project","1","True","0.7547169811320755","edit_dist=1, contains, long_sim=0.75","1.8","HIGH"
"GCOD","GeneChip Oncology Database","cod","crystallography open database","1","True","0.7272727272727273","edit_dist=1, contains, long_sim=0.73","1.8","HIGH"
"HSPW","Human Salivary Proteome Wiki","hsp","human salivary proteome wiki","1","True","1.0","edit_dist=1, contains, long_sim=1.00","1.8","HIGH"
"DSA","Digital Slide Archive","cdsa","cancer digital slide archive","1","True","0.8571428571428571","edit_dist=1, contains, long_sim=0.86","1.8","HIGH"
"PAD","Pluripotent and Differentiation Database","cpad","curated protein aggregation database","1","True","0.7894736842105263","edit_dist=1, contains, long_sim=0.79","1.8","HIGH"
"GDB","Generated Database","mgdb","melanoma gene database","1","True","0.75","edit_dist=1, contains, long_sim=0.75","1.8","HIGH"
"MiGD","Mikan Genome Database","igd","intronless gene database","1","True","0.7555555555555555","edit_dist=1, contains, long_sim=0.76","1.8","HIGH"
"RIDB","Retinal Identification Database","rid","retrovirus integration database","1","True","0.7419354838709677","edit_dist=1, contains, long_sim=0.74","1.8","HIGH"
"PPODB","Plant Phenological Online Database","podb","plant organelles database","1","True","0.7796610169491526","edit_dist=1, contains, long_sim=0.78","1.8","HIGH"
"eHOMD","Expanded Human Oral Microbiome Database","homd","human oral microbiome database","1","True","0.8695652173913043","edit_dist=1, contains, long_sim=0.87","1.8","HIGH"
"DDB","Descriptor Data Bank","eddb","eating disorder database","1","True","0.7727272727272727","edit_dist=1, contains, long_sim=0.77","1.8","HIGH"
"OMD","Ocean Metagenomics Database","omdb","organic materials database","1","True","0.7924528301886793","edit_dist=1, contains, long_sim=0.79","1.8","HIGH"
"CMD","Coral Microbiome Database","lcmd","lung cancer metabolome database","1","True","0.75","edit_dist=1, contains, long_sim=0.75","1.8","HIGH"
"FANTOM","Functional Annotation of the Mammalian Genome","fantom5","functional annotation of the mammalian genome","1","True","1.0","edit_dist=1, contains, long_sim=1.00","1.8","HIGH"
"AMI","Antimicrobial Index","tami","the antimicrobial index","1","True","0.9047619047619048","edit_dist=1, contains, long_sim=0.90","1.8","HIGH"
"MCGD","Maize Cell Genomics Database","mcg","maize cell genomics","1","True","0.8085106382978723","edit_dist=1, contains, long_sim=0.81","1.8","HIGH"
"CEA","Cancer Editome Atlas","tcea","the cancer editome atlas","1","True","0.9090909090909091","edit_dist=1, contains, long_sim=0.91","1.8","HIGH"
"AIR","Atlas of Inflammation Resolution","aair","allergic airway inflammation repository","1","True","0.7323943661971831","edit_dist=1, contains, long_sim=0.73","1.8","HIGH"
"GFD","Glycan Fragment Database","gfdb","glycan fragment database","1","True","1.0","edit_dist=1, contains, long_sim=1.00","1.8","HIGH"
"SUBA","SUBcellular localization database for Arabidopsis proteins","suba3","subcellular location database for arabidopsis proteins","1","True","0.9642857142857143","edit_dist=1, contains, long_sim=0.96","1.8","HIGH"
"AGR","Alliance of Genome Resources","hagr","human ageing genomic resources","1","True","0.7931034482758621","edit_dist=1, contains, long_sim=0.79","1.8","HIGH"
"MEDDB","Medicinal Plant Database","eddb","eating disorder database","1","True","0.7083333333333334","edit_dist=1, contains, long_sim=0.71","1.8","HIGH"
"Cildb","cilia database","ldb","lichen database","2","True","0.8275862068965517","edit_dist=2, contains, long_sim=0.83","1.7","HIGH"
"EDGAR","Enhanced Database for Genome Analysis and Research","dga","disease and gene annotations database","2","True","0.7816091954022989","edit_dist=2, contains, long_sim=0.78","1.7","HIGH"
"CMD","Cysteine Motifs Database","hcmdb","human cancer metastasis database","2","True","0.7142857142857143","edit_dist=2, contains, long_sim=0.71","1.7","HIGH"
"DictDb","Termite and Cockroach Gut Microbiota Database","ctdb","chickpea transcriptome database","2","True","0.7368421052631579","edit_dist=2, contains, long_sim=0.74","1.7","HIGH"
"M-CSA","Mechanism and Catalytic Site Atlas","csa","catalytic site atlas","2","True","0.7407407407407407","edit_dist=2, contains, long_sim=0.74","1.7","HIGH"
"MOPED","Model Organism Protein Expression Database","ped","protein ensemble database","2","True","0.7164179104477612","edit_dist=2, contains, long_sim=0.72","1.7","HIGH"
"dbTF","Database of Transcription Factors","dbtflc","database of transcription factors in lung cancer","2","True","0.8148148148148148","edit_dist=2, contains, long_sim=0.81","1.7","HIGH"
"CAMPR3","Antimicrobial Peptides Database","camp","collection of antimicrobial peptide","2","True","0.7272727272727273","edit_dist=2, contains, long_sim=0.73","1.7","HIGH"
"CAT","Crustacean Annotated Transcriptome","cpcat","chemical/product categories database","2","True","0.7714285714285715","edit_dist=2, contains, long_sim=0.77","1.7","HIGH"
"MSRDB","Mycobacterial Systems Resource Database","srd","staphylococcal regulatory rna database","2","True","0.7532467532467533","edit_dist=2, contains, long_sim=0.75","1.7","HIGH"
"AbDb","Antibody Structure Database","agabdb","antigen-antibody interaction database","2","True","0.71875","edit_dist=2, contains, long_sim=0.72","1.7","HIGH"
"RepoDB","Drug Repositioning Database","podb","plant organelles database","2","True","0.7307692307692307","edit_dist=2, contains, long_sim=0.73","1.7","HIGH"
"OriDB","DNA replication origin database","rid","retrovirus integration database","2","True","0.7419354838709677","edit_dist=2, contains, long_sim=0.74","1.7","HIGH"
"GID","Generalized Invariom Database","dgidb","drug-gene interaction database","2","True","0.7796610169491526","edit_dist=2, contains, long_sim=0.78","1.7","HIGH"
"Hemap","Hematologic Malignancy Map","map","microrna analysis portal","2","True","0.76","edit_dist=2, contains, long_sim=0.76","1.7","HIGH"
"Gene","NCBI Gene Information Resource","ecgene","endometrial cancer gene database","2","True","0.7096774193548387","edit_dist=2, contains, long_sim=0.71","1.7","HIGH"
"MAR","Marine Metagenomics Databases","mardy","mycology antifungal resistance database","2","True","0.7647058823529411","edit_dist=2, contains, long_sim=0.76","1.7","HIGH"
"AID","Animal Images Database","paidb","pathogenicity island database","2","True","0.7450980392156863","edit_dist=2, contains, long_sim=0.75","1.7","HIGH"
"MetIDB","Flavonoid NMR Database","tidb","trained immunity database","2","True","0.723404255319149","edit_dist=2, contains, long_sim=0.72","1.7","HIGH"
"CCF","Common Coordinate Framework","ccfv3","mouse brain common coordinate framework","2","True","0.8181818181818182","edit_dist=2, contains, long_sim=0.82","1.7","HIGH"
"CpGDB","Chloroplast Genomes Database","pgd","pineapple genomics database","2","True","0.7636363636363637","edit_dist=2, contains, long_sim=0.76","1.7","HIGH"
"TTD","Therapeutic target database","ckttd","checkpoint therapeutic target database","2","True","0.8307692307692308","edit_dist=2, contains, long_sim=0.83","1.7","HIGH"
"PeMtb","Peptide Mycobacterium Tuberculosis Database","mtb","mouse tumor biology database","2","True","0.704225352112676","edit_dist=2, contains, long_sim=0.70","1.7","HIGH"
"cpnDB","Chaperonin Database","ndb","nucleome data bank","2","True","0.7027027027027027","edit_dist=2, contains, long_sim=0.70","1.7","HIGH"
"3PFDB+","Protein Family Phylogeny Database Plus","pfdb","protein folding kinetics database","2","True","0.7323943661971831","edit_dist=2, contains, long_sim=0.73","1.7","HIGH"
"TOTDB","Theileria Orientalis Transformation Database","otd","oomycete transcriptomics database","2","True","0.7012987012987013","edit_dist=2, contains, long_sim=0.70","1.7","HIGH"
"TTD","Therapeutic Target Database","ckttd","checkpoint therapeutic target database","2","True","0.8307692307692308","edit_dist=2, contains, long_sim=0.83","1.7","HIGH"
"DREAMER","Database for Emotion Recognition through EEG and ECG","dream","drug response gene expression associated map","2","True","0.7083333333333334","edit_dist=2, contains, long_sim=0.71","1.7","HIGH"
"dbEM","Database of Epigenetic Modifiers","dbemt","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"RiceMetaSysB","Rice Metabolic Systems Biology Database","ricemetasys","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"NPASS","Natural Product Activity and Species Source","pass","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"ncRNAdb","Non-coding RNA Database","lncrnadb","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"LISS","Lung Imaging Signs Database","lis","legume information system","1","True","0.5769230769230769","edit_dist=1, contains","1.5","HIGH"
"RAPID","Rep-seq Analysis Platform with Integrated Database","apid","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"CKDdb","Chronic Kidney Disease Database","kddb","allele frequency net database","1","True","0.6666666666666666","edit_dist=1, contains","1.5","HIGH"
"LMDB","Livestock Metabolome Database","mdb","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"ADH","Adolescent Data Hub","nadh","nicotiana attenuata data hub","1","True","0.6382978723404256","edit_dist=1, contains","1.5","HIGH"
"MODB","Molluscan Mitochondrial Genome Database","fmodb","fmo database","1","True","0.43137254901960786","edit_dist=1, contains","1.5","HIGH"
"WormQTL2","Worm QTL 2.0","wormqtl","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"KMarkerDB","Kazusa Marker Database","markerdb","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"CPE-DB","Chemical Penetration Enhancers Database","pe-db","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"DMDD","Deciphering Mechanisms of Developmental Disorders","dmd","dietary microrna databases","1","True","0.5333333333333333","edit_dist=1, contains","1.5","HIGH"
"SPRD","Surface Plasmon Resonance Database","prd","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"DrugR+","DrugR+","drugr","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"NGDC","National Genomics Data Center","ngd","nelumbo genome database","1","True","0.6923076923076923","edit_dist=1, contains","1.5","HIGH"
"ERA","European Radiobiological Archives","hera","human enhancer rna atlas","1","True","0.5614035087719298","edit_dist=1, contains","1.5","HIGH"
"DGD","Duplicated Genes Database","3dgd","genome database","1","True","0.65","edit_dist=1, contains","1.5","HIGH"
"GOAD","Glia Open Access Database","goa","gene ontology annotation","1","True","0.4897959183673469","edit_dist=1, contains","1.5","HIGH"
"IGDB","IGDB","higdb","haemophilus influenzae genome database","1","True","0.19047619047619047","edit_dist=1, contains","1.5","HIGH"
"HgsDb","Haplogroups Database","gsdb","genome structure database","1","True","0.6222222222222222","edit_dist=1, contains","1.5","HIGH"
"AODN","Australian Ocean Data Network","aod","antioxidant database","1","True","0.6530612244897959","edit_dist=1, contains","1.5","HIGH"
"PRODORIC","Prokaryotic Database Of gene Regulation","prodoric2","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"TMD","Tubulin Mutation Database","ptmd","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"AGD","Aneurysm Gene Database","sagd","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"CCDB","Cell Centered Database","hccdb","carcinoma","1","True","0.3870967741935484","edit_dist=1, contains","1.5","HIGH"
"HNdb","Head and Neck Cancer Database","ndb","nucleome data bank","1","True","0.5957446808510638","edit_dist=1, contains","1.5","HIGH"
"SABRE2","SABRE Database Version 2","sabre","systematic consolidation of arabidopsis and","1","True","0.5373134328358209","edit_dist=1, contains","1.5","HIGH"
"VPODC","Veterans Precision Oncology Data Commons","podc","center","1","True","0.2608695652173913","edit_dist=1, contains","1.5","HIGH"
"2DE-pattern","Two-Dimensional Electrophoresis Pattern Database","de-pattern","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"CircaDB","Circadian Gene Expression Database","circad","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"HIVE","High-performance Integrated Virtual Environment","hived","database","1","True","0.21818181818181817","edit_dist=1, contains","1.5","HIGH"
"TBD","Tartary buckwheat database","tbdb","t-box riboswitch annotation database","1","True","0.6451612903225806","edit_dist=1, contains","1.5","HIGH"
"CCD","Chemical Component Dictionary","ccds","consensus coding sequence","1","True","0.5185185185185185","edit_dist=1, contains","1.5","HIGH"
"LISA","Longitudinal Integrated Database for Health Insurance and Labour Market Studies","lis","legume information system","1","True","0.4230769230769231","edit_dist=1, contains","1.5","HIGH"
"iPathDB","insect pathway database","hipathdb","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"Florabank","Flora Bank","florabank1","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"sRNAdb","Small RNA Database","5srnadb","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"PMDB","PubMed Database Parser","mdb","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"RRMdb","RNA Recognition Motif Database","rmdb","mapping database","1","True","0.6086956521739131","edit_dist=1, contains","1.5","HIGH"
"BLDB","Beta-lactamase database","ldb","lichen database","1","True","0.631578947368421","edit_dist=1, contains","1.5","HIGH"
"MScDB","Mass Spectrometry-centric Database","scdb","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"ISDB","Integration Site Database","tisdb","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"VSeed","Virtual Seed Network Model","seed","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"TCSA","The Cancer Surfaceome Atlas","csa","catalytic site atlas","1","True","0.5957446808510638","edit_dist=1, contains","1.5","HIGH"
"SAPD","Staphylococcus Aureus Peptide Resource","sapdb","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"GVDB","Geminivirus Database","kgvdb","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"SLDB","Speech and Language Database","ldb","lichen database","1","True","0.6511627906976745","edit_dist=1, contains","1.5","HIGH"
"ABC","Aging Brain Cohort","abcd","for antibodies chemically defined","1","True","0.5882352941176471","edit_dist=1, contains","1.5","HIGH"
"HMDB","Human Metabolome Database","mdb","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"CSAR","Community Structure-Activity Resource","csa","catalytic site atlas","1","True","0.5263157894736842","edit_dist=1, contains","1.5","HIGH"
"BCD","Bird Chromosome Database","abcd","for antibodies chemically defined","1","True","0.631578947368421","edit_dist=1, contains","1.5","HIGH"
"MMPdb","Mitochondrial Matrix Proteome Database","mpdb","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"SMTB","Smooth Muscle Transcriptome Browser","mtb","mouse tumor biology database","1","True","0.6666666666666666","edit_dist=1, contains","1.5","HIGH"
"GCGD","Grass Carp Genome Database","cgd","clinical genomic database","1","True","0.6666666666666666","edit_dist=1, contains","1.5","HIGH"
"RPGD","Rhododendron Plant Genome Database","pgd","pineapple genomics database","1","True","0.6885245901639344","edit_dist=1, contains","1.5","HIGH"
"TBDBT","TB Database Template","tbdb","t-box riboswitch annotation database","1","True","0.5357142857142857","edit_dist=1, contains","1.5","HIGH"
"proGenomes","prokaryotic genome annotations resource","progenomes2","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"PRRDB","Pattern Recognition Receptor Database","rrdb","rna-rna docking benchmark","1","True","0.6129032258064516","edit_dist=1, contains","1.5","HIGH"
"ICSD","Inorganic Crystal Structure Database","icsdb","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"GtoPdb","Guide to Pharmacology Database","topdb","topology data bank of transmembrane proteins","1","True","0.6756756756756757","edit_dist=1, contains","1.5","HIGH"
"PICKLE","Protein Interaction CKB Literature-curated Experimental","pickles","crispr knockout","1","True","0.37142857142857144","edit_dist=1, contains","1.5","HIGH"
"SMMDB","Small Molecule Modulator Database","mmdb","magnaporthe oryzae microsatellite database","1","True","0.6933333333333334","edit_dist=1, contains","1.5","HIGH"
"IMP","Integrated Multi-species Prediction Portal","impc","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"LasDB","Laboratory Animal Strain Database","asdb","sinensis omics database","1","True","0.6071428571428571","edit_dist=1, contains","1.5","HIGH"
"DMAP","Drug Map","map","microrna analysis portal","1","True","0.3125","edit_dist=1, contains","1.5","HIGH"
"HISTome2","Histone Proteins Database","histome","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"PASS2","Protein Alignment organized as Structural Superfamilies 2","pass","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"Score","Project Score Database","core","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"ASmiR","Alternative Splicing microRNA Database","pasmir","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"ReCount","RNA-seq Gene Count Resource","recount3","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"PRIMED","Primer Database for Yeast Genes","prime","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"HPMCD","Human-associated and Plant-associated Microbial Communities Database","hpmc","human pan-microbe communities","1","True","0.5979381443298969","edit_dist=1, contains","1.5","HIGH"
"LAMP2","Linking Antimicrobial Peptides Database","lamp","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"AREsite","AU-Rich Element site","aresite2","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"NIF","Neuroscience Information Framework","nifh","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"FRY","Fire Patch Functional Traits Database","fr","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"POGs","POGs","pogs2","putative orthologous groups 2 database","1","True","0.19047619047619047","edit_dist=1, contains","1.5","HIGH"
"TCGD","Tetrahymena Comparative Genomics Database","cgd","clinical genomic database","1","True","0.6363636363636364","edit_dist=1, contains","1.5","HIGH"
"CDB","Complex Database","mcdb","mitotic catastrophe database","1","True","0.6363636363636364","edit_dist=1, contains","1.5","HIGH"
"VICTOR","Virus Classification and Tree Building Online Resource","victors","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"proGenomes","proGenomes","progenomes2","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"ECOD","Evolutionary Classification of Domains Sequence Database","eco","european cancer observatory","1","True","0.5542168674698795","edit_dist=1, contains","1.5","HIGH"
"EDAM","bioinformatics operations ontology","pedam","pediatric disease annotations & medicines","1","True","0.6133333333333333","edit_dist=1, contains","1.5","HIGH"
"NPAtlas","Natural Products Atlas","patlas","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"TMDB","Tea Metabolome Database","mdb","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"HEpD","HEpD","epd","eukaryotic promoter database","1","True","0.1875","edit_dist=1, contains","1.5","HIGH"
"PlaPPISite","Plant Protein-Protein Interaction Site database","lappisite","","1","True","0.0","edit_dist=1, contains","1.5","HIGH"
"PCA","Protein Contacts Atlas","pcat","pdx for childhood cancer therapeutics","1","True","0.576271186440678","edit_dist=1, contains","1.5","HIGH"
"ACOG","Atlas of Genetics and Cytogenetics in Oncology and Haematology","cog","clusters of orthologous genes","1","True","0.5274725274725275","edit_dist=1, contains","1.5","HIGH"
"CNE","Coronavirus Network Explorer","ccnet","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"MIAS","Brussels Mood Inductive Audio Stories Database","miasdb","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"RampDB","Receptor Activity Modifying Protein Database","mpdb","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"RiceDB","Rice Database","rice","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"OCDB","Obsessive-Compulsive Disorder Database","hnocdb","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"PAMDB","Pseudomonas aeruginosa Metabolome Database","mdb","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"POS","Personalized Oncology Suite","jpost","japan proteome","2","True","0.4878048780487805","edit_dist=2, contains","1.4","HIGH"
"PULDB","Polysaccharide Utilization Loci Database","ldb","lichen database","2","True","0.5454545454545454","edit_dist=2, contains","1.4","HIGH"
"KMD","Korean Mutation Database","skmdb","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"NPRDD","National Platform for Rare Diseases Data Registry","prd","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"myChEMBL","My ChEMBL Virtual Machine Database","chembl","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"mentha","Protein Interaction Networks Resource","ment","methylation and expression database of","2","True","0.6133333333333333","edit_dist=2, contains","1.4","HIGH"
"ParaDB","Paracoccidioides Database","radb","database of rheumatoid arthritis-related polymorphisms","2","True","0.5569620253164557","edit_dist=2, contains","1.4","HIGH"
"CarotenoidDB","Carotenoids Database","carotenoid","carotenoid","2","True","0.6666666666666666","edit_dist=2, contains","1.4","HIGH"
"RTPDB","Radiotherapy Prognosis Database","pdb","data bank","2","True","0.4","edit_dist=2, contains","1.4","HIGH"
"DIPP","DIPP","dipper","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"PCOS","Poaceae COSII Database","pcoskb","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"BODB","Brain Operation Database","ribodb","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"GPMDB","Global Proteome Machine Database","mdb","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"BASE","Biomes of Australian Soil Environments","l1base","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"EPR","Environmental Polymorphism Registry","epros","profile suite","2","True","0.4583333333333333","edit_dist=2, contains","1.4","HIGH"
"EBI","European Bioinformatics Institute","chebi","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"ChemDP","Chemical Database of Pakistan","hemd","human epigenetic enzyme and modulator database","2","True","0.6666666666666666","edit_dist=2, contains","1.4","HIGH"
"NeeMDB","Neem Metabolites Database","emdb","electron microscopy data bank","2","True","0.6296296296296297","edit_dist=2, contains","1.4","HIGH"
"pKPDB","Protein pKa Database","pdb","data bank","2","True","0.6206896551724138","edit_dist=2, contains","1.4","HIGH"
"TEA","The Epigenome Atlas","teaas","plants","2","True","0.48","edit_dist=2, contains","1.4","HIGH"
"RDmap","Rare Disease Map","map","microrna analysis portal","2","True","0.6","edit_dist=2, contains","1.4","HIGH"
"RGPDB","Root-associated Genes and Promoters Database","pdb","data bank","2","True","0.3018867924528302","edit_dist=2, contains","1.4","HIGH"
"PMD","Protein Microarray Database","ppmdb","plantpathmarks","2","True","0.4878048780487805","edit_dist=2, contains","1.4","HIGH"
"MAGIC","Maize Gene Expression Compendium","magicdb","mango genetic stocks","2","True","0.5769230769230769","edit_dist=2, contains","1.4","HIGH"
"FeatSNP","Functional and Epigenetic Annotation Tool for SNPs","atsnp","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"RegulatorDB","Yeast Transcriptional Regulation Database","regulator","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"2P2Idb","Protein-Protein Interaction Database","2p2i","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"FADB","Food Additive Database","rtfadb","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"SpliceAid","human splicing factors expression database","spliceaid-f","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"CanvasDB","CanvasDB","canvas","cancer variation","2","True","0.4166666666666667","edit_dist=2, contains","1.4","HIGH"
"PaIntDB","Pseudomonas aeruginosa Interaction Database","intdb","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"MOPED","Multi-omics Profiling Expression Database","ped","protein ensemble database","2","True","0.6666666666666666","edit_dist=2, contains","1.4","HIGH"
"KDB","Kinase Database","bykdb","bacterial protein tyrosine kinase database","2","True","0.5263157894736842","edit_dist=2, contains","1.4","HIGH"
"ZINC20","ZINC Is Not Commercial","zinc","the zebrafish insertion collection","2","True","0.6785714285714286","edit_dist=2, contains","1.4","HIGH"
"CoReCG","Colon-Rectal Cancer Gene Database","core","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"ORD","Open Reaction Database","order","oilseed rape developmental expression resource","2","True","0.5294117647058824","edit_dist=2, contains","1.4","HIGH"
"TADB","Toxin-Antitoxin Database","t1tadb","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"PrenDB","Prenyltransferase Substrate Database","endb","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"HOCTAR","Host and C. elegans microRNA Target Resource","hoctardb","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"MPA","Mitochondrial Protein Atlas","tmpad","transmembrane protein helix-packing database","2","True","0.676056338028169","edit_dist=2, contains","1.4","HIGH"
"MPGDB","Mycobacteriophage Genome Database","pgd","pineapple genomics database","2","True","0.7","edit_dist=2, contains","1.4","HIGH"
"HDACiDB","HDAC Inhibitor Database","acidb","","2","True","0.0","edit_dist=2, contains","1.4","HIGH"
"TEA","Tomato Expression Atlas","teaas","plants","2","True","0.41379310344827586","edit_dist=2, contains","1.4","HIGH"
"GRIN","Glutamate Receptor Ionotropic NMDA Database","grindb","rin database","2","True","0.43636363636363634","edit_dist=2, contains","1.4","HIGH"
