extracted_name,baseline_name,match_type,is_match,score,reasoning,extracted_url,baseline_url,extracted_domain,baseline_domain,edit_distance
pKPDB,pkidb,"edit_dist=1, long_sim=0.72",MAYBE,1.5,"Score=1.5: edit_dist=1, long_sim=0.72",https://pypka.org/pKPDB,http://www.icoa.fr/pkidb,pypka.org,icoa.fr,1.0
GIDB,dgidb,"edit_dist=1, contains",MAYBE,1.5,"Score=1.5: edit_dist=1, contains",,http://dgidb.org,,dgidb.org,1.0
HNdb,hncdb,"edit_dist=1, long_sim=1.00",MAYBE,1.5,"Score=1.5: edit_dist=1, long_sim=1.00",http://www.gencapo.famerp.br/hndb,http://hncdb.cancerbio.info,famerp.br,cancerbio.info,1.0
ConnecTF,collectf,"edit_dist=2, url_path_sim=0.83",MAYBE,1.5,"Score=1.5: edit_dist=2, url_path_sim=0.83",https://ConnecTF.org,http://www.collectf.org,connectf.org,collectf.org,2.0
GVDB,kgvdb,"edit_dist=1, contains",MAYBE,1.5,"Score=1.5: edit_dist=1, contains",http://www.wikigeminivirus.org,http://biomi.cdc.go.kr/KGVDB,wikigeminivirus.org,go.kr,1.0
RRMdb,rmdb,"edit_dist=1, contains",MAYBE,1.5,"Score=1.5: edit_dist=1, contains",,http://rmdb.stanford.edu,,stanford.edu,1.0
LasDB,asdb,"edit_dist=1, contains",MAYBE,1.5,"Score=1.5: edit_dist=1, contains",,http://asdb.jungleran.com,,jungleran.com,1.0
CircaDB,circad,"edit_dist=1, contains",MAYBE,1.5,"Score=1.5: edit_dist=1, contains",http://circadb.org,http://clingen.igib.res.in/circad,circadb.org,res.in,1.0
MScDB,scdb,"edit_dist=1, contains",MAYBE,1.5,"Score=1.5: edit_dist=1, contains",,http://www.stomachcancerdb.org,,stomachcancerdb.org,1.0
ICSD,icsdb,"edit_dist=1, contains",MAYBE,1.5,"Score=1.5: edit_dist=1, contains",,http://www.kobic.re.kr/icsdb,,re.kr,1.0
