pmid,title,has_url,is_bioresource,reason,is_false_positive,confidence,reason,consol_agent_agree,consol_is_fp,consol_reason
22086948,MetaCrop 2.0: managing and exploring information about crop plant metabolism.,True,Y,information,Y,low,Unclear from title but likely not a primary data resource,N,N,Has URL and no strong FP indicators
"29069501, 33179747",jMorp: Japanese Multi Omics Reference Panel.,True,Y,reference panel,Y,low,Unclear from title but likely not a primary data resource,N,N,Has URL and no strong FP indicators
23203890,OrysPSSP: a comparative platform for small secreted proteins from rice and other plants.,True,Y,,Y,medium,Methodology/tool paper despite having URL,N,N,Has URL and no strong FP indicators
"24297252, 26582926, 30418610",eggNOG v4.0: nested orthology inference across 3686 organisms.,True,Y,,Y,low,Unclear from title but likely not a primary data resource,N,N,Has URL and no strong FP indicators
27940610,RPAN: rice pan-genome browser for ∼3000 rice genomes.,True,Y,,Y,low,Unclear from title but likely not a primary data resource,N,N,Has URL and no strong FP indicators
"27076336, 30887928",A Cohesive and Integrated Platform for Immunogenicity Prediction.,True,,,Y,medium,Methodology/tool paper despite having URL,N,N,Has URL and no strong FP indicators
24001185,inTB - a data integration platform for molecular and clinical epidemiological analysis of tuberculosis.,True,Y,,Y,medium,Methodology/tool paper despite having URL,N,N,Has URL and no strong FP indicators
30365026,Victors: a web-based knowledge base of virulence factors in human and animal pathogens.,True,Y,knowledge base,Y,low,Unclear from title but likely not a primary data resource,N,N,Title contains database/resource keyword indicating data collection
24143170,Can inferred provenance and its visualisation be used to detect erroneous annotation? A case study using UniProtKB.,True,,,Y,high,Title focuses on methodology ('can...be used to detect'); case study paper,N,N,Has URL and no strong FP indicators
33449976,rfaRm: An R client-side interface to facilitate the analysis of the Rfam database of RNA families.,False,,,Y,high,Title describes client interface/tool not the database itself; no URL,N,N,Title contains database/resource keyword indicating data collection
22543366,DAVID-WS: a stateful web service to facilitate gene/protein list analysis.,True,,,Y,medium,Title emphasizes 'web service' for analysis not data storage,N,N,Has URL and no strong FP indicators
30235322,GC4S: A bioinformatics-oriented Java software library of reusable graphical user interface components.,True,,,Y,high,Title describes software library not a data resource; focuses on GUI components,N,N,Has URL and no strong FP indicators
29220476,"eGenPub, a text mining system for extending computationally mapped bibliography for UniProt Knowledgebase by capturing centrality.",False,,,Y,high,Title describes 'text mining system' for methodology; no URL,N,N,Title contains database/resource keyword indicating data collection
22753780,AutoBind: automatic extraction of protein-ligand-binding affinity data from biological literature.,True,,,Y,medium,Title emphasizes 'automatic extraction' methodology but has URL suggesting possible database,N,N,Has URL and no strong FP indicators
25326082,"A PDB-wide, evolution-based assessment of protein-protein interfaces.",True,,,Y,medium,Title describes assessment/analysis study not primary resource,N,N,Title contains database/resource keyword indicating data collection
25592564,Cell Index Database (CELLX): a web tool for cancer precision medicine.,False,Y,database,Y,high,Title emphasizes 'tool for' indicating methodology; no URL,N,N,Database keyword present despite lacking URL
25098641,Development of a Smartphone App for a Genetics Website: The Amyotrophic Lateral Sclerosis Online Genetics Database (ALSoD).,False,Y,database,Y,high,Title focuses on 'Development of' app/tool not database itself; no URL,N,N,Title contains database/resource keyword indicating data collection
29892514,Chemical curation to improve data accuracy: recent development of the 3DMET database.,False,,,Y,high,Title focuses on methodology ('curation to improve') not resource description; no URL,N,N,Title contains database/resource keyword indicating data collection
26519408,User Guidelines for the Brassica Database: BRAD.,False,,,Y,high,Title describes 'User Guidelines for' database not database itself; no URL,N,N,Title contains database/resource keyword indicating data collection
27634949,"Verdant: automated annotation, alignment and phylogenetic analysis of whole chloroplast genomes.",True,,,Y,medium,Title emphasizes automated analysis methods though has URL,N,N,Has URL and no strong FP indicators
32810730,Chemical space and diversity of seaweed metabolite database (SWMD): A cheminformatics study.,False,,,Y,medium,Study of a database rather than the database itself; lacks URL,N,N,Title contains database/resource keyword indicating data collection
21554709,PeakRanger: a cloud-enabled peak caller for ChIP-seq data.,True,,,Y,high,Title describes peak caller (methodology tool) not a data resource,N,N,Has URL and no strong FP indicators
34930224,cbpManager: a web application to streamline the integration of clinical and genomic data in cBioPortal to support the Molecular Tumor Board.,True,,,Y,medium,Title describes web application for data integration (tool) not a data resource,N,N,Has URL and no strong FP indicators
31805986,The SMART App: an interactive web application for comprehensive DNA methylation analysis and visualization.,True,,,Y,high,Title describes app/application for analysis and visualization (tool),N,N,Has URL and no strong FP indicators
29168245,Homology-based hydrogen bond information improves crystallographic structures in the PDB.,True,,,Y,medium,Title describes method for improving structures not a standalone database,N,N,Title contains database/resource keyword indicating data collection
28460117,Fast Genome-Wide Functional Annotation through Orthology Assignment by eggNOG-Mapper.,True,,,Y,high,Title describes annotation method/tool ('through' pattern),N,N,Has URL and no strong FP indicators
24779372,Applying genome-wide gene-based expression quantitative trait locus mapping to study population ancestry and pharmacogenetics.,True,,,Y,high,Title describes applying mapping methodology (analysis paper),N,N,Has URL and no strong FP indicators
26758513,CANEapp: a user-friendly application for automated next generation transcriptomic data analysis.,True,,,Y,high,Title describes application for data analysis (tool),N,N,Has URL and no strong FP indicators
26051695,ComiRNet: a web-based system for the analysis of miRNA-gene regulatory networks.,True,,,Y,high,Title describes system for analysis (tool) not a data resource,N,N,Has URL and no strong FP indicators
32315389,HotSpot3D web server: an integrated resource for mutation analysis in protein 3D structures.,True,,,Y,medium,Web server for analysis suggests tool though also resource,N,N,Has URL and no strong FP indicators
31504194,dbgap2x: an R package to explore and extract data from the database of Genotypes and Phenotypes (dbGaP).,True,,,Y,high,R package is software tool to access external database,N,N,Title contains database/resource keyword indicating data collection
25706687,PathVisio 3: an extendable pathway analysis toolbox.,True,,,Y,high,Title describes analysis toolbox (software tool),N,N,Has URL and no strong FP indicators
23630576,CMS: a web-based system for visualization and analysis of genome-wide methylation data of human cancers.,True,,,Y,medium,System for visualization and analysis suggests tool,N,N,Has URL and no strong FP indicators
24912499,REGNET: mining context-specific human transcription networks using composite genomic information.,True,,,Y,medium,Mining networks using information suggests analysis tool,N,N,Has URL and no strong FP indicators
27336457,Using the Semantic Web for Rapid Integration of WikiPathways with Other Biological Online Data Resources.,True,,,Y,high,Title describes integration method not a standalone database,N,N,Has URL and no strong FP indicators
23407358,GROMACS 4.5: a high-throughput and highly parallel open source molecular simulation toolkit.,True,,,Y,high,Title describes simulation toolkit (software tool),N,N,Has URL and no strong FP indicators
"29912385, 29967752",Metaxa2 Database Builder: enabling taxonomic identification from metagenomic or metabarcoding data using any genetic marker.,True,Y,,Y,high,Database Builder is tool for building databases not a database itself,N,N,Title contains database/resource keyword indicating data collection
33655207,TMSNP: a web server to predict pathogenesis of missense mutations in the transmembrane region of membrane proteins.,True,,,Y,high,Web server to predict suggests analysis tool,N,N,Has URL and no strong FP indicators
21337704,GPDE: A biological proteomic database for biomarker discovery and evaluation.,False,Y,,Y,high,Title explicitly contains 'database' but lacks URL which is suspicious,N,N,Title contains database/resource keyword indicating data collection
28438579,The BRENDA enzyme information system-From a database to an expert system.,False,Y,,Y,high,Describes evolution from database to expert system; lacks URL,N,N,Title contains database/resource keyword indicating data collection
30759968,CDRgator: An Integrative Navigator of Cancer Drug Resistance Gene Signatures.,True,,,Y,medium,Navigator suggests analysis tool though may include data,N,N,Has URL and no strong FP indicators
26980514,Effect of database drift on network topology and enrichment analyses: a case study for RegulonDB.,True,,,Y,high,Study analyzing database drift not the database itself,N,N,Title contains database/resource keyword indicating data collection
27551106,PPI4DOCK: large scale assessment of the use of homology models in free docking over more than 1000 realistic targets.,True,,,Y,medium,Title emphasizes assessment/benchmarking rather than data repository focus.,N,N,Has URL and no strong FP indicators
22115179,iRefR: an R package to manipulate the iRefIndex consolidated protein interaction database.,False,,,Y,high,Title describes R package/software tool not a database itself.,N,N,Title contains database/resource keyword indicating data collection
28704821,Application of the DruGeVar Database in Cancer Genomics and Pharmacogenomics.,False,,,Y,high,Title describes application/use of a database not the database itself.,N,N,Title contains database/resource keyword indicating data collection
34147079,ORFik: a comprehensive R toolkit for the analysis of translation.,True,,,Y,high,Title describes an R toolkit/software for analysis not a data resource.,N,N,Has URL and no strong FP indicators
31337975,SAROTUP: a suite of tools for finding potential target-unrelated peptides from phage display data.,True,,,Y,medium,Title emphasizes 'suite of tools' suggesting methodology focus.,N,N,Has URL and no strong FP indicators
29956270,Data Mining: Applying the AD&FTD Mutation Database to Progranulin.,True,,,Y,medium,Title emphasizes data mining application rather than database itself.,N,N,Title contains database/resource keyword indicating data collection
30185512,TaxAss: Leveraging a Custom Freshwater Database Achieves Fine-Scale Taxonomic Resolution.,False,,,Y,high,Title emphasizes methodology for achieving resolution not the database itself.,N,N,Title contains database/resource keyword indicating data collection
26016777,SeqGL Identifies Context-Dependent Binding Signals in Genome-Wide Regulatory Element Maps.,True,,,Y,medium,Title emphasizes identification methodology though includes data component.,N,N,Has URL and no strong FP indicators
26635364,Wasabi: An Integrated Platform for Evolutionary Sequence Analysis and Data Visualization.,True,Y,,Y,medium,Title emphasizes platform for analysis/visualization though includes data component.,N,N,Has URL and no strong FP indicators
32596782,The Human Gene Mutation Database (HGMD<sup>®</sup>): optimizing its use in a clinical diagnostic or research setting.,False,Y,,Y,medium,Title emphasizes optimizing use of database not the database itself.,N,N,Title contains database/resource keyword indicating data collection
34195963,Constructing CircRNA-miRNA-mRNA Regulatory Networks by Using GreenCircRNA Database.,False,,,Y,high,Title emphasizes constructing networks using a database not the database itself.,N,N,Title contains database/resource keyword indicating data collection
28797229,"ODG: Omics database generator - a tool for generating, querying, and analyzing multi-omics comparative databases to facilitate biological understanding.",False,,,Y,high,Title describes a tool for generating databases not a database itself.,N,N,Database keyword present despite lacking URL
32367111,UPCLASS: a deep learning-based classifier for UniProtKB entry publications.,True,,,Y,high,Title describes a classifier tool not a data repository.,N,N,Has URL and no strong FP indicators
27503226,shinyGEO: a web-based application for analyzing gene expression omnibus datasets.,True,,,Y,high,Title describes an application for analyzing data not a data repository.,N,N,Has URL and no strong FP indicators
27153614,Rail-dbGaP: analyzing dbGaP-protected data in the cloud with Amazon Elastic MapReduce.,True,,,Y,high,Title describes a tool for analyzing data not a data repository.,N,N,Title contains database/resource keyword indicating data collection
29854170,Initializing and Growing a Database of Health Information Technology (HIT) Events by Using TF-IDF and Biterm Topic Modeling.,False,,,Y,medium,Title emphasizes methodology for building database not the database itself.,N,N,Title contains database/resource keyword indicating data collection
27716338,Rational design of cancer gene panels with OncoPaD.,True,,,Y,medium,Title emphasizes design methodology though includes database component.,N,N,Has URL and no strong FP indicators
34188160,NOD: a web server to predict New use of Old Drugs to facilitate drug repurposing.,True,,,Y,medium,Title describes a prediction server/tool though may include data.,N,N,Has URL and no strong FP indicators
29472600,PANDA: Protein function prediction using domain architecture and affinity propagation.,True,,,Y,high,Title emphasizes prediction methodology not a data repository.,N,N,Has URL and no strong FP indicators
30305653,GOGO: An improved algorithm to measure the semantic similarity between gene ontology terms.,True,,,Y,high,Title describes an algorithm for measurement not a data repository.,N,N,Has URL and no strong FP indicators
34714871,SpeCollate: Deep cross-modal similarity network for mass spectrometry data based peptide deductions.,True,,,Y,medium,Title emphasizes similarity network/method though includes data.,N,N,Has URL and no strong FP indicators
29309429,ShinyGPA: An interactive visualization toolkit for investigating pleiotropic architecture using GWAS datasets.,True,,,Y,high,Title describes a visualization toolkit not a data repository.,N,N,Has URL and no strong FP indicators
30541431,VarGenius executes cohort-level DNA-seq variant calling and annotation and allows to manage the resulting data through a PostgreSQL database.,False,,,Y,medium,Title emphasizes variant calling tool not the database itself.,N,N,Title contains database/resource keyword indicating data collection
31666118,pTuneos: prioritizing tumor neoantigens from next-generation sequencing data.,True,,,Y,high,Title emphasizes prioritization methodology not a data repository.,N,N,Has URL and no strong FP indicators
22125387,DiseaseComps: a metric that discovers similar diseases based upon common toxicogenomic profiles at CTD.,True,,,Y,medium,Title emphasizes discovery metric though uses database.,N,N,Has URL and no strong FP indicators
31664892,RACS: rapid analysis of ChIP-Seq data for contig based genomes.,True,,,Y,high,Title emphasizes analysis methodology not a data repository.,N,N,Has URL and no strong FP indicators
34194678,WADDAICA: A webserver for aiding protein drug design by artificial intelligence and classical algorithm.,True,Y,,Y,high,Title describes a webserver tool for drug design not a data repository.,N,N,Has URL and no strong FP indicators
29762724,"AAI-profiler: fast proteome-wide exploratory analysis reveals taxonomic identity, misclassification and contamination.",True,,,Y,high,Title describes an analysis tool not a data repository.,N,N,Has URL and no strong FP indicators
28274758,GFD-Net: A novel semantic similarity methodology for the analysis of gene networks.,True,,,Y,medium,Title emphasizes methodology though includes network data component.,N,N,Has URL and no strong FP indicators
22913485,NetiNeti: discovery of scientific names from text using machine learning methods.,True,,,Y,high,Title describes a discovery tool using ML not a data repository.,N,N,Has URL and no strong FP indicators
22761559,ProteinHistorian: tools for the comparative analysis of eukaryote protein origin.,True,,,Y,medium,Title emphasizes tools for analysis though includes data component.,N,N,Has URL and no strong FP indicators
27473391,TopoICSim: a new semantic similarity measure based on gene ontology.,True,,,Y,high,Title describes a similarity measure/algorithm not a data repository.,N,N,Has URL and no strong FP indicators
29390042,"JABAWS 2.2 distributed web services for Bioinformatics: protein disorder, conservation and RNA secondary structure.",True,,,Y,medium,Title describes web services for analysis not a data repository.,N,N,Has URL and no strong FP indicators
30814982,Vgas: A Viral Genome Annotation System.,True,,,Y,high,Title describes an annotation system/tool not a data repository.,N,N,Has URL and no strong FP indicators
29762782,MetaboAnalyst 4.0: towards more transparent and integrative metabolomics analysis.,True,,,Y,medium,Title emphasizes analysis platform though includes data component.,N,N,Has URL and no strong FP indicators
31427293,Validating the AMRFinder Tool and Resistance Gene Database by Using Antimicrobial Resistance Genotype-Phenotype Correlations in a Collection of Isolates.,False,,,Y,high,Title emphasizes validation of a tool not the database itself.,N,N,Title contains database/resource keyword indicating data collection
25541727,ReNE: a cytoscape plugin for regulatory network enhancement.,True,,,Y,high,Title describes a plugin/tool for network analysis not a data repository.,N,N,Has URL and no strong FP indicators
31796060,Text-mining clinically relevant cancer biomarkers for curation into the CIViC database.,True,,,Y,medium,Title emphasizes text-mining methodology not the database itself.,N,N,Title contains database/resource keyword indicating data collection
"30668479, 33410688",TargetDBP: Accurate DNA-Binding Protein Prediction Via Sequence-Based Multi-View Feature Learning.,True,,,Y,high,Title emphasizes prediction methodology not a data repository.,N,N,Has URL and no strong FP indicators
27170236,Advancing Exposure Science through Chemical Data Curation and Integration in the Comparative Toxicogenomics Database.,False,,,Y,medium,Title emphasizes data curation advancement not the database itself.,N,N,Title contains database/resource keyword indicating data collection
28338930,EXPath tool-a system for comprehensively analyzing regulatory pathways and coexpression networks from high-throughput transcriptome data.,True,,,Y,medium,Title emphasizes analysis tool though includes pathway data.,N,N,Has URL and no strong FP indicators
30423080,DREAM-Yara: an exact read mapper for very large databases with short update time.,False,,,Y,high,Title describes a read mapper tool not a data repository itself.,N,N,Title contains database/resource keyword indicating data collection
32522662,NeuroPycon: An open-source python toolbox for fast multi-modal and reproducible brain connectivity pipelines.,True,,,Y,high,Title describes a toolbox for analysis pipelines not a data repository.,N,N,Has URL and no strong FP indicators
30843052,PhenoPro: a novel toolkit for assisting in the diagnosis of Mendelian disease.,True,,,Y,medium,Title describes a toolkit for diagnosis not primarily a data repository.,N,N,Has URL and no strong FP indicators
20857233,BrainKnowledge: a human brain function mapping knowledge-base system.,False,Y,,Y,medium,Title describes a knowledge-base system for mapping not primarily a data repository.,N,N,Title contains database/resource keyword indicating data collection
23116482,CooVar: co-occurring variant analyzer.,True,,,Y,high,Title describes an analyzer tool not a data repository.,N,N,Has URL and no strong FP indicators
22368248,Unipro UGENE: a unified bioinformatics toolkit.,True,,,Y,medium,Title describes a toolkit not primarily a data repository.,N,N,Has URL and no strong FP indicators
22230096,ProFASTA: a pipeline web server for fungal protein scanning with integration of cell surface prediction software.,True,,,Y,medium,Title emphasizes pipeline/scanning tool though includes data component.,N,N,Has URL and no strong FP indicators
"28431131, 31612957",DNAproDB: an interactive tool for structural analysis of DNA-protein complexes.,True,,,N,medium,Title contains database suffix 'DB' but also mentions 'tool for'; database nature indicated by naming.,N,Y,"Title contains methodology pattern ('tool for', 'method for', etc.)"
"30265627, 33313778",VIPERdb: A Tool for Virus Research.,True,Y,DB in name,N,high,Title contains 'db' (database) in name.,N,Y,"Title contains methodology pattern ('tool for', 'method for', etc.)"
"24112409, 30371820",Towards a unified paradigm for sequence-based identification of fungi.,True,,,N,high,UNITE is a fungal database repository.,N,Y,"Title contains methodology pattern ('tool for', 'method for', etc.)"
"27153631, 29186503",MINTbase: a framework for the interactive exploration of mitochondrial and nuclear tRNA fragments.,True,Y,,N,high,Title contains 'base' (database) and describes data exploration.,N,Y,Methodology focus despite database component
"23220694, 26519402",The plant ontology as a tool for comparative plant anatomy and genomic analyses.,True,,,N,medium,Plant Ontology is a data resource; 'as a tool' suggests application.,N,Y,"Title contains methodology pattern ('tool for', 'method for', etc.)"
"24574175, 25159016, 26227301, 25407602, 26351202",Label-free LC-MS/MS identification of phosphatidylglycerol-regulated proteins in Synechocystis sp. PCC6803.,True,,,N,medium,Describes proteomics data in ProteomeXchange repository.,N,Y,"Title contains methodology pattern ('tool for', 'method for', etc.)"
"23088274, 26268340",Computational tools and resources for metabolism-related property predictions. 2. Application to prediction of half-life time in human liver microsomes.,True,,,N,medium,Title contains 'resources'; provides metabolism data.,N,Y,"Title contains methodology pattern ('tool for', 'method for', etc.)"
30841849,"mGAP: the macaque genotype and phenotype resource, a framework for accessing and interpreting macaque variant data, and identifying new models of human disease.",True,Y,,N,high,Title explicitly contains 'resource'.,N,Y,"Title contains methodology pattern ('tool for', 'method for', etc.)"
30152809,FungiDB: An Integrated Bioinformatic Resource for Fungi and Oomycetes.,False,Y,DB in name,N,medium,Title contains 'DB' and 'Resource' but no URL; FungiDB is established database.,N,Y,No URL provided - strong false positive indicator
33685383,lncRNADetector: a bioinformatics pipeline for long non-coding RNA identification and MAPslnc: a repository of medicinal and aromatic plant lncRNAs.,True,,,N,high,Contains database/repository keyword indicating data resource,N,Y,Methodology focus despite database component
29761470,Navigating the i5k Workspace@NAL: A Resource for Arthropod Genomes.,False,,,N,high,Contains database/repository keyword indicating data resource,N,Y,No URL provided - strong false positive indicator
24441647,"An Overview of the Challenges in Designing, Integrating, and Delivering BARD: A Public Chemical-Biology Resource and Query Portal for Multiple Organizations, Locations, and Disciplines.",False,,,N,high,Contains database/repository keyword indicating data resource,N,Y,No URL provided - strong false positive indicator
