extracted_name,extracted_long,baseline_name,baseline_full,edit_distance,contains,long_sim,match_type,score,confidence,is_match,reasoning
RCGD,Roche Cancer Genome Database,cgd,clinical genomic database,1,True,0.7547169811320755,"edit_dist=1, contains, long_sim=0.75",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.75)
MPPD,Medicago PhosphoProtein Database,ppd,plasma proteome database,1,True,0.75,"edit_dist=1, contains, long_sim=0.75",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.75)
PIRD,Pan Immune Repertoire Database,ird,influenza research database,1,True,0.7017543859649122,"edit_dist=1, contains, long_sim=0.70",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.70)
OCDD,Obesity and Co-morbid Disease Database,cdd,conserved domain database,1,True,0.7301587301587301,"edit_dist=1, contains, long_sim=0.73",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.73)
PEPD,Pediatric Ependymoma Protein Database,epd,eukaryotic promoter database,1,True,0.7384615384615385,"edit_dist=1, contains, long_sim=0.74",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.74)
PGDB,Pathway-Genome Database,pgdbj,plant genome database japan,1,True,0.76,"edit_dist=1, contains, long_sim=0.76",1.8,HIGH,Y,"Edit distance 1 with contains match, long_sim=0.76"
OMAP,Oryza Map Alignment Project,map,microrna analysis portal,1,True,0.7058823529411765,"edit_dist=1, contains, long_sim=0.71",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.71)
MRDP,Modern Research Data Portal,rdp,ribosomal database project,1,True,0.7547169811320755,"edit_dist=1, contains, long_sim=0.75",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.75)
GCOD,GeneChip Oncology Database,cod,crystallography open database,1,True,0.7272727272727273,"edit_dist=1, contains, long_sim=0.73",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.73)
HSPW,Human Salivary Proteome Wiki,hsp,human salivary proteome wiki,1,True,1.0,"edit_dist=1, contains, long_sim=1.00",1.8,HIGH,Y,High long form similarity (1.00)
DSA,Digital Slide Archive,cdsa,cancer digital slide archive,1,True,0.8571428571428571,"edit_dist=1, contains, long_sim=0.86",1.8,HIGH,Y,High long form similarity (0.86)
PAD,Pluripotent and Differentiation Database,cpad,curated protein aggregation database,1,True,0.7894736842105263,"edit_dist=1, contains, long_sim=0.79",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.79)
GDB,Generated Database,mgdb,melanoma gene database,1,True,0.75,"edit_dist=1, contains, long_sim=0.75",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.75)
MiGD,Mikan Genome Database,igd,intronless gene database,1,True,0.7555555555555555,"edit_dist=1, contains, long_sim=0.76",1.8,HIGH,Y,"Edit distance 1 with contains match, long_sim=0.76"
RIDB,Retinal Identification Database,rid,retrovirus integration database,1,True,0.7419354838709677,"edit_dist=1, contains, long_sim=0.74",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.74)
PPODB,Plant Phenological Online Database,podb,plant organelles database,1,True,0.7796610169491526,"edit_dist=1, contains, long_sim=0.78",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.78)
eHOMD,Expanded Human Oral Microbiome Database,homd,human oral microbiome database,1,True,0.8695652173913043,"edit_dist=1, contains, long_sim=0.87",1.8,HIGH,Y,High long form similarity (0.87)
DDB,Descriptor Data Bank,eddb,eating disorder database,1,True,0.7727272727272727,"edit_dist=1, contains, long_sim=0.77",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.77)
OMD,Ocean Metagenomics Database,omdb,organic materials database,1,True,0.7924528301886793,"edit_dist=1, contains, long_sim=0.79",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.79)
CMD,Coral Microbiome Database,lcmd,lung cancer metabolome database,1,True,0.75,"edit_dist=1, contains, long_sim=0.75",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.75)
FANTOM,Functional Annotation of the Mammalian Genome,fantom5,functional annotation of the mammalian genome,1,True,1.0,"edit_dist=1, contains, long_sim=1.00",1.8,HIGH,Y,Version difference: fantom vs fantom5
AMI,Antimicrobial Index,tami,the antimicrobial index,1,True,0.9047619047619048,"edit_dist=1, contains, long_sim=0.90",1.8,HIGH,Y,High long form similarity (0.90)
MCGD,Maize Cell Genomics Database,mcg,maize cell genomics,1,True,0.8085106382978723,"edit_dist=1, contains, long_sim=0.81",1.8,HIGH,Y,"Edit distance 1 with contains match, long_sim=0.81"
CEA,Cancer Editome Atlas,tcea,the cancer editome atlas,1,True,0.9090909090909092,"edit_dist=1, contains, long_sim=0.91",1.8,HIGH,Y,High long form similarity (0.91)
AIR,Atlas of Inflammation Resolution,aair,allergic airway inflammation repository,1,True,0.7323943661971831,"edit_dist=1, contains, long_sim=0.73",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.73)
GFD,Glycan Fragment Database,gfdb,glycan fragment database,1,True,1.0,"edit_dist=1, contains, long_sim=1.00",1.8,HIGH,Y,High long form similarity (1.00)
SUBA,SUBcellular localization database for Arabidopsis proteins,suba3,subcellular location database for arabidopsis proteins,1,True,0.9642857142857144,"edit_dist=1, contains, long_sim=0.96",1.8,HIGH,Y,Version difference: suba vs suba3
AGR,Alliance of Genome Resources,hagr,human ageing genomic resources,1,True,0.7931034482758621,"edit_dist=1, contains, long_sim=0.79",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.79)
MEDDB,Medicinal Plant Database,eddb,eating disorder database,1,True,0.7083333333333334,"edit_dist=1, contains, long_sim=0.71",1.8,HIGH,N,Different databases with similar acronyms (long_sim=0.71)
Cildb,cilia database,ldb,lichen database,2,True,0.8275862068965517,"edit_dist=2, contains, long_sim=0.83",1.7,HIGH,N,"Borderline case with long_sim=0.83, likely different"
EDGAR,Enhanced Database for Genome Analysis and Research,dga,disease and gene annotations database,2,True,0.7816091954022989,"edit_dist=2, contains, long_sim=0.78",1.7,HIGH,N,Different databases with similar acronyms (long_sim=0.78)
CMD,Cysteine Motifs Database,hcmdb,human cancer metastasis database,2,True,0.7142857142857143,"edit_dist=2, contains, long_sim=0.71",1.7,HIGH,N,Different databases with similar acronyms (long_sim=0.71)
DictDb,Termite and Cockroach Gut Microbiota Database,ctdb,chickpea transcriptome database,2,True,0.7368421052631579,"edit_dist=2, contains, long_sim=0.74",1.7,HIGH,N,"Low long form similarity (0.74), likely different databases"
M-CSA,Mechanism and Catalytic Site Atlas,csa,catalytic site atlas,2,True,0.7407407407407407,"edit_dist=2, contains, long_sim=0.74",1.7,HIGH,N,"Low long form similarity (0.74), likely different databases"
MOPED,Model Organism Protein Expression Database,ped,protein ensemble database,2,True,0.7164179104477612,"edit_dist=2, contains, long_sim=0.72",1.7,HIGH,N,Different databases with similar acronyms (long_sim=0.72)
dbTF,Database of Transcription Factors,dbtflc,database of transcription factors in lung cancer,2,True,0.8148148148148148,"edit_dist=2, contains, long_sim=0.81",1.7,HIGH,N,"Borderline case with long_sim=0.81, likely different"
CAMPR3,Antimicrobial Peptides Database,camp,collection of antimicrobial peptide,2,True,0.7272727272727273,"edit_dist=2, contains, long_sim=0.73",1.7,HIGH,N,"Low long form similarity (0.73), likely different databases"
CAT,Crustacean Annotated Transcriptome,cpcat,chemical/product categories database,2,True,0.7714285714285715,"edit_dist=2, contains, long_sim=0.77",1.7,HIGH,N,Different databases with similar acronyms (long_sim=0.77)
MSRDB,Mycobacterial Systems Resource Database,srd,staphylococcal regulatory rna database,2,True,0.7532467532467533,"edit_dist=2, contains, long_sim=0.75",1.7,HIGH,N,Different databases with similar acronyms (long_sim=0.75)
AbDb,Antibody Structure Database,agabdb,antigen-antibody interaction database,2,True,0.71875,"edit_dist=2, contains, long_sim=0.72",1.7,HIGH,N,"Low long form similarity (0.72), likely different databases"
RepoDB,Drug Repositioning Database,podb,plant organelles database,2,True,0.7307692307692307,"edit_dist=2, contains, long_sim=0.73",1.7,HIGH,N,"Low long form similarity (0.73), likely different databases"
OriDB,DNA replication origin database,rid,retrovirus integration database,2,True,0.7419354838709677,"edit_dist=2, contains, long_sim=0.74",1.7,HIGH,N,Different databases with similar acronyms (long_sim=0.74)
GID,Generalized Invariom Database,dgidb,drug-gene interaction database,2,True,0.7796610169491526,"edit_dist=2, contains, long_sim=0.78",1.7,HIGH,N,Different databases with similar acronyms (long_sim=0.78)
Hemap,Hematologic Malignancy Map,map,microrna analysis portal,2,True,0.76,"edit_dist=2, contains, long_sim=0.76",1.7,HIGH,N,Different databases with similar acronyms (long_sim=0.76)
Gene,NCBI Gene Information Resource,ecgene,endometrial cancer gene database,2,True,0.7096774193548387,"edit_dist=2, contains, long_sim=0.71",1.7,HIGH,N,"Low long form similarity (0.71), likely different databases"
MAR,Marine Metagenomics Databases,mardy,mycology antifungal resistance database,2,True,0.7647058823529411,"edit_dist=2, contains, long_sim=0.76",1.7,HIGH,N,Different databases with similar acronyms (long_sim=0.76)
AID,Animal Images Database,paidb,pathogenicity island database,2,True,0.7450980392156863,"edit_dist=2, contains, long_sim=0.75",1.7,HIGH,N,Different databases with similar acronyms (long_sim=0.75)
MetIDB,Flavonoid NMR Database,tidb,trained immunity database,2,True,0.723404255319149,"edit_dist=2, contains, long_sim=0.72",1.7,HIGH,N,"Low long form similarity (0.72), likely different databases"
CCF,Common Coordinate Framework,ccfv3,mouse brain common coordinate framework,2,True,0.8181818181818182,"edit_dist=2, contains, long_sim=0.82",1.7,HIGH,N,"Borderline case with long_sim=0.82, likely different"
CpGDB,Chloroplast Genomes Database,pgd,pineapple genomics database,2,True,0.7636363636363637,"edit_dist=2, contains, long_sim=0.76",1.7,HIGH,N,Different databases with similar acronyms (long_sim=0.76)
TTD,Therapeutic target database,ckttd,checkpoint therapeutic target database,2,True,0.8307692307692308,"edit_dist=2, contains, long_sim=0.83",1.7,HIGH,N,"Borderline case with long_sim=0.83, likely different"
PeMtb,Peptide Mycobacterium Tuberculosis Database,mtb,mouse tumor biology database,2,True,0.704225352112676,"edit_dist=2, contains, long_sim=0.70",1.7,HIGH,N,Different databases with similar acronyms (long_sim=0.70)
cpnDB,Chaperonin Database,ndb,nucleome data bank,2,True,0.7027027027027027,"edit_dist=2, contains, long_sim=0.70",1.7,HIGH,N,Different databases with similar acronyms (long_sim=0.70)
3PFDB+,Protein Family Phylogeny Database Plus,pfdb,protein folding kinetics database,2,True,0.7323943661971831,"edit_dist=2, contains, long_sim=0.73",1.7,HIGH,N,"Low long form similarity (0.73), likely different databases"
TOTDB,Theileria Orientalis Transformation Database,otd,oomycete transcriptomics database,2,True,0.7012987012987013,"edit_dist=2, contains, long_sim=0.70",1.7,HIGH,N,Different databases with similar acronyms (long_sim=0.70)
TTD,Therapeutic Target Database,ckttd,checkpoint therapeutic target database,2,True,0.8307692307692308,"edit_dist=2, contains, long_sim=0.83",1.7,HIGH,N,"Borderline case with long_sim=0.83, likely different"
DREAMER,Database for Emotion Recognition through EEG and ECG,dream,drug response gene expression associated map,2,True,0.7083333333333334,"edit_dist=2, contains, long_sim=0.71",1.7,HIGH,N,"Low long form similarity (0.71), likely different databases"
dbEM,Database of Epigenetic Modifiers,dbemt,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
RiceMetaSysB,Rice Metabolic Systems Biology Database,ricemetasys,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
NPASS,Natural Product Activity and Species Source,pass,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
ncRNAdb,Non-coding RNA Database,lncrnadb,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
LISS,Lung Imaging Signs Database,lis,legume information system,1,True,0.5769230769230769,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.58)
RAPID,Rep-seq Analysis Platform with Integrated Database,apid,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
CKDdb,Chronic Kidney Disease Database,kddb,allele frequency net database,1,True,0.6666666666666666,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.67)
LMDB,Livestock Metabolome Database,mdb,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
ADH,Adolescent Data Hub,nadh,nicotiana attenuata data hub,1,True,0.6382978723404256,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.64)
MODB,Molluscan Mitochondrial Genome Database,fmodb,fmo database,1,True,0.4313725490196078,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.43)
WormQTL2,Worm QTL 2.0,wormqtl,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,Version difference: wormqtl2 vs wormqtl
KMarkerDB,Kazusa Marker Database,markerdb,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
CPE-DB,Chemical Penetration Enhancers Database,pe-db,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
DMDD,Deciphering Mechanisms of Developmental Disorders,dmd,dietary microrna databases,1,True,0.5333333333333333,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.53)
SPRD,Surface Plasmon Resonance Database,prd,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
DrugR+,DrugR+,drugr,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
NGDC,National Genomics Data Center,ngd,nelumbo genome database,1,True,0.6923076923076923,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.69)
ERA,European Radiobiological Archives,hera,human enhancer rna atlas,1,True,0.5614035087719298,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.56)
DGD,Duplicated Genes Database,3dgd,genome database,1,True,0.65,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.65)
GOAD,Glia Open Access Database,goa,gene ontology annotation,1,True,0.4897959183673469,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.49)
IGDB,IGDB,higdb,haemophilus influenzae genome database,1,True,0.1904761904761904,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.19)
HgsDb,Haplogroups Database,gsdb,genome structure database,1,True,0.6222222222222222,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.62)
AODN,Australian Ocean Data Network,aod,antioxidant database,1,True,0.6530612244897959,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.65)
PRODORIC,Prokaryotic Database Of gene Regulation,prodoric2,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,Version difference: prodoric vs prodoric2
TMD,Tubulin Mutation Database,ptmd,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
AGD,Aneurysm Gene Database,sagd,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
CCDB,Cell Centered Database,hccdb,carcinoma,1,True,0.3870967741935484,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.39)
HNdb,Head and Neck Cancer Database,ndb,nucleome data bank,1,True,0.5957446808510638,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.60)
SABRE2,SABRE Database Version 2,sabre,systematic consolidation of arabidopsis and,1,True,0.5373134328358209,"edit_dist=1, contains",1.5,HIGH,Y,Version difference: sabre2 vs sabre
VPODC,Veterans Precision Oncology Data Commons,podc,center,1,True,0.2608695652173913,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.26)
2DE-pattern,Two-Dimensional Electrophoresis Pattern Database,de-pattern,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
CircaDB,Circadian Gene Expression Database,circad,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
HIVE,High-performance Integrated Virtual Environment,hived,database,1,True,0.2181818181818181,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.22)
TBD,Tartary buckwheat database,tbdb,t-box riboswitch annotation database,1,True,0.6451612903225806,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.65)
CCD,Chemical Component Dictionary,ccds,consensus coding sequence,1,True,0.5185185185185185,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.52)
LISA,Longitudinal Integrated Database for Health Insurance and Labour Market Studies,lis,legume information system,1,True,0.4230769230769231,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.42)
iPathDB,insect pathway database,hipathdb,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
Florabank,Flora Bank,florabank1,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,Version difference: florabank vs florabank1
sRNAdb,Small RNA Database,5srnadb,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
PMDB,PubMed Database Parser,mdb,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
RRMdb,RNA Recognition Motif Database,rmdb,mapping database,1,True,0.6086956521739131,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.61)
BLDB,Beta-lactamase database,ldb,lichen database,1,True,0.631578947368421,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.63)
MScDB,Mass Spectrometry-centric Database,scdb,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
ISDB,Integration Site Database,tisdb,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
VSeed,Virtual Seed Network Model,seed,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
TCSA,The Cancer Surfaceome Atlas,csa,catalytic site atlas,1,True,0.5957446808510638,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.60)
SAPD,Staphylococcus Aureus Peptide Resource,sapdb,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
GVDB,Geminivirus Database,kgvdb,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
SLDB,Speech and Language Database,ldb,lichen database,1,True,0.6511627906976745,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.65)
ABC,Aging Brain Cohort,abcd,for antibodies chemically defined,1,True,0.5882352941176471,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.59)
HMDB,Human Metabolome Database,mdb,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
CSAR,Community Structure-Activity Resource,csa,catalytic site atlas,1,True,0.5263157894736842,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.53)
BCD,Bird Chromosome Database,abcd,for antibodies chemically defined,1,True,0.631578947368421,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.63)
MMPdb,Mitochondrial Matrix Proteome Database,mpdb,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
SMTB,Smooth Muscle Transcriptome Browser,mtb,mouse tumor biology database,1,True,0.6666666666666666,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.67)
GCGD,Grass Carp Genome Database,cgd,clinical genomic database,1,True,0.6666666666666666,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.67)
RPGD,Rhododendron Plant Genome Database,pgd,pineapple genomics database,1,True,0.6885245901639344,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.69)
TBDBT,TB Database Template,tbdb,t-box riboswitch annotation database,1,True,0.5357142857142857,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.54)
proGenomes,prokaryotic genome annotations resource,progenomes2,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,Version difference: progenomes vs progenomes2
PRRDB,Pattern Recognition Receptor Database,rrdb,rna-rna docking benchmark,1,True,0.6129032258064516,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.61)
ICSD,Inorganic Crystal Structure Database,icsdb,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
GtoPdb,Guide to Pharmacology Database,topdb,topology data bank of transmembrane proteins,1,True,0.6756756756756757,"edit_dist=1, contains",1.5,HIGH,N,"Low long form similarity (0.68), likely different databases"
PICKLE,Protein Interaction CKB Literature-curated Experimental,pickles,crispr knockout,1,True,0.3714285714285714,"edit_dist=1, contains",1.5,HIGH,N,"Low long form similarity (0.37), likely different databases"
SMMDB,Small Molecule Modulator Database,mmdb,magnaporthe oryzae microsatellite database,1,True,0.6933333333333334,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.69)
IMP,Integrated Multi-species Prediction Portal,impc,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
LasDB,Laboratory Animal Strain Database,asdb,sinensis omics database,1,True,0.6071428571428571,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.61)
DMAP,Drug Map,map,microrna analysis portal,1,True,0.3125,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.31)
HISTome2,Histone Proteins Database,histome,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,Version difference: histome2 vs histome
PASS2,Protein Alignment organized as Structural Superfamilies 2,pass,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,Version difference: pass2 vs pass
Score,Project Score Database,core,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
ASmiR,Alternative Splicing microRNA Database,pasmir,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
ReCount,RNA-seq Gene Count Resource,recount3,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,Version difference: recount vs recount3
PRIMED,Primer Database for Yeast Genes,prime,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
HPMCD,Human-associated and Plant-associated Microbial Communities Database,hpmc,human pan-microbe communities,1,True,0.5979381443298969,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.60)
LAMP2,Linking Antimicrobial Peptides Database,lamp,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,Version difference: lamp2 vs lamp
AREsite,AU-Rich Element site,aresite2,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,Version difference: aresite vs aresite2
NIF,Neuroscience Information Framework,nifh,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
FRY,Fire Patch Functional Traits Database,fr,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
POGs,POGs,pogs2,putative orthologous groups 2 database,1,True,0.1904761904761904,"edit_dist=1, contains",1.5,HIGH,Y,Version difference: pogs vs pogs2
TCGD,Tetrahymena Comparative Genomics Database,cgd,clinical genomic database,1,True,0.6363636363636364,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.64)
CDB,Complex Database,mcdb,mitotic catastrophe database,1,True,0.6363636363636364,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.64)
VICTOR,Virus Classification and Tree Building Online Resource,victors,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,"Edit distance 1, assumed version/variant"
proGenomes,proGenomes,progenomes2,,1,True,0.0,"edit_dist=1, contains",1.5,HIGH,Y,Version difference: progenomes vs progenomes2
ECOD,Evolutionary Classification of Domains Sequence Database,eco,european cancer observatory,1,True,0.5542168674698795,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.55)
EDAM,bioinformatics operations ontology,pedam,pediatric disease annotations & medicines,1,True,0.6133333333333333,"edit_dist=1, contains",1.5,HIGH,N,Different databases with similar acronyms (long_sim=0.61)
