pmid,title,has_url,is_false_positive,confidence,reason,database_name,long_database_name,chunk,already_seen,in_baseline,resource_url,url_source
36311809,CSCS: a chromatin state interface for Chinese Spring bread wheat.,True,N,high,Database keyword in title,CSCS,CSCS,4,Y,N,http://bioinfo.cemps.ac.cn/CSCS/,original_chunk
33174598,"""LectomeXplore, an update of UniLectin for the discovery of carbohydrate-binding proteins based on a new lectin classification.""",True,N,high,Database keyword in title,LectomeXplore,LectomeXplore,4,Y,N,https://www.unilectin.eu/,original_chunk
33757430,ATAV: a comprehensive platform for population-scale genomic analyses.,True,N,medium,Database keyword in title,ATAV,ATAV,5,Y,N,http://atavdb.org/,original_chunk
29382910,Lnc2Catlas: an atlas of long noncoding RNAs associated with risk of cancers.,True,N,high,Atlas keyword in title,Lnc2Catlas,lncRNA to Cancer atlas,5,Y,N,http://lnc2catlas.bioinfotech.org/,original_chunk
24910945,MOPED 2.5--an integrated multi-omics resource: multi-omics profiling expression database now includes transcriptomics data.,True,N,high,Database keyword in title,MOPED,Multi-omics Profiling Expression Database,5,Y,N,http://moped.proteinspire.org,original_chunk
29771380,dbCAN2: a meta server for automated carbohydrate-active enzyme annotation.,True,N,high,DB suffix + database keyword,dbCAN2,database of carbohydrate-active enzymes,5,Y,N,http://cys.bios.niu.edu/dbCAN2,original_chunk
34147079,ORFik: a comprehensive R toolkit for the analysis of translation.,True,N,medium,"Tool for translation analysis not a database,",,,5,Y,N,http://bioconductor.org/packages/ORFik,original_chunk
31337975,SAROTUP: a suite of tools for finding potential target-unrelated peptides from phage display data.,True,N,medium,Tool suite but also database,SAROTUP,Scanner And Reporter Of Target-Unrelated Peptides,5,Y,N,http://i.uestc.edu.cn/sarotup3,original_chunk
31032842,The MACADAM database: a MetAboliC pAthways DAtabase for Microbial taxonomic groups for mining potential metabolic capacities of archaeal and bacterial taxonomic groups.,False,N,medium,Database keyword in title,MACADAM,MetAboliC pAthways DAtabase for Microbes,5,Y,N,http://macadam.toulouse.inra.fr,fulltext_extraction
29912458,CircadiOmics: circadian omic web portal.,True,N,high,Database keyword in title,CircadiOmics,Circadian Omics portal,5,Y,N,http://circadiomics.ics.uci.edu,original_chunk
26678566,YAGM: a web tool for mining associated genes in yeast based on diverse biological associations.,True,N,medium,Tool but also database,YAGM,Yeast Associated Genes Miner,5,Y,N,http://cosbi3.ee.ncku.edu.tw/yagm/,original_chunk
26423722,DMAP: a connectivity map database to enable identification of novel drug repositioning candidates.,True,N,high,Map suffix + database keyword,DMAP,Drug Map,5,Y,N,http://bio.informatics.iupui.edu/cmaps,original_chunk
29746699,RepeatsDB-lite: a web server for unit annotation of tandem repeat proteins.,True,N,high,DB suffix + database keyword,RepeatsDB-lite,Repeats Database lite,5,Y,N,http://protein.bio.unipd.it/repeatsdb-lite,original_chunk
22096232,The BioSample Database (BioSD) at the European Bioinformatics Institute.,True,N,high,Database keyword in title,BioSD,BioSample Database,5,Y,N,http://www.ebi.ac.uk/biosamples,original_chunk
22084255,PubChem promiscuity: a web resource for gathering compound promiscuity data from PubChem.,True,N,high,Database keyword in title,PubChem promiscuity,PubChem promiscuity database,5,Y,N,http://chemutils.florida.scripps.edu/pcpromiscuity,original_chunk
24436130,The Equine PeptideAtlas: a resource for developing proteomics-based veterinary research.,False,N,high,Atlas keyword in title,Equine PeptideAtlas,Equine Peptide Atlas,5,Y,N,,
27716338,Rational design of cancer gene panels with OncoPaD.,True,N,high,Database keyword in title,OncoPaD,Oncology Panel Designer,5,Y,N,http://www.intogen.org/oncopad,original_chunk
34188160,NOD: a web server to predict New use of Old Drugs to facilitate drug repurposing.,True,N,high,Database keyword in title,NOD,New use of Old Drugs,5,Y,N,http://pauling.mbu.iisc.ac.in/NOD/NOD/,original_chunk
30525651,"""Proxl (Protein Cross-Linking Database): A Public Server, QC Tools, and Other Major Updates.""",True,N,high,Database keyword in title,Proxl,Protein cross-linking database,5,Y,N,http://proxl-ms.org/,original_chunk
27519173,ISOexpresso: a web-based platform for isoform-level expression analysis in human cancer.,True,N,high,Database keyword in title,ISOexpresso,ISOform expression database,5,Y,N,http://wiki.tgilab.org/ISOexpresso/,original_chunk
"""26527191"," 30358807"",Shared bioinformatics databases within the Unipro UGENE platform.",True,N,high,Database keyword in title,UGENE,Unipro UGENE platform,5,N,N,,
34663179,RR3DD: an RNA global structure-based RNA three-dimensional structural classification database.,False,N,high,Database keyword in title,RR3DD,RNA 3D structural classification Database,5,Y,N,,
33401349,Introduction to the LIVECAT web-based computerized adaptive testing platform.,True,N,high,Database keyword in title,LIVECAT,LIVECAT testing platform,5,Y,N,http://www.thecatkorea.com/,original_chunk
23505408,Global coordination and standardisation in marine biodiversity through the World Register of Marine Species (WoRMS) and related databases.,False,N,high,Database keyword in title,WoRMS,World Register of Marine Species,5,Y,N,http://gni.globalnames.org/,fulltext_extraction
23671334,A new reference implementation of the PSICQUIC web service.,True,N,high,Database keyword in title,PSICQUIC,Proteomics Standard Initiative Common QUery InterfaCe,5,Y,N,http://www.ebi.ac.uk/Tools/webservices/psicquic/view/main.xhtml,original_chunk
22125387,DiseaseComps: a metric that discovers similar diseases based upon common toxicogenomic profiles at CTD.,True,N,high,Database keyword in title,DiseaseComps,Disease Comparisons database,5,Y,N,http://ctd.mdibl.org/,original_chunk
26907748,Introducing the Open Affective Standardized Image Set (OASIS).,True,N,high,Database keyword in title,OASIS,Open Affective Standardized Image Set,5,Y,N,https://db.tt/yYTZYCga,original_chunk
28529081,"""SysFinder: A customized platform for search, comparison and assisted design of appropriate animal models based on systematic similarity.""",True,N,high,Database keyword in title,SysFinder,Systems Finder database,5,Y,N,http://lifecenter.sgst.cn/SysFinder,original_chunk
22761559,ProteinHistorian: tools for the comparative analysis of eukaryote protein origin.,True,N,high,Database keyword in title,ProteinHistorian,Protein Historian database,5,Y,N,http://lighthouse.ucsf.edu/ProteinHistorian/,original_chunk
21496247,CDAO-store: ontology-driven data integration for phylogenetic analysis.,True,N,high,Database keyword in title,CDAO-store,Comparative Data Analysis Ontology store,5,Y,N,http://www.cs.nmsu.edu/~cdaostore,original_chunk
31524988,Community Curation and Expert Curation of Human Long Noncoding RNAs with LncRNAWiki and LncBook.,True,N,high,Database keyword in title,LncRNAWiki,Long non-coding RNA Wiki,5,Y,N,http://lncrna.big.ac.cn/index.php/Main_Page,original_chunk
31258549,L1000 Viewer: A Search Engine and Web Interface for the LINCS Data Repository.,True,N,high,Database keyword in title,L1000 Viewer,Library of Integrated Network-based Cellular Signatures Viewer,5,Y,N,http://L1000viewer.bio-complexity.com/,original_chunk
29762782,MetaboAnalyst 4.0: towards more transparent and integrative metabolomics analysis.,True,N,high,Database keyword in title,MetaboAnalyst,Metabolomics Analysis,5,Y,N,http://metaboanalyst.ca,original_chunk
31372542,FeptideDB: A web application for new bioactive peptides from food protein.,True,N,high,DB suffix + database keyword,FeptideDB,Food-derived bioactive peptide Database,5,Y,N,http://www4g.biotec.or.th/FeptideDB/,original_chunk
22032181,BioNØT: a searchable database of biomedical negated sentences.,True,N,high,Database keyword in title,BioNØT,Biomedical Negated sentences database,5,Y,N,http://bionot.askhermes.org/,original_chunk
31796060,Text-mining clinically relevant cancer biomarkers for curation into the CIViC database.,True,N,high,Database keyword in title,CIViCmine,Clinical Interpretation of Variants in Cancer text mining,5,Y,N,http://bionlp.bcgsc.ca/civicmine/,original_chunk
"""32436344"," 33735471"",Update of the CLRP TG-43 parameter database for low-energy brachytherapy sources.",True,N,high,Database keyword in title,CLRP TG-43,Carleton Laboratory for Radiotherapy Physics TG-43 database,5,N,N,,
35088001,The GWAS-MAP platform for aggregation of results of genome-wide association studies and the GWAS-MAP|homo database of 70 billion genetic associations of human traits.,False,N,high,Map suffix + database keyword,GWAS-MAP,Genome-Wide Association Studies Meta-Analysis Platform,5,Y,N,,
22465851,Enhancing a Pathway-Genome Database (PGDB) to capture subcellular localization of metabolites and enzymes: the nucleotide-sugar biosynthetic pathways of Populus trichocarpa.,True,N,high,Database keyword in title,PGDB,Pathway-Genome Database,5,Y,N,http://cricket.ornl.gov/cgi-bin/beocyc_home.cgi,original_chunk
32477412,Expression Quantitative Trait Loci (eQTL) Mapping in Korean Patients With Crohn's Disease and Identification of Potential Causal Genes Through Integration With Disease Associations.,True,N,high,Database keyword in title,Crohn's eQTL,Crohn's disease expression QTL database,5,Y,N,http://asan.crohneqtl.com/,original_chunk
33109251,"""Design, development and deployment of a web-based interoperable registry for inherited retinal dystrophies in Portugal: the IRD-PT.""",True,N,high,Database keyword in title,IRD-PT,Inherited Retinal Dystrophies Portugal,5,Y,N,https://www.retina.com.pt,original_chunk
29106569,Mechanism and Catalytic Site Atlas (M-CSA): a database of enzyme reaction mechanisms and active sites.,True,N,high,Atlas keyword in title,M-CSA,Mechanism and Catalytic Site Atlas,5,Y,N,http://www.ebi.ac.uk/thornton-srv/m-csa,original_chunk
25562198,ExcellmiRDB for translational genomics: a curated online resource for extracellular microRNAs.,True,N,high,DB suffix + database keyword,ExcellmiRDB,Extracellular miRNA Database,5,Y,N,http://www.excellmirdb.brfjaisalmer.com/,original_chunk
22139914,MOPED: Model Organism Protein Expression Database.,False,N,high,Database keyword in title,MOPED,Model Organism Protein Expression Database,5,Y,N,http://moped.proteinspire.org,fulltext_extraction
34593819,"""AusTraits, a curated plant trait database for the Australian flora.""",False,N,high,Database keyword in title,AusTraits,Australian plant Traits database,5,Y,N,http://www.worldagroforestry.org/output/wood-density-database,fulltext_extraction
25776023,EpiDBase: a manually curated database for small molecule modulators of epigenetic landscape.,True,N,high,Base suffix + database keyword,EpiDBase,Epigenetic Drug Base,5,Y,N,http://www.epidbase.org,original_chunk
26504853,FluKB: A Knowledge-Based System for Influenza Vaccine Target Discovery and Analysis of the Immunological Properties of Influenza Viruses.,False,N,high,KB suffix + knowledgebase keyword,FluKB,Flu KnowledgeBase,5,Y,N,http://research4.dfci.harvard.edu/cvc/flukb/,fulltext_extraction
34669691,RefPlantNLR is a comprehensive collection of experimentally validated plant disease resistance proteins from the NLR family.,False,N,high,Database keyword in title,RefPlantNLR,Reference Plant NLR database,5,Y,N,,
30341991,The Global Naturalized Alien Flora (GloNAF) database.,True,N,high,Database keyword in title,GloNAF,Global Naturalized Alien Flora database,5,Y,N,http://www.theplantlist.org/,original_chunk
20857233,BrainKnowledge: a human brain function mapping knowledge-base system.,False,N,high,Knowledgebase keyword in title,BrainKnowledge,Brain Knowledge base,5,Y,N,,
23116482,CooVar: co-occurring variant analyzer.,True,N,high,Database keyword in title,CooVar,Co-occurring Variant database,5,Y,N,http://genome.sfu.ca/projects/coovar/,original_chunk
29888066,CATCH-KB: Establishing a Pharmacogenomics Variant Repository for Chemotherapy-Induced Cardiotoxicity.,True,N,high,KB suffix + knowledgebase keyword,CATCH-KB,CArdioToxicity CHemotherapy KnowledgeBase,5,Y,N,http://catchkb.org,original_chunk
33972211,MDMPR: Mouse Developmental and Metabolic Phenotype Repository.,False,N,high,Repository keyword in title,MDMPR,Mouse Developmental and Metabolic Phenotype Repository,5,Y,N,,
22368248,Unipro UGENE: a unified bioinformatics toolkit.,True,N,high,Database keyword in title,UGENE,Unipro UGENE,5,Y,N,http://ugene.unipro.ru/download.html,original_chunk
28402545,ORIO (Online Resource for Integrative Omics): a web-based platform for rapid integration of next generation sequencing data.,True,N,high,Database keyword in title,ORIO,Online Resource for Integrative Omics,5,Y,N,https://orio.niehs.nih.gov/,original_chunk
33631799,ConnecTF: A platform to integrate transcription factor-gene interactions and validate regulatory networks.,True,N,high,Database keyword in title,ConnecTF,Connect Transcription Factors,5,Y,N,https://ConnecTF.org,original_chunk
22230096,ProFASTA: a pipeline web server for fungal protein scanning with integration of cell surface prediction software.,True,N,high,Database keyword in title,ProFASTA,Protein FASTA database,5,Y,N,http://www.bioinformatics.nl/tools/profasta/,original_chunk
27924016,Bio-TDS: bioscience query tool discovery system.,True,N,high,Database keyword in title,Bio-TDS,Bioscience Tool Discovery System,5,Y,N,http://biotds.org/,original_chunk
31598696,"""snoDB: an interactive database of human snoRNA sequences, abundance and interactions.""",False,N,high,DB suffix + 'database' keyword; URL absence doesn't override strong naming pattern,snoDB,snoRNA Database,6,N,N,http://scottgroup.med.usherbrooke.ca/snoDB/,fulltext_extraction
27338257,AraPPISite: a database of fine-grained protein-protein interaction site annotations for Arabidopsis thaliana.,True,N,high,Title explicitly contains 'database' keyword,AraPPISite,Arabidopsis Protein-Protein Interaction Site database,6,N,N,http://systbio.cau.edu.cn/arappisite/index.html,original_chunk
31762961,MaizeSNPDB: A comprehensive database for efficient retrieve and analysis of SNPs among 1210 maize lines.,True,N,high,DB suffix + 'database' keyword,MaizeSNPDB,Maize SNP Database,6,N,N,http://150.109.59.144:3838/MaizeSNPDB/,original_chunk
31555312,MaizeDIG: Maize Database of Images and Genomes.,True,N,high,Title explicitly contains 'Database' keyword,MaizeDIG,Maize Database of Images and Genomes,6,N,N,http://maizedig.maizegdb.org/,original_chunk
33882120,APICURON: a database to credit and acknowledge the work of biocurators.,True,N,high,Title explicitly contains 'database' keyword,APICURON,APICURON database,6,N,N,https://apicuron.org,original_chunk
24364365,Database construction for PromoterCAD: synthetic promoter design for mammals and plants.,True,N,high,Paper about database construction for resource,PromoterCAD,Promoter Computer-Aided Design database,6,N,N,http://promotercad.org,original_chunk
21851635,SolRgene: an online database to explore disease resistance genes in tuber-bearing Solanum species.,False,N,high,Title explicitly contains 'database' keyword despite no URL,SolRgene,Solanum Resistance gene database,6,N,N,http://www.plantbreeding.wur.nl/SolRgenes,fulltext_extraction
27055827,RegenBase: a knowledge base of spinal cord injury biology for translational research.,True,N,high,Base suffix + 'knowledge base' keyword,RegenBase,Regeneration Base,6,N,N,http://regenbase.org,original_chunk
27733503,"""Ontobee: A linked ontology data server to support ontology term dereferencing, linkage, query and integration.""",True,N,medium,Server for data access with ontology data,Ontobee,Ontology Browser,6,N,N,http://www.ontobee.org/,original_chunk
26403370,Vaxvec: The first web-based recombinant vaccine vector database and its data analysis.,True,N,high,Title explicitly contains 'database' keyword,Vaxvec,Vaccine Vector database,6,N,N,http://www.violinet.org/vaxvec,original_chunk
34175476,Genome Warehouse: A Public Repository Housing Genome-scale Data.,True,N,high,Repository - data housing resource,Genome Warehouse,Genome Warehouse,6,N,N,https://ngdc.cncb.ac.cn/gwh,original_chunk
27111272,HomeBank: An Online Repository of Daylong Child-Centered Audio Recordings.,False,N,medium,Bank suffix + 'Repository' keyword - data repository,HomeBank,Home Bank,6,N,N,,
27074495,The Brain Analysis Library of Spatial maps and Atlases (BALSA) database.,False,N,high,Title explicitly contains 'database' keyword despite no URL,BALSA,Brain Analysis Library of Spatial maps and Atlases,6,N,N,,
27446120,PlantAPA: A Portal for Visualization and Analysis of Alternative Polyadenylation in Plants.,True,N,medium,Portal for data visualization - data resource,PlantAPA,Plant Alternative Polyadenylation portal,6,N,N,http://bmi.xmu.edu.cn/plantapa,original_chunk
31767692,PlantAPAdb: A Comprehensive Database for Alternative Polyadenylation Sites in Plants.,False,N,high,db suffix + 'Database' keyword despite no URL,PlantAPAdb,Plant Alternative Polyadenylation Database,6,N,N,,
26882984,RhesusBase PopGateway: Genome-Wide Population Genetics Atlas in Rhesus Macaque.,False,N,medium,Base suffix + Atlas - data resource despite no URL,RhesusBase PopGateway,Rhesus Base Population Gateway,6,N,N,http://www.rhesusbase.org/popGateway,fulltext_extraction
33654452,EcoBank: A flexible database platform for sharing ecological data.,True,N,high,Bank suffix + 'database' keyword,EcoBank,Ecological Bank,6,N,N,http://www.nie-ecobank.kr,original_chunk
30320221,WHONDRS: a Community Resource for Studying Dynamic River Corridors.,False,N,medium,Community Resource for data,WHONDRS,Worldwide Hydrobiogeochemistry Observation Network for Dynamic River Systems,6,N,N,https://whondrs.pnnl.gov/,fulltext_extraction
22711790,MolClass: a web portal to interrogate diverse small molecule screen datasets with different computational models.,True,N,medium,Web portal for interrogating datasets,MolClass,Molecular Classification portal,6,N,N,http://tyerslab.bio.ed.ac.uk/molclass,original_chunk
28610638,BADERI: an online database to coordinate handsearching activities of controlled clinical trials for their potential inclusion in systematic reviews.,True,N,high,Title explicitly contains 'database' keyword,BADERI,Bibliographic Database of Evidence for Randomized Interventions,6,N,N,http://www.baderi.com/login.php,original_chunk
31220074,FishNET: An automated relational database for zebrafish colony management.,False,N,medium,Title explicitly contains 'database' for colony management,FishNET,Fish Network database,6,N,N,http://www.wythelab.com/wythe-lab-databases,fulltext_extraction
23193291,DbVar and DGVa: public archives for genomic structural variation.,True,N,high,Title explicitly contains 'archives' keyword,DbVar,Database of Genomic Structural Variation,6,N,N,http://www.ncbi.nlm.nih.gov/dbvar,original_chunk
29603730,ForC: a global database of forest carbon stocks and fluxes.,False,N,high,Title explicitly contains 'database' keyword despite no URL,ForC,Forest Carbon database,6,N,N,,
26481362,"""BindingDB in 2015: A public database for medicinal chemistry, computational chemistry and systems pharmacology.""",True,N,high,DB suffix + 'database' keyword,BindingDB,Binding Database,6,N,N,http://www.bindingdb.org,original_chunk
32527260,PINOT: an intuitive resource for integrating protein-protein interactions.,True,N,high,Resource for data,PINOT,Protein Interaction Network Online Tool,6,N,N,http://www.reading.ac.uk/bioinf/PINOT/PINOT_form.html,original_chunk
23164068,Huvariome: a web server resource of whole genome next-generation sequencing allelic frequencies to aid in pathological candidate gene selection.,False,N,medium,Web server resource - data resource despite no URL,Huvariome,Human Variome resource,6,N,N,http://huvariome.erasmusmc.nl,fulltext_extraction
30212910,Spfy: an integrated graph database for real-time prediction of bacterial phenotypes and downstream comparative analyses.,False,N,medium,Title explicitly contains 'database' keyword despite no URL,Spfy,Specify database,6,N,N,https://lfz.corefacility.ca/superphy/spfy/,fulltext_extraction
23541197,"""The Pathogen-annotated Tracking Resource Network (PATRN) system: a web-based resource to aid food safety, regulatory science, and investigations of foodborne pathogens and disease.""",True,N,high,Resource Network for data,PATRN,Pathogen-Annotated Tracking Resource Network,6,N,N,http://www.patrn.net,original_chunk
22194640,IMG: the Integrated Microbial Genomes database and comparative analysis system.,True,N,high,Title explicitly contains 'database' keyword,IMG,Integrated Microbial Genomes database,6,N,N,http://www.hmpdacc-resources.org/img_hmp,original_chunk
23203886,MIPS PlantsDB: a database framework for comparative plant genome research.,True,N,high,DB suffix + 'database' keyword,MIPS PlantsDB,Munich Information Center for Protein Sequences Plants Database,6,N,N,http://mips.helmholtz-muenchen.de/plant/genomes.jsp,original_chunk
23396302,The YeastGenome app: the Saccharomyces Genome Database at your fingertips.,True,N,medium,Mobile app for database access,YeastGenome,Yeast Genome Database,6,N,N,http://itunes.com/apps/yeastgenome,original_chunk
31913853,JIB.tools 2.0 - A Bioinformatics Registry for Journal Published Tools with Interoperability to bio.tools.,True,N,high,Registry/catalog of tools - data resource,JIB.tools,Journal of Integrative Bioinformatics tools,6,N,N,https://jib.tools,original_chunk
22621763,The Ontology for Parasite Lifecycle (OPL): towards a consistent vocabulary of lifecycle stages in parasitic organisms.,True,N,high,Ontology - structured vocabulary resource,OPL,Ontology for Parasite Lifecycle,6,N,N,http://purl.obolibrary.org/obo/opl.owl,original_chunk
