pmid,title,abstract,in_linguistic,in_setfit,ling_score,setfit_confidence,primary_entity_long,primary_entity_short,primary_score,status,matched_long_short,all_long,all_short,ner_source,ner_confidence,entity_from_title,db_keyword_found,title_entity_in_ner,very_high_conf,baseline_entity_match,all_urls,resource_url,has_resource_url,url_context,article_count,in_baseline_pmid,in_baseline_entity,in_baseline
"24271399, 25501940, 28365730",The Structure-Function Linkage Database.,"The Structure-Function Linkage Database (SFLD, http://sfld.rbvi.ucsf.edu/) is a manually curated classification resource describing structure-function relationships for functionally diverse enzyme superfamilies. Members of such superfamilies are diverse in their overall reactions yet share a common ancestor and some conserved active site features associated with conserved functional attributes such as a partial reaction. Thus, despite their different functions, members of these superfamilies 'look alike', making them easy to misannotate. To address this complexity and enable rational transfer of functional features to unknowns only for those members for which we have sufficient functional information, we subdivide superfamily members into subgroups using sequence information, and lastly into families, sets of enzymes known to catalyze the same reaction using the same mechanistic strategy. Browsing and searching options in the SFLD provide access to all of these levels. The SFLD offers manually curated as well as automatically classified superfamily sets, both accompanied by search and download options for all hierarchical levels. Additional information includes multiple sequence alignments, tab-separated files of functional and other attributes, and sequence similarity networks. The latter provide a new and intuitively powerful way to visualize functional trends mapped to the context of sequence similarity.",True,False,3.0,0.7214366,structure-function linkage database,,22.99107283,ok,,sfld.<h | structure,esfo | sfld,spacy+v2,0.9942904,Biocuration in the structure-function linkage database,True,False,False,,http://sfld.rbvi.ucsf.edu/,http://sfld.rbvi.ucsf.edu/,True,"The Structure-Function Linkage Database (SFLD, http://sfld.rbvi.ucsf.edu/) is a manually curated classification resource de...",2,False,False,False
"21752111, 33146890, 22688270",The Human Protein Atlas as a proteomic resource for biomarker discovery.,"The analysis of tissue-specific expression at both the gene and protein levels is vital for understanding human biology and disease. Antibody-based proteomics provides a strategy for the systematic generation of antibodies against all human proteins to combine with protein profiling in tissues and cells using tissue microarrays, immunohistochemistry and immunofluorescence. The Human Protein Atlas project was launched in 2003 with the aim of creating a map of protein expression patterns in normal cells, tissues and cancer. At present, 11,200 unique proteins corresponding to over 50% of all human protein-encoding genes have been analysed. All protein expression data, including underlying high-resolution images, are published on the free and publically available Human Protein Atlas portal (http://www.proteinatlas.org). This database provides an important source of information for numerous biomedical research projects, including biomarker discovery efforts. Moreover, the global analysis of how our genome is expressed at the protein level has provided basic knowledge on the ubiquitous expression of a large proportion of our proteins and revealed the paucity of cell- and tissue-type-specific proteins.",False,True,3.0,0.6905863,human protein atlas,,22.7722216,ok,hpa | human protein atlas,a large-scale | publically available,hpa,spacy+v2,0.7722216,,True,False,False,,http://www.proteinatlas.org,http://www.proteinatlas.org,True,...publically available Human Protein Atlas portal (http://www.proteinatlas.org). This database provides an important source of i...,2,False,False,False
"22651224, 23616008","CORNET 2.0: integrating plant coexpression, protein-protein interactions, regulatory interactions, gene associations and functional annotations.","To enable easy access and interpretation of heterogeneous and scattered data, we have developed a user-friendly tool for data mining and integration in Arabidopsis, named CORNET. This tool allows the browsing of microarray data, the construction of coexpression and protein-protein interaction (PPI) networks and the exploration of diverse functional annotations. Here, we present the new functionalities of CORNET 2.0 for data integration in plants. First of all, CORNET allows the integration of regulatory interaction datasets accessible through the new transcription factor (TF) tool that can be used in combination with the coexpression tool or the PPI tool. In addition, we have extended the PPI tool to enable the analysis of gene-gene associations from AraNet as well as newly identified PPIs. Different search options are implemented to enable the construction of networks centered around multiple input genes or proteins. New functional annotation resources are included to retrieve relevant literature, phenotypes, plant ontology and biological pathways. We have also extended CORNET to attain the construction of coexpression and PPI networks in the crop species maize. Networks and associated evidence of the majority of currently available data types are visualized in Cytoscape. CORNET is available at https://bioinformatics.psb.ugent.be/cornet.",True,False,5.0,0.72180045,,cornet,21.9981456,ok,,,aranet,v2,0.99864477,CORNET,False,True,False,,https://bioinformatics.psb.ugent.be/cornet,https://bioinformatics.psb.ugent.be/cornet,True,...e visualized in Cytoscape. CORNET is available at https://bioinformatics.psb.ugent.be/cornet.,2,False,False,False
"27153631, 29186503",MINTbase: a framework for the interactive exploration of mitochondrial and nuclear tRNA fragments.,"<h4>Motivation</h4>It has been known that mature transfer RNAs (tRNAs) that are encoded in the nuclear genome give rise to short molecules, collectively known as tRNA fragments or tRFs. Recently, we reported that, in healthy individuals and in patients, tRFs are constitutive, arise from mitochondrial as well as from nuclear tRNAs, and have composition and abundances that depend on a person's sex, population origin and race as well as on tissue, disease and disease subtype. Our findings as well as similar work by other groups highlight the importance of tRFs and presage an increase in the community's interest in elucidating the roles of tRFs in health and disease.<h4>Results</h4>We created MINTbase, a web-based framework that serves the dual-purpose of being a content repository for tRFs and a tool for the interactive exploration of these newly discovered molecules. A key feature of MINTbase is that it deterministically and exhaustively enumerates all possible genomic locations where a sequence fragment can be found and indicates which fragments are exclusive to tRNA space, and thus can be considered as tRFs: this is a very important consideration given that the genomes of higher organisms are riddled with partial tRNA sequences and with tRNA-lookalikes whose aberrant transcripts can be mistaken for tRFs. MINTbase is extremely flexible and integrates and presents tRF information from multiple yet interconnected vantage points ('vistas'). Vistas permit the user to interactively personalize the information that is returned and the manner in which it is displayed. MINTbase can report comparative information on how a tRF is distributed across all anticodon/amino acid combinations, provides alignments between a tRNA and multiple tRFs with which the user can interact, provides details on published studies that reported a tRF as expressed, etc. Importantly, we designed MINTbase to contain all possible tRFs that could ever be produced by mature tRNAs: this allows us to report on their genomic distributions, anticodon/amino acid properties, alignments, etc. while giving users the ability to at-will investigate candidate tRF molecules before embarking on focused experimental explorations. Lastly, we also introduce a new labeling scheme that is tRF-sequence-based and allows users to associate a tRF with a universally unique label ('tRF-license plate') that is independent of a genome assembly and does not require any brokering mechanism.<h4>Availability and implementation</h4>MINTbase is freely accessible at http://cm.jefferson.edu/MINTbase/. Dataset submissions to MINTbase can be initiated at http://cm.jefferson.edu/MINTsubmit/<h4>Contact</h4>isidore.rigoutsos@jefferson.edu<h4>Supplementary information</h4>Supplementary data are available at Bioinformatics online.",True,False,5.0,0.7111673,mintbase,,21.99643755,ok,tcga | the cancer genome atlas,genome atlas | the cancer genome atlas,modomics | tcga,v2,0.99879104,MINTbase,False,True,False,,http://cm.jefferson.edu/MINTbase/ | http://cm.jefferson.edu/MINTsubmit/,http://cm.jefferson.edu/MINTbase/,True,...plementation</h4>MINTbase is freely accessible at http://cm.jefferson.edu/MINTbase/. Dataset submissions to MINTbase can be initiated...,2,False,False,False
"30926570, 31294057",Genome Annotator Light (GAL): A Docker-based package for genome analysis and visualization.,"Next generation sequencing techniques produce enormous data but its analysis and visualization remains a big challenge. To address this, we have developed Genome Annotator Light(GAL), a Docker based package for genome analysis and data visualization. GAL integrated several existing tools and in-house programs inside a Docker Container for systematic analysis and visualization of genomes through web browser. GAL takes varieties of input types ranging from raw Fasta files to fully annotated files, processes them through a standard annotation pipeline and visualizes on a web browser. Comparative genomic analysis is performed automatically within a given taxonomic class. GAL creates interactive genome browser with clickable genomic feature tracks; local BLAST-able database; query page, on-fly downstream data analysis using EMBOSS etc. Overall, GAL is an extremely convenient, portable and platform independent. Fully integrated web-resources can be easily created and deployed, e.g. www.eumicrobedb.org/cglab, for our in-house genomes. GAL is freely available at https://hub.docker.com/u/cglabiicb/.",True,False,4.0,0.67053574,,gal,21.9831476,ok,gal | genome annotator light ; gal | genome annotator light(gal,enome annotator light | prokaryotes | genome annotator light | genome annotator light(gal,,v2,0.9909355,Genome Annotator Light,False,False,False,,https://hub.docker.com/u/cglabiicb/ | http://www.eumicrobedb.org/cglab,http://www.eumicrobedb.org/cglab,True,...ted in a web site automatically created by GAL at http://www.eumicrobedb.org/cglab.,2,False,False,False
"22737589, 27899561, 30395293, 31602479, 24393765, 25398906, 26615191, 29140470, 33095870",Fungal genome resources at NCBI.,"The National Center for Biotechnology Information (NCBI) is well known for the nucleotide sequence archive, GenBank and sequence analysis tool BLAST. However, NCBI integrates many types of biomolecular data from variety of sources and makes it available to the scientific community as interactive web resources as well as organized releases of bulk data. These tools are available to explore and compare fungal genomes. Searching all databases with Fungi [organism] at http://www.ncbi.nlm.nih.gov/ is the quickest way to find resources of interest with fungal entries. Some tools though are resources specific and can be indirectly accessed from a particular database in the Entrez system. These include graphical viewers and comparative analysis tools such as TaxPlot, TaxMap and UniGene DDD (found via UniGene Homepage). Gene and BioProject pages also serve as portals to external data such as community annotation websites, BioGrid and UniProt. There are many different ways of accessing genomic data at NCBI. Depending on the focus and goal of research projects or the level of interest, a user would select a particular route for accessing genomic databases and resources. This review article describes methods of accessing fungal genome data and provides examples that illustrate the use of analysis tools.",False,True,4.0,0.71221685,,ncbi,20.91916823,ok,geo | gene expression omnibus ; cdd | conserved domain database,bioproject | clinvar | testing registry | gene expression omnibus | bookshelf | pubchem | sequence read archive | online mendelian inheritance in man | genbank | uniprot | domain architecture | conserved domain database,entrez | refseq | dbsnp | cdd | geo | omim | sra | dbgap | mmdb,v2,0.91916823,NCBI disease corpus,True,False,False,,http://www.ncbi.nlm.nih.gov/,http://www.ncbi.nlm.nih.gov/,True,...Searching all databases with Fungi [organism] at http://www.ncbi.nlm.nih.gov/ is the quickest way to find resources of interest...,2,False,False,False
"24243843, 25636622, 33095861","DEG 10, an update of the database of essential genes that includes both protein-coding genes and noncoding genomic elements.","The combination of high-density transposon-mediated mutagenesis and high-throughput sequencing has led to significant advancements in research on essential genes, resulting in a dramatic increase in the number of identified prokaryotic essential genes under diverse conditions and a revised essential-gene concept that includes all essential genomic elements, rather than focusing on protein-coding genes only. DEG 10, a new release of the Database of Essential Genes (available at http://www.essentialgene.org), has been developed to accommodate these quantitative and qualitative advancements. In addition to increasing the number of bacterial and archaeal essential genes determined by genome-wide gene essentiality screens, DEG 10 also harbors essential noncoding RNAs, promoters, regulatory sequences and replication origins. These essential genomic elements are determined not only in vitro, but also in vivo, under diverse conditions including those for survival, pathogenesis and antibiotic resistance. We have developed customizable BLAST tools that allow users to perform species- and experiment-specific BLAST searches for a single gene, a list of genes, annotated or unannotated genomes. Therefore, DEG 10 includes essential genomic elements under different conditions in three domains of life, with customizable BLAST tools.",True,False,3.0,0.71124554,,deg,19.99897647,ok,,prokaryotes | database of essential genes,kegg | deg 10,v2,0.99897647,,True,False,False,,http://www.essentialgene.org,http://www.essentialgene.org,True,"...of the Database of Essential Genes (available at http://www.essentialgene.org), has been developed to accommodate these quantit...",2,False,False,False
"22385986, 22385986",CpGPAP: CpG island predictor analysis platform.,"<h4>Background</h4>Genomic islands play an important role in medical, methylation and biological studies. To explore the region, we propose a CpG islands prediction analysis platform for genome sequence exploration (CpGPAP).<h4>Results</h4>CpGPAP is a web-based application that provides a user-friendly interface for predicting CpG islands in genome sequences or in user input sequences. The prediction algorithms supported in CpGPAP include complementary particle swarm optimization (CPSO), a complementary genetic algorithm (CGA) and other methods (CpGPlot, CpGProD and CpGIS) found in the literature. The CpGPAP platform is easy to use and has three main features (1) selection of the prediction algorithm; (2) graphic visualization of results; and (3) application of related tools and dataset downloads. These features allow the user to easily view CpG island results and download the relevant island data. CpGPAP is freely available at http://bio.kuas.edu.tw/CpGPAP/.<h4>Conclusions</h4>The platform's supported algorithms (CPSO and CGA) provide a higher sensitivity and a higher correlation coefficient when compared to CpGPlot, CpGProD, CpGIS, and CpGcluster over an entire chromosome.",True,True,2.0,0.71560574,,cpgpap,19.99790776,ok,,cpgpap).<h,pgpap,v2,0.99790776,CpGPAP,False,True,False,,http://bio.kuas.edu.tw/CpGPAP/,http://bio.kuas.edu.tw/CpGPAP/,True,...levant island data. CpGPAP is freely available at http://bio.kuas.edu.tw/CpGPAP/.<h4>Conclusions</h4>The platform's supported algo...,2,False,False,False
"29236971, 29718468",New algorithms to represent complex pseudoknotted RNA structures in dot-bracket notation.,"<h4>Motivation</h4>Understanding the formation, architecture and roles of pseudoknots in RNA structures are one of the most difficult challenges in RNA computational biology and structural bioinformatics. Methods predicting pseudoknots typically perform this with poor accuracy, often despite experimental data incorporation. Existing bioinformatic approaches differ in terms of pseudoknots' recognition and revealing their nature. A few ways of pseudoknot classification exist, most common ones refer to a genus or order. Following the latter one, we propose new algorithms that identify pseudoknots in RNA structure provided in BPSEQ format, determine their order and encode in dot-bracket-letter notation. The proposed encoding aims to illustrate the hierarchy of RNA folding.<h4>Results</h4>New algorithms are based on dynamic programming and hybrid (combining exhaustive search and random walk) approaches. They evolved from elementary algorithm implemented within the workflow of RNA FRABASE 1.0, our database of RNA structure fragments. They use different scoring functions to rank dissimilar dot-bracket representations of RNA structure. Computational experiments show an advantage of new methods over the others, especially for large RNA structures.<h4>Availability and implementation</h4>Presented algorithms have been implemented as new functionality of RNApdbee webserver and are ready to use at http://rnapdbee.cs.put.poznan.pl.<h4>Contact</h4>mszachniuk@cs.put.poznan.pl.<h4>Supplementary information</h4>Supplementary data are available at Bioinformatics online.",True,False,5.0,0.7268067,rnapdbee,,19.9970126,ok,,,pdb,v2,0.9970126,RNApdbee,False,False,False,,http://rnapdbee.cs.put.poznan.pl,http://rnapdbee.cs.put.poznan.pl,True,...ity of RNApdbee webserver and are ready to use at http://rnapdbee.cs.put.poznan.pl.<h4>Contact</h4>mszachniuk@cs.put.poznan.pl.<h4>S...,2,False,False,False
"29023571, 33367505",PICKLE 2.0: A human protein-protein interaction meta-database employing data integration via genetic information ontology.,"It has been acknowledged that source databases recording experimentally supported human protein-protein interactions (PPIs) exhibit limited overlap. Thus, the reconstruction of a comprehensive PPI network requires appropriate integration of multiple heterogeneous primary datasets, presenting the PPIs at various genetic reference levels. Existing PPI meta-databases perform integration via normalization; namely, PPIs are merged after converted to a certain target level. Hence, the node set of the integrated network depends each time on the number and type of the combined datasets. Moreover, the irreversible a priori normalization process hinders the identification of normalization artifacts in the integrated network, which originate from the nonlinearity characterizing the genetic information flow. PICKLE (Protein InteraCtion KnowLedgebasE) 2.0 implements a new architecture for this recently introduced human PPI meta-database. Its main novel feature over the existing meta-databases is its approach to primary PPI dataset integration via genetic information ontology. Building upon the PICKLE principles of using the reviewed human complete proteome (RHCP) of UniProtKB/Swiss-Prot as the reference protein interactor set, and filtering out protein interactions with low probability of being direct based on the available evidence, PICKLE 2.0 first assembles the RHCP genetic information ontology network by connecting the corresponding genes, nucleotide sequences (mRNAs) and proteins (UniProt entries) and then integrates PPI datasets by superimposing them on the ontology network without any a priori transformations. Importantly, this process allows the resulting heterogeneous integrated network to be reversibly normalized to any level of genetic reference without loss of the original information, the latter being used for identification of normalization biases, and enables the appraisal of potential false positive interactions through PPI source database cross-checking. The PICKLE web-based interface (www.pickle.gr) allows for the simultaneous query of multiple entities and provides integrated human PPI networks at either the protein (UniProt) or the gene level, at three PPI filtering modes.",False,True,5.0,0.7176881,,pickle,19.99655414,ok,,uniprot | uniprotkb | rotein interaction knowledgebase | mouse genome informatics,,v2,0.99655414,PICKLE,True,True,True,,http://www.pickle.gr,http://www.pickle.gr,True,...ation</h4>PICKLE can be queried and downloaded at http://www.pickle.gr.<h4>Supplementary information</h4>Supplementary d...,2,False,False,False
