"extracted_name","baseline_name","match_type","is_match","score","reasoning","extracted_long","extracted_url","baseline_url","baseline_long","edit_distance","url_similarity","confidence"
"AraQTL","araqtl","EXACT","Y","10.0","Exact name match","","","","","","",""
"CRISPRCasdb","crisprcasdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"CEREALAB","cerealab","EXACT","Y","10.0","Exact name match","","","","","","",""
"InDiaMed","indiamed","EXACT","Y","10.0","Exact name match","","","","","","",""
"PPI4DOCK","ppi4dock","EXACT","Y","10.0","Exact name match","","","","","","",""
"PTID","ptid","EXACT","Y","10.0","Exact name match","","","","","","",""
"SiMPLOD","simplod","EXACT","Y","10.0","Exact name match","","","","","","",""
"PRDB","prdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"circBase","circbase","EXACT","Y","10.0","Exact name match","","","","","","",""
"NPCDB","npcdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"NAPS","naps","EXACT","Y","10.0","Exact name match","","","","","","",""
"MMHub","mmhub","EXACT","Y","10.0","Exact name match","","","","","","",""
"BioPhytMol","biophytmol","EXACT","Y","10.0","Exact name match","","","","","","",""
"PathFams","pathfams","EXACT","Y","10.0","Exact name match","","","","","","",""
"FusionGDB","fusiongdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"LDSplitDB","ldsplitdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"Pleurochrysome","pleurochrysome","EXACT","Y","10.0","Exact name match","","","","","","",""
"ChemHub","chemhub","EXACT","Y","10.0","Exact name match","","","","","","",""
"iLIR","ilir","EXACT","Y","10.0","Exact name match","","","","","","",""
"DoSA","dosa","EXACT","Y","10.0","Exact name match","","","","","","",""
"DATAMAN","dataman","EXACT","Y","10.0","Exact name match","","","","","","",""
"DifferentialNet","differentialnet","EXACT","Y","10.0","Exact name match","","","","","","",""
"PKAD","pkad","EXACT","Y","10.0","Exact name match","","","","","","",""
"PceRBase","pcerbase","EXACT","Y","10.0","Exact name match","","","","","","",""
"CAMP","camp","EXACT","Y","10.0","Exact name match","","","","","","",""
"GreenPhylDB","greenphyldb","EXACT","Y","10.0","Exact name match","","","","","","",""
"FunGene","fungene","EXACT","Y","10.0","Exact name match","","","","","","",""
"PPDB","ppdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"TRACER","tracer","EXACT","Y","10.0","Exact name match","","","","","","",""
"DISEASES","diseases","EXACT","Y","10.0","Exact name match","","","","","","",""
"ADHDgene","adhdgene","EXACT","Y","10.0","Exact name match","","","","","","",""
"YY1TargetDB","yy1targetdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"MIBiG","mibig","EXACT","Y","10.0","Exact name match","","","","","","",""
"HCMDB","hcmdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"FAIRDOMHub","fairdomhub","EXACT","Y","10.0","Exact name match","","","","","","",""
"gcMeta","gcmeta","EXACT","Y","10.0","Exact name match","","","","","","",""
"ColorCells","colorcells","EXACT","Y","10.0","Exact name match","","","","","","",""
"SAGD","sagd","EXACT","Y","10.0","Exact name match","","","","","","",""
"HybridMolDB","hybridmoldb","EXACT","Y","10.0","Exact name match","","","","","","",""
"FifBase","fifbase","EXACT","Y","10.0","Exact name match","","","","","","",""
"ParkDB","parkdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"SwissRegulon","swissregulon","EXACT","Y","10.0","Exact name match","","","","","","",""
"MiREDiBase","miredibase","EXACT","Y","10.0","Exact name match","","","","","","",""
"dbWGFP","dbwgfp","EXACT","Y","10.0","Exact name match","","","","","","",""
"LeptoDB","leptodb","EXACT","Y","10.0","Exact name match","","","","","","",""
"CropSNPdb","cropsnpdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"BnaGVD","bnagvd","EXACT","Y","10.0","Exact name match","","","","","","",""
"ChannelsDB","channelsdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"ChEMBL","chembl","EXACT","Y","10.0","Exact name match","","","","","","",""
"TRANSNAP","transnap","EXACT","Y","10.0","Exact name match","","","","","","",""
"QSDB","qsdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"NvERTx","nvertx","EXACT","Y","10.0","Exact name match","","","","","","",""
"TSNAdb","tsnadb","EXACT","Y","10.0","Exact name match","","","","","","",""
"APAatlas","apaatlas","EXACT","Y","10.0","Exact name match","","","","","","",""
"SNPedia","snpedia","EXACT","Y","10.0","Exact name match","","","","","","",""
"dbPAF","dbpaf","EXACT","Y","10.0","Exact name match","","","","","","",""
"EpilepsyGene","epilepsygene","EXACT","Y","10.0","Exact name match","","","","","","",""
"YTRP","ytrp","EXACT","Y","10.0","Exact name match","","","","","","",""
"GtRNAdb","gtrnadb","EXACT","Y","10.0","Exact name match","","","","","","",""
"DBatVir","dbatvir","EXACT","Y","10.0","Exact name match","","","","","","",""
"HRaP","hrap","EXACT","Y","10.0","Exact name match","","","","","","",""
"dbMTS","dbmts","EXACT","Y","10.0","Exact name match","","","","","","",""
"HCSGD","hcsgd","EXACT","Y","10.0","Exact name match","","","","","","",""
"GoSynthetic","gosynthetic","EXACT","Y","10.0","Exact name match","","","","","","",""
"HmtVar","hmtvar","EXACT","Y","10.0","Exact name match","","","","","","",""
"EnhFFL","enhffl","EXACT","Y","10.0","Exact name match","","","","","","",""
"EnzyMine","enzymine","EXACT","Y","10.0","Exact name match","","","","","","",""
"GlycoCD","glycocd","EXACT","Y","10.0","Exact name match","","","","","","",""
"PhycoCosm","phycocosm","EXACT","Y","10.0","Exact name match","","","","","","",""
"ncDR","ncdr","EXACT","Y","10.0","Exact name match","","","","","","",""
"NPACT","npact","EXACT","Y","10.0","Exact name match","","","","","","",""
"DEBDOM","debdom","EXACT","Y","10.0","Exact name match","","","","","","",""
"RASOnD","rasond","EXACT","Y","10.0","Exact name match","","","","","","",""
"MethylomeDB","methylomedb","EXACT","Y","10.0","Exact name match","","","","","","",""
"MepmiRDB","mepmirdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"HDncRNA","hdncrna","EXACT","Y","10.0","Exact name match","","","","","","",""
"ENdb","endb","EXACT","Y","10.0","Exact name match","","","","","","",""
"COCONUT","coconut","EXACT","Y","10.0","Exact name match","","","","","","",""
"PMBD","pmbd","EXACT","Y","10.0","Exact name match","","","","","","",""
"EVLncRNAs","evlncrnas","EXACT","Y","10.0","Exact name match","","","","","","",""
"SuperTCM","supertcm","EXACT","Y","10.0","Exact name match","","","","","","",""
"MENSAdb","mensadb","EXACT","Y","10.0","Exact name match","","","","","","",""
"dbSAP","dbsap","EXACT","Y","10.0","Exact name match","","","","","","",""
"SwissSidechain","swisssidechain","EXACT","Y","10.0","Exact name match","","","","","","",""
"PhosphoGRID","phosphogrid","EXACT","Y","10.0","Exact name match","","","","","","",""
"ImmuSort","immusort","EXACT","Y","10.0","Exact name match","","","","","","",""
"eSnail","esnail","EXACT","Y","10.0","Exact name match","","","","","","",""
"DBATE","dbate","EXACT","Y","10.0","Exact name match","","","","","","",""
"dEMBF","dembf","EXACT","Y","10.0","Exact name match","","","","","","",""
"NrichD","nrichd","EXACT","Y","10.0","Exact name match","","","","","","",""
"FlavoDb","flavodb","EXACT","Y","10.0","Exact name match","","","","","","",""
"TrypanoCyc","trypanocyc","EXACT","Y","10.0","Exact name match","","","","","","",""
"FlavorDB","flavordb","EXACT","Y","10.0","Exact name match","","","","","","",""
"VIPdb","vipdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"NPBS","npbs","EXACT","Y","10.0","Exact name match","","","","","","",""
"StoneMod","stonemod","EXACT","Y","10.0","Exact name match","","","","","","",""
"EnhancerAtlas","enhanceratlas","EXACT","Y","10.0","Exact name match","","","","","","",""
"CDRgator","cdrgator","EXACT","Y","10.0","Exact name match","","","","","","",""
"UniLectin3D","unilectin3d","EXACT","Y","10.0","Exact name match","","","","","","",""
"OMICtools","omictools","EXACT","Y","10.0","Exact name match","","","","","","",""
"MetamORF","metamorf","EXACT","Y","10.0","Exact name match","","","","","","",""
"CFEA","cfea","EXACT","Y","10.0","Exact name match","","","","","","",""
"GREENC","greenc","EXACT","Y","10.0","Exact name match","","","","","","",""
"PubAngioGen","pubangiogen","EXACT","Y","10.0","Exact name match","","","","","","",""
"DBCAT","dbcat","EXACT","Y","10.0","Exact name match","","","","","","",""
"CADRE","cadre","EXACT","Y","10.0","Exact name match","","","","","","",""
"PADFrag","padfrag","EXACT","Y","10.0","Exact name match","","","","","","",""
"MENDA","menda","EXACT","Y","10.0","Exact name match","","","","","","",""
"MutHTP","muthtp","EXACT","Y","10.0","Exact name match","","","","","","",""
"CSCD","cscd","EXACT","Y","10.0","Exact name match","","","","","","",""
"SorghumFDB","sorghumfdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"croFGD","crofgd","EXACT","Y","10.0","Exact name match","","","","","","",""
"ASDCD","asdcd","EXACT","Y","10.0","Exact name match","","","","","","",""
"DDRprot","ddrprot","EXACT","Y","10.0","Exact name match","","","","","","",""
"ITSoneDB","itsonedb","EXACT","Y","10.0","Exact name match","","","","","","",""
"DrugSig","drugsig","EXACT","Y","10.0","Exact name match","","","","","","",""
"dbCerEx","dbcerex","EXACT","Y","10.0","Exact name match","","","","","","",""
"PDBj","pdbj","EXACT","Y","10.0","Exact name match","","","","","","",""
"MaConDa","maconda","EXACT","Y","10.0","Exact name match","","","","","","",""
"PancanQTL","pancanqtl","EXACT","Y","10.0","Exact name match","","","","","","",""
"CHDGKB","chdgkb","EXACT","Y","10.0","Exact name match","","","","","","",""
"GBIS","gbis","EXACT","Y","10.0","Exact name match","","","","","","",""
"circVAR","circvar","EXACT","Y","10.0","Exact name match","","","","","","",""
"Express","express","EXACT","Y","10.0","Exact name match","","","","","","",""
"CDSA","cdsa","EXACT","Y","10.0","Exact name match","","","","","","",""
"BESC","besc","EXACT","Y","10.0","Exact name match","","","","","","",""
"Ensembl Genomes","ensembl genomes","EXACT","Y","10.0","Exact name match","","","","","","",""
"Terabase","terabase","EXACT","Y","10.0","Exact name match","","","","","","",""
"LEGE","lege","EXACT","Y","10.0","Exact name match","","","","","","",""
"BioTop","biotop","EXACT","Y","10.0","Exact name match","","","","","","",""
"IntergenicDB","intergenicdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"uORFdb","uorfdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"AgriSeqDB","agriseqdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"PhosphoSitePlus","phosphositeplus","EXACT","Y","10.0","Exact name match","","","","","","",""
"LCGbase","lcgbase","EXACT","Y","10.0","Exact name match","","","","","","",""
"ImtRDB","imtrdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"PlantPIs","plantpis","EXACT","Y","10.0","Exact name match","","","","","","",""
"Progenetix","progenetix","EXACT","Y","10.0","Exact name match","","","","","","",""
"Genes2FANs","genes2fans","EXACT","Y","10.0","Exact name match","","","","","","",""
"EpimiRBase","epimirbase","EXACT","Y","10.0","Exact name match","","","","","","",""
"MACE","mace","EXACT","Y","10.0","Exact name match","","","","","","",""
"Fuzzle","fuzzle","EXACT","Y","10.0","Exact name match","","","","","","",""
"MAPS","maps","EXACT","Y","10.0","Exact name match","","","","","","",""
"modMine","modmine","EXACT","Y","10.0","Exact name match","","","","","","",""
"PubChemQC","pubchemqc","EXACT","Y","10.0","Exact name match","","","","","","",""
"PRP","prp","EXACT","Y","10.0","Exact name match","","","","","","",""
"footprintDB","footprintdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"MGA","mga","EXACT","Y","10.0","Exact name match","","","","","","",""
"SysteMHC","systemhc","EXACT","Y","10.0","Exact name match","","","","","","",""
"MusatransSSRDB","musatransssrdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"circExp","circexp","EXACT","Y","10.0","Exact name match","","","","","","",""
"cBioPortal","cbioportal","EXACT","Y","10.0","Exact name match","","","","","","",""
"Mantra","mantra","EXACT","Y","10.0","Exact name match","","","","","","",""
"SBKB","sbkb","EXACT","Y","10.0","Exact name match","","","","","","",""
"Factorbook","factorbook","EXACT","Y","10.0","Exact name match","","","","","","",""
"HippDB","hippdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"ANTISTAPHYBASE","antistaphybase","EXACT","Y","10.0","Exact name match","","","","","","",""
"RiboD","ribod","EXACT","Y","10.0","Exact name match","","","","","","",""
"HoTResDB","hotresdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"GABI-Kat","gabi-kat","EXACT","Y","10.0","Exact name match","","","","","","",""
"Pro54DB","pro54db","EXACT","Y","10.0","Exact name match","","","","","","",""
"TOPDOM","topdom","EXACT","Y","10.0","Exact name match","","","","","","",""
"ExpTreeDB","exptreedb","EXACT","Y","10.0","Exact name match","","","","","","",""
"T-HOD","t-hod","EXACT","Y","10.0","Exact name match","","","","","","",""
"IntDb","intdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"GenomeRNAi","genomernai","EXACT","Y","10.0","Exact name match","","","","","","",""
"DisBind","disbind","EXACT","Y","10.0","Exact name match","","","","","","",""
"RCDB","rcdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"AAgMarker","aagmarker","EXACT","Y","10.0","Exact name match","","","","","","",""
"GeneDB","genedb","EXACT","Y","10.0","Exact name match","","","","","","",""
"targetHub","targethub","EXACT","Y","10.0","Exact name match","","","","","","",""
"WoM","wom","EXACT","Y","10.0","Exact name match","","","","","","",""
"MeRy-B","mery-b","EXACT","Y","10.0","Exact name match","","","","","","",""
"FROG-kb","frog-kb","EXACT","Y","10.0","Exact name match","","","","","","",""
"GiSAO.db","gisao.db","EXACT","Y","10.0","Exact name match","","","","","","",""
"Mesophotic.org","mesophotic.org","EXACT","Y","10.0","Exact name match","","","","","","",""
"OHNOLOGS","ohnologs","EXACT","Y","10.0","Exact name match","","","","","","",""
"mpMoRFsDB","mpmorfsdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"BioPlanet","bioplanet","EXACT","Y","10.0","Exact name match","","","","","","",""
"GreenCircRNA","greencircrna","EXACT","Y","10.0","Exact name match","","","","","","",""
"EuroPineDB","europinedb","EXACT","Y","10.0","Exact name match","","","","","","",""
"Voronoia4RNA","voronoia4rna","EXACT","Y","10.0","Exact name match","","","","","","",""
"DKnet","dknet","EXACT","Y","10.0","Exact name match","","","","","","",""
"IMG-ABC","img-abc","EXACT","Y","10.0","Exact name match","","","","","","",""
"CircAtlas","circatlas","EXACT","Y","10.0","Exact name match","","","","","","",""
"RetrogeneDB","retrogenedb","EXACT","Y","10.0","Exact name match","","","","","","",""
"SITVITWEB","sitvitweb","EXACT","Y","10.0","Exact name match","","","","","","",""
"JCDB","jcdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"SNPdbe","snpdbe","EXACT","Y","10.0","Exact name match","","","","","","",""
"CentrosomeDB","centrosomedb","EXACT","Y","10.0","Exact name match","","","","","","",""
"mtProtEvol","mtprotevol","EXACT","Y","10.0","Exact name match","","","","","","",""
"eProS","epros","EXACT","Y","10.0","Exact name match","","","","","","",""
"AluHunter","aluhunter","EXACT","Y","10.0","Exact name match","","","","","","",""
"RNApathwaysDB","rnapathwaysdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"PMKB","pmkb","EXACT","Y","10.0","Exact name match","","","","","","",""
"REBASE","rebase","EXACT","Y","10.0","Exact name match","","","","","","",""
"BFluenza","bfluenza","EXACT","Y","10.0","Exact name match","","","","","","",""
"GROMACS","gromacs","EXACT","Y","10.0","Exact name match","","","","","","",""
"OGDD","ogdd","EXACT","Y","10.0","Exact name match","","","","","","",""
"GigaDB","gigadb","EXACT","Y","10.0","Exact name match","","","","","","",""
"LncRNA2Target","lncrna2target","EXACT","Y","10.0","Exact name match","","","","","","",""
"BBCancer","bbcancer","EXACT","Y","10.0","Exact name match","","","","","","",""
"miREnvironment","mirenvironment","EXACT","Y","10.0","Exact name match","","","","","","",""
"MoonProt","moonprot","EXACT","Y","10.0","Exact name match","","","","","","",""
"PerMM","permm","EXACT","Y","10.0","Exact name match","","","","","","",""
"BBGD454","bbgd454","EXACT","Y","10.0","Exact name match","","","","","","",""
"PeTMbase","petmbase","EXACT","Y","10.0","Exact name match","","","","","","",""
"APD3","apd3","EXACT","Y","10.0","Exact name match","","","","","","",""
"iLIR@viral","ilir@viral","EXACT","Y","10.0","Exact name match","","","","","","",""
"HuVarBase","huvarbase","EXACT","Y","10.0","Exact name match","","","","","","",""
"ccNET","ccnet","EXACT","Y","10.0","Exact name match","","","","","","",""
"JET2","jet2","EXACT","Y","10.0","Exact name match","","","","","","",""
"RiceXPro","ricexpro","EXACT","Y","10.0","Exact name match","","","","","","",""
"TOMATOMICS","tomatomics","EXACT","Y","10.0","Exact name match","","","","","","",""
"qPhos","qphos","EXACT","Y","10.0","Exact name match","","","","","","",""
"SILVA","silva","EXACT","Y","10.0","Exact name match","","","","","","",""
"ProTargetMiner","protargetminer","EXACT","Y","10.0","Exact name match","","","","","","",""
"CancerNet","cancernet","EXACT","Y","10.0","Exact name match","","","","","","",""
"HPREP","hprep","EXACT","Y","10.0","Exact name match","","","","","","",""
"Fibromine","fibromine","EXACT","Y","10.0","Exact name match","","","","","","",""
"GCGVD","gcgvd","EXACT","Y","10.0","Exact name match","","","","","","",""
"BmTEdb","bmtedb","EXACT","Y","10.0","Exact name match","","","","","","",""
"IIID","iiid","EXACT","Y","10.0","Exact name match","","","","","","",""
"ImmunemiR","immunemir","EXACT","Y","10.0","Exact name match","","","","","","",""
"mirDIP","mirdip","EXACT","Y","10.0","Exact name match","","","","","","",""
"INstruct","instruct","EXACT","Y","10.0","Exact name match","","","","","","",""
"tRex","trex","EXACT","Y","10.0","Exact name match","","","","","","",""
"CIRCpedia","circpedia","EXACT","Y","10.0","Exact name match","","","","","","",""
"WERAM","weram","EXACT","Y","10.0","Exact name match","","","","","","",""
"dbMDEGA","dbmdega","EXACT","Y","10.0","Exact name match","","","","","","",""
"Myosinome","myosinome","EXACT","Y","10.0","Exact name match","","","","","","",""
"Gemma","gemma","EXACT","Y","10.0","Exact name match","","","","","","",""
"Ebolabase","ebolabase","EXACT","Y","10.0","Exact name match","","","","","","",""
"HotRegion","hotregion","EXACT","Y","10.0","Exact name match","","","","","","",""
"UniHI","unihi","EXACT","Y","10.0","Exact name match","","","","","","",""
"LipidHome","lipidhome","EXACT","Y","10.0","Exact name match","","","","","","",""
"Haemopedia","haemopedia","EXACT","Y","10.0","Exact name match","","","","","","",""
"DeOri","deori","EXACT","Y","10.0","Exact name match","","","","","","",""
"CottonGVD","cottongvd","EXACT","Y","10.0","Exact name match","","","","","","",""
"BioMaster","biomaster","EXACT","Y","10.0","Exact name match","","","","","","",""
"yApoptosis","yapoptosis","EXACT","Y","10.0","Exact name match","","","","","","",""
"UET","uet","EXACT","Y","10.0","Exact name match","","","","","","",""
"BioPortal","bioportal","EXACT","Y","10.0","Exact name match","","","","","","",""
"CANTATAdb","cantatadb","EXACT","Y","10.0","Exact name match","","","","","","",""
"BmncRNAdb","bmncrnadb","EXACT","Y","10.0","Exact name match","","","","","","",""
"AraGWAS","aragwas","EXACT","Y","10.0","Exact name match","","","","","","",""
"CHESS","chess","EXACT","Y","10.0","Exact name match","","","","","","",""
"MetOSite","metosite","EXACT","Y","10.0","Exact name match","","","","","","",""
"GRALL","grall","EXACT","Y","10.0","Exact name match","","","","","","",""
"ValidNESs","validness","EXACT","Y","10.0","Exact name match","","","","","","",""
"GenOrigin","genorigin","EXACT","Y","10.0","Exact name match","","","","","","",""
"SCOP","scop","EXACT","Y","10.0","Exact name match","","","","","","",""
"MeDReaders","medreaders","EXACT","Y","10.0","Exact name match","","","","","","",""
"RHeference","rheference","EXACT","Y","10.0","Exact name match","","","","","","",""
"GREG","greg","EXACT","Y","10.0","Exact name match","","","","","","",""
"MVP","mvp","EXACT","Y","10.0","Exact name match","","","","","","",""
"BacterialLectinDb","bacteriallectindb","EXACT","Y","10.0","Exact name match","","","","","","",""
"HopBase","hopbase","EXACT","Y","10.0","Exact name match","","","","","","",""
"miPepBase","mipepbase","EXACT","Y","10.0","Exact name match","","","","","","",""
"SwissBioisostere","swissbioisostere","EXACT","Y","10.0","Exact name match","","","","","","",""
"iGNM","ignm","EXACT","Y","10.0","Exact name match","","","","","","",""
"LIPABASE","lipabase","EXACT","Y","10.0","Exact name match","","","","","","",""
"SalmonDB","salmondb","EXACT","Y","10.0","Exact name match","","","","","","",""
"SCDb","scdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"biochem4j","biochem4j","EXACT","Y","10.0","Exact name match","","","","","","",""
"HistoneDB","histonedb","EXACT","Y","10.0","Exact name match","","","","","","",""
"WGVD","wgvd","EXACT","Y","10.0","Exact name match","","","","","","",""
"lncRNome","lncrnome","EXACT","Y","10.0","Exact name match","","","","","","",""
"BGDB","bgdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"HEROD","herod","EXACT","Y","10.0","Exact name match","","","","","","",""
"IndiGenomes","indigenomes","EXACT","Y","10.0","Exact name match","","","","","","",""
"KinetochoreDB","kinetochoredb","EXACT","Y","10.0","Exact name match","","","","","","",""
"CircNet","circnet","EXACT","Y","10.0","Exact name match","","","","","","",""
"CardioTF","cardiotf","EXACT","Y","10.0","Exact name match","","","","","","",""
"UniLectin","unilectin","EXACT","Y","10.0","Exact name match","","","","","","",""
"PNRD","pnrd","EXACT","Y","10.0","Exact name match","","","","","","",""
"GenomeTrakrCP","genometrakrcp","EXACT","Y","10.0","Exact name match","","","","","","",""
"TENOR","tenor","EXACT","Y","10.0","Exact name match","","","","","","",""
"CMBD","cmbd","EXACT","Y","10.0","Exact name match","","","","","","",""
"BGMUT","bgmut","EXACT","Y","10.0","Exact name match","","","","","","",""
"GLASS","glass","EXACT","Y","10.0","Exact name match","","","","","","",""
"Degradome","degradome","EXACT","Y","10.0","Exact name match","","","","","","",""
"Transcriptomine","transcriptomine","EXACT","Y","10.0","Exact name match","","","","","","",""
"HBFP","hbfp","EXACT","Y","10.0","Exact name match","","","","","","",""
"GGBN","ggbn","EXACT","Y","10.0","Exact name match","","","","","","",""
"Kalium","kalium","EXACT","Y","10.0","Exact name match","","","","","","",""
"CNSA","cnsa","EXACT","Y","10.0","Exact name match","","","","","","",""
"miRCancer","mircancer","EXACT","Y","10.0","Exact name match","","","","","","",""
"TRIP","trip","EXACT","Y","10.0","Exact name match","","","","","","",""
"BacMap","bacmap","EXACT","Y","10.0","Exact name match","","","","","","",""
"AraNet","aranet","EXACT","Y","10.0","Exact name match","","","","","","",""
"Selectome","selectome","EXACT","Y","10.0","Exact name match","","","","","","",""
"ChiTaRS","chitars","EXACT","Y","10.0","Exact name match","","","","","","",""
"eyeIntegration","eyeintegration","EXACT","Y","10.0","Exact name match","","","","","","",""
"recount3","recount3","EXACT","Y","10.0","Exact name match","","","","","","",""
"APID","apid","EXACT","Y","10.0","Exact name match","","","","","","",""
"PDB","pdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"MuteinDB","muteindb","EXACT","Y","10.0","Exact name match","","","","","","",""
"OPA1","opa1","EXACT","Y","10.0","Exact name match","","","","","","",""
"eQTL","eqtl","EXACT","Y","10.0","Exact name match","","","","","","",""
"pseudoMap","pseudomap","EXACT","Y","10.0","Exact name match","","","","","","",""
"SpectraBank","spectrabank","EXACT","Y","10.0","Exact name match","","","","","","",""
"TerrestrialMetagenomeDB","terrestrialmetagenomedb","EXACT","Y","10.0","Exact name match","","","","","","",""
"TimeTree","timetree","EXACT","Y","10.0","Exact name match","","","","","","",""
"miREC","mirec","EXACT","Y","10.0","Exact name match","","","","","","",""
"TreeshrewDB","treeshrewdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"RAC","rac","EXACT","Y","10.0","Exact name match","","","","","","",""
"FVD","fvd","EXACT","Y","10.0","Exact name match","","","","","","",""
"Camps","camps","EXACT","Y","10.0","Exact name match","","","","","","",""
"ANDB","andb","EXACT","Y","10.0","Exact name match","","","","","","",""
"DaVIE","davie","EXACT","Y","10.0","Exact name match","","","","","","",""
"REGene","regene","EXACT","Y","10.0","Exact name match","","","","","","",""
"AmyLoad","amyload","EXACT","Y","10.0","Exact name match","","","","","","",""
"Negatome","negatome","EXACT","Y","10.0","Exact name match","","","","","","",""
"MPDB","mpdb","EXACT","Y","10.0","Exact name match","","","","","","",""
"EDR","edr","EXACT","Y","10.0","Exact name match","","","","","","",""
"GExplore","gexplore","EXACT","Y","10.0","Exact name match","","","","","","",""
"BiGG","bigg","EXACT","Y","10.0","Exact name match","","","","","","",""
