"pmid","title","has_url","is_false_positive","confidence","reason","consol_agent_agree","consol_is_fp","consol_reason"
"24225323, 27899627, 28968762, 29277864, 31667520","PATRIC, the bacterial bioinformatics database and analysis resource.","True","N","high","Title explicitly contains 'database' and 'resource'.","Y","",""
"23734660, 33772585, 25300482","Query enhancement through the practical application of ontology: the IEDB and OBI.","True","N","high","IEDB is Immune Epitope Database; describes database resource.","Y","",""
"22700702, 23504016, 24175918","RegPrecise web services interface: programmatic access to the transcriptional regulatory interactions in bacteria reconstructed by comparative genomics.","True","N","medium","Web services for accessing transcriptional regulatory data; database resource.","Y","",""
"22096230, 33136286, 26481357, 33211851","WikiPathways: building research communities on biological pathways.","True","N","high","WikiPathways is a pathway database resource.","Y","",""
"24203711, 29126136","DrugBank 4.0: shedding new light on drug metabolism.","True","N","high","Title explicitly contains 'DrugBank' which is a database.","Y","",""
"29106664, 31665479","ProteomicsDB.","True","N","high","Title explicitly contains 'DB' (database).","Y","",""
"23193266, 27899616","The TissueNet database of human tissue protein-protein interactions.","True","N","high","Title explicitly contains 'database'.","Y","",""
"26519400, 26585406, 31423653","KEGG Bioinformatics Resource for Plant Genomics and Metabolomics.","True","N","high","Title explicitly contains 'Resource' for genomics data.","Y","",""
"25964630, 29220439","PsyGeNET: a knowledge platform on psychiatric disorders and their genes.","True","N","high","Title describes a knowledge platform (database).","Y","",""
"24311565, 29106611","mVOC: a database of microbial volatiles.","True","N","high","Title explicitly contains 'database'.","Y","",""
"22140110, 30371825, 26400175","PubChem's BioAssay Database.","True","N","high","Title explicitly contains 'Database'.","Y","",""
"24316578, 25510495, 29112715, 30615123, 33270901, 26553804, 29220466","RefSeq microbial genomes database: new representation and annotation strategy.","True","N","high","Title explicitly contains 'database'.","Y","",""
"27404214, 32421310","ATLAS of Biochemistry: A Repository of All Possible Biochemical Reactions for Synthetic Biology and Metabolic Engineering Studies.","True","N","high","Title explicitly contains 'Repository' and 'ATLAS' for biochemical data.","Y","",""
"26481356, 30407549","Lnc2Cancer: a manually curated database of experimentally supported lncRNAs associated with various human cancers.","True","N","high","Title explicitly contains 'database'.","Y","",""
"32393257, 32393257","MyoMiner: explore gene co-expression in normal and pathological muscle.","True","N","medium","Name suggests database; 'explore' indicates resource for querying data.","Y","",""
"21989406, 24009883, 26434508","ExoCarta 2012: database of exosomal proteins, RNA and lipids.","True","N","high","Title explicitly contains 'database'.","Y","",""
"27451428, 32385526","SZDB: A Database for Schizophrenia Genetic Research.","True","N","high","Title explicitly contains 'Database'.","Y","",""
"25425034, 30371818","piRBase: a web resource assisting piRNA functional study.","True","N","high","Title explicitly contains 'resource'; database suffix in name.","Y","",""
"23674824, 25332398, 31836896","Elucidating human phosphatase-substrate networks.","True","N","medium","Title suggests analysis but URL and database context indicate resource.","Y","",""
"22096228, 26433225, 29788229, 24178028","SubtiWiki--a comprehensive community resource for the model organism Bacillus subtilis.","True","N","high","Title explicitly contains 'resource'.","Y","",""
"24234438, 32248568, 27924022","Developments in FINDbase worldwide database for clinically relevant genomic variation allele frequencies.","True","N","high","Title explicitly contains 'database'.","Y","",""
"24225320, 30357347","The Genome Database for Rosaceae (GDR): year 10 update.","True","N","high","Title explicitly contains 'Database'.","Y","",""
"26578592, 27899595, 30407594, 27193693","PANTHER version 10: expanded protein families and functions, and analysis tools.","True","N","high","PANTHER is a protein family database resource.","Y","",""
"28011601, 30759212, 33242091","CSDB_GT: a new curated database on glycosyltransferases.","True","N","high","Title explicitly contains 'database'.","Y","",""
"24185702, 29165593, 33539890","FunCoup 3.0: database of genome-wide functional coupling networks.","True","N","high","Title explicitly contains 'database'.","Y","",""
"21995777, 26589635","BRAD, the genetics and genomics database for Brassica plants.","True","N","high","Title explicitly contains 'database'.","Y","",""
"22127870, 24288371","The Pfam protein families database.","True","N","high","Title explicitly contains 'database'.","Y","",""
"22135291, 25332395","Rhea--a manually curated resource of biochemical reactions.","True","N","high","Title explicitly contains 'resource' for biochemical data.","Y","",""
"22139911, 25593349, 27899619, 31724716","neXtProt: a knowledge platform for human proteins.","True","N","high","Title describes a knowledge platform (database).","Y","",""
"23193264, 24259429, 29688360, 23193287, 25414350, 33196830","Database resources of the National Center for Biotechnology Information.","True","N","high","Title explicitly contains 'Database resources'.","Y","",""
"23203871, 28782718, 30476243, 25352553, 27924014, 33237311","STRING v9.1: protein-protein interaction networks, with increased coverage and integration.","True","N","high","STRING is a protein interaction database.","Y","",""
"22434842, 29126148","Tracking and coordinating an international curation effort for the CCDS Project.","True","N","high","CCDS is a collaborative database project.","Y","",""
"30265627, 33313778","VIPERdb: A Tool for Virus Research.","True","N","high","Title contains 'db' (database) in name.","N","Y","Title contains methodology pattern ('tool for', 'method for', etc.)"
"22075998, 23193274, 23448259","ENCODE whole-genome data in the UCSC Genome Browser: update 2012.","True","N","high","Describes data in genome browser database.","Y","",""
"22039152, 30835791","ProGlycProt: a repository of experimentally characterized prokaryotic glycoproteins.","True","N","high","Title explicitly contains 'repository'.","Y","",""
"23193269, 27899624, 28968784, 31647104","MicroScope--an integrated microbial resource for the curation and comparative analysis of genomic and metabolic data.","True","N","high","Title explicitly contains 'resource' for genomic data.","Y","",""
"27794040, 30357420, 33152092","Genomes OnLine Database (GOLD) v.6: data updates and feature enhancements.","True","N","high","Title explicitly contains 'Database'.","Y","",""
"21785142, 26888907, 26896847, 26980512, 27337980, 28365736, 31691826, 33137190","Ensembl BioMarts: a hub for data retrieval across taxonomic space.","True","N","high","Describes data hub/database resource.","Y","",""
"23175615, 27903906, 29761457","EuPathDB: the eukaryotic pathogen database.","True","N","high","Title explicitly contains 'database'.","Y","",""
"22067448, 26578559, 30395255","VFDB 2012 update: toward the genetic diversity and molecular evolution of bacterial virulence factors.","True","N","high","VFDB is virulence factor database.","Y","",""
"29532461, 33074547","HpBase: A genome database of a sea urchin, Hemicentrotus pulcherrimus.","True","N","high","Title explicitly contains 'database'.","Y","",""
"22110036, 26578557, 33166388","LegumeIP: an integrative database for comparative genomics and transcriptomics of model legumes.","True","N","high","Title explicitly contains 'database'.","Y","",""
"22086958, 29126224, 25378318","DBTSS: DataBase of Transcriptional Start Sites progress report in 2012.","True","N","high","Title explicitly contains 'DataBase'.","Y","",""
"26582914, 29155946, 30664776","GPCRdb: an information system for G protein-coupled receptors.","True","N","high","Title contains 'db' (database) and describes information system.","Y","",""
"23192552, 26476454, 23193276, 31742321","Molecular network analysis of diseases and drugs in KEGG.","True","N","high","KEGG is a pathway database resource.","Y","",""
"23203869, 30445541","SIFTS: Structure Integration with Function, Taxonomy and Sequences resource.","True","N","high","Title explicitly contains 'resource'.","Y","",""
"23180787, 25161662","SUBA3: a database for integrating experimentation and prediction to define the SUBcellular location of proteins in Arabidopsis.","True","N","high","Title explicitly contains 'database'.","Y","",""
"22110025, 23180790, 24194602, 26578571, 30357349, 33156332, 25477381, 31724722","The DNA Data Bank of Japan launches a new resource, the DDBJ Omics Archive of functional genomics experiments.","True","N","high","Title explicitly contains 'Data Bank' and 'resource'.","Y","",""
"26612867, 33436076","The Dfam database of repetitive DNA families.","True","N","high","Title explicitly contains 'database'.","Y","",""
"22006842, 23202522, 30593617","ViPR: an open bioinformatics database and analysis resource for virology research.","True","N","high","Title explicitly contains 'database' and 'resource'.","Y","",""
"21543339, 22067452, 29069413, 24194605, 29761466","Methods and strategies for gene structure curation in WormBase.","True","N","high","WormBase is a genomic database.","Y","",""
"22139925, 26615194","GWASdb: a database for human genetic variants identified by genome-wide association studies.","True","N","high","Title explicitly contains 'database'.","Y","",""
"23161680, 27987169","TropGeneDB, the multi-tropical crop information system updated and extended.","True","N","high","Title contains 'DB' and describes information system.","Y","",""
"22135294, 33196801","NONCODE v3.0: integrative annotation of long noncoding RNAs.","True","N","high","NONCODE is a lncRNA database.","Y","",""
"29662024, 32679723","PKIDB: A Curated, Annotated and Updated Database of Protein Kinase Inhibitors in Clinical Trials.","True","N","high","Title explicitly contains 'Database'.","Y","",""
"23193273, 25378343","EPD and EPDnew, high-quality promoter resources in the next-generation sequencing era.","True","N","high","Title explicitly contains 'resources'.","Y","",""
"22102576, 29059334","The MetaCyc database of metabolic pathways and enzymes and the BioCyc collection of pathway/genome databases.","True","N","high","Title explicitly contains 'database'.","Y","",""
"22661649, 28453683, 32696355, 25361972","MobiDB: a comprehensive database of intrinsic protein disorder annotations.","True","N","high","Title explicitly contains 'database'.","Y","",""
"24009897, 25388151, 25704310","EVpedia: an integrated database of high-throughput data for systemic analyses of extracellular vesicles.","True","N","high","Title explicitly contains 'database'.","Y","",""
"23203884, 26527724, 29220462, 23327937","RegulonDB v8.0: omics data sets, evolutionary conservation, regulatory phrases, cross-validated gold standards and more.","True","N","high","Title contains 'DB' (database).","Y","",""
"26476458, 33125071","GlyTouCan 1.0--The international glycan structure repository.","True","N","high","Title explicitly contains 'repository'.","Y","",""
"26516188, 30407591, 31583635","Integrated interactions database: tissue-specific view of the human and model organism interactomes.","True","N","high","Title explicitly contains 'database'.","Y","",""
"29036527, 31797049","iSyTE 2.0: a database for expression-based gene discovery in the eye.","True","N","high","Title explicitly contains 'database'.","Y","",""
"26527729, 29140531, 30485709","sORFs.org: a repository of small ORFs identified by ribosome profiling.","True","N","high","Title explicitly contains 'repository'.","Y","",""
"23125366, 24139024, 25313157, 25380782, 29059324, 29761462, 31733057","Xenbase: expansion and updates of the Xenopus model organism database.","True","N","high","Title explicitly contains 'database'.","Y","",""
"22629346, 25428357","arrayMap: a reference resource for genomic copy number imbalances in human malignancies.","True","N","high","Title explicitly contains 'resource'.","Y","",""
"25708775, 32898258","EXPath: a database of comparative expression analysis inferring metabolic pathways for plants.","True","N","high","Title explicitly contains 'database'.","Y","",""
"29762640, 33683131","MRMAssayDB: an integrated resource for validated targeted proteomics assays.","True","N","high","Title contains 'DB' and 'resource'.","Y","",""
"27899569, 31722416","MEGARes: an antimicrobial resistance database for high throughput sequencing.","True","N","high","Title explicitly contains 'database'.","Y","",""
"22366368, 26248563","ITS2 database IV: interactive taxon sampling for internal transcribed spacer 2 based phylogenies.","True","N","high","Title explicitly contains 'database'.","Y","",""
"24285305, 29140524","NONCODEv4: exploring the world of long non-coding RNA genes.","True","N","high","NONCODE is a lncRNA database.","Y","",""
"23193290, 30418626, 26578568","DbPTM 3.0: an informative resource for investigating substrate site specificity and functional association of protein post-translational modifications.","True","N","high","Title contains 'Db' and 'resource'.","Y","",""
"22080514, 24163105, 30963491","PolymiRTS Database 2.0: linking polymorphisms in microRNA target sites with human diseases and complex traits.","True","N","high","Title explicitly contains 'Database'.","Y","",""
"22110040, 26615199, 31680160, 24214962","ELM--the database of eukaryotic linear motifs.","True","N","high","Title explicitly contains 'database'.","Y","",""
"26084703, 29761459, 27933520","A unified gene catalog for the laboratory mouse reference genome.","True","N","high","Title describes a gene catalog (database).","Y","",""
"21296746, 27009807, 27736745, 27602200, 29761460","RGD: a comparative genomics platform.","True","N","high","RGD (Rat Genome Database) is a genomic platform.","Y","",""
"20931385, 24217918, 27987178, 29165610, 22374386, 28713666","Gramene database: a hub for comparative plant genomics.","True","N","high","Title explicitly contains 'database'.","Y","",""
"21622657, 28453653","BAR-PLUS: the Bologna Annotation Resource Plus for functional and structural annotation of protein sequences.","True","N","high","Title explicitly contains 'Resource'.","Y","",""
"24217912, 30476213","The Human Phenotype Ontology project: linking molecular biology and disease through phenotype data.","True","N","high","HPO is a database/ontology resource.","Y","",""
"27899601, 28968848","DisProt 7.0: a major update of the database of disordered proteins.","True","N","high","Title explicitly contains 'database'.","Y","",""
"25332392, 29077939","lncRNASNP: a database of SNPs in lncRNAs and their potential functions in human and mouse.","True","N","high","Title explicitly contains 'database'.","Y","",""
"21605702, 25055920","miRWalk--database: prediction of possible miRNA binding sites by ""walking"" the genes of three genomes.","True","N","high","Title explicitly contains 'database'.","Y","",""
"21646335, 22139938","The Gene3D Web Services: a platform for identifying, annotating and comparing structural domains in protein sequences.","True","N","medium","Title contains 'platform' but also Web Services; Gene3D is a database.","Y","",""
"24214959, 26424852","BacDive--the Bacterial Diversity Metadatabase.","True","N","high","Title explicitly contains 'Metadatabase'.","Y","",""
"23203868, 30462320, 25392420","COXPRESdb: a database of comparative gene coexpression networks of eleven species for mammals.","True","N","high","Title explicitly contains 'database'.","Y","",""
"23193284, 25361965","PTMcode: a database of known and predicted functional associations between post-translational modifications in proteins.","True","N","high","Title explicitly contains 'database'.","Y","",""
"23203880, 25398902, 27899625","YM500: a small RNA sequencing (smRNA-seq) database for microRNA research.","True","N","high","Title explicitly contains 'database'.","Y","",""
"26516186, 30606230","NCG 5.0: updates of a manually curated repository of cancer genes and associated properties from cancer mutational screenings.","True","N","high","Title explicitly contains 'repository'.","Y","",""
"22140109, 29220077","The Arabidopsis Information Resource (TAIR): improved gene annotation and new tools.","True","N","high","Title explicitly contains 'Resource'.","Y","",""
"24304892, 29126174","miRTarBase update 2014: an information resource for experimentally validated miRNA-target interactions.","True","N","high","Title explicitly contains 'resource'.","Y","",""
"24939129, 34411258","Using PeptideAtlas, SRMAtlas, and PASSEL: Comprehensive Resources for Discovery and Targeted Proteomics.","True","N","high","Title explicitly contains 'Resources'; describes databases.","Y","",""
"33511845, 34506132","FMODB: The World's First Database of Quantum Mechanical Calculations for Biomacromolecules Based on the Fragment Molecular Orbital Method.","True","N","high","Title explicitly contains 'Database'.","Y","",""
"23180789, 26467479","The ChEBI reference database and ontology for biologically relevant chemistry: enhancements for 2013.","True","N","high","Title explicitly contains 'database'.","Y","",""
"26722116, 29564831","ChromothripsisDB: a curated database of chromothripsis.","True","N","high","Title explicitly contains 'database'.","Y","",""
"27899558, 31733064","pathDIP: an annotated resource for known and predicted human gene-pathway associations and pathway enrichment analysis.","True","N","high","Title explicitly contains 'resource'.","Y","",""
"22847375, 24053356","BioGPS and GXD: mouse gene expression data-the benefits and challenges of data integration.","True","N","high","BioGPS is a gene expression database.","Y","",""
"22012987, 24243840, 24951798, 26087747, 26656494","The Reactome BioMart.","True","N","high","Reactome is a pathway database; BioMart is data access tool.","Y","",""
"23161694, 25361968, 26842383, 27799471, 30304474, 23245209, 33152070","Genenames.org: the HGNC resources in 2013.","True","N","high","Title explicitly contains 'resources'; HGNC is a gene nomenclature database.","Y","",""
"24667251, 30053270","A framework for organizing cancer-related variations from existing databases, publications and NGS data using a High-performance Integrated Virtual Environment (HIVE).","True","N","medium","Describes a framework/database for organizing cancer variation data.","Y","",""
"23161682, 29156057","PRGdb 2.0: towards a community-based database model for the analysis of R-genes in plants.","True","N","high","Title explicitly contains 'database'.","Y","",""
"22661580, 33849055","ExPASy: SIB bioinformatics resource portal.","True","N","high","Title explicitly contains 'resource portal'.","Y","",""
"24334350, 26546318, 29216398","ATTED-II in 2014: evaluation of gene coexpression in agriculturally important plants.","True","N","high","ATTED-II is a coexpression database.","Y","",""
"22086950, 24157837, 26455268, 28456986, 26527717","MEROPS: the database of proteolytic enzymes, their substrates and inhibitors.","True","N","high","Title explicitly contains 'database'.","Y","",""
"24112409, 30371820","Towards a unified paradigm for sequence-based identification of fungi.","True","N","high","UNITE is a fungal database repository.","N","Y","Title contains methodology pattern ('tool for', 'method for', etc.)"
"26578696, 33661371","OryzaGenome: Genome Diversity Database of Wild Oryza Species.","True","N","high","Title explicitly contains 'Database'.","Y","",""
"26481361, 29761461, 31647100","Bovine Genome Database: new tools for gleaning function from the Bos taurus genome.","True","N","high","Title explicitly contains 'Database'.","Y","",""
"27242034, 32542109","Abasy Atlas: a comprehensive inventory of systems, global network properties and systems-level elements across bacteria.","True","N","high","Title explicitly contains 'Atlas' and describes inventory.","Y","",""
"27794045, 33211864, 30407557","Update of the FANTOM web resource: high resolution transcriptome of diverse cell types in mammals.","True","N","high","Title explicitly contains 'resource'.","Y","",""
"22086951, 23155063, 25428374, 26590259, 24227676, 26740527, 29106570, 30407534, 31691824","The UCSC Genome Browser database: extensions and updates 2011.","True","N","high","Title explicitly contains 'database'.","Y","",""
"22139929, 28605765, 31667304","BioProject and BioSample databases at NCBI: facilitating capture and organization of metadata.","True","N","high","Title explicitly contains 'databases'.","Y","",""
"32393779, 34220744","CoryneRegNet 7, the reference database and analysis platform for corynebacterial gene regulatory networks.","True","N","high","Title explicitly contains 'database' and 'platform'.","Y","",""
"24214964, 26635391, 31701128","DriverDB: an exome sequencing database for cancer driver gene identification.","True","N","high","Title explicitly contains 'database'.","Y","",""
"31405382, 31624831","The bio.tools registry of software tools and data resources for the life sciences.","True","N","high","Title describes a registry/repository of tools and resources.","Y","",""
"22110037, 23487186, 27252399, 28365727, 28451979, 30715277, 31612944, 32128557, 24265222, 26578556, 28365719, 29140510","Saccharomyces Genome Database: the genomics resource of budding yeast.","True","N","high","Title explicitly contains 'Database' and 'resource'.","Y","",""
"23175610, 24285300, 26150326, 26578600","The mouse genome database: genotypes, phenotypes, and models of human disease.","True","N","high","Title explicitly contains 'database'.","Y","",""
"23093600, 23144783, 23613709, 25326323, 27651457, 29351546, 30247620, 23221299, 27171405, 34458863","The Comparative Toxicogenomics Database: update 2013.","True","N","high","Title explicitly contains 'Database'.","Y","",""
"21321022, 22434847, 23603846, 23794737, 23881287, 25355511, 31713623, 21478484, 23255149","The Rat Genome Database curation tool suite: a set of optimized software tools enabling efficient acquisition, organization, and presentation of biological data.","True","N","high","Title explicitly contains 'Database'; describes curation tools.","Y","",""
"22260278, 27679478","Influenza research database: an integrated bioinformatics resource for influenza research and surveillance.","True","N","high","Title explicitly contains 'database' and 'resource'.","Y","",""
"21646343, 27098042, 27098042","g:Profiler--a web server for functional interpretation of gene lists (2011 update).","True","N","medium","Title contains 'web server for' which suggests tool; however g:Profiler provides database-backed analysis.","Y","",""
"22080546, 23180798, 29190397, 33166387, 26657633","The International Nucleotide Sequence Database Collaboration.","True","N","high","Title explicitly contains 'Database'.","Y","",""
"22080548, 25404130, 26615190, 30395270, 23203883, 24165880, 24214989, 26861660, 27899630, 28386528, 31722421","Major submissions tool developments at the European Nucleotide Archive.","True","N","high","Title describes Archive (database).","Y","",""
"24265223, 24318814","EMAGE mouse embryo spatial gene expression database: 2014 update.","True","N","high","Title explicitly contains 'database'.","Y","",""
"24271399, 25501940, 28365730","The Structure-Function Linkage Database.","True","N","high","Title explicitly contains 'Database'.","Y","",""
"25723102, 27402679","Gateways to the FANTOM5 promoter level mammalian expression atlas.","True","N","high","Title explicitly contains 'atlas'.","Y","",""
"21752111, 33146890, 22688270","The Human Protein Atlas as a proteomic resource for biomarker discovery.","True","N","high","Title explicitly contains 'Atlas' and 'resource'.","Y","",""
"22651224, 23616008","CORNET 2.0: integrating plant coexpression, protein-protein interactions, regulatory interactions, gene associations and functional annotations.","True","N","high","CORNET is a plant data integration database.","Y","",""
"23203891, 26980515","2P2Idb: a structural database dedicated to orthosteric modulation of protein-protein interactions.","True","N","high","Title explicitly contains 'database'.","Y","",""
"27153631, 29186503","MINTbase: a framework for the interactive exploration of mitochondrial and nuclear tRNA fragments.","True","N","high","Title contains 'base' (database) and describes data exploration.","N","Y","Methodology focus despite database component"
"30926570, 31294057","Genome Annotator Light (GAL): A Docker-based package for genome analysis and visualization.","True","Y","high","Title indicates software package for analysis; not a data repository.","N","N","Has URL and no strong FP indicators"
"22527113, 24980131","Plant rDNA database: ribosomal DNA loci information goes online.","True","N","high","Title explicitly contains 'database'.","Y","",""
"25416803, 27603020","DIANA-TarBase v7.0: indexing more than half a million experimentally supported miRNA:mRNA interactions.","True","N","high","Title contains 'Base' (database).","Y","",""
"33599248, 34561023","bc-GenExMiner 4.5: new mining module computes breast cancer differential gene expression analyses.","True","Y","medium","Title emphasizes 'mining module computes' suggesting analysis tool; however may contain curated data.","N","N","Has URL and no strong FP indicators"
"25378330, 31125569","Recent improvements to Binding MOAD: a resource for protein-ligand binding affinities and structures.","True","N","high","Title explicitly contains 'resource'.","Y","",""
"22737589, 27899561, 30395293, 31602479, 24393765, 25398906, 26615191, 29140470, 33095870","Fungal genome resources at NCBI.","True","N","high","Title explicitly contains 'resources'.","Y","",""
"34042771, 34156448, 34891750","Introducing a Platform for Integrating and Sharing Stem Cell Research Data.","True","N","high","Title describes platform for sharing data (database).","Y","",""
"23688585, 26432833","iPPI-DB: a manually curated and interactive database of small non-peptide inhibitors of protein-protein interactions.","True","N","high","Title explicitly contains 'database'.","Y","",""
"24243843, 25636622, 33095861","DEG 10, an update of the database of essential genes that includes both protein-coding genes and noncoding genomic elements.","True","N","high","Title explicitly contains 'database'.","Y","",""
"22385986, 22385986","CpGPAP: CpG island predictor analysis platform.","True","Y","high","Title indicates analysis platform/tool for prediction; not a data repository.","N","N","Has URL and no strong FP indicators"
"24301061, 31612961","GWAS Central: a comprehensive resource for the comparison and interrogation of genome-wide association studies.","True","N","high","Title explicitly contains 'resource'.","Y","",""
"29236971, 29718468","New algorithms to represent complex pseudoknotted RNA structures in dot-bracket notation.","True","Y","medium","Title emphasizes 'algorithms to represent'; methodology focus; URL suggests tool.","N","N","Has URL and no strong FP indicators"
"29023571, 33367505","PICKLE 2.0: A human protein-protein interaction meta-database employing data integration via genetic information ontology.","True","N","high","Title explicitly contains 'meta-database'.","Y","",""
"23192546, 23716640, 27081850","Analysis strategy of protein-protein interaction networks.","True","N","medium","Title suggests methodology but ViSANT is a network database/visualization tool.","Y","",""
"23321019, 28857516","Modeling of non-additive mixture properties using the Online CHEmical database and Modeling environment (OCHEM).","True","N","high","Title explicitly contains 'database'.","Y","",""
"31239187, 33129577","pHLA3D: An online database of predicted three-dimensional structures of HLA molecules.","True","N","high","Title explicitly contains 'database'.","Y","",""
"25378303, 29069517","iBeetle-Base: a database for RNAi phenotypes in the red flour beetle Tribolium castaneum.","True","N","high","Title explicitly contains 'database'.","Y","",""
"21276275, 24532766","MEMOSys: Bioinformatics platform for genome-scale metabolic models.","True","Y","medium","Title indicates platform for metabolic modeling; more tool than data repository.","N","N","Has URL and no strong FP indicators"
"30052798, 30052798","zfRegeneration: a database for gene expression profiling during regeneration.","True","N","high","Title explicitly contains 'database'.","Y","",""
"21471015, 21471015","DIME: R-package for identifying differential ChIP-seq based on an ensemble of mixture models.","True","Y","high","Title indicates R-package for analysis; software tool not data repository.","N","N","Has URL and no strong FP indicators"
"25378316, 30196491","IMGT®, the international ImMunoGeneTics information system® 25 years on.","True","N","high","Title describes information system (database).","Y","",""
"21948793, 26578601, 29140520","Therapeutic target database update 2012: a resource for facilitating target-oriented drug discovery.","True","N","high","Title explicitly contains 'database' and 'resource'.","Y","",""
"31372645, 31372645","Malaria.tools-comparative genomic and transcriptomic database for Plasmodium species.","True","N","high","Title explicitly contains 'database'.","Y","",""
"26481351, 29165655","Expression Atlas update--an integrated database of gene and protein expression in humans, animals and plants.","True","N","high","Title explicitly contains 'Atlas' and 'database'.","Y","",""
"22908213, 33221922","The UCSC genome browser and associated tools.","True","N","high","UCSC Genome Browser is a genomic database.","Y","",""
"24271396, 30976793","The European Bioinformatics Institute's data resources 2014.","True","N","high","Title explicitly contains 'data resources'.","Y","",""
"27899670, 30445434","The new NHGRI-EBI Catalog of published genome-wide association studies (GWAS Catalog).","True","N","high","Title explicitly contains 'Catalog' (database).","Y","",""
"25685613, 27899642","The UCSC Ebola Genome Portal.","True","N","high","Title describes genome portal (database).","Y","",""
"23220694, 26519402","The plant ontology as a tool for comparative plant anatomy and genomic analyses.","True","N","medium","Plant Ontology is a data resource; 'as a tool' suggests application.","N","Y","Title contains methodology pattern ('tool for', 'method for', etc.)"
"23161678, 23842463","Gene Ontology annotations and resources.","True","N","high","Title explicitly contains 'resources'; GO is database/ontology.","Y","",""
"22538508, 26361768","Computational structural analysis of proteins of Mycobacterium tuberculosis and a resource for identifying off-targets.","True","N","medium","Title mentions analysis but also 'resource'; database for protein structures.","Y","",""
"24574175, 25159016, 26227301, 25407602, 26351202","Label-free LC-MS/MS identification of phosphatidylglycerol-regulated proteins in Synechocystis sp. PCC6803.","True","N","medium","Describes proteomics data in ProteomeXchange repository.","N","Y","Title contains methodology pattern ('tool for', 'method for', etc.)"
"30701323, 32276847","Gene co-expression network analysis identifies trait-related modules in Arabidopsis thaliana.","True","N","medium","Title suggests analysis but URL indicates database resource.","Y","",""
"31598630, 31598630","Learning from the ligand: using ligand-based features to improve binding affinity prediction.","True","Y","high","Title indicates methodology for prediction; not a data repository.","N","N","Has URL and no strong FP indicators"
"21975939, 34038028","Using the PhenX Toolkit to Add Standard Measures to a Study.","True","N","high","PhenX Toolkit is a database of phenotype measures.","Y","",""
"29067135, 30088220","The braingraph.org database of high resolution structural connectomes and the brain graph tools.","True","N","high","Title explicitly contains 'database'.","Y","",""
