pmid,title,has_url,is_bioresource,reason,category
26050794,A knowledge base for Vitis vinifera functional analysis.,False,Y,"Knowledge base mentioned but no URL, not accessible",KB_NO_URL
27280867,A knowledge base for tracking the impact of genomics on population health.,False,Y,"Knowledge base mentioned but no URL, not accessible",KB_NO_URL
22110059,"pTransgenesis: a cross-species, modular transgenesis resource.",False,Y,Resource without URL likely methodology,RESOURCE_NO_URL
32521246,iEcology: Harnessing Large Online Resources to Generate Ecological Insights.,False,Y,Method for harnessing resources; no URL,RESOURCE_NO_URL
26405458,DAPPER: a data-mining resource for protein-protein interactions.,False,N,Data-mining resource without URL; unclear if houses data,RESOURCE_NO_URL
21627789,RAG: an update to the RNA-As-Graphs resource.,False,Y,"Update to resource, but unclear if houses data without URL",RESOURCE_NO_URL
33921243,Fungal Genomic Resources for Strain Identification and Diversity Analysis of 1900 Fungal Species.,False,Y,"Resource description/framework, no URL indicates not operational",RESOURCE_NO_URL
30269990,An Open Resource for Non-human Primate Imaging.,False,Y,"Resource description without URL, not operational",RESOURCE_NO_URL
30545857,Comprehensive functional genomic resource and integrative model for the human brain.,False,Y,"Resource description without URL, not accessible",RESOURCE_NO_URL
22211970,A knockout mouse resource for the biomedical research community.,False,Y,"Resource description without URL, not accessible",RESOURCE_NO_URL
30894373,An Interactive Resource to Probe Genetic Diversity and Estimated Ancestry in Cancer Cell Lines.,False,Y,"Resource mentioned but no URL, not accessible",RESOURCE_NO_URL
27193236,A curated and standardized adverse drug event resource to accelerate drug safety research.,False,Y,"Resource mentioned but no URL, not accessible",RESOURCE_NO_URL
28267743,A large-scale targeted proteomics assay resource based on an in vitro human proteome.,False,N,"Assay resource mentioned but no URL, not accessible",RESOURCE_NO_URL
23304296,ICDA: a platform for Intelligent Care Delivery Analytics.,False,N,Platform is an analytics tool not a data repository with no URL,REPOSITORY_NO_URL
22554313,"Standardized representation, visualization and searchable repository of antiretroviral treatment-change episodes.",False,N,"Repository mentioned but no URL, not accessible",REPOSITORY_NO_URL
