pmid,title,issue_type,best_url,best_url_score,best_url_title_match,best_url_matched_keywords,issue_description
30834332,RefSoil+: a Reference Database for Genes and Traits of Soil Plasmids.,FALSE_POSITIVE_URL,ftp://ftp.ncbi.nlm.nih.gov/refseq/release,13.0,False,,Reference URL detected () - likely not the announced database
30339215,MGH: a genome hub for the medicinal plant maca (Lepidium meyenii).,LOW_SCORE,http://ccdb.tau.ac.il/search/,11.0,False,,Low score (11.0) - URL may be incorrect
31169290,ResMarkerDB: a database of biomarkers of response to antibody therapy in breast and colorectal cancer.,DEAD_HIGH_SCORE,http://www.resmarkerdb.org,76.0,True,resmarkerdb,Dead URL with high score (76.0) - may need investigation
30793170,SuCComBase: a manually curated repository of plant sulfur-containing compounds.,LOW_SCORE,http://plant-scc.org,15.0,False,,Low score (15.0) - URL may be incorrect
34445647,ExpressHeart: Web Portal to Visualize Transcriptome Profiles of Non-Cardiomyocyte Cells.,DEAD_HIGH_SCORE,http://shiny.bios.unc.edu/expressheart/,63.0,True,expressheart,Dead URL with high score (63.0) - may need investigation
32024829,ProtCID: a data resource for structural information on protein interactions.,DEAD_HIGH_SCORE,http://dunbrack2.fccc.edu/ProtCiD/IPdbfam/PfamLigands.aspx?Ligand=HEM,73.0,True,protcid,Dead URL with high score (73.0) - may need investigation
29470400,RaMP: A Comprehensive Relational Database of Metabolomics Pathways for Pathway Enrichment Analysis of Genes and Metabolites.,FALSE_POSITIVE_URL,http://rest.kegg.jp/list/pathway/hsa,50.0,True,pathway,Reference URL detected (rest.kegg.jp) - likely not the announced database
23180770,ASGARD: an open-access database of annotated transcriptomes for emerging model arthropod species.,LOW_SCORE,http://arthropodgenomes.org/wiki/i5K,13.0,False,,Low score (13.0) - URL may be incorrect
31267133,piRDisease v1.0: a manually curated database for piRNA associated diseases.,LOW_SCORE,http://piwirna2disease.org/,15.0,False,,Low score (15.0) - URL may be incorrect
23660284,dbWFA: a web-based database for functional annotation of Triticum aestivum transcripts.,LOW_SCORE,http://avena.pw.usda.gov/genome/,13.0,False,,Low score (13.0) - URL may be incorrect
23134618,C²Maps: a network pharmacology database with comprehensive disease-gene-drug connectivity relationships.,LOW_SCORE,http://www.biomedcentral.com/bmcgenomics/supplements/13/S6,18.0,False,,Low score (18.0) - URL may be incorrect
21992002,The BioLexicon: a large-scale terminological resource for biomedical text mining.,FALSE_POSITIVE_URL,http://www.ebi.ac.uk/Rebholz-srv/BioLexicon/biolexicon.html,73.0,True,biolexicon,Reference URL detected (www.ebi.ac.uk) - likely not the announced database
29564396,A Reference Viral Database (RVDB) To Enhance Bioinformatics Analysis of High-Throughput Sequencing for Novel Virus Detection.,DEAD_HIGH_SCORE,https://hive.biochemistry.gwu.edu/rvdb,63.0,True,rvdb,Dead URL with high score (63.0) - may need investigation
31001319,FeatSNP: An Interactive Database for Brain-Specific Epigenetic Annotation of Human SNPs.,LOW_SCORE,http://www.roadmapepigenomics.org/,13.0,False,,Low score (13.0) - URL may be incorrect
34206969,PhaLP: A Database for the Study of Phage Lytic Proteins and Their Evolution.,DEAD_HIGH_SCORE,https://www.phalp.org/database,63.0,True,"database, phalp",Dead URL with high score (63.0) - may need investigation
30722041,The radish genome database (RadishGD): an integrated information resource for radish genomics.,DEAD_HIGH_SCORE,http://radish-genome.org,63.0,True,"radish, genome",Dead URL with high score (63.0) - may need investigation
22408426,Aggregating data for computational toxicology applications: The U.S. Environmental Protection Agency (EPA) Aggregated Computational Toxicology Resource (ACToR) System.,DEAD_HIGH_SCORE,http://actor.epa.gov/actor/faces/ToxCastDB/Home.jsp,73.0,True,"epa, actor",Dead URL with high score (73.0) - may need investigation
28556827,"""RiceAtlas, a spatial database of global rice calendars and production.""",LOW_SCORE,http://www.fao.org/faostat/en/#home,5.0,False,,Low score (5.0) - URL may be incorrect
26228432,"""OCDB: a database collecting genes, miRNAs and drugs for obsessive-compulsive disorder.""",DEAD_HIGH_SCORE,http://alpha.dmi.unict.it/ocdb/,58.0,True,ocdb,Dead URL with high score (58.0) - may need investigation
26425431,NanoE-Tox: New and in-depth database concerning ecotoxicity of nanomaterials.,DEAD_HIGH_SCORE,http://www.toxnet.nlm.nih.gov/newtoxnet/hsdb.htm,73.0,True,tox,Dead URL with high score (73.0) - may need investigation
32353048,Nutrimedia: A novel web-based resource for the general public that evaluates the veracity of nutrition claims using the GRADE approach.,DEAD_HIGH_SCORE,https://bestpractice.bmj.com/info/us/toolkit/learn-ebm/what-is-grade/,58.0,True,grade,Dead URL with high score (58.0) - may need investigation
30256987,AGD: Aneurysm Gene Database.,DEAD_HIGH_SCORE,http://www.ncbi.nih.gov/gene,63.0,True,gene,Dead URL with high score (63.0) - may need investigation
26297754,The INDEPTH Data Repository: An International Resource for Longitudinal Population and Health Data From Health and Demographic Surveillance Systems.,DEAD_HIGH_SCORE,http://www.indepth-ishare.org,55.0,True,indepth,Dead URL with high score (55.0) - may need investigation
30891576,LasDB: A collective database for laboratory animal strain resources.,LOW_SCORE,http://www.wanfangdata.com.cn,11.0,False,,Low score (11.0) - URL may be incorrect
30788499,FairBase: a comprehensive database of fungal A-to-I RNA editing.,LOW_SCORE,https://broadinstitute.github.io/picard,0.0,False,,Low score (0.0) - URL may be incorrect
29669592,GGDonto ontology as a knowledge-base for genetic diseases and disorders of glycan metabolism and their causative genes.,DEAD_HIGH_SCORE,http://jcggdb.jp/rdf/diseases/ggdonto-schema%23,61.0,True,ggdonto,Dead URL with high score (61.0) - may need investigation
24758335,EndoNet: an information resource about the intercellular signaling network.,DEAD_HIGH_SCORE,http://endonet.bioinf.med.uni-goettingen.de,68.0,True,endonet,Dead URL with high score (68.0) - may need investigation
28535294,HGVA: the Human Genome Variation Archive.,DEAD_HIGH_SCORE,http://docs.opencb.org/display/hgva/Datasets+and+Studies,73.0,True,hgva,Dead URL with high score (73.0) - may need investigation
25061374,"""CracidMex1: a comprehensive database of global occurrences of cracids (Aves, Galliformes) with distribution in Mexico.""",DEAD_HIGH_SCORE,http://www.bio-nica.info/biblioteca/ListaPatronAvesNicaragua2007.pdf,58.0,True,aves,Dead URL with high score (58.0) - may need investigation
29970001,Plant organelle RNA editing and its specificity factors: enhancements of analyses and new database features in PREPACT 3.0.,DEAD_HIGH_SCORE,ppr.plantenergy.uwa.edu.au,65.0,True,plant,Dead URL with high score (65.0) - may need investigation
21992659,MedEval - A Swedish medical test collection with doctors and patients user groups.,LOW_SCORE,http://www.jbiomedsem.com/supplements/2/S3,18.0,False,,Low score (18.0) - URL may be incorrect
33214792,ANSH: Multimodal Neuroimaging Database Including MR Spectroscopic Data From Each Continent to Advance Alzheimer's Disease Research.,LOW_SCORE,https://ida.loni.usc.edu,5.0,False,,Low score (5.0) - URL may be incorrect
32935014,A Pan-Canadian Data Resource for Monitoring Child Developmental Health: The Canadian Neighbourhoods and Early Child Development (CanNECD) Database.,LOW_SCORE,https://edi.offordcentre.com/resources/bibliography-of-the-edi/,18.0,False,,Low score (18.0) - URL may be incorrect
34316704,Cancer LncRNA Census 2 (CLC2): an enhanced resource reveals clinical features of cancer lncRNAs.,DEAD_HIGH_SCORE,http://biophy.dzu.edu.cn/EVLncRNAs/,63.0,True,lncrna,Dead URL with high score (63.0) - may need investigation
32719846,OPTIK: a database for understanding catchment areas to guide mobilization of cancer center assets.,LOW_SCORE,https://egems.academyhealth.org/articles/10.5334/egems.305/,5.0,False,,Low score (5.0) - URL may be incorrect
34132786,"""efam: an expanded, metaproteome-supported HMM profile database of viral protein families.""",LOW_SCORE,http://vogdb.org/,16.0,False,,Low score (16.0) - URL may be incorrect
34253812,DES-Tcell is a knowledgebase for exploring immunology-related literature.,DEAD_HIGH_SCORE,http://cbrc.kaust.edu.sa/des-tcell/,65.0,True,"des, tcell",Dead URL with high score (65.0) - may need investigation
29095940,ExpressionDB: An open source platform for distributing genome-scale datasets.,LOW_SCORE,https://www.rstudio.com/products/shiny/download-server/,18.0,False,,Low score (18.0) - URL may be incorrect
28981643,MareyMap Online: A User-Friendly Web Application and Database Service for Estimating Recombination Rates Using Physical and Genetic Maps.,FALSE_POSITIVE_URL,https://cran.r-project.org/web/packages/MareyMap/index.html,65.0,True,mareymap,Reference URL detected (cran.r-project.org) - likely not the announced database
33552471,Establishing the South Australian Macrobenthic Traits (SAMT) database: A trait classification for functional assessments.,LOW_SCORE,https://CRAN.R‐project.org/package=vegan,5.0,False,,Low score (5.0) - URL may be incorrect
28112271,"""SecretEPDB: A comprehensive web-based resource for secreted effector proteins of the bacterial types III, IV and VI secretion systems.""",DEAD_HIGH_SCORE,http://secretepdb.erc.monash.edu.au/submission.jsp,76.0,True,secretepdb,Dead URL with high score (76.0) - may need investigation
28127234,RAINBIO: a mega-database of tropical African vascular plants distributions.,DEAD_HIGH_SCORE,http://rainbio.cesab.org/,63.0,True,rainbio,Dead URL with high score (63.0) - may need investigation
31250015,MolMeDB: Molecules on Membranes Database.,DEAD_HIGH_SCORE,http://molmedb.upol.cz,71.0,True,molmedb,Dead URL with high score (71.0) - may need investigation
31529106,ApicoTFdb: the comprehensive web repository of apicomplexan transcription factors and transcription-associated co-factors.,LOW_SCORE,http://bioinfo.icgeb.res.in/PtDB/,8.0,False,,Low score (8.0) - URL may be incorrect
31819989,NeoPeptide: an immunoinformatic database of T-cell-defined neoantigens.,DEAD_HIGH_SCORE,http://www.neopeptide.cn,50.0,True,neopeptide,Dead URL with high score (50.0) - may need investigation
31820805,UPObase: an online database of unspecific peroxygenases.,DEAD_HIGH_SCORE,upobase.bioinformaticsreview.com,58.0,True,upobase,Dead URL with high score (58.0) - may need investigation
26704706,MycoBASE: expanding the functional annotation coverage of mycobacterial genomes.,DEAD_HIGH_SCORE,strong.ucdenver.edu/mycobase,65.0,True,mycobase,Dead URL with high score (65.0) - may need investigation
30944336,"""MarTurtSI, a global database of stable isotope analyses of marine turtles.""",LOW_SCORE,http://www.iucnredlist.org,5.0,False,,Low score (5.0) - URL may be incorrect
31073139,SLTChemDB: A database of chemical compounds present in Smokeless tobacco products.,LOW_SCORE,http://www.rdkit.org/,15.0,False,,Low score (15.0) - URL may be incorrect
25281234,CanvasDB: a local database infrastructure for analysis of targeted- and whole genome re-sequencing projects.,FALSE_POSITIVE_URL,ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/release/20110521/,13.0,False,,Reference URL detected () - likely not the announced database
31650170,ProtMiscuity: a database of promiscuous proteins.,DEAD_HIGH_SCORE,http://ufq.unq.edu.ar/protmiscuity,55.0,True,protmiscuity,Dead URL with high score (55.0) - may need investigation
30030469,Circ2Disease: a manually curated database of experimentally validated circRNAs in human disease.,DEAD_HIGH_SCORE,http://bioinformatics.zju.edu.cn/Circ2Disease/circRNAgroup.html,63.0,True,circ2disease,Dead URL with high score (63.0) - may need investigation
28105316,CanVar: A resource for sharing germline variation in cancer patients.,DEAD_HIGH_SCORE,http://canvar.icr.ac.uk,65.0,True,canvar,Dead URL with high score (65.0) - may need investigation
25243218,VibrioBase: a model for next-generation genome and annotation database development.,LOW_SCORE,http://vibrio.um.edu.my,5.0,False,,Low score (5.0) - URL may be incorrect
25819073,BioXpress: an integrated RNA-seq-derived gene expression database for pan-cancer analysis.,DEAD_HIGH_SCORE,http://hive.biochemistry.gwu.edu/tools/bioxpress,63.0,True,bioxpress,Dead URL with high score (63.0) - may need investigation
33392435,PhyloGenes: An online phylogenetics and functional genomics resource for plant gene function inference.,DEAD_HIGH_SCORE,http://www.phylogenes.org/grafting,63.0,True,phylogenes,Dead URL with high score (63.0) - may need investigation
34698276,"""MicroSalmon: A Comprehensive, Searchable Resource of Predicted MicroRNA Targets and 3'UTR Cis-Regulatory Elements in the Full-Length Sequenced Atlantic Salmon Transcriptome.""",FALSE_POSITIVE_URL,https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Salmo_salar/100/,13.0,False,,Reference URL detected (www.ncbi.nlm.nih.gov) - likely not the announced database
26078477,HCSD: the human cancer secretome database.,LOW_SCORE,http://www.mysql.com/,10.0,False,,Low score (10.0) - URL may be incorrect
27230105,ProCarDB: a database of bacterial carotenoids.,DEAD_HIGH_SCORE,http://bioinfo.imtech.res.in/servers/procardb/?c=aboutus&m=downloads,68.0,True,procardb,Dead URL with high score (68.0) - may need investigation
25712262,YPED: an integrated bioinformatics suite and database for mass spectrometry-based proteomics research.,DEAD_HIGH_SCORE,http://yped.med.yale.edu/yped_dist/,65.0,True,yped,Dead URL with high score (65.0) - may need investigation
24517501,SNPchiMp: a database to disentangle the SNPchip jungle in bovine livestock.,DEAD_HIGH_SCORE,http://bioinformatics.tecnoparco.org/SNPchimp,73.0,True,snpchimp,Dead URL with high score (73.0) - may need investigation
30219837,lncSLdb: a resource for long non-coding RNA subcellular localization.,DEAD_HIGH_SCORE,http://bioinformatics.xidian.edu.cn/lncSLdb,73.0,True,lncsldb,Dead URL with high score (73.0) - may need investigation
34592929,MetaGeneBank: a standardized database to study deep sequenced metagenomic data from human fecal specimen.,LOW_SCORE,http://tcm.zju.edu.cn/mgb,15.0,False,,Low score (15.0) - URL may be incorrect
34181736,CROssBAR: comprehensive resource of biomedical relations with knowledge graph representations.,FALSE_POSITIVE_URL,https://www.ebi.ac.uk/Tools/crossbar/swagger-ui.html,73.0,True,crossbar,Reference URL detected (www.ebi.ac.uk) - likely not the announced database
31608948,KOFFI and Anabel 2.0-a new binding kinetics database and its integration in an open-source binding analysis software.,DEAD_HIGH_SCORE,http://www.koffidb.org,66.0,True,koffi,Dead URL with high score (66.0) - may need investigation
23153247,PMRD: a curated database for genes and mutants involved in plant male reproduction.,DEAD_HIGH_SCORE,http://www.pmrd.org,55.0,True,pmrd,Dead URL with high score (55.0) - may need investigation
21605354,GPCR-SSFE: a comprehensive database of G-protein-coupled receptor template predictions and homology models.,DEAD_HIGH_SCORE,http://www.ssfa-7tmr.de/ssfe/,60.0,True,ssfe,Dead URL with high score (60.0) - may need investigation
25521507,cisMEP: an integrated repository of genomic epigenetic profiles and cis-regulatory modules in Drosophila.,DEAD_HIGH_SCORE,http://cosbi3.ee.ncku.edu.tw/cisMEP/,65.0,True,cismep,Dead URL with high score (65.0) - may need investigation
34688246,TAGOPSIN: collating taxa-specific gene and protein functional and structural information.,LOW_SCORE,https://biodbnet-abcc.ncifcrf.gov,13.0,False,,Low score (13.0) - URL may be incorrect
31696928,PCIR: a database of Plant Chloroplast Inverted Repeats.,DEAD_HIGH_SCORE,http://biodb.sdau.edu.cn/pcir/index.php,66.0,True,pcir,Dead URL with high score (66.0) - may need investigation
30147447,BioTIME: A database of biodiversity time series for the Anthropocene.,DEAD_HIGH_SCORE,https://data.noaa.gov/dataset/national-benthic-infaunal-database-nbid,76.0,True,database,Dead URL with high score (76.0) - may need investigation
30714190,Creation of a Curated Aquatic Toxicology Database: EnviroTox.,DEAD_HIGH_SCORE,http://www.EnviroToxdatabase.org,73.0,True,"database, envirotox",Dead URL with high score (73.0) - may need investigation
34297749,TREND database: Retinal images of healthy young subjects visualized by a portable digital non-mydriatic fundus camera.,DEAD_HIGH_SCORE,http://www.isi.uu.nl/Research/Databases/DRIVE/,68.0,True,database,Dead URL with high score (68.0) - may need investigation
33627669,"""OutFin, a multi-device and multi-modal dataset for outdoor localization based on the fingerprinting approach.""",LOW_SCORE,https://portal.3gpp.org/desktopmodules/Specifications/SpecificationDetails.aspx?specificationId=2427,16.0,False,,Low score (16.0) - URL may be incorrect
33767203,"""NLM-Chem, a new resource for chemical entity recognition in PubMed full text literature.""",FALSE_POSITIVE_URL,https://www.ncbi.nlm.nih.gov/research/bionlp/Data,73.0,True,nlm,Reference URL detected (www.ncbi.nlm.nih.gov) - likely not the announced database
31318422,IRAM: virus capsid database and analysis resource.,DEAD_HIGH_SCORE,https://iram.iau.edu.sa/,55.0,True,iram,Dead URL with high score (55.0) - may need investigation
32400867,Revenant: a database of resurrected proteins.,DEAD_HIGH_SCORE,http://revenant.inf.pucp.edu.pe/,55.0,True,revenant,Dead URL with high score (55.0) - may need investigation
22685450,ProMEX - a mass spectral reference database for plant proteomics.,DEAD_HIGH_SCORE,http://ProMEX.pph.univie.ac.at/ProMEX/,50.0,True,promex,Dead URL with high score (50.0) - may need investigation
28721381,Introducing SEARCHBreast: a virtual resource to facilitate sharing of surplus animal material developed for breast cancer research.,DEAD_HIGH_SCORE,https://searchbreast.org,65.0,True,searchbreast,Dead URL with high score (65.0) - may need investigation
23710289,NRF2-ome: an integrated web resource to discover protein interaction and regulatory networks of NRF2.,DEAD_HIGH_SCORE,http://nrf2.elte.hu/,50.0,True,nrf2,Dead URL with high score (50.0) - may need investigation
25797062,PTGBase: an integrated database to study tandem duplicated genes in plants.,DEAD_HIGH_SCORE,http://ocri-genomics.org/PTGBase/,63.0,True,ptgbase,Dead URL with high score (63.0) - may need investigation
26051157,WormGUIDES: an interactive single cell developmental atlas and tool for collaborative multidimensional data exploration.,DEAD_HIGH_SCORE,http://www.wormguides.org/open-source-software,65.0,True,wormguides,Dead URL with high score (65.0) - may need investigation
21487452,"""Existing data sources for clinical epidemiology: The clinical laboratory information system (LABKA) research database at Aarhus University, Denmark.""",LOW_SCORE,http://www.scandihealth.dk/Losninger/Laboratoriesystemer.htm,10.0,False,,Low score (10.0) - URL may be incorrect
27185890,QuadBase2: web server for multiplexed guanine quadruplex mining and visualization.,LOW_SCORE,quadbase.igib.res.in,18.0,False,,Low score (18.0) - URL may be incorrect
32074470,CoMPARA: Collaborative Modeling Project for Androgen Receptor Activity.,LOW_SCORE,https://comptox.epa.gov/dashboard/dsstoxdb/batch_search,13.0,False,,Low score (13.0) - URL may be incorrect
32661247,"""TAASRAD19, a high-resolution weather radar reflectivity dataset for precipitation nowcasting.""",LOW_SCORE,https://openradarscience.org/opendata/,13.0,False,,Low score (13.0) - URL may be incorrect
25422781,"""Remodeling Cildb, a popular database for cilia and links for ciliopathies.""",DEAD_HIGH_SCORE,http://cildb.cgm.cnrs-gif.fr/,61.0,True,cildb,Dead URL with high score (61.0) - may need investigation
32117445,CHG: A Systematically Integrated Database of Cancer Hallmark Genes.,DEAD_HIGH_SCORE,http://www.bio-bigdata.com/CHG/index.html,71.0,True,chg,Dead URL with high score (71.0) - may need investigation
28475590,Benchmarking desktop and mobile handwriting across COTS devices: The e-BioSign biometric database.,DEAD_HIGH_SCORE,https://atvs.ii.uam.es/atvs/eBioSign-DS1.html,68.0,True,biosign,Dead URL with high score (68.0) - may need investigation
34806976,A 3D adult zebrafish brain atlas (AZBA) for the digital age.,DEAD_HIGH_SCORE,azba.wayne.edu,55.0,True,azba,Dead URL with high score (55.0) - may need investigation
30644852,"""GFPLAIN250m, a global high-resolution dataset of Earth's floodplains.""",LOW_SCORE,http://srtm.csi.cgiar.org/,15.0,False,,Low score (15.0) - URL may be incorrect
31236561,SeQuery: an interactive graph database for visualizing the GPCR superfamily.,LOW_SCORE,http://cluster.phy.ntnu.edu.tw,5.0,False,,Low score (5.0) - URL may be incorrect
33543124,ConsHMM Atlas: conservation state annotations for major genomes and human genetic variation.,DEAD_HIGH_SCORE,https://ernstlab.biolchem.ucla.edu/ConsHMMAtlas/,63.0,True,conshmm,Dead URL with high score (63.0) - may need investigation
32844169,LAMP2: a major update of the database linking antimicrobial peptides.,DEAD_HIGH_SCORE,http://biotechlab.fudan.edu.cn/database/lamp/index.php,63.0,True,database,Dead URL with high score (63.0) - may need investigation
31169291,Endometriosis Knowledgebase: a gene-based resource on endometriosis.,LOW_SCORE,http://www.ek.bicnirrh.res.in,0.0,False,,Low score (0.0) - URL may be incorrect
33408850,"""<i>Vf</i>ODB: a comprehensive database of ESTs, EST-SSRs, mtSSRs, microRNA-target markers and genetic maps in <i>Vicia faba</i>.""",DEAD_HIGH_SCORE,http://vfodb.easyomics.org/,66.0,True,"vfodb, odb",Dead URL with high score (66.0) - may need investigation
29888049,"""CDISC SHARE, a Global, Cloud-based Resource of Machine-Readable CDISC Standards for Clinical and Translational Research.""",DEAD_HIGH_SCORE,https://www.cdisc.org/svstem/files/all/article/application/pdf/global_data_standards_in_chinafinal.pdf,73.0,True,"cdisc, global, standards",Dead URL with high score (73.0) - may need investigation
22639657,"""The Rice Proteogenomics Database OryzaPG-DB: Development, Expansion, and New Features.""",DEAD_HIGH_SCORE,http://oryzapg.iab.keio.ac.jp/,65.0,True,oryzapg,Dead URL with high score (65.0) - may need investigation
24966540,NeeMDB: Convenient Database for Neem Secondary Metabolites.,DEAD_HIGH_SCORE,http://www.vmsrfdatabase.org/index.php,63.0,True,database,Dead URL with high score (63.0) - may need investigation
34966754,IDbSV: An Open-Access Repository for Monitoring SARS-CoV-2 Variations and Evolution.,DEAD_HIGH_SCORE,http://IDbSV.medbiotech-lab.ma,68.0,True,idbsv,Dead URL with high score (68.0) - may need investigation
28079125,Establishment of a integrative multi-omics expression database CKDdb in the context of chronic kidney disease (CKD).,DEAD_HIGH_SCORE,http://www.padb.org/ckdbd,66.0,True,ckd,Dead URL with high score (66.0) - may need investigation
30531985,"""ZuCo, a simultaneous EEG and eye-tracking resource for natural sentence reading.""",LOW_SCORE,http://sccn.ucsd.edu/wiki/Plugin_list_process,5.0,False,,Low score (5.0) - URL may be incorrect
32405169,CpGDB : A Comprehensive Database of Chloroplast Genomes.,DEAD_HIGH_SCORE,http://www.gndu.ac.in/CpGDB,68.0,True,cpgdb,Dead URL with high score (68.0) - may need investigation
29531295,TryTransDB: A web-based resource for transport proteins in Trypanosomatidae.,LOW_SCORE,http://43.227.133.106/homePage.php,10.0,False,,Low score (10.0) - URL may be incorrect
30376049,RTPDB: a database providing associations between genetic variation or expression and cancer prognosis with radiotherapy-based treatment.,DEAD_HIGH_SCORE,http://www.rtpdb.com/,61.0,True,rtpdb,Dead URL with high score (61.0) - may need investigation
27163938,"""MycoDB, a global database of plant response to mycorrhizal fungi.""",LOW_SCORE,http://plants.usda.gov,5.0,False,,Low score (5.0) - URL may be incorrect
26549805,CSIOVDB: a microarray gene expression database of epithelial ovarian cancer subtype.,DEAD_HIGH_SCORE,http://csibio.nus.edu.sg/CSIOVDB/pages/CSIOVDB_CDH1.html,73.0,True,csiovdb,Dead URL with high score (73.0) - may need investigation
22576174,MicrobeDB: a locally maintainable database of microbial genomic sequences.,LOW_SCORE,http://biosql.org,13.0,False,,Low score (13.0) - URL may be incorrect
30053271,PharmacoDB: an integrative database for mining in vitro anticancer drug screening studies.,FALSE_POSITIVE_URL,http://web.expasy.org/cellosaurus/,5.0,False,,Reference URL detected (web.expasy.org) - likely not the announced database
30581775,MDAD: A Special Resource for Microbe-Drug Associations.,DEAD_HIGH_SCORE,http://chengroup.cumt.edu.cn/MDAD,65.0,True,mdad,Dead URL with high score (65.0) - may need investigation
24244550,C-PAmP: large scale analysis and database construction containing high scoring computationally predicted antimicrobial peptides for all the available plant species.,DEAD_HIGH_SCORE,http://bioserver-2.bioacademy.gr/Bioserver/C-PAmP/,68.0,True,pamp,Dead URL with high score (68.0) - may need investigation
30717653,MIGREW: database on molecular identification of genes for resistance in wheat.,LOW_SCORE,https://bmcbioinformatics.biomedcentral.com/articles/supplements/volume-20-supplement-1,18.0,False,,Low score (18.0) - URL may be incorrect
30722040,ZincBind-the database of zinc binding sites.,LOW_SCORE,http://www.sqlite.org,5.0,False,,Low score (5.0) - URL may be incorrect
32849792,MicroHapDB: A Portable and Extensible Database of All Published Microhaplotype Marker and Frequency Data.,LOW_SCORE,https://www.fbi.gov/services/laboratory/biometric-analysis/codis,13.0,False,,Low score (13.0) - URL may be incorrect
34278269,SISTEMA: A large and standardized collection of transcriptome data sets for human pluripotent stem cell research.,DEAD_HIGH_SCORE,http://sistema.ens-lyon.fr/Echantillons.php,60.0,True,sistema,Dead URL with high score (60.0) - may need investigation
25833954,CHOPIN: a web resource for the structural and functional proteome of Mycobacterium tuberculosis.,DEAD_HIGH_SCORE,http://structure.bioc.cam.ac.uk/chopin/,73.0,True,chopin,Dead URL with high score (73.0) - may need investigation
34720783,TuLeD (Tupían lexical database): introducing a database of a South American language family.,DEAD_HIGH_SCORE,https://tuled.org/,65.0,True,tuled,Dead URL with high score (65.0) - may need investigation
31032837,PlantMP: a database for moonlighting plant proteins.,DEAD_HIGH_SCORE,https://www.plantmp.com/api/species?species=Arabidopsis,50.0,True,plantmp,Dead URL with high score (50.0) - may need investigation
24205506,CpGislandEVO: a database and genome browser for comparative evolutionary genomics of CpG islands.,DEAD_HIGH_SCORE,http://bioinfo2.ugr.es/CpGcluster/CpGcluster.zip,68.0,True,cpg,Dead URL with high score (68.0) - may need investigation
33216895,GPCR-PEnDB: a database of protein sequences and derived features to facilitate prediction and classification of G protein-coupled receptors.,DEAD_HIGH_SCORE,gpcr.utep.edu/database,63.0,True,"database, gpcr",Dead URL with high score (63.0) - may need investigation
32142370,OncoMX: A Knowledgebase for Exploring Cancer Biomarkers in the Context of Related Cancer and Healthy Data.,DEAD_HIGH_SCORE,https://data.oncomx.org,76.0,True,oncomx,Dead URL with high score (76.0) - may need investigation
31249436,MAPKDB: A MAP kinase database for signal transduction element identification.,LOW_SCORE,https://phytozome.jgi.doe.gov/pz/portal.html,13.0,False,,Low score (13.0) - URL may be incorrect
