pmid,title,has_url,is_false_positive,confidence,reason,database_name,long_database_name,chunk,already_seen,in_baseline,resource_url
26882984,RhesusBase PopGateway: Genome-Wide Population Genetics Atlas in Rhesus Macaque.,False,N,medium,Base suffix + Atlas - data resource despite no URL,RhesusBase PopGateway,Rhesus Base Population Gateway,6,N,N,
30320221,WHONDRS: a Community Resource for Studying Dynamic River Corridors.,False,N,medium,Community Resource for data,WHONDRS,Worldwide Hydrobiogeochemistry Observation Network for Dynamic River Systems,6,N,N,
31220074,FishNET: An automated relational database for zebrafish colony management.,False,N,medium,Title explicitly contains 'database' for colony management,FishNET,Fish Network database,6,N,N,
29603730,ForC: a global database of forest carbon stocks and fluxes.,False,N,high,Title explicitly contains 'database' keyword despite no URL,ForC,Forest Carbon database,6,N,N,
23164068,Huvariome: a web server resource of whole genome next-generation sequencing allelic frequencies to aid in pathological candidate gene selection.,False,N,medium,Web server resource - data resource despite no URL,Huvariome,Human Variome resource,6,N,N,
30212910,Spfy: an integrated graph database for real-time prediction of bacterial phenotypes and downstream comparative analyses.,False,N,medium,Title explicitly contains 'database' keyword despite no URL,Spfy,Specify database,6,N,N,
"""23193261"," 25348399"",""HAMAP in 2013, new developments in the protein family classification and annotation system.""",True,N,high,Classification and annotation system with data,HAMAP,High-quality Automated and Manual Annotation of Proteins,6,N,N,
26500753,Colil: a database and search service for citation contexts in the life sciences domain.,False,N,medium,Title explicitly contains 'database' keyword despite no URL,Colil,Citation Link database,6,N,N,
30624654,RAEdb: a database of enhancers identified by high-throughput reporter assays.,False,N,high,db suffix + 'database' keyword despite no URL,RAEdb,Reporter Assay Enhancer database,6,N,N,
31411687,CDEK: Clinical Drug Experience Knowledgebase.,False,N,medium,Knowledgebase in title despite no URL,CDEK,Clinical Drug Experience Knowledgebase,6,N,N,
33066523,circ2GO: A Database Linking Circular RNAs to Gene Function.,False,N,high,Title explicitly contains 'Database' keyword despite no URL,circ2GO,Circular RNA to Gene Ontology database,6,N,N,
31286860,DAIRYdb: a manually curated reference database for improved taxonomy annotation of 16S rRNA gene sequences from dairy products.,False,N,high,db suffix + 'database' keyword despite no URL,DAIRYdb,Dairy Database,6,N,N,
31598718,SEAweb: the small RNA Expression Atlas web application.,False,N,medium,Atlas web application - data resource despite no URL,SEAweb,Small RNA Expression Atlas web,6,N,N,
30834332,RefSoil+: a Reference Database for Genes and Traits of Soil Plasmids.,False,N,high,Reference Database in title despite no URL,RefSoil+,Reference Soil database,6,N,N,
29429018,MOBCdb: a comprehensive database integrating multi-omics data on breast cancer for precision medicine.,False,N,high,db suffix + 'database' keyword despite no URL,MOBCdb,Multi-Omics Breast Cancer database,6,N,N,
31089686,GIDB: a knowledge database for the automated curation and multidimensional analysis of molecular signatures in gastrointestinal cancer.,False,N,high,DB suffix + 'knowledge database' keyword despite no URL,GIDB,Gastrointestinal cancer Database,6,N,N,
29867956,VDJServer: A Cloud-Based Analysis Portal and Data Commons for Immune Repertoire Sequences and Rearrangements.,False,N,medium,Server + Data Commons - data resource despite no URL,VDJServer,VDJ Server,6,N,N,
30786995,lnCAR: A Comprehensive Resource for lncRNAs from Cancer Arrays.,False,N,medium,Comprehensive Resource - data collection despite no URL,lnCAR,Long Non-Coding RNA in Cancer Arrays Resource,6,N,N,
25319039,childLex: a lexical database of German read by children.,False,N,high,Title explicitly contains 'database' keyword despite no URL,childLex,Child Lexicon database,6,N,N,
34786285,Novel Coronavirus Cough Database: NoCoCoDa.,False,N,high,Title explicitly contains 'Database' keyword despite no URL,NoCoCoDa,Novel Coronavirus Cough Database,6,N,N,
30339215,MGH: a genome hub for the medicinal plant maca (Lepidium meyenii).,False,N,medium,Hub suffix + genome hub - data resource despite no URL,MGH,Maca Genome Hub,6,N,N,
"""25352555"," 31576635"",""SASBDB, a repository for biological small-angle scattering data.""",True,N,high,DB suffix plus repository keyword,SASBDB,Small Angle Scattering Biological Data Bank,7,N,N,
31169290,ResMarkerDB: a database of biomarkers of response to antibody therapy in breast and colorectal cancer.,False,N,medium,DB suffix and database keyword but no URL concerning,ResMarkerDB,Response Marker Database,7,N,N,
30076665,The CaspBase: a curated database for evolutionary biochemical studies of caspase functional divergence and ancestral sequence inference.,False,N,medium,Base suffix and database keyword but no URL concerning,CaspBase,Caspase Database,7,N,N,
33064305,GABC: A comprehensive resource and Genome Atlas for Breast Cancer.,False,N,medium,Atlas and resource keywords but no URL,GABC,Genome Atlas for Breast Cancer,7,N,N,
34170977,An introduction to DUIA: The database on urban inequality and amenities.,False,N,medium,Database keyword but no URL unusual for bioresource,DUIA,Database on Urban Inequality and Amenities,7,N,N,
28150243,NDEx: A Community Resource for Sharing and Publishing of Biological Networks.,False,N,medium,Resource for sharing networks but no URL,NDEx,Network Data Exchange,7,N,N,
29447345,The BioCyc collection of microbial genomes and metabolic pathways.,False,N,medium,Collection of genomes and pathways but no URL,BioCyc,Biocyc Database Collection,7,N,N,
29706780,VIRMISCO - The Virtual Microscope Slide Collection.,False,N,medium,Collection of microscope slides but no URL,VIRMISCO,Virtual Microscope Slide Collection,7,N,N,
30793170,SuCComBase: a manually curated repository of plant sulfur-containing compounds.,False,N,medium,Base suffix and repository keyword but no URL,SuCComBase,Sulfur-Containing Compounds Base,7,N,N,
32068839,iDISK: the integrated DIetary Supplements Knowledge base.,False,N,medium,KB suffix and knowledge base keyword but no URL,iDISK,Integrated Dietary Supplements Knowledge Base,7,N,N,
27302480,"""ProXL (Protein Cross-Linking Database): A Platform for Analysis, Visualization, and Sharing of Protein Cross-Linking Mass Spectrometry Data.""",False,N,medium,Database in title but platform for analysis suggests tool,ProXL,Protein Cross-Linking Database,7,N,N,
23627461,MScDB: a mass spectrometry-centric protein sequence database for proteomics.,False,N,medium,DB suffix and database keyword but no URL,MScDB,Mass Spectrometry-centric Database,7,N,N,
34445647,ExpressHeart: Web Portal to Visualize Transcriptome Profiles of Non-Cardiomyocyte Cells.,False,N,medium,Portal to visualize data suggests data resource,ExpressHeart,Heart Expression Portal,7,N,N,
32024829,ProtCID: a data resource for structural information on protein interactions.,False,N,medium,Resource for structural information but no URL,ProtCID,Protein Common Interface Database,7,N,N,
29470400,RaMP: A Comprehensive Relational Database of Metabolomics Pathways for Pathway Enrichment Analysis of Genes and Metabolites.,False,N,medium,Database keyword but no URL,RaMP,Relational Database of Metabolomics Pathways,7,N,N,
33712066,ChemProps: A RESTful API enabled database for composite polymer name standardization.,False,N,medium,Database keyword but focused on standardization tool,ChemProps,Chemical Properties Database,7,N,N,
23180770,ASGARD: an open-access database of annotated transcriptomes for emerging model arthropod species.,False,N,medium,Database keyword but no URL,ASGARD,Annotated Transcriptomes Database,7,N,N,
32910939,Spectacle: An interactive resource for ocular single-cell RNA sequencing data analysis.,False,N,medium,Resource for data analysis suggests data portal,Spectacle,Spectacle Ocular scRNA-seq Resource,7,N,N,
"""23256906"," 24261964"",CAPER: a chromosome-assembled human proteome browsER.",True,N,medium,Browser for proteome data,CAPER,Chromosome-Assembled Proteome BrowserER,7,N,N,
29859376,MCAW-DB: A glycan profile database capturing the ambiguity of glycan recognition patterns.,False,N,medium,DB suffix and database keyword but no URL,MCAW-DB,Mammalian Carbohydrate Warfare Database,7,N,N,
31267133,piRDisease v1.0: a manually curated database for piRNA associated diseases.,False,N,medium,Database keyword but no URL,piRDisease,piRNA Disease Database,7,N,N,
27899574,Uniclust databases of clustered and deeply annotated protein sequences and alignments.,False,N,medium,Database keyword but no URL,Uniclust,Universal Cluster Database,7,N,N,
23660284,dbWFA: a web-based database for functional annotation of Triticum aestivum transcripts.,False,N,medium,DB suffix and database keyword but no URL,dbWFA,Wheat Functional Annotation Database,7,N,N,
23134618,C²Maps: a network pharmacology database with comprehensive disease-gene-drug connectivity relationships.,False,N,medium,Database keyword but no URL,C²Maps,Connectivity Maps,7,N,N,
21992002,The BioLexicon: a large-scale terminological resource for biomedical text mining.,False,N,medium,Resource for terminological data but no URL,BioLexicon,Biomedical Lexicon,7,N,N,
29564396,A Reference Viral Database (RVDB) To Enhance Bioinformatics Analysis of High-Throughput Sequencing for Novel Virus Detection.,False,N,medium,Reference database but no URL,RVDB,Reference Viral Database,7,N,N,
32124319,"""The SysteMHC Atlas: a Computational Pipeline, a Website, and a Data Repository for Immunopeptidomic Analyses.""",False,N,medium,Atlas and repository but pipeline focus,SysteMHC Atlas,Systems MHC Atlas,7,N,N,
30427897,Moral and Affective Film Set (MAAFS): A normed moral video database.,False,N,medium,Database keyword but no URL and unusual domain,MAAFS,Moral and Affective Film Set,7,N,N,
"""31686107"," 33995478"",The ProteomeXchange consortium in 2020: enabling 'big data' approaches in proteomics.",True,N,high,Consortium data exchange platform,ProteomeXchange,Proteome Exchange,7,N,N,
31001319,FeatSNP: An Interactive Database for Brain-Specific Epigenetic Annotation of Human SNPs.,False,N,medium,Database keyword but no URL,FeatSNP,Functional and Epigenetic Annotation Tool for SNPs,7,N,N,
24947213,DENVirDB: a web portal of dengue virus sequence information on Asian isolates.,False,N,medium,DB suffix and portal keyword but no URL,DENVirDB,Dengue Virus Database,7,N,N,
30614735,HColonDB: A Database for Human Colon Cancer Research.,False,N,medium,DB suffix and database keyword but no URL,HColonDB,Human Colon Cancer Database,7,N,N,
30576494,ConTEdb: a comprehensive database of transposable elements in conifers.,False,N,medium,DB suffix and database keyword but no URL,ConTEdb,Conifer Transposable Element Database,7,N,N,
32185394,PncStress: a manually curated database of experimentally validated stress-responsive non-coding RNAs in plants.,False,N,medium,Database keyword but no URL,PncStress,Plant Non-coding Stress Database,7,N,N,
27645405,DMAK: A curated pan-cancer DNA methylation annotation knowledgebase.,False,N,medium,Knowledgebase keyword but no URL,DMAK,DNA Methylation Annotation Knowledgebase,7,N,N,
34206969,PhaLP: A Database for the Study of Phage Lytic Proteins and Their Evolution.,False,N,medium,Database keyword but no URL,PhaLP,Phage Lytic Protein Database,7,N,N,
26140928,"""EvoDB: a database of evolutionary rate profiles, associated protein domains and phylogenetic trees for PFAM-A.""",False,N,medium,DB suffix and database keyword but no URL,EvoDB,Evolutionary Rate Database,7,N,N,
30722041,The radish genome database (RadishGD): an integrated information resource for radish genomics.,False,N,medium,Database keyword but no URL,RadishGD,Radish Genome Database,7,N,N,
29872545,RegenDbase: a comparative database of noncoding RNA regulation of tissue regeneration circuits across multiple taxa.,False,N,medium,Base suffix and database keyword but no URL,RegenDbase,Regeneration Database,7,N,N,
31836898,SGID: a comprehensive and interactive database of the silkworm.,False,N,high,DB suffix indicates database with comprehensive silkworm data,SGID,Silkworm Genome Interactive Database,8,N,N,
33672700,PSC-db: A Structured and Searchable 3D-Database for Plant Secondary Compounds.,False,N,high,DB suffix and database keyword indicate true bioresource,PSC-db,Plant Secondary Compounds Database,8,N,N,
30339216,GFDP: the gene family database in poplar.,False,N,high,Explicit database keyword indicates bioresource,GFDP,Gene Family Database in Poplar,8,N,N,
31848596,RHPCG: a database of the Regulation of the Hippo Pathway in Cancer Genome.,False,N,high,Explicit database keyword indicates bioresource,RHPCG,Regulation of Hippo Pathway in Cancer Genome Database,8,N,N,
32421831,ToxicoDB: an integrated database to mine and visualize large-scale toxicogenomic datasets.,False,N,high,DB suffix and database keyword indicate bioresource,ToxicoDB,Toxicogenomics Database,8,N,N,
28039679,Q2Stress: A database for multiple cues to stress assignment in Italian.,False,N,high,Explicit database keyword indicates bioresource,Q2Stress,Italian Stress Assignment Database,8,N,N,
21700574,"""Overview of FEED, the feeding experiments end-user database.""",False,N,high,Explicit database keyword indicates bioresource,FEED,Feeding Experiments End-user Database,8,N,N,
30365025,SSRome: an integrated database and pipelines for exploring microsatellites in all organisms.,False,N,high,Explicit database keyword indicates bioresource,SSRome,Simple Sequence Repeat Database,8,N,N,
27977206,CanProVar 2.0: An Updated Database of Human Cancer Proteome Variation.,False,N,high,Explicit database keyword and version number indicate bioresource,CanProVar,Cancer Proteome Variation Database,8,N,N,
33879798,"""ODFM, an omics data resource from microorganisms associated with fermented foods.""",False,N,high,Data resource containing omics data is a bioresource,ODFM,Omics Data from Fermented Foods Microorganisms,8,N,N,
32669368,CeMbio - The <i>Caenorhabditis elegans</i> Microbiome Resource.,False,N,high,Resource for microbiome data is a bioresource,CeMbio,Caenorhabditis elegans Microbiome Resource,8,N,N,
21718467,InterMitoBase: an annotated database and analysis platform of protein-protein interactions for human mitochondria.,False,N,high,Base suffix and database keyword indicate bioresource,InterMitoBase,Mitochondrial Protein Interaction Database,8,N,N,
33177529,"""DISPERSE, a trait database to assess the dispersal potential of European aquatic macroinvertebrates.""",False,N,high,Explicit database keyword indicates bioresource,DISPERSE,Aquatic Macroinvertebrate Dispersal Database,8,N,N,
27885171,SAPFLUXNET: towards a global database of sap flow measurements.,False,N,high,Explicit database keyword indicates bioresource,SAPFLUXNET,Global Sap Flow Database,8,N,N,
30581839,ISOdb: A Comprehensive Database of Full-Length Isoforms Generated by Iso-Seq.,False,N,high,DB suffix and database keyword indicate bioresource,ISOdb,Isoform Database,8,N,N,
33777032,VaximmutorDB: A Web-Based Vaccine Immune Factor Database and Its Application for Understanding Vaccine-Induced Immune Mechanisms.,False,N,high,DB suffix and database keyword indicate bioresource,VaximmutorDB,Vaccine Immune Factor Database,8,N,N,
29868062,ARMOUR - A Rice miRNA: mRNA Interaction Resource.,False,N,high,Resource for interaction data is a bioresource,ARMOUR,Rice miRNA-mRNA Interaction Resource,8,N,N,
30073046,NDDN: A Cloud-Based Neuroinformation Database for Developing Neuronal Networks.,False,N,high,Explicit database keyword indicates bioresource,NDDN,Neuroinformation Database for Developing Networks,8,N,N,
24512305,FADB: a food additive molecular database for in silico screening in food toxicology.,False,N,high,DB suffix and database keyword indicate bioresource,FADB,Food Additive Database,8,N,N,
22087737,ReCount: a multi-experiment resource of analysis-ready RNA-seq gene count datasets.,False,N,high,Resource of datasets is a bioresource,ReCount,RNA-seq Gene Count Resource,8,N,N,
29675816,"""BRC4Env, a network of Biological Resource Centres for research in environmental and agricultural sciences.""",False,N,high,Network of biological resource centres is a bioresource,BRC4Env,Biological Resource Centres for Environment,8,N,N,
22408426,Aggregating data for computational toxicology applications: The U.S. Environmental Protection Agency (EPA) Aggregated Computational Toxicology Resource (ACToR) System.,False,N,high,Resource system for aggregating toxicology data is a bioresource,ACToR,Aggregated Computational Toxicology Resource,8,N,N,
26283320,Classifying the bacterial gut microbiota of termites and cockroaches: A curated phylogenetic reference database (DictDb).,False,N,high,Reference database keyword and DB suffix indicate bioresource,DictDb,Termite and Cockroach Gut Microbiota Database,8,N,N,
26884807,LEAFDATA: a literature-curated database for Arabidopsis leaf development.,False,N,high,Explicit database keyword indicates bioresource,LEAFDATA,Arabidopsis Leaf Development Database,8,N,N,
28556827,"""RiceAtlas, a spatial database of global rice calendars and production.""",False,N,high,Atlas and database keywords indicate bioresource,RiceAtlas,Global Rice Calendar and Production Database,8,N,N,
27262858,INFRAFRONTIER: a European resource for studying the functional basis of human disease.,False,N,high,Resource for studying disease is a bioresource,INFRAFRONTIER,European Mouse Disease Model Resource,8,N,N,
32737813,FANCat: French affective norms for ten emotional categories.,False,N,high,Collection of norms is a data resource,FANCat,French Affective Norms Catalog,8,N,N,
26228432,"""OCDB: a database collecting genes, miRNAs and drugs for obsessive-compulsive disorder.""",False,N,high,DB suffix and database keyword indicate bioresource,OCDB,Obsessive-Compulsive Disorder Database,8,N,N,
24772454,rCAD: A Novel Database Schema for the Comparative Analysis of RNA.,False,N,high,Database schema indicates database,rCAD,RNA Comparative Analysis Database,8,N,N,
25210196,Proteome-wide subcellular topologies of E. coli polypeptides database (STEPdb).,False,N,high,DB suffix and database keyword indicate bioresource,STEPdb,Subcellular Topologies of E. coli Polypeptides Database,8,N,N,
30165481,NCycDB: a curated integrative database for fast and accurate metagenomic profiling of nitrogen cycling genes.,False,N,high,DB suffix and database keyword indicate bioresource,NCycDB,Nitrogen Cycling Database,8,N,N,
26425431,NanoE-Tox: New and in-depth database concerning ecotoxicity of nanomaterials.,False,N,high,Explicit database keyword indicates bioresource,NanoE-Tox,Nanomaterial Ecotoxicity Database,8,N,N,
32598921,VectorInfo: A web resource for medically important Indian arthropod disease vectors.,False,N,high,Web resource for vector information is a bioresource,VectorInfo,Indian Arthropod Disease Vector Information Resource,8,N,N,
34318308,Planarian Anatomy Ontology: a resource to connect data within and across experimental platforms.,False,N,high,Ontology resource for connecting data is a bioresource,Planarian Anatomy Ontology,Planarian Anatomy Ontology,8,N,N,
32353048,Nutrimedia: A novel web-based resource for the general public that evaluates the veracity of nutrition claims using the GRADE approach.,False,N,high,Web-based resource for evaluating nutrition claims is a bioresource,Nutrimedia,Nutrition Media Evaluation Resource,8,N,N,
30256987,AGD: Aneurysm Gene Database.,False,N,high,Explicit database keyword indicates bioresource,AGD,Aneurysm Gene Database,8,N,N,
26297754,The INDEPTH Data Repository: An International Resource for Longitudinal Population and Health Data From Health and Demographic Surveillance Systems.,False,N,high,Data repository resource is a bioresource,INDEPTH Data Repository,International Network for the Demographic Evaluation of Populations and Their Health Data Repository,8,N,N,
30891576,LasDB: A collective database for laboratory animal strain resources.,False,N,high,DB suffix and database keyword indicate bioresource,LasDB,Laboratory Animal Strain Database,8,N,N,
30788499,FairBase: a comprehensive database of fungal A-to-I RNA editing.,False,N,high,Base suffix and database keyword indicate bioresource,FairBase,Fungal A-to-I RNA Editing Database,8,N,N,
31032840,rPredictorDB: a predictive database of individual secondary structures of RNAs and their formatted plots.,False,N,high,DB suffix and predictive database indicate bioresource,rPredictorDB,RNA Predictor Database,8,N,N,
29669592,GGDonto ontology as a knowledge-base for genetic diseases and disorders of glycan metabolism and their causative genes.,False,N,high,Ontology as knowledge-base indicates bioresource,GGDonto,Genetic Glycan Disease Ontology,8,N,N,
31317185,VariED: the first integrated database of gene annotation and expression profiles for variants related to human diseases.,False,N,high,Integrated database keyword indicates bioresource,VariED,Variant Expression Database,8,N,N,
28410642,iPSCORE: A Resource of 222 iPSC Lines Enabling Functional Characterization of Genetic Variation across a Variety of Cell Types.,False,N,high,Resource of cell lines is a bioresource,iPSCORE,Induced Pluripotent Stem Cell Resource,8,N,N,
24758335,EndoNet: an information resource about the intercellular signaling network.,False,N,high,Information resource about signaling network is a bioresource,EndoNet,Endocrine Network Resource,8,N,N,
32503988,"""HISTOBREAST, a collection of brightfield microscopy images of Haematoxylin and Eosin stained breast tissue.""",False,N,high,Collection of images is a data resource,HISTOBREAST,Histological Breast Tissue Image Collection,8,N,N,
33509180,CardioNet: a manually curated database for artificial intelligence-based research on cardiovascular diseases.,False,N,high,Manually curated database keyword indicates bioresource,CardioNet,Cardiovascular Disease Database,8,N,N,
30052959,eModel-BDB: a database of comparative structure models of drug-target interactions from the Binding Database.,False,N,high,DB suffix and database keyword indicate bioresource,eModel-BDB,Comparative Structure Models Database,8,N,N,
31612721,"""SAAVpedia: Identification, Functional Annotation, and Retrieval of Single Amino Acid Variants for Proteogenomic Interpretation.""",False,N,high,Pedia suffix indicates encyclopedia of variants,SAAVpedia,Single Amino Acid Variant Encyclopedia,8,N,N,
28535294,HGVA: the Human Genome Variation Archive.,False,N,high,Archive keyword indicates data repository,HGVA,Human Genome Variation Archive,8,N,N,
