"extracted_name","extracted_long","extracted_url","baseline_name","baseline_long","baseline_url","score","signals","signal_count","edit_distance","same_domain","confidence","is_match","review_flags","conflict_resolved"
"ABCMdb","ATP Binding Cassette Mutation database","","ABCMdb","nan","http://abcm2.hegelab.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"ACNPD","AntiCancer Natural Product Database","http://www.acnpd-fu.com/","ACNPD","anti-cancer natural product database","http://www.acnpd-fu.com","10.0","EXACT","1","0","True","HIGH","Y","",""
"ADHDgene","ADHD gene database","http://adhd.psych.ac.cn/","ADHDgene","nan","http://adhd.psych.ac.cn","10.0","EXACT","1","0","True","HIGH","Y","",""
"ADPriboDB","ADP-ribosylation Database","http://ADPriboDB.leunglab.org","ADPriboDB","nan","http://ADPriboDB.leunglab.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"ADReCS","ADReCS","http://bioinf.xmu.edu.cn/ADReCS","ADReCS","Adverse Drug Reaction Classification System","http://bioinf.xmu.edu.cn/ADReCS","10.0","EXACT","1","0","True","HIGH","Y","","True"
"AELP","Auditory English Lexicon Project","https://inetapps.nus.edu.sg/aelp/","AELP","Auditory English Lexicon Project","http://inetapps.nus.edu.sg/aelp","10.0","EXACT","1","0","True","HIGH","Y","",""
"AFND","Allele Frequency Net Database","http://www.allelefrequencies.net","AFND","Allele Frequency Net Database","http://www.allelefrequencies.net","10.0","EXACT","1","0","True","HIGH","Y","",""
"AH-DB","After-Hydration Database","http://ahdb.ee.ncku.edu.tw/","AH-DB","Apo-Holo DataBase","http://ahdb.ee.ncku.edu.tw/, http://ahdb.csbb.ntu.edu.tw","10.0","EXACT","1","0","True","HIGH","Y","",""
"AHCODA-DB","Automated High-Content Omics Data Analysis Database","https://public.sylics.com","AHCODA-DB","nan","http://public.sylics.com","10.0","EXACT","1","0","True","HIGH","Y","",""
"AHTPDB","Antihypertensive Peptides Database","http://crdd.osdd.net/raghava/ahtpdb/","AHTPDB","nan","http://crdd.osdd.net/raghava/ahtpdb","10.0","EXACT","1","0","True","HIGH","Y","",""
"AICD","Anti-Inflammatory Compounds Database","http://956023.ichengyun.net/AICD/index.php","AICD","nti-Inflammatory Compounds Database","http://956023.ichengyun.net/AICD/index.php","10.0","EXACT","1","0","True","HIGH","Y","",""
"ALCOdb","Algae Coexpression Database","http://alcodb.jp","ALCOdb","Algae Gene Coexpression database","http://alcodb.jp","10.0","EXACT","1","0","True","HIGH","Y","",""
"ALDB","ALDB","http://res.xaut.edu.cn/aldb/index.jsp","ALDB","nimal","http://res.xaut.edu.cn/aldb/index.jsp","10.0","EXACT","1","0","True","HIGH","Y","",""
"ALEdb","Adaptive Laboratory Evolution database","http://aledb.org","ALEdb","nan","http://aledb.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"ALFRED","Allele Frequency Database","http://alfred.med.yale.edu","ALFRED","nan","http://alfred.med.yale.edu","10.0","EXACT","1","0","True","HIGH","Y","",""
"ALSoD","Amyotrophic Lateral Sclerosis online Database","http://www.alsgene.org","ALSoD","Online Database","http://alsod.iop.kcl.ac.uk","10.0","EXACT","1","0","True","HIGH","Y","",""
"ALTB","Altai Virtual Herbarium","http://altaiflora.asu.ru/en/","ALTB","nan","http://altaiflora.asu.ru/en/, http://altb.asu.ru","10.0","EXACT","1","0","True","HIGH","Y","",""
"AMDD","Antimicrobial Drug Database","http://www.amddatabase.info","AMDD","anti microbial drug database","http://www.amddatabase.info","10.0","EXACT","1","0","True","HIGH","Y","",""
"ANDB","ANDB","http://arecanut.icmr.org.in/","ANDB","Areca nut database","http://arecanut.icmr.org.in","10.0","EXACT","1","0","True","HIGH","Y","",""
"ANGIOGENES","Angiogenesis Genes Database","http://angiogenes.uni-frankfurt.de","ANGIOGENES","nan","http://angiogenes.uni-frankfurt.de","10.0","EXACT","1","0","True","HIGH","Y","",""
"ANISEED","Ascidian Network for In Situ Expression and Embryological Data","http://www.aniseed.cnrs.fr","ANISEED","nan","http://www.aniseed.cnrs.fr","10.0","EXACT","1","0","True","HIGH","Y","",""
"ANTISTAPHYBASE","ANTI-STAPH BASE","https://www.antistaphybase.com/","ANTISTAPHYBASE","nan","http://www.antistaphybase.com","10.0","EXACT","1","0","True","HIGH","Y","",""
"AOD","Antioxidant protein Database","http://lin.uestc.edu.cn/AODdatabase/index.aspx","AOD","Antioxidant Database","http://lin.uestc.edu.cn/AODdatabase/index.aspx","10.0","EXACT","1","0","True","HIGH","Y","",""
"AOE","All of Gene Expression","https://aoe.dbcls.jp/","AOE","nan","http://aoe.dbcls.jp","10.0","EXACT","1","0","True","HIGH","Y","",""
"APADB","Alternative PolyAdenylation Database","http://tools.genxpro.net/apadb/","APADB","nan","http://tools.genxpro.net/apadb","10.0","EXACT","1","0","True","HIGH","Y","",""
"APASdb","Alternative PolyAdenylation Site database","http://mosas.sysu.edu.cn/utr","APASdb","nan","http://mosas.sysu.edu.cn/utr","10.0","EXACT","1","0","True","HIGH","Y","",""
"APAatlas","APAatlas","https://hanlab.uth.edu/apa/","APAatlas","nan","http://hanlab.uth.edu/apa","10.0","EXACT","1","0","True","HIGH","Y","",""
"APD3","Antimicrobial Peptide Database 3","http://aps.unmc.edu/AP/","APD3","The antimicrobial peptide database","http://aps.unmc.edu/AP","10.0","EXACT","1","0","True","HIGH","Y","",""
"APID","APID","http://apid.dep.usal.es","APID","nan","http://apid.dep.usal.es","10.0","EXACT","1","0","True","HIGH","Y","",""
"APMicroDB","Acyrthosiphon pisum Microsatellite Database","http://deepaklab.com/aphidmicrodb","APMicroDB","microsatellite repeat database of the pea aphid","http://deepaklab.com/aphidmicrodb","10.0","EXACT","1","0","True","HIGH","Y","",""
"APPRIS","Annotating Principal Protein Isoforms","http://appris-tools.org","APPRIS","of","http://appris-tools.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"ARA-PEPs","Arabidopsis Repository of Putative sORF-encoded Peptides","http://www.biw.kuleuven.be/CSB/ARA-PEPs","ARA-PEPs","nan","http://www.biw.kuleuven.be/CSB/ARA-PEPs","10.0","EXACT","1","0","True","HIGH","Y","",""
"ARED-Plus","AU-Rich Element Database","http://brp.kfshrc.edu.sa/ared","ARED-Plus","AU-Rich Element Database","http://brp.kfshrc.edu.sa/ared","10.0","EXACT","1","0","True","HIGH","Y","",""
"AREsite","AU-Rich Element site","http://rna.tbi.univie.ac.at/AREsite","AREsite2","nan","http://rna.tbi.univie.ac.at/AREsite","4.35","SAME_DOMAIN_GENERIC, DIGIT_VERSION_DIFF, EDIT_DIST_1, CONTAINS_0.6, URL_SIM_1.00","5","1","True","HIGH","Y","GENERIC_DOMAIN",""
"ARN","Adipogenic Regulatory Network","http://autophagy-regulation.org","ARN","Adipogenesis Regulation Network","http://210.27.80.93/arn","10.0","EXACT","1","0","True","HIGH","Y","",""
"ASD","Allosteric Database","http://mdl.shsmu.edu.cn/ASD","ASD","The Allosteric Database","http://mdl.shsmu.edu.cn/ASD","10.0","EXACT","1","0","True","HIGH","Y","",""
"ASDB","Anopheles sinensis Database","http://www.rcdd.org.cn/asdb/with","ASDB","sinensis omics database","http://asdb.jungleran.com","10.0","EXACT","1","0","True","HIGH","Y","",""
"ASDCD","ASDCD","http://ASDCD.amss.ac.cn","ASDCD","Antifungal Synergistic Drug Combination Database","http://ASDCD.amss.ac.cn","10.0","EXACT","1","0","True","HIGH","Y","",""
"ASER","Animal Sex Reversal Database","http://aser.ihb.ac.cn/","ASER","Animal Sex Reversal Database","http://aser.ihb.ac.cn","10.0","EXACT","1","0","True","HIGH","Y","",""
"ASFVdb","African Swine Fever Virus database","http://asfvdb.popgenetics.net","ASFVdb","African swine fever virus database","http://asfvdb.popgenetics.net","10.0","EXACT","1","0","True","HIGH","Y","",""
"ASGDB","Anopheles Sinensis Genome Database","http://www.asgdb.org","ASGDB","sinensis genome database","http://www.asgdb.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"ASL-LEX","American Sign Language Lexicon Database","http://asl-lex.org","ASL-LEX","nan","http://asl-lex.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"ASNR","Animal Social Network Repository","https://bansallab.github.io/asnr/","ASNR","Animal Social Network Repository","http://bansallab.github.io/asnr","10.0","EXACT","1","0","True","HIGH","Y","",""
"ASRD","Arabidopsis Small RNA Database","http://ipf.sustech.edu.cn/pub/asrd","ASRD","Arabidopsis Small RNA Database","http://ipf.sustech.edu.cn/pub/asrd","10.0","EXACT","1","0","True","HIGH","Y","",""
"ASRDb","ASRDb","http://121.241.218.70/ASRDb","ASRDb","Archaeal Stress Response Database","http://121.241.218.70/ASRDb","10.0","EXACT","1","0","True","HIGH","Y","",""
"ASpedia","Alternative Splicing Encyclopedia","http://combio.snu.ac.kr/aspedia","ASpedia","nan","http://combio.snu.ac.kr/aspedia","10.0","EXACT","1","0","True","HIGH","Y","",""
"ATACdb","ATAC-seq database","http://www.licpathway.net/ATACdb","ATACdb","chromatin accessibility database","http://www.licpathway.net/ATACdb","10.0","EXACT","1","0","True","HIGH","Y","",""
"ATD","Autophagy and Disease database","http://auto2disease.nwsuaflmz.com","ATD","Autophagy To Disease","http://auto2disease.nwsuaflmz.com","10.0","EXACT","1","0","True","HIGH","Y","",""
"ATLAS","ATLAS of Biochemistry","https://zlab.umassmed.edu/atlas/web/","ATLAS","Altered TCR Ligand Affinities and Structures","http://zlab.umassmed.edu/atlas/web","10.0","EXACT","1","0","True","HIGH","Y","",""
"ATTED-II","Arabidopsis thaliana trans-factor and cis-Element Database II","","ATTED-II","nan","http://atted.jp","10.0","EXACT","1","0","True","HIGH","Y","",""
"AT_CHLORO","Arabidopsis Thaliana Chloroplast","http://www.grenoble.prabi.fr/at_chloro","AT_CHLORO","nan","http://at-chloro.prabi.fr/at_chloro","10.0","EXACT","1","0","True","HIGH","Y","",""
"ATdb","Autophagy and Tumor Database","http://www.bigzju.com/ATdb/#/","ATdb","Autophagy and Tumor Database","http://www.bigzju.com/ATdb","10.0","EXACT","1","0","True","HIGH","Y","",""
"AURA","Atlas of UTR Regulatory Activity","http://aura.science.unitn.it","AURA","Atlas of UTR Regulatory Activity","http://aura.science.unitn.it","10.0","EXACT","1","0","True","HIGH","Y","",""
"Avian Immunome DB","Avian Immunome Database","https://avimm.ab.mpg.de","AVIMM","Avian Immunome DB","http://avimm.ab.mpg.de","2.15","SAME_DOMAIN_SPECIFIC, URL_SIM_1.00, LONG_SIM_0.85","3","12","True","HIGH","Y","HIGH_ED_MATCH",""
"AVPdb","Antiviral Peptide database","http://crdd.osdd.net/servers/avpdb","AVPdb","nan","http://crdd.osdd.net/servers/avpdb","10.0","EXACT","1","0","True","HIGH","Y","",""
"AWESOME","Database of SNPs affecting post-translational modifications","http://www.awesome-hust.com","AWESOME","Exhibits SNP","http://www.awesome-hust.com","10.0","EXACT","1","0","True","HIGH","Y","",""
"AYbRAH","A Yeast and fungal Bidirectional best hit Reciprocal Annotated Homologs","https://lmse.github.io/aybrah/","AYbRAH","Analyzing Yeasts by Reconstructing Ancestry of Homologs","http://lmse.github.io/aybrah","10.0","EXACT","1","0","True","HIGH","Y","",""
"Abasy Atlas","Abasy Atlas","http://abasy.ccg.unam.mx","Abasy","acteria systems","http://abasy.ccg.unam.mx","2.55","SAME_DOMAIN_SPECIFIC, CONTAINS_0.8, URL_SIM_1.00","3","6","True","HIGH","Y","",""
"AcetoBase","Acetogen Database","https://acetobase.molbio.slu.se","AcetoBase","nan","http://acetobase.molbio.slu.se","10.0","EXACT","1","0","True","HIGH","Y","",""
"AciDB","Acidophile Database","http://AciDB.cl","AciDB","nan","http://AciDB.cl, http://gitlab.com/Hawkline451/acidb","10.0","EXACT","1","0","True","HIGH","Y","",""
"AcrDB","Anti-CRISPR Database","http://bcb.unl.edu/AcrDB","AcrDB","nan","http://bcb.unl.edu/AcrDB","10.0","EXACT","1","0","True","HIGH","Y","",""
"AcrHub","Anti-CRISPR Hub","http://pacrispr.erc.monash.edu/AcrHub/","AcrHub","nan","http://pacrispr.erc.monash.edu/AcrHub","10.0","EXACT","1","0","True","HIGH","Y","",""
"Actinobase","Actinomycetes Base","http://www.actinobase.in","Actinobase","nan","http://www.actinobase.in","10.0","EXACT","1","0","True","HIGH","Y","",""
"ActiveDriverDB","ActiveDriverDB","https://www.ActiveDriverDB.org","ActiveDriverDB","nan","http://www.ActiveDriverDB.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"Addgene","Addgene","http://www.addgene.org","Addgene Repository","nan","http://www.addgene.org","2.55","SAME_DOMAIN_SPECIFIC, CONTAINS_0.8, URL_SIM_1.00","3","11","True","HIGH","Y","HIGH_ED_MATCH",""
"AddictGene","Addiction Gene knowledgebase","http://159.226.67.237/sun/addictgedb/","AddictGene","nan","http://159.226.67.237/sun/addictgedb","10.0","EXACT","1","0","True","HIGH","Y","",""
"AdditiveChem","AdditiveChem","http://www.rxnfinder.org/additivechem/","AdditiveChem","nan","http://www.rxnfinder.org/additivechem","10.0","EXACT","1","0","True","HIGH","Y","",""
"AgAbDb","Antigen-Antibody Database","http://bioinfo.net.in/AgAbDb.htm","AgAbDb","Antigen-Antibody Interaction Database","http://bioinfo.net.in/AgAbDb.htm","10.0","EXACT","1","0","True","HIGH","Y","",""
"AgeFactDB","AgeFactDB","http://agefactdb.jenage.de","AgeFactDB","JenAge Ageing Factor Database","http://agefactdb.jenage.de","10.0","EXACT","1","0","True","HIGH","Y","",""
"Aging Chart","Aging Chart","http://agingchart.org/","Aging Chart","nan","http://agingchart.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"AgriSeqDB","Agricultural Sequencing Database","https://expression.latrobe.edu.au/agriseqdb","AgriSeqDB","nan","http://expression.latrobe.edu.au/agriseqdb","10.0","EXACT","1","0","True","HIGH","Y","",""
"Alga-PrAS","Algal Protein Annotation Suite","http://alga-pras.riken.jp/","Alga-PrAS","Algal Protein Annotation Suite database","http://alga-pras.riken.jp","10.0","EXACT","1","0","True","HIGH","Y","",""
"Alkamid DB","Alkylamide database","http://alkamid.ugent.be/","Alkamid","nan","http://alkamid.ugent.be","2.85","SAME_DOMAIN_SPECIFIC, EDIT_DIST_3, CONTAINS_0.8, URL_SIM_1.00","4","3","True","HIGH","Y","",""
"Allen Brain Atlas","Allen Brain Atlas","http://www.brain-map.org","Allen Brain Atlas","nan","http://www.brain-map.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"AllergenPro","Allergen Professional database","http://nabic.rda.go.kr/allergen/","AllergenPro","nan","http://nabic.rda.go.kr/allergen","10.0","EXACT","1","0","True","HIGH","Y","",""
"Allie","Abbreviations and Long Forms Database","http://allie.dbcls.jp/","Allie","nan","http://allie.dbcls.jp","10.0","EXACT","1","0","True","HIGH","Y","",""
"AlliumMap","Allium Comparative Genomics Map","http://alliumgenetics.org","AlliumMap","nan","http://alliumgenetics.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"AlloMAPS","Allosteric Mutation Analysis and Polymorphism of Signaling","http://allomaps.bii.a-star.edu.sg","AlloMAPS","nan","http://allomaps.bii.a-star.edu.sg","10.0","EXACT","1","0","True","HIGH","Y","",""
"AlnC","Angiosperm Long non-Coding RNA","http://www.nipgr.ac.in/AlnC","AlnC","Catalogue","http://www.nipgr.ac.in/AlnC","10.0","EXACT","1","0","True","HIGH","Y","",""
"AluHunter","Alu element Hunter database","http://www.aluhunter.com","AluHunter","nan","http://www.aluhunter.com","10.0","EXACT","1","0","True","HIGH","Y","",""
"AlzBase","AlzBase","http://alz.big.ac.cn/alzBase","AlzBase","nan","http://alz.big.ac.cn/alzBase","10.0","EXACT","1","0","True","HIGH","Y","",""
"AlzPathway","Alzheimer Pathway","http://alzpathway.org/","AlzPathway","nan","http://alzpathway.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"Amadis","Association between Microbiota And DISease","http://gift2disease.net/GIFTED","Amadis","nan","http://gift2disease.net/GIFTED","10.0","EXACT","1","0","True","HIGH","Y","",""
"AmphibiaChina","Amphibia China","http://www.amphibiachina.org","AmphibiaChina","nan","http://www.amphibiachina.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"AmtDB","AmtDB","https://amtdb.org","AmtDB","nan","http://amtdb.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"AmyCo","Amyloidoses Collection","http://bioinformatics.biol.uoa.gr/amyco","AmyCo","amyloidoses collection","http://bioinformatics.biol.uoa.gr/amyco","10.0","EXACT","1","0","True","HIGH","Y","",""
"AmyLoad","AmyLoad","http://comprec-lin.iiar.pwr.edu.pl/amyload/","AmyLoad","nan","http://comprec-lin.iiar.pwr.edu.pl/amyload","10.0","EXACT","1","0","True","HIGH","Y","",""
"AmyPro","Amyloid Proteins","http://amypro.net","AmyPro","nan","http://amypro.net","10.0","EXACT","1","0","True","HIGH","Y","",""
"Ancestral Genomes","Ancestral Genomes","http://ancestralgenomes.org","Ancestral Genomes","nan","http://ancestralgenomes.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"Animal-APAdb","Animal Alternative Polyadenylation Database","http://gong_lab.hzau.edu.cn/Animal-APAdb/","Animal-APAdb","nan","http://gong_lab.hzau.edu.cn/Animal-APAdb","10.0","EXACT","1","0","True","HIGH","Y","",""
"Animal-ImputeDB","Animal Imputation Database","http://gong_lab.hzau.edu.cn/Animal_ImputeDB/","Animal-ImputeDB","nan","http://gong_lab.hzau.edu.cn/Animal_ImputeDB","10.0","EXACT","1","0","True","HIGH","Y","",""
"AnimalLectinDb","Animal Lectin Database","http://www.research-bioinformatics.in","AnimalLectinDb","nan","http://www.research-bioinformatics.in","10.0","EXACT","1","0","True","HIGH","Y","",""
"AnimalTFDB","Animal Transcription Factor Database","http://www.bioguo.org/AnimalTFDB/","AnimalTFDB","Animal Transcription Factor DataBase","http://bioinfo.life.hust.edu.cn/AnimalTFDB","10.0","EXACT","1","0","True","HIGH","Y","",""
"AnnoLnc","Annotate Long Noncoding RNAs","http://annolnc1.gao-lab.org/","AnnoLnc","nan","http://annolnc1.gao-lab.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"Antagomirbase","Antagomir Database","http://bioinfopresidencycollegekolkata.edu.in/antagomirs.html","Antagomir","nan","http://bioinfopresidencycollegekolkata.edu.in/antagomirs.html","3.35","SAME_DOMAIN_SPECIFIC, DB_SUFFIX_DIFF, CONTAINS_0.6, URL_SIM_1.00","4","4","True","HIGH","Y","",""
"AECD","Antimicrobial-Enzyme Combinations Database","https://www.ceb.uminho.pt/aecd","Antimicrobial Enzyme Combinations Database","Antimicrobial Enzyme Combinations Database","http://www.ceb.uminho.pt/aecd","2.55","SAME_DOMAIN_SPECIFIC, URL_SIM_1.00, LONG_SIM_0.98","3","38","True","HIGH","Y","HIGH_ED_MATCH",""
"ACD","Antimicrobial Chemotherapeutics Database","http://amdr.amu.ac.in/acd","Antimicrobial chemotherapeutics database","Antimicrobial chemotherapeutics database","http://amdr.amu.ac.in/acd","2.05","SAME_DOMAIN_GENERIC, URL_SIM_1.00, LONG_SIM_1.00","3","37","True","HIGH","Y","GENERIC_DOMAIN, HIGH_ED_MATCH, THRESHOLD_EDGE",""
"ApoCanD","Apoptotic proteins in Cancer Database","http://crdd.osdd.net/raghava/apocand","ApoCanD","nan","http://crdd.osdd.net/raghava/apocand","10.0","EXACT","1","0","True","HIGH","Y","",""
"ApoptoProteomics","Apoptosis Proteomics database","http://apoptoproteomics.uio.no","ApoptoProteomics","nan","http://apoptoproteomics.uio.no","10.0","EXACT","1","0","True","HIGH","Y","",""
"AppleMDO","Apple Multi-Dimensional Omics database","http://bioinformatics.cau.edu.cn/AppleMDO/","AppleMDO","nan","http://bioinformatics.cau.edu.cn/AppleMDO","10.0","EXACT","1","0","True","HIGH","Y","",""
"AprGPD","Apricot Genomic and Phenotypic Database","http://apricotgpd.com","AprGPD","apricot","http://apricotgpd.com","10.0","EXACT","1","0","True","HIGH","Y","",""
"Aptamer Base","Aptamer Knowledge Base","http://aptamer.freebase.com","Aptamer Base","nan","http://aptamer.freebase.com","10.0","EXACT","1","0","True","HIGH","Y","",""
"AraGWAS","Arabidopsis GWAS Catalog","https://aragwas.1001genomes.org","AraGWAS","nan","http://aragwas.1001genomes.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"AraNet","AraNet","http://www.inetbio.org/aranet","AraNet","nan","http://www.inetbio.org/aranet","10.0","EXACT","1","0","True","HIGH","Y","",""
"AraPath","Arabidopsis Pathway knowledgebase","http://bioinformatics.sdstate.edu/arapath/","AraPath","nan","http://bioinformatics.sdstate.edu/arapath","10.0","EXACT","1","0","True","HIGH","Y","",""
"AraPheno","Arabidopsis Phenotypes","https://arapheno.1001genomes.org","AraPheno","nan","http://arapheno.1001genomes.org, http://aragwas.1001genomes.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"AraQTL","Arabidopsis QTL","http://www.bioinformatics.nl/Ara","AraQTL","nan","http://www.bioinformatics.nl/Ara","10.0","EXACT","1","0","True","HIGH","Y","",""
"ANAP","Arabidopsis Network Analysis Portal","http://gmdd.shgmo.org/Computational-Biology/ANAP","Arabidopsis Network Analysis Pipeline","Arabidopsis Network Analysis Pipeline","http://gmdd.shgmo.org/Computational-Biology/ANAP","2.15","SAME_DOMAIN_SPECIFIC, URL_SIM_1.00, LONG_SIM_0.86","3","33","True","HIGH","Y","HIGH_ED_MATCH",""
"ArachnoServer","ArachnoServer","http://arachnoserver.org","ArachnoServer","nan","http://arachnoserver.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"Araport","Arabidopsis Information Portal","https://www.araport.org","Araport","nan","http://www.araport.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"ArchDB","Architecture Database","http://sbi.imim.es/archdb","ArchDB","nan","http://sbi.imim.es/archdb","10.0","EXACT","1","0","True","HIGH","Y","",""
"AroCageDB","Aromatic Cage Database","http://www.pharmbioinf.uni-freiburg.de/arocagedb/","AroCageDB","Aromatic Cage Database","http://www.pharmbioinf.uni-freiburg.de/arocagedb","10.0","EXACT","1","0","True","HIGH","Y","",""
"AromaDb","Aroma Database","http://bioinfo.cimap.res.in/aromadb/","AromaDb","nan","http://bioinfo.cimap.res.in/aromadb","10.0","EXACT","1","0","True","HIGH","Y","",""
"AromaDeg","Aromatic Degradation","http://aromadeg.siona.helmholtz-hzi.de","AromaDeg","nan","http://aromadeg.siona.helmholtz-hzi.de","10.0","EXACT","1","0","True","HIGH","Y","",""
"ArrayExpress","ArrayExpress","http://www.ebi.ac.uk/arrayexpress","ArrayExpress","nan","http://www.ebi.ac.uk/arrayexpress, http://www.ebi.ac.uk/biostudies","10.0","EXACT","1","0","True","HIGH","Y","",""
"ArthropodaCyc","Arthropod Cyc","http://arthropodacyc.cycadsys.org/","ArthropodaCyc","nan","http://arthropodacyc.cycadsys.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"AspGD","Aspergillus Genome Database","http://www.aspgd.org","AspGD","Aspergillus Genome Database","http://www.aspgd.org","10.0","EXACT","1","0","True","HIGH","Y","",""
"AtCircDB","AtCircDB","http://genome.sdau.edu.cn/circRNA","AtCircDB","nan","http://genome.sdau.edu.cn/circRNA","10.0","EXACT","1","0","True","HIGH","Y","",""
