name_modification_flags,ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,affiliation_countries,best_name_original,url_validation,paper_titles,issue_category,qc_fix_applied,qc_manual_review
SMART_CAPITALIZED,39996130,Neurodegenerative Disease Knowledge Portal,0.0,,0.0,neurodegenerative disease knowledge portal,0.0,1,https://ndkp.hugeamp.org/,200,,,,,,,,,,,Neurodegenerative Disease Knowledge Portal,ok,,,,
SMART_CAPITALIZED,35900309,Fluorophore Labeling Of Proteins,0.0,,0.0,fluorophore labeling of proteins,0.0,1,https://www.fpbase.org/,200,,,,,,,,,,,Fluorophore Labeling Of Proteins,ok,,,,
CAPITALIZED,35507258,IMEX,0.0,imex,0.0,,0.0,1,https://www.imexconsortium.org/,200,,,,,,,,,,,IMEX,ok,,,,
SMART_CAPITALIZED,38702300,Era5,0.0,era5,0.0,,0.0,1,https://cds.climate.copernicus.eu/,200,,,,,,,,,,,Era5,ok,,,,
SMART_CAPITALIZED,35524130,Pathoyeastract,0.0,,0.0,pathoyeastract,0.0,1,http://pathoyeastract.org,200,,,,,,,,,,,Pathoyeastract,ok,,,,
CAPITALIZED,38769143,MZMINE,0.0,mzmine,0.0,,0.0,1,http://mzmine.github.io/,200,,,,,,,,,,,MZMINE,review,,,,
SMART_CAPITALIZED,35394655,Crystal Structure Database,0.0,,0.0,crystal structure database,0.0,1,https://www.ccdc.cam.ac.uk/,200,,,,,,,,,,,Crystal Structure Database,ok,,,,
CAPITALIZED,36967676,MMHCDB,0.0,mmhcdb,0.0,mouse models of human cancer database,0.0,1,http://tumor.informatics.jax.org/,200,,,,,,,,,,,MMHCDB,ok,,,,
SMART_CAPITALIZED,34674164,Biodare2,0.0,,0.0,biodare2,0.0,1,https://biodare2.ed.ac.uk/,200,,,,,,,,,,,Biodare2,ok,,,,
SMART_CAPITALIZED,39442633,Carotenoids,0.0,,0.0,carotenoids,0.0,1,http://carotenoiddb.jp/,200,,,,,,,,,,,Carotenoids,ok,,,,
CAPITALIZED,36575445,NETACT,0.0,netact,0.0,,0.0,1,https://github.com/lusystemsbio/NetAct,200,,,,,,,,,,,NETACT,review,,,,
SMART_CAPITALIZED,38787331,Protein Adsorption On Solid Surfaces,0.0,,0.0,protein adsorption on solid surfaces,0.0,1,https://bionanoinfo.com/bad/,200,,,,,,,,,,,Protein Adsorption On Solid Surfaces,ok,,,,
"HTML_REMOVED,CAPITALIZED",34904611,KRAS,0.0,,0.0,kras</i,0.0,1,http://cancer.sanger.ac.uk/cosmic,200,,,,,,,,,,,KRAS,ok,,,,
SMART_CAPITALIZED,37493333,Breast Cancer Proteome Portal,0.0,,0.0,breast cancer proteome portal,0.0,1,https://pdc.cancer.gov/,200,,,,,,,,,,,Breast Cancer Proteome Portal,ok,,,,
CAPITALIZED,35037225,AGROLD,0.0,agrold,0.0,,0.0,1,http://www.agrold.org/,200,,,,,,,,,,,AGROLD,ok,,,,
"PIPE_CLEANED,CAPITALIZED",39510367,HEAL,0.0,heal | impowr,0.0,,0.0,1,https://heal.nih.gov/data,200,,,,,,,,,,,HEAL,ok,,,,
SMART_CAPITALIZED,37104266,Bookshelf,0.0,,0.0,bookshelf,0.0,1,https://www.ncbi.nlm.nih.gov/books/,200,,,,,,,,,,,Bookshelf,ok,,,,
"PIPE_CLEANED,CAPITALIZED",36449162,ATLAS,0.0,atlas | bs-,0.0,,0.0,1,https://www.mongodb.com/atlas/database,200,,,,,,,,,,,ATLAS,ok,,,,
SMART_CAPITALIZED,36794865,Genomes Online Database,0.0,,0.0,genomes online database,0.0,1,https://gold.jgi.doe.gov/,200,,,,,,,,,,,Genomes Online Database,ok,,,,
CAPITALIZED,37614126,BOLD,0.0,bold,0.0,,0.0,1,https://www.boldsystems.org/,200,,,,,,,,,,,BOLD,ok,,,,
SMART_CAPITALIZED,37646946,Chilean Plants Cytogenetic Database,0.0,,0.0,chilean plants cytogenetic database,0.0,1,http://www.chileanpcd.com/,200,,,,,,,,,,,Chilean Plants Cytogenetic Database,ok,,,,
CAPITALIZED,38335132,IPTG,0.0,iptg,0.0,lactospanks,0.0,1,https://www.addgene.org/,200,,,,,,,,,,,IPTG,ok,,,,
SMART_CAPITALIZED,36008656,Candida Genome Database,0.0,,0.0,candida genome database,0.0,1,http://www.candidagenome.org/,200,,,,,,,,,,,Candida Genome Database,ok,,,,
CAPITALIZED,36107335,FPBASE,0.0,fpbase,0.0,,0.0,1,https://www.fpbase.org/,200,,,,,,,,,,,FPBASE,ok,,,,
CAPITALIZED,38909399,BRCA,0.0,brca,0.0,,0.0,1,https://brcaexchange.org/,200,,,,,,,,,,,BRCA,ok,,,,
SMART_CAPITALIZED,37435391,Association Of Biomolecular Resource Facilities,0.0,,0.0,association of biomolecular resource facilities,0.0,1,https://coremarketplace.org/,200,,,,,,,,,,,Association Of Biomolecular Resource Facilities,ok,,,,
SMART_CAPITALIZED,40728623,Moonprot,0.0,,0.0,moonprot,0.0,1,http://www.moonlightingproteins.org,200,,,,,,,,,,,Moonprot,ok,,,,
"PIPE_CLEANED,DISAMBIGUATED,SMART_CAPITALIZED",36125864,Genome Taxonomy Database (gtdb),0.0,,0.0,genome taxonomy database | the genome taxonomy database,0.0,1,https://gtdb.ecogenomic.org/,200,,,,,,,,,,,Genome Taxonomy Database (gtdb),ok,,HAS_BRACKETS,,
CAPITALIZED,40779104,CEDAR,0.0,cedar,0.0,cancer epitope database and analysis resource,0.0,1,https://cedar.iedb.org/,200,,,,,,,,,,,CEDAR,ok,,,,
"PIPE_CLEANED,CAPITALIZED",40828275,BRAKER,0.0,braker | tsebra,0.0,,0.0,1,https://github.com/Gaius-Augustus/BRAKER,200,,,,,,,,,,,BRAKER,review,,,,
SMART_CAPITALIZED,37697153,Bugsigdb,0.98630494,,0.98630494,bugsigdb,0.98630494,1,https://bugsigdb.org/,200,,,,,,,,,,,Bugsigdb,ok,,,,
SMART_CAPITALIZED,40129074,Insect-ep450db,0.9985097,,0.9985097,insect-ep450db,0.9985097,1,http://www.insectp450.net/,200,,,,,,,,,,,Insect-ep450db,ok,,,,
SMART_CAPITALIZED,36567525,Acinetobase,0.99827045,,0.99827045,acinetobase,0.99827045,1,https://acinetobase.vib.be/,200,,,,,,,,,,,Acinetobase,ok,,,,
SMART_CAPITALIZED,38050974,Argetgene,0.9971866,,0.9971866,argetgene,0.9971866,1,https://ngdc.cncb.ac.cn/targetgene/,200,,,,,,,,,,,Argetgene,ok,,,,
SMART_CAPITALIZED,37337836,Plant Ploidy Database,0.9971088,,0.9971088,plant ploidy database,0.9971088,1,http://ccdb.tau.ac.il/,200,,,,,,,,,,,Plant Ploidy Database,ok,,,,
SMART_CAPITALIZED,36725728,Sex-chrom,0.9891997,,0.9891997,sex-chrom,0.9891997,1,http://sexchrom.csic.es/,200,,,,,,,,,,,Sex-chrom,ok,,,,
SMART_CAPITALIZED,37480566,Drosophila Resource,0.9261247,,0.9261247,drosophila resource,0.9261247,1,http://flybase.org/,200,,,,,,,,,,,Drosophila Resource,ok,,,,
SMART_CAPITALIZED,39216000,Observed T Cell Receptor Space,0.82833964,,0.82833964,observed t cell receptor space,0.82833964,1,http://opig.stats.ox.ac.uk/webapps/ots/,200,,,,,,,,,,,Observed T Cell Receptor Space,ok,,,,
CAPITALIZED,36640942,CESIUM,0.57386976,cesium,0.57386976,,0.57386976,1,https://cesium.com/platform/cesium-ion/,200,,,,,,,,,,,CESIUM,ok,,,,
"PIPE_CLEANED,SMART_CAPITALIZED",36307625,Crowd-5e,0.0,,0.0,crowd-5e | a croatian psycholinguistic database of affective norms for five discrete emotions,0.0,1,https://osf.io/35tbw/,200,,,,,,,,,,,Crowd-5e,ok,,,,
SMART_CAPITALIZED,38453963,Pearl-neuro,0.0,,0.0,pearl-neuro,0.0,1,https://openneuro.org/datasets/ds004796/versions/1.0.2,200,,,,,,,,,,,Pearl-neuro,ok,,,,
SMART_CAPITALIZED,35359334,Gene Expression Database,0.0,,0.0,gene expression database,0.0,1,https://www.ncbi.nlm.nih.gov/geo/,200,,,,,,,,,,,Gene Expression Database,ok,,,,
SMART_CAPITALIZED,39983713,Adiposetissue.org,0.0,,0.0,adiposetissue.org,0.0,1,https://adiposetissue.org/,200,,,,,,,,,,,Adiposetissue.org,ok,,,,
SMART_CAPITALIZED,35315058,Madagascar Terrestrial Camera Survey Database,0.0,,0.0,madagascar terrestrial camera survey database,0.0,1,https://doi.org/10.5281/zenodo.5801806,200,,,,,,,,,,,Madagascar Terrestrial Camera Survey Database,ok,,,,
SMART_CAPITALIZED,38825257,Lessons Learned Establishing The Palliative Care Research Cooperative's Qualitative Data Repository,0.0,,0.0,lessons learned establishing the palliative care research cooperative's qualitative data repository,0.0,1,https://qdr.syr.edu/,200,,,,,,,,,,,Lessons Learned Establishing The Palliative Care Research Cooperative's Qualitative Data Repository,ok,,,,
SMART_CAPITALIZED,37367491,Global Impact Of Covid-19 Vaccines,0.0,,0.0,global impact of covid-19 vaccines,0.0,1,https://ourworldindata.org/covid-vaccinations,200,,,,,,,,,,,Global Impact Of Covid-19 Vaccines,ok,,,,
SMART_CAPITALIZED,39075025,Naturally Occurring Plant-based Anticancerous Candidates As Potential Erk2 Inhibitors,0.0,,0.0,naturally occurring plant-based anticancerous candidates as potential erk2 inhibitors,0.0,1,http://crdd.osdd.net/raghava/npact/,200,,,,,,,,,,,Naturally Occurring Plant-based Anticancerous Candidates As Potential Erk2 Inhibitors,ok,,,,
"PIPE_CLEANED,SMART_CAPITALIZED",36537834,First Genome Sequence Resource Of,0.0,,0.0,first genome sequence resource of | causal agent of foxtail millet stinking smut disease,0.0,1,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA841014,200,,,,,,,,,,,First Genome Sequence Resource Of,ok,,,,
"PIPE_CLEANED,SMART_CAPITALIZED",36587236,Genome Sequence Resource Of,0.0,,0.0,genome sequence resource of | causative agent of apple replant disease,0.0,1,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA763768,200,,,,,,,,,,,Genome Sequence Resource Of,ok,,,,
SMART_CAPITALIZED,35507259,Three-dimensional Structure Databases Of Biological Macromolecules,0.0,,0.0,three-dimensional structure databases of biological macromolecules,0.0,1,https://www.rcsb.org/,200,,,,,,,,,,,Three-dimensional Structure Databases Of Biological Macromolecules,ok,,,,
SMART_CAPITALIZED,38505885,Genome Assembly And Annotation Of The Dark-branded Bushbrown Butterfly Mycalesis Mineus,0.0,,0.0,genome assembly and annotation of the dark-branded bushbrown butterfly mycalesis mineus,0.0,1,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA999358,200,,,,,,,,,,,Genome Assembly And Annotation Of The Dark-branded Bushbrown Butterfly Mycalesis Mineus,ok,,,,
CAPITALIZED,36311883,NCCIH,0.0,nccih,0.0,,0.0,1,https://www.nccih.nih.gov/,200,,,,,,,,,,,NCCIH,ok,,,,
"PIPE_CLEANED,SMART_CAPITALIZED",39888724,Expression Of Concern,0.0,,0.0,expression of concern | disgenet | interaction database,0.0,1,https://www.disgenet.org/,200,,,,,,,,,,,Expression Of Concern,ok,,,,
CAPITALIZED,39102880,SEER,0.0,seer,0.0,,0.0,1,https://seer.cancer.gov/data/,200,,,,,,,,,,,SEER,ok,,,,
SMART_CAPITALIZED,37284942,Guinea Pig Preimplantation Embryos,0.0,,0.0,guinea pig preimplantation embryos,0.0,1,https://data.mendeley.com/datasets/8f5t6t72p3/1,200,,,,,,,,,,,Guinea Pig Preimplantation Embryos,ok,,,,
SMART_CAPITALIZED,34762316,Ecotoxxplorer,0.0,,0.0,ecotoxxplorer,0.0,1,https://www.ecotoxxplorer.ca/,200,,,,,,,,,,,Ecotoxxplorer,ok,,,,
"PIPE_CLEANED,SMART_CAPITALIZED",40285727,Inkjet-printed Graphene Multielectrode Arrays,0.0,,0.0,inkjet-printed graphene multielectrode arrays | lt;i&gt;in,0.0,1,https://doi.org/10.6084/m9.figshare.24156378,200,,,,,,,,,,,Inkjet-printed Graphene Multielectrode Arrays,ok,,,,
"PIPE_CLEANED,SMART_CAPITALIZED",38714759,Microbioraman,0.0,,0.0,microbioraman | an open-access web repository for microbiological raman spectroscopy data,0.0,1,https://www.ebi.ac.uk/biostudies/MicrobioRaman,200,,,,,,,,,,,Microbioraman,ok,,,,
SMART_CAPITALIZED,36695636,Mitelman Db,0.99341226,,0.99341226,mitelman db,0.99341226,1,https://mitelmandatabase.isb-cgc.org/,200,,,,,,,,,,,Mitelman Db,ok,,,,
SMART_CAPITALIZED,36433993,Figshare,0.895198,,0.895198,figshare,0.895198,1,https://figshare.com/,200,,,,,,,,,,,Figshare,ok,,,,
CAPITALIZED,37142360,BFI,0.8906218,bfi,0.8906218,,0.8906218,1,https://www.bfi.org.uk/films-tv-people/,200,,,,,,,,,,,BFI,ok,,,,
SMART_CAPITALIZED,39611775,Snpversity,0.8238702,,0.8238702,snpversity,0.8238702,1,https://www.maizegdb.org/snpversity,200,,,,,,,,,,,Snpversity,ok,,,,
CAPITALIZED,40173841,MZUSP,0.757348,mzusp,0.757348,,0.757348,1,http://www.mz.usp.br/,200,,,,,,,,,,,MZUSP,ok,,,,
"HTML_REMOVED,SMART_CAPITALIZED",40511584,Osteoevidence,0.74638486,,0.74638486,i>osteoevidence</i,0.74638486,1,https://www.osteoevidence.com/,200,,,,,,,,,,,Osteoevidence,ok,,,,
CAPITALIZED,37800393,ECN,0.688996,ecn,0.688996,,0.688996,1,https://www.ecn.ac.uk/data,200,,,,,,,,,,,ECN,ok,,,,
SMART_CAPITALIZED,37602732,Oregon Biodiversity Genome Project,0.0,,0.0,oregon biodiversity genome project,0.0,1,https://obgp.org/,200,,,,,,,,,,,Oregon Biodiversity Genome Project,ok,,,,
SMART_CAPITALIZED,38063370,Squeezemeta,0.0,,0.0,squeezemeta,0.0,1,https://github.com/jtamames/SqueezeMeta,200,,,,,,,,,,,Squeezemeta,review,,,,
"PIPE_CLEANED,CAPITALIZED",37769048,CINAHL,0.0,cinahl | rct,0.0,ptsd-repository | psycinfo,0.0,1,https://www.ebsco.com/products/research-databases/cinahl-database,200,,,,,,,,,,,CINAHL,ok,,,,
"PIPE_CLEANED,SMART_CAPITALIZED",37261838,Its2,0.0,its2 | gag,0.0,,0.0,1,http://its2.bioapps.biozentrum.uni-wuerzburg.de/,200,,,,,,,,,,,Its2,ok,,,,
"PIPE_CLEANED,CAPITALIZED",36099978,STEMI,0.0,stemi | ncdr,0.0,,0.0,1,https://cvquality.acc.org/NCDR-Home/registries/hospital-registries/chest-pain-mi-registry,200,,,,,,,,,,,STEMI,ok,,,,
SMART_CAPITALIZED,39558178,Genelab,0.0,,0.0,genelab,0.0,1,https://genelab.nasa.gov/,200,,,,,,,,,,,Genelab,ok,,,,
SMART_CAPITALIZED,38134877,Cellhint,0.0,,0.0,cellhint,0.0,1,https://github.com/Teichlab/CellHint,200,,,,,,,,,,,Cellhint,review,,,,
SMART_CAPITALIZED,40578340,Flysta3d-v2,0.0,,0.0,flysta3d-v2,0.0,1,https://db.cngb.org/stomics/flysta3d-v2/,200,,,,,,,,,,,Flysta3d-v2,ok,,,,
CAPITALIZED,36564505,TOPMED,0.0,topmed,0.0,metastaar | trans omics for precision medicine,0.0,1,https://topmed.nhlbi.nih.gov/,200,,,,,,,,,,,TOPMED,ok,,,,
"CHARS_SANITIZED,NAME_RECOVERED_FROM_URL,CAPITALIZED",37269845,PBS,0.0,4·2,0.0,pharmaceutical benefits scheme,0.0,1,https://www.pbs.gov.au/pbs/home,200,,,,,,,,,,,PBS,ok,,,,
SMART_CAPITALIZED,35124290,Mirbase,0.0,,0.0,mirbase,0.0,1,https://www.mirbase.org/,200,,,,,,,,,,,Mirbase,ok,,,,
CAPITALIZED,38042076,ARCGIS,0.0,arcgis,0.0,nature conservancy's northeast aquatic connectivity study which considered factors relating to river connectivity and watershed quality,0.0,1,https://www.arcgis.com/home/item.html?id=...,200,,,,,,,,,,,ARCGIS,ok,,,,
SMART_CAPITALIZED,40239308,Titan-x,0.9658909,titan-x,0.9658909,,0.9658909,1,http://qphos.cancerbio.info/,200,,,,,,,,,,,Titan-x,ok,,,,
SMART_CAPITALIZED,39208229,Food Disaggregation Database,0.96453553,,0.96453553,food disaggregation database,0.96453553,1,https://cmnpd.org/,200,,,,,,,,,,,Food Disaggregation Database,ok,,,,
CAPITALIZED,38421866,CENGEN,0.0,cengen,0.0,neuronal gene expression map and network,0.0,1,https://cengen.org/,200,,,,,,,,,,,CENGEN,ok,,,,
CAPITALIZED,37455222,CFDNA,0.0,cfdna,0.0,,0.0,1,http://finaledb.research.cchmc.org/,200,,,,,,,,,,,CFDNA,ok,,,,
SMART_CAPITALIZED,38733216,Its-1_5.8s_its-2,0.0,its-1_5.8s_its-2,0.0,its-2-rrna | primertc,0.0,1,http://its2.bioapps.biozentrum.uni-wuerzburg.de/,200,,,,,,,,,,,Its-1_5.8s_its-2,ok,,,,
"PIPE_CLEANED,CAPITALIZED",34424339,PFAM,0.0,pfam | lbd,0.0,,0.0,1,http://pfam.xfam.org/,200,,,,,,,,,,,PFAM,ok,,,,
CAPITALIZED,36095527,EPO,0.0,epo,0.0,,0.0,1,https://www.epo.org/searching-for-patents.html,200,,,,,,,,,,,EPO,ok,,,,
"PIPE_CLEANED,CAPITALIZED",37258857,SILVA,0.0,silva | rdp | gtdb,0.0,ribosomal database project | and genome taxonomy database,0.0,1,https://www.arb-silva.de/,200,,,,,,,,,,,SILVA,ok,,,,
"PIPE_CLEANED,CAPITALIZED",36996758,MIMIC,0.0,mimic | cms,0.0,,0.0,1,https://mimic.mit.edu/,200,,,,,,,,,,,MIMIC,ok,,,,
CAPITALIZED,38160287,PDB,0.0,pdb,0.0,alphafold | autodock,0.0,1,https://www.rcsb.org/,200,,,,,,,,,,,PDB,ok,,,,
"PIPE_CLEANED,CAPITALIZED",38733902,KEGG,0.0,kegg | omim,0.0,,0.0,1,https://www.genome.jp/kegg/,200,,,,,,,,,,,KEGG,ok,,,,
"PIPE_CLEANED,SMART_CAPITALIZED",37898683,Mrcmpsp,0.0,mrcmpsp | hqpso,0.0,,0.0,1,http://www.om-db.wi.tum.de/psplib/,200,,,,,,,,,,,Mrcmpsp,ok,,,,
"DISAMBIGUATED,SMART_CAPITALIZED",35049120,Genome Taxonomy Database (gtdb),0.0,,0.0,genome taxonomy database,0.0,1,https://gtdb.ecogenomic.org/,200,,,,,,,,,,,Genome Taxonomy Database (gtdb),ok,,HAS_BRACKETS,,
CAPITALIZED,39227745,TCGA,0.0,tcga,0.0,the cancer genome atlas,0.0,1,https://portal.gdc.cancer.gov/,200,,,,,,,,,,,TCGA,ok,,,,
"PIPE_CLEANED,CAPITALIZED",37540443,TCGA,0.0,tcga | cosmic | hpa | depmap,0.0,international cancer genome consortium | the cancer genome atlas | cbioportal | human protein atlas | gene expression profiling interactive analysis 2,0.0,1,https://depmap.org/portal/,200,,,,,,,,,,,TCGA,ok,,,,
CAPITALIZED,37376953,IMFP,0.0,imfp,0.0,,0.0,1,https://www.nist.gov/srd/nist-standard-reference-database-71,200,,,,,,,,,,,IMFP,ok,,,,
CAPITALIZED,40393240,QSRR,0.0,qsrr,0.0,,0.0,1,https://qsardb.org/,200,,,,,,,,,,,QSRR,ok,,,,
SMART_CAPITALIZED,40360756,Human Cell Atlas Adipose Bionetwork,0.0,,0.0,human cell atlas adipose bionetwork,0.0,1,https://www.humancellatlas.org/biological-networks/adipose-network/,200,,,,,,,,,,,Human Cell Atlas Adipose Bionetwork,ok,,,,
SMART_CAPITALIZED,36002881,Cell Transcriptome Atlas,0.0,,0.0,cell transcriptome atlas,0.0,1,https://www.humancellatlas.org/,200,,,,,,,,,,,Cell Transcriptome Atlas,ok,,,,
"PIPE_CLEANED,SMART_CAPITALIZED",39787917,Snomed-ct,0.0,snomed-ct | hpo | lkb,0.0,electronic health records | linked knowledge base,0.0,1,https://www.snomed.org/,200,,,,,,,,,,,Snomed-ct,ok,,,,
"PIPE_CLEANED,SMART_CAPITALIZED",38084013,Thermomutdb,0.0,,0.0,thermomutdb | fireprotdb | prothermdb,0.0,1,http://biosig.unimelb.edu.au/thermomutdb/,200,,,,,,,,,,,Thermomutdb,ok,,,,
"PIPE_CLEANED,SMART_CAPITALIZED",39870154,Global Strategy For Plant Conservation,0.0,,0.0,global strategy for plant conservation | national cryogenebank facility at icar-nbpgr,0.0,1,http://www.nbpgr.ernet.in/,200,,,,,,,,,,,Global Strategy For Plant Conservation,ok,,,,
CAPITALIZED,38477530,PFAS,0.0,pfas,0.0,,0.0,1,https://comptox.epa.gov/dashboard/chemical-lists/PFASMASTER,200,,,,,,,,,,,PFAS,ok,,,,
SMART_CAPITALIZED,37659415,Brassitol,0.0,,0.0,brassitol,0.0,1,https://brassitol.vercel.app/,200,,,,,,,,,,,Brassitol,ok,,,,
CAPITALIZED,35612145,MII,0.0,mii,0.0,german medical informatics initiative,0.0,1,https://www.medizininformatik-initiative.de/,200,,,,,,,,,,,MII,ok,,,,
SMART_CAPITALIZED,38594221,South American Mycorrhizal Database,0.0,,0.0,south american mycorrhizal database,0.0,1,https://southmycorrhizas.org/,200,,,,,,,,,,,South American Mycorrhizal Database,ok,,,,
"PIPE_CLEANED,CAPITALIZED",36529941,PRIDE,0.0,pride | jpost | iprox,0.0,proteomexchange | peptideatlas | panorama,0.0,1,https://www.ebi.ac.uk/pride/,200,,,,,,,,,,,PRIDE,ok,,,,
"PIPE_CLEANED,CAPITALIZED",40658718,RGC,0.0,rgc | mea,0.0,,0.0,1,https://jpostdb.org/,200,,,,,,,,,,,RGC,ok,,,,
"PIPE_CLEANED,CAPITALIZED",36628764,RCA,0.0,rca | tmb,0.0,,0.0,1,https://friendsofcancerresearch.org/tmb/,200,,,,,,,,,,,RCA,ok,,,,
SMART_CAPITALIZED,39316855,Mirna-125a-5p,0.0,,0.0,mirna-125a-5p,0.0,1,https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MIMAT0000443,200,,,,,,,,,,,Mirna-125a-5p,ok,,,,
SMART_CAPITALIZED,36270040,Metalpdb,0.0,,0.0,metalpdb,0.0,1,https://metalpdb.cerm.unifi.it/,200,,,,,,,,,,,Metalpdb,ok,,,,
CAPITALIZED,35385607,HMF,0.0,hmf,0.0,,0.0,1,https://www.hartwigmedicalfoundation.nl/en/data/,200,,,,,,,,,,,HMF,ok,,,,
CAPITALIZED,39186704,DMD,0.0,dmd,0.0,,0.0,1,http://www.dmd.nl/,200,,,,,,,,,,,DMD,ok,,,,
SMART_CAPITALIZED,37499306,Hpv6,0.0,hpv6,0.0,,0.0,1,https://pave.niaid.nih.gov/,200,,,,,,,,,,,Hpv6,ok,,,,
CAPITALIZED,37450164,INTACT,0.0,intact,0.0,,0.0,1,https://www.ebi.ac.uk/intact/,200,,,,,,,,,,,INTACT,ok,,,,
SMART_CAPITALIZED,37646947,Floraweb,0.0,,0.0,floraweb,0.0,1,https://www.floraweb.de/,200,,,,,,,,,,,Floraweb,ok,,,,
"PIPE_CLEANED,SMART_CAPITALIZED",37024526,Swaveform,0.0,,0.0,swaveform | human genome diversity project,0.0,1,https://github.com/comp-bio/SWaveform,200,,,,,,,,,,,Swaveform,review,,,,
