pmid,source,ling_score,setfit_confidence
37093804,linguistic_only,3.0,
37831087,linguistic_only,5.0,
36192696,setfit_only,,0.65945697
37831097,linguistic_only,4.5,
37142970,setfit_only,,0.72076464
39535034,setfit_only,,0.6302331
39535036,linguistic_only,3.0,
37093820,setfit_only,,0.6216806
39535037,setfit_only,,0.71579164
37093824,linguistic_only,3.0,
37978560,setfit_only,,0.68051696
35275211,linguistic_only,5.0,
39535052,linguistic_only,3.0,
36520398,linguistic_only,3.0,
37831118,linguistic_only,4.5,
37093842,linguistic_only,4.0,
38355413,linguistic_only,4.0,
39895511,setfit_only,,0.6523734
38617561,linguistic_only,3.0,
35226074,linguistic_only,3.0,
40436186,linguistic_only,3.0,
38748636,linguistic_only,4.5,
38978014,linguistic_only,3.5,
37863902,setfit_only,,0.68692124
40059360,setfit_only,,0.70909274
37831137,linguistic_only,5.0,
38273507,linguistic_only,3.5,
37240827,setfit_only,,0.64602315
40272360,linguistic_only,5.0,
37863915,linguistic_only,4.0,
37880300,setfit_only,,0.63912976
40206833,setfit_only,,0.7084696
37863925,setfit_only,,0.6990347
36159991,linguistic_only,4.5,
38650359,setfit_only,,0.67128074
37487099,setfit_only,,0.7093804
39830014,setfit_only,,0.7172486
35881481,linguistic_only,5.0,
37880333,setfit_only,,0.6444063
39289369,setfit_only,,0.6979577
39289371,setfit_only,,0.66773456
37880351,linguistic_only,3.0,
40075808,linguistic_only,3.5,
37208611,linguistic_only,3.0,
39240227,linguistic_only,3.5,
38273575,setfit_only,,0.6778885
39043627,linguistic_only,4.0,
40354347,setfit_only,,0.6914579
39502384,setfit_only,,0.6784694
38601265,linguistic_only,4.0,
35390003,linguistic_only,3.0,
40010299,setfit_only,,0.71272296
38781500,linguistic_only,4.0,
38093376,linguistic_only,3.0,
37306951,setfit_only,,0.701716
36307536,setfit_only,,0.7144279
39158353,linguistic_only,3.0,
40288852,setfit_only,,0.7114767
38371933,linguistic_only,3.0,
39436899,linguistic_only,3.0,
36864613,linguistic_only,4.5,
38552170,linguistic_only,3.5,
39895658,linguistic_only,3.5,
39944812,linguistic_only,4.5,
37896813,setfit_only,,0.63738436
39895661,setfit_only,,0.6156807
37847663,linguistic_only,3.5,
36864624,linguistic_only,4.5,
39043697,setfit_only,,0.6259156
38732403,setfit_only,,0.6418734
37962356,linguistic_only,3.5,
36225653,linguistic_only,3.0,
37208694,setfit_only,,0.7144103
35013238,setfit_only,,0.7089648
38273657,linguistic_only,3.0,
36340350,linguistic_only,4.0,
38879873,setfit_only,,0.6794393
39043716,linguistic_only,4.0,
39240325,linguistic_only,4.0,
37749380,setfit_only,,0.6567516
39240327,linguistic_only,4.5,
37962376,linguistic_only,3.0,
34472587,setfit_only,,0.70447254
36127375,setfit_only,,0.69588166
37962385,linguistic_only,4.5,
35193494,linguistic_only,4.5,
35701399,setfit_only,,0.69109434
39371417,setfit_only,,0.642415
35193498,linguistic_only,3.5,
35701407,linguistic_only,4.0,
40583840,linguistic_only,4.0,
35193506,linguistic_only,4.0,
36307625,linguistic_only,3.0,
36635305,linguistic_only,3.0,
35586731,linguistic_only,4.0,
35701419,linguistic_only,3.5,
35701420,linguistic_only,3.0,
37749421,linguistic_only,3.5,
35652265,setfit_only,,0.67848676
36962988,setfit_only,,0.6842291
40108717,setfit_only,,0.6029492
38453937,setfit_only,,0.71447015
36635312,setfit_only,,0.6785245
40005591,setfit_only,,0.65935504
38585015,linguistic_only,3.0,
35209912,linguistic_only,3.5,
37962425,setfit_only,,0.6975825
39633594,setfit_only,,0.7090709
34751162,setfit_only,,0.68907094
37831357,setfit_only,,0.6039608
40157887,linguistic_only,4.0,
38814403,setfit_only,,0.6058458
34718406,linguistic_only,3.0,
38683334,setfit_only,,0.7211897
34718410,linguistic_only,4.0,
37520074,linguistic_only,3.0,
38453963,linguistic_only,3.0,
35472084,linguistic_only,3.0,
39420631,linguistic_only,5.0,
39289562,linguistic_only,4.0,
40157915,setfit_only,,0.63740915
39420637,linguistic_only,3.0,
39387871,setfit_only,,0.71062654
40157926,setfit_only,,0.6940585
36930285,setfit_only,,0.6900741
40157936,setfit_only,,0.70304465
38552307,linguistic_only,4.0,
37749493,setfit_only,,0.6316933
35422973,setfit_only,,0.72497696
36831997,setfit_only,,0.6518824
39617279,setfit_only,,0.69915754
36553472,setfit_only,,0.6324058
38011649,linguistic_only,4.5,
35504897,setfit_only,,0.72799665
35472132,setfit_only,,0.6411163
34996997,linguistic_only,4.5,
38552327,linguistic_only,5.0,
40190740,linguistic_only,3.0,
35504919,setfit_only,,0.72093576
37995287,setfit_only,,0.70270884
35259160,setfit_only,,0.69315445
37995293,linguistic_only,5.0,
35504931,setfit_only,,0.6264289
34849572,setfit_only,,0.6694022
37323558,setfit_only,,0.61173284
38470439,linguistic_only,3.0,
34849578,linguistic_only,4.0,
35832621,setfit_only,,0.71105087
36307762,linguistic_only,3.5,
35849014,linguistic_only,3.0,
34849594,linguistic_only,3.5,
37995323,setfit_only,,0.7218643
37012284,linguistic_only,3.5,
35930941,linguistic_only,4.5,
38191934,linguistic_only,3.0,
38912828,linguistic_only,3.5,
35308350,setfit_only,,0.6174173
35849027,setfit_only,,0.6757538
35849028,linguistic_only,4.0,
35504964,setfit_only,,0.7299009
39240515,setfit_only,,0.6743147
38011719,linguistic_only,4.5,
38011720,linguistic_only,4.0,
36995916,linguistic_only,4.5,
36045644,setfit_only,,0.6984093
37503835,linguistic_only,3.0,
35193692,setfit_only,,0.62764865
39240541,setfit_only,,0.66655767
39994207,setfit_only,,0.71270335
34718559,setfit_only,,0.70429856
36553571,setfit_only,,0.6447872
38323044,linguistic_only,3.0,
38814564,linguistic_only,3.0,
38994794,linguistic_only,4.5,
38994795,linguistic_only,3.5,
38781811,setfit_only,,0.6722661
38241143,linguistic_only,4.0,
34734974,linguistic_only,4.0,
38994817,linguistic_only,3.0,
38192001,setfit_only,,0.7142899
38192003,setfit_only,,0.72242796
35980167,linguistic_only,4.5,
40534920,setfit_only,,0.66435784
39879562,linguistic_only,3.5,
39814026,setfit_only,,0.7034459
35980175,setfit_only,,0.6003872
39633811,setfit_only,,0.60755754
39715738,setfit_only,,0.64961153
38896539,setfit_only,,0.6369804
34751388,linguistic_only,3.0,
39912348,setfit_only,,0.64122415
36864926,linguistic_only,3.0,
38667169,setfit_only,,0.6695106
35242914,linguistic_only,3.0,
34751395,linguistic_only,5.0,
39715746,setfit_only,,0.72019905
34751399,linguistic_only,4.0,
37307303,setfit_only,,0.69256216
39748521,setfit_only,,0.6668047
37438378,setfit_only,,0.71811193
34751403,linguistic_only,5.5,
34751405,setfit_only,,0.70258564
39715757,setfit_only,,0.69669336
38224813,setfit_only,,0.6525855
38175665,linguistic_only,3.0,
39961523,linguistic_only,4.0,
39814068,linguistic_only,4.0,
39994292,setfit_only,,0.69470215
37438390,linguistic_only,3.0,
36094905,linguistic_only,3.0,
40092601,setfit_only,,0.65356517
37143483,linguistic_only,3.0,
35095484,linguistic_only,3.0,
37946302,setfit_only,,0.66326034
37225408,setfit_only,,0.71133155
35881922,linguistic_only,3.0,
38060994,linguistic_only,3.5,
35898309,linguistic_only,4.5,
37929927,linguistic_only,3.0,
36848584,setfit_only,,0.6979875
38388681,linguistic_only,4.0,
36094924,linguistic_only,3.5,
39240653,linguistic_only,5.5,
37356495,setfit_only,,0.64964217
37815256,linguistic_only,4.5,
40895450,linguistic_only,3.5,
37716955,linguistic_only,3.0,
39175133,setfit_only,,0.6669668
39076831,setfit_only,,0.67238003
34718689,linguistic_only,5.0,
34718696,linguistic_only,4.5,
40272881,linguistic_only,3.5,
35685362,linguistic_only,3.0,
37651445,linguistic_only,4.5,
34718710,linguistic_only,3.0,
40092663,linguistic_only,3.5,
34718712,linguistic_only,4.0,
34718713,linguistic_only,4.5,
35685370,linguistic_only,4.5,
34718715,linguistic_only,3.0,
34718716,setfit_only,,0.7104693
35980286,linguistic_only,4.0,
34718719,linguistic_only,4.0,
34718720,linguistic_only,3.0,
39977983,linguistic_only,4.0,
38077442,linguistic_only,3.5,
38241279,setfit_only,,0.6828974
37684228,setfit_only,,0.60554796
34718726,linguistic_only,3.0,
34718728,linguistic_only,3.0,
36307977,linguistic_only,3.5,
37651464,linguistic_only,5.0,
34718734,linguistic_only,4.5,
35669006,setfit_only,,0.6946468
39502863,setfit_only,,0.71116716
34718735,setfit_only,,0.6977876
34718738,linguistic_only,4.5,
34718740,linguistic_only,4.0,
34718741,linguistic_only,4.0,
39273492,setfit_only,,0.70886177
34718743,setfit_only,,0.7186998
37717016,setfit_only,,0.7042915
34718745,linguistic_only,4.0,
34718746,linguistic_only,4.5,
34718747,linguistic_only,4.5,
39715863,setfit_only,,0.69988924
35324954,setfit_only,,0.6788676
38962205,setfit_only,,0.7122352
38962207,setfit_only,,0.70559824
34718752,linguistic_only,3.5,
37684259,linguistic_only,3.0,
37684260,linguistic_only,4.0,
37930022,linguistic_only,3.0,
36029479,linguistic_only,4.0,
34718760,linguistic_only,5.5,
38765608,linguistic_only,4.0,
39552041,linguistic_only,3.0,
37684262,setfit_only,,0.7043229
38143020,linguistic_only,4.5,
38175787,setfit_only,,0.7178037
37717042,linguistic_only,3.5,
34997301,linguistic_only,3.0,
39388213,linguistic_only,4.5,
36095029,setfit_only,,0.61500645
35685437,linguistic_only,3.5,
39994432,setfit_only,,0.6890289
36963395,setfit_only,,0.7038235
37684293,setfit_only,,0.71382457
38519883,linguistic_only,5.0,
35980363,setfit_only,,0.6680303
36848718,linguistic_only,3.0,
37340239,linguistic_only,3.5,
34636883,linguistic_only,4.0,
38814806,linguistic_only,4.0,
37602392,linguistic_only,4.0,
40338521,linguistic_only,4.5,
39928922,setfit_only,,0.6654047
39830620,setfit_only,,0.6986037
37864541,setfit_only,,0.7219821
37766241,setfit_only,,0.6826502
37602408,linguistic_only,4.5,
37733481,linguistic_only,3.5,
35325039,linguistic_only,4.0,
35652722,linguistic_only,4.0,
36602995,setfit_only,,0.669674
40027253,setfit_only,,0.7065159
40027255,setfit_only,,0.60769457
38552697,linguistic_only,3.5,
37897338,linguistic_only,4.0,
37897341,linguistic_only,3.0,
37897342,linguistic_only,4.0,
40436863,setfit_only,,0.6670606
39519363,setfit_only,,0.67478853
37897348,setfit_only,,0.7006867
35652743,setfit_only,,0.6418361
37897352,linguistic_only,4.0,
39781512,linguistic_only,3.5,
39781514,linguistic_only,5.0,
37897355,linguistic_only,4.0,
37897356,linguistic_only,4.5,
37897357,linguistic_only,4.0,
38241422,setfit_only,,0.6857475
37897359,linguistic_only,4.5,
37897362,setfit_only,,0.71820295
37897364,linguistic_only,3.5,
40436887,setfit_only,,0.65611696
35407001,setfit_only,,0.70361626
36373660,setfit_only,,0.6910223
36291748,setfit_only,,0.703244
37291174,linguistic_only,4.5,
39240871,linguistic_only,4.0,
37504166,setfit_only,,0.6938128
36930729,linguistic_only,4.0,
39994539,setfit_only,,0.68718195
39240878,linguistic_only,4.5,
41092271,linguistic_only,4.5,
37553326,setfit_only,,0.6877741
39896240,setfit_only,,0.67824847
36406450,setfit_only,,0.65529764
34849976,linguistic_only,3.5,
36750521,linguistic_only,4.0,
39126203,linguistic_only,4.0,
39126204,linguistic_only,3.0,
35226813,setfit_only,,0.62742925
35013825,linguistic_only,4.0,
38995144,linguistic_only,3.0,
39994572,linguistic_only,4.0,
37291214,linguistic_only,3.5,
40109263,linguistic_only,3.0,
38110415,setfit_only,,0.68016994
38782169,setfit_only,,0.6549896
39191770,setfit_only,,0.67913264
36717789,linguistic_only,4.0,
37225696,linguistic_only,4.5,
38470883,linguistic_only,5.0,
35947748,linguistic_only,5.0,
39191783,setfit_only,,0.696891
36799723,linguistic_only,3.5,
40436975,setfit_only,,0.7014398
35161327,setfit_only,,0.66795534
38454513,setfit_only,,0.6655336
38192372,linguistic_only,4.0,
36095221,linguistic_only,4.5,
40240372,setfit_only,,0.6958386
38700279,linguistic_only,3.0,
39388407,setfit_only,,0.68126863
35390717,linguistic_only,3.5,
40240383,setfit_only,,0.6446468
35325185,linguistic_only,3.0,
39535874,linguistic_only,3.0,
40240385,setfit_only,,0.6791107
35325188,linguistic_only,3.5,
39159043,setfit_only,,0.66174483
37520646,setfit_only,,0.7170308
34997520,setfit_only,,0.63679796
39355665,setfit_only,,0.67031723
39535891,setfit_only,,0.6601284
38569236,setfit_only,,0.6419689
34718997,setfit_only,,0.7224622
34571541,setfit_only,,0.6652569
38913305,setfit_only,,0.69947505
39093530,linguistic_only,3.0,
35980571,linguistic_only,3.0,
36357404,linguistic_only,3.5,
35194141,linguistic_only,3.5,
37569821,linguistic_only,3.0,
34719002,setfit_only,,0.72425795
35177756,setfit_only,,0.6873682
35489057,linguistic_only,3.0,
36209954,linguistic_only,4.5,
36799778,linguistic_only,4.0,
38012190,setfit_only,,0.6967711
38389029,linguistic_only,5.0,
39208229,linguistic_only,3.0,
40518950,linguistic_only,3.0,
37225767,setfit_only,,0.6983369
40109352,setfit_only,,0.6901483
37340457,setfit_only,,0.7196838
35489067,linguistic_only,3.5,
38913321,setfit_only,,0.71752226
37258539,setfit_only,,0.7164584
34850103,linguistic_only,3.5,
38847800,linguistic_only,3.0,
39404857,linguistic_only,5.0,
37406008,setfit_only,,0.6709139
34850110,linguistic_only,4.0,
34850112,linguistic_only,4.0,
39191872,setfit_only,,0.61936945
39126338,linguistic_only,3.0,
34850116,linguistic_only,4.5,
37143876,linguistic_only,4.5,
34850118,linguistic_only,4.0,
37995844,linguistic_only,3.5,
38028612,linguistic_only,4.0,
34850121,linguistic_only,4.5,
38012232,setfit_only,,0.7198876
39208265,setfit_only,,0.6652173
34850125,linguistic_only,4.5,
37193038,setfit_only,,0.67502135
34850127,linguistic_only,4.0,
34850130,linguistic_only,4.5,
34850133,linguistic_only,3.5,
39208278,setfit_only,,0.6422215
39126359,linguistic_only,3.0,
39404887,linguistic_only,4.0,
35063127,setfit_only,,0.6722223
38749529,setfit_only,,0.6603237
34850139,linguistic_only,5.0,
37340506,setfit_only,,0.7028787
35915099,setfit_only,,0.69956875
40027488,linguistic_only,4.0,
35915104,setfit_only,,0.693942
37356898,linguistic_only,5.5,
37356899,linguistic_only,3.0,
37733731,linguistic_only,4.0,
37291365,linguistic_only,4.5,
40027491,setfit_only,,0.71642536
37356903,linguistic_only,4.5,
37356904,linguistic_only,4.5,
37356905,linguistic_only,4.0,
36062570,linguistic_only,4.5,
34850155,linguistic_only,4.5,
38421866,setfit_only,,0.62988406
37471595,setfit_only,,0.7196527
37356907,setfit_only,,0.7150904
40584559,setfit_only,,0.70528305
35243375,setfit_only,,0.63652956
34850161,linguistic_only,4.5,
37356913,linguistic_only,3.0,
34850162,setfit_only,,0.72460896
35571058,setfit_only,,0.7195182
37455222,setfit_only,,0.62132335
37373305,setfit_only,,0.66927385
34669946,linguistic_only,5.0,
35456378,setfit_only,,0.603316
37225853,setfit_only,,0.69288117
35145087,setfit_only,,0.6906393
36750720,linguistic_only,3.0,
37864836,setfit_only,,0.63079196
40273288,setfit_only,,0.64719695
37602697,linguistic_only,3.0,
34669962,linguistic_only,5.0,
37848459,setfit_only,,0.6752173
39372176,setfit_only,,0.64859813
36947346,linguistic_only,4.0,
40519058,setfit_only,,0.62833756
37537174,setfit_only,,0.6875498
40256918,setfit_only,,0.6848312
36930969,linguistic_only,4.0,
39126426,linguistic_only,3.0,
37389723,linguistic_only,4.5,
37422490,setfit_only,,0.6612429
39011737,setfit_only,,0.653383
39814560,linguistic_only,3.5,
38733216,setfit_only,,0.70215577
36406689,setfit_only,,0.634641
37537186,setfit_only,,0.7223127
37537187,setfit_only,,0.6761794
40240548,setfit_only,,0.6600041
35440038,setfit_only,,0.71477073
38323623,linguistic_only,3.5,
36930985,setfit_only,,0.71318793
37127596,linguistic_only,4.0,
36652461,linguistic_only,4.0,
37602732,linguistic_only,3.0,
41158063,linguistic_only,3.5,
37537200,setfit_only,,0.6901283
37127601,linguistic_only,3.5,
37553584,setfit_only,,0.68375486
37537202,setfit_only,,0.6897098
40371632,setfit_only,,0.648189
36357557,setfit_only,,0.6997204
39257527,linguistic_only,3.5,
39388605,setfit_only,,0.71212554
39732672,setfit_only,,0.62641346
39830982,setfit_only,,0.6772358
35538374,setfit_only,,0.6009964
38438345,setfit_only,,0.6365979
35669450,linguistic_only,3.5,
36537804,linguistic_only,3.0,
38929869,setfit_only,,0.6599302
37864911,linguistic_only,3.5,
40175056,setfit_only,,0.69036806
36373969,linguistic_only,6.0,
37848535,setfit_only,,0.60273993
38749656,setfit_only,,0.71070373
38438364,setfit_only,,0.64501756
35816925,linguistic_only,3.0,
39421415,linguistic_only,3.5,
36537834,setfit_only,,0.6337433
35358188,setfit_only,,0.64942575
38127089,setfit_only,,0.6528442
39732723,setfit_only,,0.6155606
39192052,setfit_only,,0.7198454
39962099,setfit_only,,0.6059243
37258747,setfit_only,,0.65927595
36111870,linguistic_only,5.5,
39224843,linguistic_only,4.0,
37013005,setfit_only,,0.6639942
35440143,setfit_only,,0.6618007
37438994,setfit_only,,0.6723107
34424339,setfit_only,,0.700664
40388119,linguistic_only,3.0,
36029977,linguistic_only,3.5,
37848601,linguistic_only,3.0,
35358235,linguistic_only,3.5,
36308510,setfit_only,,0.61445713
38733346,setfit_only,,0.676759
40273444,linguistic_only,4.0,
37488166,setfit_only,,0.65454847
36095527,setfit_only,,0.60012186
38864430,linguistic_only,4.0,
37930544,setfit_only,,0.69154954
39290423,setfit_only,,0.72061193
39749176,linguistic_only,3.0,
39945785,linguistic_only,3.5,
40011321,setfit_only,,0.72059005
37815872,linguistic_only,4.0,
38422081,linguistic_only,3.0,
37127747,setfit_only,,0.6955691
40224325,linguistic_only,4.5,
39028299,setfit_only,,0.70437545
35309132,linguistic_only,3.5,
38569548,linguistic_only,3.0,
37045837,setfit_only,,0.7224864
38995535,linguistic_only,4.5,
38995537,setfit_only,,0.7224536
38291027,setfit_only,,0.7191119
38995542,setfit_only,,0.72418743
38995543,linguistic_only,3.0,
38356567,setfit_only,,0.72902274
39814742,setfit_only,,0.6819056
35849818,linguistic_only,3.0,
38422108,linguistic_only,3.0,
35161692,setfit_only,,0.6992653
35178077,setfit_only,,0.6149556
36193886,setfit_only,,0.71691597
37078622,setfit_only,,0.64705735
39814754,setfit_only,,0.644173
37258857,setfit_only,,0.7180979
37750380,linguistic_only,3.5,
39470701,linguistic_only,3.5,
39470702,linguistic_only,4.0,
39470706,linguistic_only,5.5,
35014260,linguistic_only,3.5,
39175797,linguistic_only,3.0,
39175796,setfit_only,,0.71405387
38880887,setfit_only,,0.68258506
39192185,linguistic_only,3.0,
39814778,linguistic_only,3.0,
39470715,linguistic_only,4.5,
39470718,linguistic_only,4.0,
39470721,linguistic_only,4.5,
37308034,linguistic_only,4.5,
39470723,linguistic_only,4.0,
39470724,linguistic_only,4.0,
35931779,setfit_only,,0.7199497
36587138,setfit_only,,0.66663975
40355463,setfit_only,,0.68148
37275273,linguistic_only,4.5,
39470730,linguistic_only,5.0,
39192204,linguistic_only,3.0,
39192205,linguistic_only,3.5,
39470732,linguistic_only,4.5,
38504077,setfit_only,,0.7154183
40240784,setfit_only,,0.68162096
39470737,linguistic_only,4.5,
40502930,linguistic_only,4.5,
39700114,setfit_only,,0.6443182
38471316,linguistic_only,4.0,
39470740,linguistic_only,4.0,
35538580,setfit_only,,0.69944793
40502934,setfit_only,,0.7022177
36996758,setfit_only,,0.62529016
35227289,linguistic_only,5.5,
37258913,linguistic_only,4.5,
37258914,linguistic_only,4.0,
38733474,setfit_only,,0.694307
38864546,setfit_only,,0.68236625
37160609,setfit_only,,0.62386054
37553832,setfit_only,,0.69002646
40601258,linguistic_only,4.5,
37258923,linguistic_only,3.5,
39716522,setfit_only,,0.71035206
40601261,linguistic_only,3.5,
36882092,setfit_only,,0.6749934
37668527,linguistic_only,3.0,
38504112,linguistic_only,3.5,
37357231,setfit_only,,0.70453775
37504687,setfit_only,,0.6776529
39143093,setfit_only,,0.71637917
40355512,linguistic_only,3.0,
39487161,linguistic_only,3.5,
39143096,setfit_only,,0.67061424
35735230,linguistic_only,4.0,
39093951,setfit_only,,0.65088135
40011459,setfit_only,,0.6509856
39798480,linguistic_only,3.0,
35669712,setfit_only,,0.69175947
39225044,linguistic_only,4.5,
40388309,linguistic_only,3.5,
37521110,setfit_only,,0.6805875
34965209,linguistic_only,3.5,
38602457,setfit_only,,0.7071982
39503579,setfit_only,,0.71614236
40011486,setfit_only,,0.7081402
36587232,linguistic_only,4.5,
39732964,setfit_only,,0.67036945
36587236,setfit_only,,0.61189663
37832430,setfit_only,,0.66876006
38258418,setfit_only,,0.71732837
36882164,linguistic_only,4.5,
40011509,setfit_only,,0.7102416
36882166,linguistic_only,4.0,
38487800,setfit_only,,0.6814308
38995706,linguistic_only,3.0,
38881018,setfit_only,,0.6664586
36701948,setfit_only,,0.64958405
37537536,setfit_only,,0.6926915
39536385,linguistic_only,4.5,
35112706,linguistic_only,4.5,
36882183,linguistic_only,5.0,
40011529,setfit_only,,0.6991929
38602506,linguistic_only,4.0,
40404746,setfit_only,,0.71529204
37340940,linguistic_only,4.0,
40175374,setfit_only,,0.60020053
40011540,setfit_only,,0.63905245
35456792,setfit_only,,0.6279215
40011546,setfit_only,,0.7165831
35866396,setfit_only,,0.68064886
40240925,linguistic_only,4.0,
40404775,setfit_only,,0.70452946
38487848,linguistic_only,4.5,
36161321,linguistic_only,4.0,
39126830,setfit_only,,0.6098276
39044911,setfit_only,,0.7032216
40388400,setfit_only,,0.6695743
39339826,setfit_only,,0.6927297
38913844,linguistic_only,3.0,
36030265,setfit_only,,0.6831775
37979962,linguistic_only,3.5,
38913850,linguistic_only,4.0,
36849466,setfit_only,,0.67770267
36849471,linguistic_only,3.5,
37848896,linguistic_only,3.0,
40437567,setfit_only,,0.6980514
38913855,setfit_only,,0.68738854
38913867,linguistic_only,4.5,
35931981,linguistic_only,3.0,
