pmid,source,ling_score
35616100,linguistic,3.0
35617175,linguistic,5.0
35617323,linguistic,4.0
35625024,linguistic,4.5
35625412,linguistic,4.0
35627130,linguistic,3.0
35637632,linguistic,4.0
35637887,linguistic,3.5
35638426,linguistic,4.0
35639514,linguistic,4.5
35639517,linguistic,4.5
35639618,linguistic,3.5
35639735,linguistic,4.5
35639770,linguistic,4.0
35639928,linguistic,3.5
35639952,linguistic,4.0
35640384,linguistic,3.5
35640594,linguistic,4.5
35641095,linguistic,5.0
35641547,linguistic,4.5
35641682,linguistic,4.5
35642895,linguistic,4.0
35643087,linguistic,3.0
35643189,linguistic,4.5
35643191,linguistic,3.5
35643512,linguistic,3.5
35649390,linguistic,3.0
35650204,linguistic,4.0
35650262,linguistic,3.0
35652722,linguistic,4.0
35654801,linguistic,4.0
35654905,linguistic,3.0
35655307,linguistic,4.0
35657113,linguistic,3.0
35657588,linguistic,3.5
35659285,linguistic,5.0
35659449,linguistic,3.0
35660007,linguistic,4.0
35662455,linguistic,4.5
35662458,linguistic,5.0
35662459,linguistic,4.0
35662462,linguistic,4.5
35662469,linguistic,3.5
35664227,linguistic,4.0
35664339,linguistic,3.5
35664677,linguistic,4.0
35668357,linguistic,3.0
35669450,linguistic,3.5
35670335,linguistic,3.5
35670730,linguistic,4.0
35670735,linguistic,4.5
35671383,linguistic,3.5
35672420,linguistic,3.0
35672769,linguistic,4.0
35673010,linguistic,5.0
35674373,linguistic,5.5
35675101,linguistic,3.0
35676297,linguistic,4.5
35680916,linguistic,3.0
35685362,linguistic,3.0
35685370,linguistic,4.5
35685437,linguistic,3.5
35687095,linguistic,5.0
35688892,linguistic,3.5
35690280,linguistic,5.0
35692690,linguistic,4.0
35693187,linguistic,4.5
35695374,linguistic,3.5
35695435,linguistic,4.5
35696018,linguistic,4.0
35696079,linguistic,3.0
35697698,linguistic,4.5
35698617,linguistic,3.0
35699774,linguistic,4.0
35701407,linguistic,4.0
35701419,linguistic,3.5
35701420,linguistic,3.0
35703370,linguistic,3.0
35703577,linguistic,4.5
35705797,linguistic,3.5
35710683,linguistic,3.0
35711912,linguistic,3.5
35713500,linguistic,4.5
35713513,linguistic,4.0
35713762,linguistic,4.0
35714875,linguistic,3.5
35723975,linguistic,4.0
35724561,linguistic,3.0
35725848,linguistic,3.0
35729167,linguistic,3.0
35731570,linguistic,3.0
35732783,linguistic,3.5
35735230,linguistic,4.0
35738723,linguistic,3.0
35743803,linguistic,3.0
35748708,linguistic,5.0
35748710,linguistic,4.0
35749381,linguistic,3.5
35751824,linguistic,3.5
35752639,linguistic,3.5
35752654,linguistic,3.5
35753693,linguistic,4.0
35753697,linguistic,3.5
35754095,linguistic,4.5
35756250,linguistic,3.0
35758788,linguistic,4.5
35758806,linguistic,4.0
35758810,linguistic,4.0
35758881,linguistic,3.0
35758882,linguistic,4.5
35760231,linguistic,4.0
35761793,linguistic,3.5
35762265,linguistic,4.5
35762804,linguistic,3.0
35764639,linguistic,3.5
35771165,linguistic,3.0
35771624,linguistic,5.5
35774515,linguistic,3.0
35775902,linguistic,4.5
35776068,linguistic,3.5
35776384,linguistic,3.0
35776534,linguistic,3.0
35776535,linguistic,5.0
35778384,linguistic,4.0
35779245,linguistic,4.5
35780383,linguistic,3.5
35782725,linguistic,5.0
35785665,linguistic,3.5
35787295,linguistic,4.5
35788654,linguistic,4.0
35792893,linguistic,3.0
35794151,linguistic,3.0
35796594,linguistic,4.0
35799352,linguistic,5.5
35799364,linguistic,5.0
35801909,linguistic,3.0
35801940,linguistic,4.0
35804309,linguistic,4.0
35804320,linguistic,4.5
35805101,linguistic,3.5
35806459,linguistic,4.0
35809063,linguistic,5.5
35809855,linguistic,3.0
35810958,linguistic,3.5
35815793,linguistic,3.0
35816925,linguistic,3.0
35818996,linguistic,3.5
35820040,linguistic,3.0
35821017,linguistic,3.5
35833709,linguistic,4.5
35839778,linguistic,3.5
35842742,linguistic,4.5
35844834,linguistic,4.0
35849014,linguistic,3.0
35849028,linguistic,4.0
35849818,linguistic,3.0
35853340,linguistic,3.0
35856889,linguistic,3.0
35857265,linguistic,3.0
35857541,linguistic,3.5
35858960,linguistic,3.0
35859338,linguistic,4.5
35863045,linguistic,4.0
35864133,linguistic,3.0
35869511,linguistic,4.0
35870894,linguistic,3.0
35871305,linguistic,4.5
35872412,linguistic,3.5
35876159,linguistic,4.0
35876977,linguistic,5.0
35879321,linguistic,3.5
35881019,linguistic,4.0
35881481,linguistic,5.0
35881922,linguistic,3.0
35882976,linguistic,4.0
35883018,linguistic,4.5
35883523,linguistic,3.0
35886221,linguistic,3.0
35891795,linguistic,5.0
35891797,linguistic,4.0
35896020,linguistic,4.0
35898309,linguistic,4.5
35900159,linguistic,3.5
35900347,linguistic,3.0
35904542,linguistic,5.0
35906703,linguistic,3.5
35908389,linguistic,4.0
35910653,linguistic,3.5
35913188,linguistic,3.5
35916725,linguistic,5.0
35920772,linguistic,4.0
35924984,linguistic,3.5
35927555,linguistic,3.0
35927614,linguistic,3.5
35928124,linguistic,3.0
35930941,linguistic,4.5
35931981,linguistic,3.0
35932227,linguistic,5.0
35933489,linguistic,3.5
35936325,linguistic,3.5
35938023,linguistic,3.5
35941762,linguistic,3.0
35945222,linguistic,3.0
35947748,linguistic,5.0
35950764,linguistic,3.0
35951566,linguistic,3.5
35952423,linguistic,4.0
35953524,linguistic,3.0
35953768,linguistic,3.0
35961607,linguistic,3.5
35962028,linguistic,3.0
35962763,linguistic,4.5
35962986,linguistic,3.5
35971335,linguistic,3.0
35971612,linguistic,5.0
35971647,linguistic,4.5
35972351,linguistic,3.5
35974061,linguistic,3.5
35976846,linguistic,3.5
35977827,linguistic,3.5
35977841,linguistic,3.0
35980167,linguistic,4.5
35980286,linguistic,4.0
35980571,linguistic,3.0
35987763,linguistic,3.0
35994130,linguistic,4.5
35994309,linguistic,4.5
36002623,linguistic,3.5
36003902,linguistic,4.5
36005855,linguistic,4.5
36005997,linguistic,3.5
36006843,linguistic,3.5
36006844,linguistic,4.0
36008829,linguistic,3.0
36011344,linguistic,3.0
36016573,linguistic,3.0
36016718,linguistic,4.0
36018484,linguistic,3.0
36028515,linguistic,4.5
36029479,linguistic,4.0
36029977,linguistic,3.5
36035123,linguistic,3.5
36036594,linguistic,3.5
36036832,linguistic,3.0
36039757,linguistic,3.5
36040109,linguistic,4.5
36040790,linguistic,3.0
36043401,linguistic,4.0
36043442,linguistic,4.5
36047841,linguistic,5.0
36049666,linguistic,4.5
36053554,linguistic,5.0
36053857,linguistic,3.0
36054653,linguistic,3.5
36056235,linguistic,4.5
36058206,linguistic,3.0
36059922,linguistic,3.0
36062570,linguistic,4.5
36064320,linguistic,3.5
36066416,linguistic,3.5
36066494,linguistic,3.0
36069866,linguistic,3.5
36069936,linguistic,6.0
36070129,linguistic,3.0
36070252,linguistic,4.0
36070863,linguistic,4.0
36073491,linguistic,6.0
36074804,linguistic,4.5
36081550,linguistic,4.5
36083008,linguistic,4.0
36084081,linguistic,3.0
36086045,linguistic,3.0
36087207,linguistic,3.0
36088355,linguistic,3.5
36090812,linguistic,3.5
36091046,linguistic,5.5
36092435,linguistic,3.0
36094905,linguistic,3.0
36094924,linguistic,3.5
36095221,linguistic,4.5
36098562,linguistic,3.0
36099978,linguistic,3.0
36108739,linguistic,3.5
36109405,linguistic,3.5
36109487,linguistic,3.5
36111870,linguistic,5.5
36114445,linguistic,3.0
36123328,linguistic,3.0
36123626,linguistic,3.0
36124670,linguistic,4.5
36124785,linguistic,4.5
36124798,linguistic,5.0
36124800,linguistic,4.5
36124958,linguistic,4.0
36130056,linguistic,4.5
36130266,linguistic,4.0
36131199,linguistic,3.5
36134710,linguistic,4.0
36134713,linguistic,3.5
36134718,linguistic,4.0
36135348,linguistic,3.5
36137552,linguistic,3.0
36146935,linguistic,4.5
36147666,linguistic,4.0
36151114,linguistic,3.5
36151130,linguistic,3.5
36159991,linguistic,4.5
36161321,linguistic,4.0
36162041,linguistic,5.0
36162726,linguistic,4.5
36162821,linguistic,4.5
36164975,linguistic,5.0
36164976,linguistic,4.5
36165892,linguistic,4.5
36165955,linguistic,4.5
36169223,linguistic,4.5
36169225,linguistic,4.0
36169226,linguistic,4.0
36169237,linguistic,4.0
36169329,linguistic,4.0
36169978,linguistic,3.0
36170113,linguistic,4.0
36173168,linguistic,3.5
36175767,linguistic,3.0
36177882,linguistic,4.5
36178800,linguistic,4.5
36178955,linguistic,3.0
36179089,linguistic,6.0
36189883,linguistic,3.5
36189892,linguistic,3.0
36189903,linguistic,3.5
36194209,linguistic,3.0
36196656,linguistic,4.0
36200814,linguistic,4.0
36200824,linguistic,5.0
36200827,linguistic,3.5
36200836,linguistic,5.0
36200838,linguistic,3.0
36203144,linguistic,3.5
36205845,linguistic,3.5
36206157,linguistic,3.0
36206273,linguistic,3.0
36207341,linguistic,3.0
36207453,linguistic,3.5
36207780,linguistic,3.0
36209954,linguistic,4.5
36215029,linguistic,5.0
36215037,linguistic,4.5
36217102,linguistic,3.0
36217386,linguistic,4.5
36220886,linguistic,3.5
36222201,linguistic,4.5
36222566,linguistic,5.0
36225653,linguistic,3.0
36239113,linguistic,3.5
36239391,linguistic,3.0
36243772,linguistic,3.0
36243775,linguistic,3.0
36243817,linguistic,3.5
36243959,linguistic,5.5
36243960,linguistic,3.0
36243961,linguistic,5.0
36243962,linguistic,4.0
36243963,linguistic,4.5
36243964,linguistic,4.0
36243967,linguistic,5.0
36243970,linguistic,3.5
36243971,linguistic,3.5
36243972,linguistic,4.5
36243973,linguistic,4.0
36243976,linguistic,4.0
36243982,linguistic,4.5
36243984,linguistic,4.5
36243987,linguistic,3.0
36243988,linguistic,4.0
36243989,linguistic,4.0
36245702,linguistic,5.0
36247691,linguistic,3.0
36251279,linguistic,3.0
36251776,linguistic,3.5
36254161,linguistic,4.0
36255293,linguistic,4.5
36257484,linguistic,4.5
36259946,linguistic,5.5
36263784,linguistic,4.5
36263826,linguistic,4.5
36264141,linguistic,5.0
36265769,linguistic,3.0
36266547,linguistic,3.0
36266726,linguistic,4.5
36268860,linguistic,4.0
36268869,linguistic,4.0
36270998,linguistic,3.0
36271369,linguistic,4.0
36271790,linguistic,4.0
36271792,linguistic,4.5
36271793,linguistic,3.0
36271794,linguistic,4.5
36271795,linguistic,4.0
36271888,linguistic,4.5
36274234,linguistic,4.5
36279873,linguistic,3.5
36280237,linguistic,4.5
36280721,linguistic,3.0
36281025,linguistic,3.0
36282546,linguistic,5.0
36283679,linguistic,3.5
36286319,linguistic,4.0
36287286,linguistic,4.5
36288371,linguistic,3.0
36293349,linguistic,3.5
36293549,linguistic,3.0
36300617,linguistic,4.0
36300618,linguistic,4.5
36300619,linguistic,4.0
36300630,linguistic,4.0
36300631,linguistic,4.0
36300680,linguistic,4.5
36304304,linguistic,4.5
36305460,linguistic,4.0
36305818,linguistic,5.0
36305822,linguistic,4.5
36305824,linguistic,4.5
36305828,linguistic,3.5
36305834,linguistic,5.0
36305870,linguistic,4.5
36307625,linguistic,3.0
36307762,linguistic,3.5
36307977,linguistic,3.5
36309134,linguistic,4.5
36311644,linguistic,4.0
36312370,linguistic,3.5
36312463,linguistic,4.0
36312521,linguistic,4.0
36312837,linguistic,4.0
36316489,linguistic,4.5
36318236,linguistic,4.5
36318239,linguistic,4.5
36318242,linguistic,5.0
36318246,linguistic,4.5
36318248,linguistic,3.5
36318250,linguistic,5.0
36318251,linguistic,4.0
36318256,linguistic,4.5
36318257,linguistic,4.5
36318258,linguistic,4.5
36318260,linguistic,3.0
36318261,linguistic,4.0
36320030,linguistic,3.0
36321651,linguistic,5.0
36321659,linguistic,4.5
36321662,linguistic,3.5
36321663,linguistic,3.0
36321857,linguistic,3.5
36321886,linguistic,4.0
36322519,linguistic,4.5
36328151,linguistic,4.5
36328766,linguistic,3.5
36329825,linguistic,4.5
36330496,linguistic,3.0
36330950,linguistic,3.0
36333579,linguistic,3.0
36340350,linguistic,4.0
36344773,linguistic,3.0
36346548,linguistic,4.5
36347537,linguistic,3.0
36347894,linguistic,3.5
36350608,linguistic,3.0
36350625,linguistic,3.0
36350627,linguistic,4.0
36350631,linguistic,4.5
36350638,linguistic,4.5
36350644,linguistic,5.0
36350646,linguistic,4.5
36350659,linguistic,5.0
36350662,linguistic,5.0
36350663,linguistic,4.0
36350671,linguistic,4.5
36350676,linguistic,3.0
36350677,linguistic,5.0
36351928,linguistic,3.5
36352543,linguistic,3.0
36353986,linguistic,5.0
36355452,linguistic,3.5
36357404,linguistic,3.5
36361870,linguistic,3.5
36364843,linguistic,3.0
36365786,linguistic,3.0
36367311,linguistic,4.5
36367312,linguistic,3.0
36367313,linguistic,4.0
36370097,linguistic,5.0
36370105,linguistic,3.0
36371515,linguistic,3.0
36373969,linguistic,6.0
36376589,linguistic,3.0
36376761,linguistic,3.5
36377787,linguistic,4.0
36377945,linguistic,4.0
36382402,linguistic,4.5
36382407,linguistic,3.5
36382409,linguistic,4.5
36384083,linguistic,3.0
36388568,linguistic,4.0
36394265,linguistic,4.0
36394419,linguistic,4.0
36394420,linguistic,5.0
36395823,linguistic,4.0
36399413,linguistic,3.5
36399452,linguistic,4.0
36399478,linguistic,4.0
36399486,linguistic,4.5
36399488,linguistic,4.0
36399495,linguistic,3.0
