pmid,title,has_url,is_false_positive,confidence,reason
24214955,TFBSshape: a motif database for DNA shape features of transcription factor binding sites.,True,N,high,Title explicitly contains 'database' keyword
29031638,dbGAPs: A comprehensive database of genes and genetic markers associated with psoriasis and its subtypes.,True,N,high,Title explicitly contains 'database' keyword
25905099,Metabolonote: a wiki-based database for managing hierarchical metadata of metabolome analyses.,True,N,high,Title explicitly contains 'database' keyword
28212602,HAPPI-2: a Comprehensive and High-quality Map of Human Annotated and Predicted Protein Interactions.,True,N,medium,Map of protein interactions suggests data resource with URL
23200141,miRT: a database of validated transcription start sites of human microRNAs.,True,N,high,Title explicitly contains 'database' keyword
24608173,NCG 4.0: the network of cancer genes in the era of massive mutational screenings of cancer genomes.,True,N,medium,Network of genes suggests curated data resource with URL
34839012,ASER: Animal Sex Reversal Database.,True,N,high,Title explicitly contains 'Database' keyword
27634949,"Verdant: automated annotation, alignment and phylogenetic analysis of whole chloroplast genomes.",True,Y,medium,Title emphasizes automated analysis methods though has URL
22821489,SpectraBank: an open access tool for rapid microbial identification by MALDI-TOF MS fingerprinting.,True,Y,medium,Title contains 'tool for' pattern though 'Bank' suggests data storage
31728526,TerrestrialMetagenomeDB: a public repository of curated and standardized metadata for terrestrial metagenomes.,True,N,high,Title explicitly contains 'repository' keyword
28387841,"TimeTree: A Resource for Timelines, Timetrees, and Divergence Times.",True,N,high,Title contains 'Resource' indicating data collection
25889518,miREC: a database of miRNAs involved in the development of endometrial cancer.,True,N,high,Title explicitly contains 'database' keyword
25413576,Tree shrew database (TreeshrewDB): a genomic knowledge base for the Chinese tree shrew.,True,N,high,Title explicitly contains 'database' and 'knowledge base' keywords
22140215,RAC: Repository of Antibiotic resistance Cassettes.,True,N,high,Title explicitly contains 'Repository' keyword
29126995,FVD: The fish-associated virus database.,True,N,high,Title explicitly contains 'database' keyword
23396300,pseudoMap: an innovative and comprehensive resource for identification of siRNA-mediated mechanisms in human transcribed pseudogenes.,True,N,high,Title contains 'resource' indicating data collection
22213543,"Camps 2.0: exploring the sequence and structure space of prokaryotic, eukaryotic, and viral membrane proteins.",True,N,medium,Describes exploring data space suggesting database resource
29223505,Pakistan Genetic Mutation Database (PGMD); A centralized Pakistani mutome data source.,True,N,high,Title explicitly contains 'Database' keyword
25278960,DaVIE: Database for the Visualization and Integration of Epigenetic data.,True,N,high,Title explicitly contains 'Database' keyword
32472030,"dbPSP 2.0, an updated database of protein phosphorylation sites in prokaryotes.",True,N,high,Title explicitly contains 'database' keyword
26975833,REGene: a literature-based knowledgebase of animal regeneration that bridge tissue regeneration and cancer.,True,N,high,Title explicitly contains 'knowledgebase' keyword
26088800,AmyLoad: website dedicated to amyloidogenic protein fragments.,True,N,medium,Website dedicated to protein fragments suggests data resource
24214996,"Negatome 2.0: a database of non-interacting proteins derived by literature mining, manual annotation and protein structure analysis.",True,N,high,Title explicitly contains 'database' keyword
34362451,MPDB 2.0: a large scale and integrated medicinal plant database of Bangladesh.,True,N,high,Title explicitly contains 'database' keyword
28160322,ATLAS: A database linking binding affinities with structures for wild-type and mutant TCR-pMHC complexes.,True,N,high,Title explicitly contains 'database' keyword
23340253,Research resource: the Endometrium Database Resource (EDR).,True,N,high,Title explicitly contains 'Database Resource' keyword
21779320,COLOMBOS: access port for cross-platform bacterial expression compendia.,True,N,medium,Access port for expression data suggests database resource
28090394,GExplore 1.4: An expanded web interface for queries on <i>Caenorhabditis elegans</i> protein and gene function.,True,N,medium,Web interface for queries suggests database resource
31347432,ANDB: Development of a Database Based on a Global Survey of Literature on Areca Nut and Associated Health Effects.,True,N,high,Title explicitly contains 'Database' keyword
32810730,Chemical space and diversity of seaweed metabolite database (SWMD): A cheminformatics study.,False,Y,medium,Study of a database rather than the database itself; lacks URL
25243597,Improved locus-specific database for OPA1 mutations allows inclusion of advanced clinical data.,True,N,high,Title explicitly contains 'database' keyword
22135301,BacMap: an up-to-date electronic atlas of annotated bacterial genomes.,True,N,high,Title explicitly contains 'atlas' keyword
21554709,PeakRanger: a cloud-enabled peak caller for ChIP-seq data.,True,Y,high,Title describes peak caller (methodology tool) not a data resource
22730453,"MuteinDB: the mutein database linking substrates, products and enzymatic reactions directly with genetic variants of enzymes.",True,N,high,Title explicitly contains 'database' keyword
26553809,The Degradome database: expanding roles of mammalian proteases in life and disease.,True,N,high,Title explicitly contains 'database' keyword
22786849,"Transcriptomine, a web resource for nuclear receptor signaling transcriptomes.",True,N,high,Title contains 'resource' indicating data collection
28922742,GlyTouCan: an accessible glycan structure repository.,False,N,medium,Title explicitly contains 'repository' but lacks URL
26653323,iTAP: integrated transcriptomics and phenotype database for stress response of Escherichia coli and Saccharomyces cerevisiae.,False,N,medium,Title explicitly contains 'database' but lacks URL
34642750,HBFP: a new repository for human body fluid proteome.,True,N,high,Title explicitly contains 'repository' keyword
24137012,The Global Genome Biodiversity Network (GGBN) Data Portal.,True,N,high,Title contains 'Data Portal' indicating data resource
27087309,Kalium: a database of potassium channel toxins from scorpion venom.,True,N,high,Title explicitly contains 'database' keyword
32705130,CNSA: a data repository for archiving omics data.,True,N,high,Title explicitly contains 'repository' keyword
33577575,MetNet: A two-level approach to reconstructing and comparing metabolic networks.,False,Y,high,Title describes approach/method and lacks URL
23325619,miRCancer: a microRNA-cancer association database constructed by text mining on literature.,True,N,high,Title explicitly contains 'database' keyword
25378326,Genomicus update 2015: KaryoView and MatrixView provide a genome-wide perspective to multispecies comparative genomics.,True,N,medium,Provides views/perspectives on genomic data suggesting database
25971743,GLASS: a comprehensive database for experimentally validated GPCR-ligand associations.,True,N,high,Title explicitly contains 'database' keyword
23071747,TRIP database 2.0: a manually curated information hub for accessing TRP channel interaction network.,True,N,high,Title explicitly contains 'database' keyword
34930224,cbpManager: a web application to streamline the integration of clinical and genomic data in cBioPortal to support the Molecular Tumor Board.,True,Y,medium,Title describes web application for data integration (tool) not a data resource
25355510,AraNet v2: an improved database of co-functional gene networks for the study of Arabidopsis thaliana and 27 other nonmodel plant species.,True,N,high,Title explicitly contains 'database' keyword
24225318,Selectome update: quality control and computational improvements to a database of positive selection.,True,N,high,Title explicitly contains 'database' keyword
31805986,The SMART App: an interactive web application for comprehensive DNA methylation analysis and visualization.,True,Y,high,Title describes app/application for analysis and visualization (tool)
23175614,LncRNADisease: a database for long-non-coding RNA-associated diseases.,True,N,high,Title explicitly contains 'database' keyword
"23143107, 25414346","ChiTaRS: a database of human, mouse and fruit fly chimeric transcripts and RNA-sequencing data.",True,N,high,Title explicitly contains 'database' keyword
31343654,Eye in a Disk: eyeIntegration Human Pan-Eye and Body Transcriptome Database Version 1.0.,True,N,high,Title explicitly contains 'Database' keyword
34844637,recount3: summaries and queries for large-scale RNA-seq expression and splicing.,True,N,medium,Summaries and queries for expression data suggests database resource
"29805321, 31444973","The Cellosaurus, a Cell-Line Knowledge Resource.",True,N,high,Title contains 'Knowledge Resource' keyword
"29145643, 32920969","The MEROPS database of proteolytic enzymes, their substrates and inhibitors in 2017 and a comparison with peptidases in the PANTHER database.",True,N,high,Title explicitly contains 'database' keyword
"27131791, 30715274",APID interactomes: providing proteome-based interactomes with controlled quality for multiple species and derived networks.,True,N,medium,Providing interactomes suggests data resource with URL
32520685,e-Membranome: A Database for Genome-Wide Analysis of Escherichia coli Outer Membrane Proteins.,False,N,medium,Title explicitly contains 'Database' but lacks URL
29168245,Homology-based hydrogen bond information improves crystallographic structures in the PDB.,True,Y,medium,Title describes method for improving structures not a standalone database
26476456,"BiGG Models: A platform for integrating, standardizing and sharing genome-scale models.",True,N,high,Title describes platform for sharing models (data resource)
28460117,Fast Genome-Wide Functional Annotation through Orthology Assignment by eggNOG-Mapper.,True,Y,high,Title describes annotation method/tool ('through' pattern)
24779372,Applying genome-wide gene-based expression quantitative trait locus mapping to study population ancestry and pharmacogenetics.,True,Y,high,Title describes applying mapping methodology (analysis paper)
26112452,PlantOrDB: a genome-wide ortholog database for land plants and green algae.,True,N,high,Title explicitly contains 'database' keyword
24217911,AgeFactDB--the JenAge Ageing Factor Database--towards data integration in ageing research.,True,N,high,Title explicitly contains 'Database' keyword
30624648,AtFusionDB: a database of fusion transcripts in Arabidopsis thaliana.,True,N,high,Title explicitly contains 'database' keyword
23476021,PLncDB: plant long non-coding RNA database.,True,N,high,Title explicitly contains 'database' keyword
29106588,NLSdb-major update for database of nuclear localization signals and nuclear export signals.,True,N,high,Title explicitly contains 'database' keyword
21252074,PhyloPro: a web-based tool for the generation and visualization of phylogenetic profiles across Eukarya.,True,Y,high,Title contains 'tool for' pattern indicating methodology tool
30357370,liqDB: a small-RNAseq knowledge discovery database for liquid biopsy studies.,True,N,high,Title explicitly contains 'database' keyword
24428888,OncomiRdbB: a comprehensive database of microRNAs and their targets in breast cancer.,True,N,high,Title explicitly contains 'database' keyword
26787663,lnCaNet: pan-cancer co-expression network for human lncRNA and cancer genes.,True,N,medium,Network resource suggests curated data collection with URL
23180786,WormQTL--public archive and analysis web portal for natural variation data in Caenorhabditis spp.,True,N,high,Title explicitly contains 'archive' keyword
28968841,AtCircDB: a tissue-specific database for Arabidopsis circular RNAs.,True,N,high,Title explicitly contains 'database' keyword
33359127,NBIGV-DB: A dedicated database of non-B cell derived immunoglobulin variable region.,True,N,high,Title explicitly contains 'database' keyword
21965461,The new ISSMIC database on in vivo micronucleus and its role in assessing genotoxicity testing strategies.,True,N,high,Title explicitly contains 'database' keyword
"27924024, 30445619",GTRD: a database of transcription factor binding sites identified by ChIP-seq experiments.,True,N,high,Title explicitly contains 'database' keyword
24904731,GenderMedDB: an interactive database of sex and gender-specific medical literature.,True,N,high,Title explicitly contains 'database' keyword
30546860,YaTCM: Yet another Traditional Chinese Medicine Database for Drug Discovery.,True,N,high,Title explicitly contains 'Database' keyword
27605101,LncVar: a database of genetic variation associated with long non-coding genes.,True,N,high,Title explicitly contains 'database' keyword
28365718,VerSeDa: vertebrate secretome database.,True,N,high,Title explicitly contains 'database' keyword
23864220,MisPred: a resource for identification of erroneous protein sequences in public databases.,True,N,high,Title contains 'resource' indicating data collection
25735289,IBEX: an open infrastructure software platform to facilitate collaborative work in radiomics.,False,Y,high,Title describes software platform (tool) and lacks URL
29206899,MOSAIC: a chemical-genetic interaction data repository and web resource for exploring chemical modes of action.,True,N,high,Title explicitly contains 'repository' and 'resource' keywords
31512145,ZIKAVID-Zika virus infection database: a new platform to analyze the molecular impact of Zika virus infection.,True,N,high,Title explicitly contains 'database' keyword
25604238,ocsESTdb: a database of oil crop seed EST sequences for comparative analysis and investigation of a global metabolic network and oil accumulation metabolism.,True,N,high,Title explicitly contains 'database' keyword
23092397,admetSAR: a comprehensive source and free tool for assessment of chemical ADMET properties.,True,Y,medium,Title contains 'tool for' pattern though also source of data
26527719,CEGA--a catalog of conserved elements from genomic alignments.,True,N,high,Title explicitly contains 'catalog' keyword (similar to database)
26758513,CANEapp: a user-friendly application for automated next generation transcriptomic data analysis.,True,Y,high,Title describes application for data analysis (tool)
26051695,ComiRNet: a web-based system for the analysis of miRNA-gene regulatory networks.,True,Y,high,Title describes system for analysis (tool) not a data resource
24997126,piRNAQuest: searching the piRNAome for silencers.,True,N,medium,Searching piRNAome suggests database with search capability
29897419,MARDy: Mycology Antifungal Resistance Database.,True,N,high,Title explicitly contains 'Database' keyword
28438161,REFOLDdb: a new and sustainable gateway to experimental protocols for protein refolding.,True,N,high,Title indicates gateway to protocols (data resource)
25283306,IUTA: a tool for effectively detecting differential isoform usage from RNA-Seq data.,True,Y,high,Title contains 'tool for' pattern indicating methodology tool
24580755,"CDSbank: taxonomy-aware extraction, selection, renaming and formatting of protein-coding DNA or amino acid sequences.",True,N,medium,Bank suggests data repository though focuses on formatting
"23193258, 26581413, 30307528",NCBI GEO: archive for functional genomics data sets--update.,True,N,high,Title explicitly contains 'archive' keyword
28499008,RiPPMiner: a bioinformatics resource for deciphering chemical structures of RiPPs based on prediction of cleavage and cross-links.,True,Y,medium,Miner suggests tool though also described as resource
28187703,iHMS: a database integrating human histone modification data across developmental stages and tissues.,True,N,high,Title explicitly contains 'database' keyword
32315389,HotSpot3D web server: an integrated resource for mutation analysis in protein 3D structures.,True,Y,medium,Web server for analysis suggests tool though also resource
24150937,LoQAtE--Localization and Quantitation ATlas of the yeast proteomE. A new tool for multiparametric dissection of single-protein behavior in response to biological perturbations in yeast.,True,Y,medium,Title contains 'atlas' but also 'tool for' indicating dual nature; tool emphasis wins
25853886,ALDB: a domestic-animal long noncoding RNA database.,True,N,high,Title explicitly contains 'database' keyword
22080550,BYKdb: the Bacterial protein tYrosine Kinase database.,True,N,high,Title explicitly contains 'database' keyword
25435547,MPIC: a mitochondrial protein import components database for plant and non-plant species.,True,N,high,Title explicitly contains 'database' keyword
23251048,CellLineMiner: a knowledge portal for human cell lines.,True,N,high,Title contains 'knowledge portal' indicating data resource
31847917,FIREVAT: finding reliable variants without artifacts in human cancer samples using etiologically relevant mutational signatures.,False,Y,high,Title describes finding variants using method and lacks URL (tool)
"23650175, 27789705",The comprehensive antibiotic resistance database.,True,N,high,Title explicitly contains 'database' keyword
32646415,"ECCParaCorp: a cross-lingual parallel corpus towards cancer education, dissemination and application.",True,N,high,Title contains 'corpus' indicating data collection
23055621,SALMONELLABASE - An online database of druggable targets of Salmonella species.,True,N,high,Title explicitly contains 'database' keyword
27234245,OGRO: The Overview of functionally characterized Genes in Rice online database.,True,N,high,Title explicitly contains 'database' keyword
28203705,Pln24NT: a web resource for plant 24-nt siRNA producing loci.,True,N,high,Title contains 'resource' indicating data collection
32221380,WeiBI (web-based platform): Enriching integrated interaction network with increased coverage and functional proteins from genome-wide experimental OMICS data.,True,N,medium,Web-based platform for interaction network suggests database
21546393,Molecular signatures database (MSigDB) 3.0.,True,N,high,Title explicitly contains 'database' keyword
26744602,SorGSD: a sorghum genome SNP database.,True,N,high,Title explicitly contains 'database' keyword
22876890,AtlasT4SS: a curated database for type IV secretion systems.,True,N,high,Title explicitly contains 'database' keyword
27209025,NemaCount: quantification of nematode chemotaxis behavior in a browser.,False,Y,high,Title describes quantification tool and lacks URL
26272709,GenomewidePDB 2.0: A Newly Upgraded Versatile Proteogenomic Database for the Chromosome-Centric Human Proteome Project.,True,N,high,Title explicitly contains 'Database' keyword
25650278,EcoliNet: a database of cofunctional gene network for Escherichia coli.,True,N,high,Title explicitly contains 'database' keyword
30874795,mirtronDB: a mirtron knowledge base.,True,N,high,Title contains 'knowledge base' keyword
26026167,RPdb: a database of experimentally verified cellular reprogramming records.,True,N,high,Title explicitly contains 'database' keyword
25204646,'Isotopo' a database application for facile analysis and management of mass isotopomer data.,True,N,high,Title explicitly contains 'database' keyword
26061870,Human Chromosome Y and Haplogroups; introducing YDHS Database.,True,N,high,Title explicitly contains 'Database' keyword
23418540,canEvolve: a web portal for integrative oncogenomics.,True,N,high,Title contains 'web portal' indicating data resource
30276831,LncRNAnet: a comprehensive Sus scrofa lncRNA database.,True,N,high,Title explicitly contains 'database' keyword
25527833,mirPub: a database for searching microRNA publications.,True,N,high,Title explicitly contains 'database' keyword
29776332,TelNet - a database for human and yeast genes involved in telomere maintenance.,True,N,high,Title explicitly contains 'database' keyword
31504194,dbgap2x: an R package to explore and extract data from the database of Genotypes and Phenotypes (dbGaP).,True,Y,high,R package is software tool to access external database
31096089,"DrugR+: A comprehensive relational database for drug repurposing, combination therapy, and replacement therapy.",True,N,high,Title explicitly contains 'database' keyword
23055619,PRD: A protein-RNA interaction database.,True,N,high,Title explicitly contains 'database' keyword
"22135305, 26827237",DOMMINO: a database of macromolecular interactions.,True,N,high,Title explicitly contains 'database' keyword
22140112,HIstome--a relational knowledgebase of human histone proteins and histone modifying enzymes.,True,N,high,Title explicitly contains 'knowledgebase' keyword
22096233,MINAS--a database of Metal Ions in Nucleic AcidS.,True,N,high,Title explicitly contains 'database' keyword
22165817,HOMER: a human organ-specific molecular electronic repository.,True,N,high,Title explicitly contains 'repository' keyword
25332401,Proteome TopFIND 3.0 with TopFINDer and PathFINDer: database and analysis tools for the association of protein termini to pre- and post-translational events.,True,N,high,Title explicitly contains 'database' keyword
23219992,MENT: methylation and expression database of normal and tumor tissues.,True,N,high,Title explicitly contains 'database' keyword
24663501,DrugPath: a database for academic investigators to match oncology molecular targets with drugs in development.,True,N,high,Title explicitly contains 'database' keyword
25706687,PathVisio 3: an extendable pathway analysis toolbox.,True,Y,high,Title describes analysis toolbox (software tool)
30053264,"Updates to the RNA mapping database (RMDB), version 2.",True,N,high,Title explicitly contains 'database' keyword
29954318,FamPlex: a resource for entity recognition and relationship resolution of human protein families and complexes in biomedical text mining.,False,Y,high,Title describes resource for text mining (tool) and lacks URL
28667017,FlyExpress 7: An Integrated Discovery Platform To Study Coexpressed Genes Using <i>in Situ</i> Hybridization Images in <i>Drosophila</i>.,True,N,medium,Platform for studying genes suggests database resource
23630576,CMS: a web-based system for visualization and analysis of genome-wide methylation data of human cancers.,True,Y,medium,System for visualization and analysis suggests tool
24912499,REGNET: mining context-specific human transcription networks using composite genomic information.,True,Y,medium,Mining networks using information suggests analysis tool
29069336,"ArachnoServer 3.0: an online resource for automated discovery, analysis and annotation of spider toxins.",True,N,high,Title contains 'resource' indicating data collection
33186582,Cppsite 2.0: An Available Database of Experimentally Validated Cell-Penetrating Peptides Predicting their Secondary and Tertiary Structures.,True,N,high,Title explicitly contains 'Database' keyword
32895427,"PCOSKB<sub>R2</sub>: a database of genes, diseases, pathways, and networks associated with polycystic ovary syndrome.",True,N,high,Title explicitly contains 'database' keyword
30854455,ePAD: An Image Annotation and Analysis Platform for Quantitative Imaging.,False,Y,high,Title describes platform for annotation and analysis (tool) and lacks URL
22761802,SECOM: a novel hash seed and community detection based-approach for genome-scale protein domain identification.,True,Y,high,Title describes approach/method for identification
22419780,SEQanswers: an open access community for collaboratively decoding genomes.,True,N,medium,Community platform for genomics suggests collaborative resource
24174536,"GeneProf data: a resource of curated, integrated and reusable high-throughput genomics experiments.",True,N,high,Title contains 'resource' indicating data collection
33306787,MetaADEDB 2.0: a comprehensive database on adverse drug events.,True,N,high,Title explicitly contains 'database' keyword
24333540,EcoliOverExpressionDB: a database of recombinant protein overexpression in E. coli.,True,N,high,Title explicitly contains 'database' keyword
"25428365, 33167031",Expanded microbial genome coverage and improved protein family annotation in the COG database.,True,N,high,Title explicitly contains 'database' keyword
30202870,SequencEnG: an interactive knowledge base of sequencing techniques.,True,N,high,Title contains 'knowledge base' keyword
25115331,KiMoSys: a web-based repository of experimental data for KInetic MOdels of biological SYStems.,True,N,high,Title explicitly contains 'repository' keyword
34496744,RPocket: an intuitive database of RNA pocket topology information with RNA-ligand data resources.,True,N,high,Title explicitly contains 'database' keyword
33175131,deepBase v3.0: expression atlas and interactive analysis of ncRNAs from thousands of deep-sequencing data.,True,N,high,Title explicitly contains 'atlas' keyword
27336457,Using the Semantic Web for Rapid Integration of WikiPathways with Other Biological Online Data Resources.,True,Y,high,Title describes integration method not a standalone database
26039571,Gene Perturbation Atlas (GPA): a single-gene perturbation repository for characterizing functional mechanisms of coding and non-coding genes.,True,N,high,Title explicitly contains 'Atlas' and 'repository' keywords
21554668,PHENOPSIS DB: an information system for Arabidopsis thaliana phenotypic data in an environmental context.,True,N,high,Title contains 'information system' indicating database
"26139634, 27899584, 30398663",Functional classification of CATH superfamilies: a domain-based approach for protein function annotation.,True,Y,medium,Title describes approach for annotation (methodology)
23497159,Promzea: a pipeline for discovery of co-regulatory motifs in maize and other plant species and its application to the anthocyanin and phlobaphene biosynthetic pathways and the Maize Development Atlas.,True,Y,high,Title contains 'pipeline for' pattern indicating methodology tool
26441671,Databases for multilevel biophysiology research available at Physiome.jp.,True,N,high,Title explicitly contains 'Databases' keyword
26989150,Sustainable funding for biocuration: The Arabidopsis Information Resource (TAIR) as a case study of a subscription-based funding model.,True,N,medium,Describes information resource (TAIR database)
23736533,EcoGene-RefSeq: EcoGene tools applied to the RefSeq prokaryotic genomes.,True,N,medium,Tools applied to genomes suggests database resource
23193272,ArrayExpress update--trends in database growth and links to data analysis tools.,True,N,high,Title explicitly contains 'database' keyword
23407358,GROMACS 4.5: a high-throughput and highly parallel open source molecular simulation toolkit.,True,Y,high,Title describes simulation toolkit (software tool)
"29912385, 29967752",Metaxa2 Database Builder: enabling taxonomic identification from metagenomic or metabarcoding data using any genetic marker.,True,Y,high,Database Builder is tool for building databases not a database itself
26930599,RED: A Java-MySQL Software for Identifying and Visualizing RNA Editing Sites Using Rule-Based and Statistical Filters.,False,Y,high,Title describes software for identifying sites (tool) and lacks URL
29069479,"FlyAtlas 2: a new version of the Drosophila melanogaster expression atlas with RNA-Seq, miRNA-Seq and sex-specific data.",True,N,high,Title explicitly contains 'atlas' keyword
24501396,A comprehensive aligned nifH gene database: a multipurpose tool for studies of nitrogen-fixing bacteria.,True,N,high,Title explicitly contains 'database' keyword
24504151,"Southern African Treatment Resistance Network (SATuRN) RegaDB HIV drug resistance and clinical management database: supporting patient management, surveillance and research in southern Africa.",True,N,high,Title explicitly contains 'database' keyword
30239681,PalmXplore: oil palm gene database.,True,N,high,Title explicitly contains 'database' keyword
"23331499, 23715991",SignaLink 2 - a signaling pathway resource with multi-layered regulatory networks.,True,N,high,Title contains 'resource' indicating data collection
"22123792, 23292603",KNApSAcK family databases: integrated metabolite-plant species databases for multifaceted plant research.,True,N,high,Title explicitly contains 'databases' keyword
32076423,FHLdb: A Comprehensive Database on the Molecular Basis of Familial Hemophagocytic Lymphohistiocytosis.,True,N,high,Title explicitly contains 'Database' keyword
23696878,PEpiD: a prostate epigenetic database in mammals.,True,N,high,Title explicitly contains 'database' keyword
26656949,An updated version of NPIDB includes new classifications of DNA-protein complexes and their families.,True,N,high,Database indicated by name pattern ending in 'DB'
24122041,DGIdb: mining the druggable genome.,True,N,medium,Database indicated by name pattern ending in 'db' and has URL
28759605,THPdb: Database of FDA-approved peptide and protein therapeutics.,True,N,high,Title explicitly contains 'Database' keyword
28502574,DINeR: Database for Insect Neuropeptide Research.,True,N,high,Title explicitly contains 'Database' keyword
32360910,CancerEnD: A database of cancer associated enhancers.,True,N,high,Title explicitly contains 'database' keyword
