pmid,title,has_url,is_false_positive,confidence,reason
25178289,Native Pig and Chicken Breed Database: NPCDB.,True,N,high,Title explicitly names a database.
33970229,ChemHub: a knowledgebase of functional chemicals for synthetic biology studies.,True,N,high,Title contains 'knowledgebase' indicating data resource.
31624845,"CRISPRCasdb a successor of CRISPRdb containing CRISPR arrays and cas genes from complete genome sequences, and tools to download and query lists of repeats and spacers.",True,N,high,Title explicitly names a database for genomic data.
33757430,ATAV: a comprehensive platform for population-scale genomic analyses.,True,N,medium,Title describes a platform but emphasizes data analysis capabilities.
29382910,Lnc2Catlas: an atlas of long noncoding RNAs associated with risk of cancers.,True,N,high,Title contains 'atlas' indicating curated data collection.
21247929,A genotypic and phenotypic information source for marker-assisted selection of cereals: the CEREALAB database.,True,N,high,Title explicitly names a database.
23750084,InDiaMed: A Comprehensive Database of Indian Medicinal plants for Diabetes.,True,N,high,Title explicitly names a database.
25378329,"MatrixDB, the extracellular matrix interaction database: updated content, a new navigator and expanded functionalities.",True,N,high,Title explicitly names a database.
22693078,"ABCMdb: a database for the comparative analysis of protein mutations in ABC transporters, and a potential framework for a general application.",False,N,medium,Title explicitly names a database despite lacking URL.
27551106,PPI4DOCK: large scale assessment of the use of homology models in free docking over more than 1000 realistic targets.,True,Y,medium,Title emphasizes assessment/benchmarking rather than data repository focus.
23162083,PTID: an integrated web resource and computational tool for agrochemical discovery.,True,Y,medium,Title emphasizes 'computational tool' suggesting methodology focus.
30721533,"SiMPLOD, a Structure-Integrated Database of Collagen Lysyl Hydroxylase (LH/PLOD) Enzyme Variants.",True,N,high,Title explicitly names a database.
22589183,PRDB: Protein Repeat DataBase.,True,N,high,Title explicitly names a database.
27995664,AraQTL - workbench and archive for systems genetics in Arabidopsis thaliana.,True,N,high,Title contains 'archive' indicating data storage resource.
25234927,circBase: a database for circular RNAs.,True,N,high,Title explicitly names a database.
23996831,"The Nencki Affective Picture System (NAPS): introduction to a novel, standardized, wide-range, high-quality, realistic picture database.",True,N,high,Title explicitly names a picture database.
32159764,"MMHub, a database for the mulberry metabolome.",True,N,high,Title explicitly names a database.
34273949,ARPEGGIO: Automated Reproducible Polyploid EpiGenetic GuIdance workflOw.,False,Y,high,Title describes an automated workflow/pipeline not a data resource.
24910945,MOPED 2.5--an integrated multi-omics resource: multi-omics profiling expression database now includes transcriptomics data.,True,N,high,Title contains 'resource' and 'database' for expression data.
25360160,BioPhytMol: a drug discovery community resource on anti-mycobacterial phytomolecules and plant extracts.,True,N,high,Title contains 'resource' for drug discovery data.
25361973,KnotProt: a database of proteins with knots and slipknots.,True,N,high,Title explicitly names a database.
33324449,Web-Based Genome Analysis of Bacterial Meningitis Pathogens for Public Health Applications Using the Bacterial Meningitis Genomic Analysis Platform (BMGAP).,False,Y,high,Title emphasizes analysis platform/tool rather than data repository.
30419167,"ZINClick v.18: Expanding Chemical Space of 1,2,3-Triazoles.",True,N,medium,Title suggests database expansion though not explicitly stated.
34521345,PathFams: statistical detection of pathogen-associated protein domains.,True,Y,medium,Title emphasizes 'detection' methodology suggesting analysis tool.
30407583,FusionGDB: fusion gene annotation DataBase.,True,N,high,Title explicitly names a database.
29697370,LDSplitDB: a database for studies of meiotic recombination hotspots in MHC using human genomic data.,True,N,high,Title explicitly names a database.
26746174,Pleurochrysome: A Web Database of Pleurochrysis Transcripts and Orthologs Among Heterogeneous Algae.,True,N,high,Title explicitly names a database.
"21976737, 27789697",Protein Data Bank Japan (PDBj): maintaining a structural data archive and resource description framework format.,True,N,high,Title contains 'archive' and 'resource' for structural data.
33497436,FifBase: a comprehensive fertility-associated indicators factor database for domestic animals.,True,N,high,Title explicitly names a database.
22954629,MaConDa: a publicly accessible mass spectrometry contaminants database.,True,N,high,Title explicitly names a database.
24622612,GigaDB: promoting data dissemination and reproducibility.,True,N,high,Title explicitly names a database for data dissemination.
29771380,dbCAN2: a meta server for automated carbohydrate-active enzyme annotation.,True,N,medium,Title describes a server for annotation but includes database component.
23886610,BmTEdb: a collective database of transposable elements in the silkworm genome.,True,N,high,Title explicitly names a database.
22984621,Insect Innate Immunity Database (IIID): an annotation tool for identifying immune genes in insect genomes.,True,N,medium,Title names a database though also mentions annotation tool.
28124611,ImmunemiR - A Database of Prioritized Immune miRNA Disease Associations and its Interactome.,True,N,high,Title explicitly names a database.
29194489,mirDIP 4.1-integrative database of human microRNA target predictions.,True,N,high,Title explicitly names a database.
23599502,INstruct: a database of high-quality 3D structurally resolved protein interactome networks.,True,N,high,Title explicitly names a database.
22115179,iRefR: an R package to manipulate the iRefIndex consolidated protein interaction database.,False,Y,high,Title describes R package/software tool not a database itself.
29145635,tRex: A Web Portal for Exploration of tRNA-Derived Fragments in Arabidopsis thaliana.,True,N,high,Title describes a web portal for data exploration.
30172046,CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison.,True,N,high,Title explicitly names a database.
28704821,Application of the DruGeVar Database in Cancer Genomics and Pharmacogenomics.,False,Y,high,Title describes application/use of a database not the database itself.
31592084,The Grass Carp Genomic Visualization Database (GCGVD): an informational platform for genome biology of grass carp.,True,N,high,Title explicitly names a database.
27789692,"WERAM: a database of writers, erasers and readers of histone acetylation and methylation in eukaryotes.",True,N,high,Title explicitly names a database.
31680157,ChimerDB 4.0: an updated and expanded database of fusion genes.,True,N,high,Title explicitly names a database.
30583062,RGAAT: A Reference-based Genome Assembly and Annotation Tool for New Genomes and Upgrade of Known Genomes.,False,Y,high,Title describes a tool for genome assembly/annotation not a data resource.
25970601,"PAPST, a User Friendly and Powerful Java Platform for ChIP-Seq Peak Co-Localization Analysis and Beyond.",False,Y,high,Title describes an analysis platform/tool not a data repository.
23189029,Myosinome: a database of myosins from select eukaryotic genomes to facilitate analysis of sequence-structure-function relationships.,True,N,high,Title explicitly names a database.
22782548,"Gemma: a resource for the reuse, sharing and meta-analysis of expression profiling data.",True,N,high,Title describes a resource for data sharing and reuse.
34015403,Ebolabase: Zaire ebolavirus-human protein interaction database for drug-repurposing.,True,N,high,Title explicitly names a database.
22080558,HotRegion: a database of predicted hot spot clusters.,True,N,high,Title explicitly names a database.
"22218860, 24214987",The integration and annotation of the human interactome in the UniHI Database.,True,N,high,Title explicitly names a database.
23667450,LipidHome: a database of theoretical lipids optimized for high throughput mass spectrometry lipidomics.,True,N,high,Title explicitly names a database.
30395284,Haemopedia RNA-seq: a database of gene expression during haematopoiesis in mice and humans.,True,N,high,Title explicitly names a database.
29145823,dbMDEGA: a database for meta-analysis of differentially expressed genes in autism spectrum disorder.,True,N,high,Title explicitly names a database.
33136065,HPREP: a comprehensive database for human proteome repeats.,True,N,high,Title explicitly names a database.
34147079,ORFik: a comprehensive R toolkit for the analysis of translation.,True,Y,high,Title describes an R toolkit/software for analysis not a data resource.
30703169,HuVarBase: A human variant database with comprehensive information at gene and protein levels.,True,N,high,Title explicitly names a database.
26690544,CancerNet: a database for decoding multilevel molecular interactions across diverse cancer types.,True,N,high,Title explicitly names a database.
31665503,BBCancer: an expression atlas of blood-based biomarkers in the early diagnosis of cancers.,True,N,high,Title contains 'atlas' indicating curated data collection.
21984757,"miREnvironment database: providing a bridge for microRNAs, environmental factors and phenotypes.",True,N,high,Title explicitly names a database.
"29126295, 33245761",MoonProt 2.0: an expansion and update of the moonlighting proteins database.,True,N,high,Title explicitly names a database.
31259547,PerMM: A Web Tool and Database for Analysis of Passive Membrane Permeability and Translocation Pathways of Bioactive Molecules.,True,N,medium,Title describes both tool and database with data storage component.
24250117,BBGD454: A database for transcriptome analysis of blueberry using 454 sequences.,True,N,high,Title explicitly names a database.
27936097,PeTMbase: A Database of Plant Endogenous Target Mimics (eTMs).,True,N,high,Title explicitly names a database.
26602694,APD3: the antimicrobial peptide database as a tool for research and education.,True,N,high,Title explicitly names a database.
25399422,LncRNA2Target: a database for differentially expressed genes after lncRNA knockdown or overexpression.,True,N,high,Title explicitly names a database.
28806134,iLIR@viral: A web resource for LIR motif-containing proteins in viruses.,True,N,high,Title describes a web resource for protein data.
28053168,ccNET: Database of co-expression networks with functional modules for diploid and polyploid Gossypium.,True,N,high,Title explicitly names a database.
27899675,"JET2 Viewer: a database of predicted multiple, possibly overlapping, protein-protein interaction sites for PDB structures.",True,N,high,Title explicitly names a database.
26590255,"deepBase v2.0: identification, expression, evolution and function of small RNAs, LncRNAs and circular RNAs from deep-sequencing data.",True,N,high,Title describes a database for RNA data.
23180765,RiceXPro version 3.0: expanding the informatics resource for rice transcriptome.,True,N,high,Title describes a resource for transcriptome data.
31337975,SAROTUP: a suite of tools for finding potential target-unrelated peptides from phage display data.,True,Y,medium,Title emphasizes 'suite of tools' suggesting methodology focus.
28111364,TOMATOMICS: A Web Database for Integrated Omics Information in Tomato.,True,N,high,Title explicitly names a database.
30689844,Towards comprehensive annotation of Drosophila melanogaster enzymes in FlyBase.,True,N,medium,Title describes annotation work in existing database.
30380102,qPhos: a database of protein phosphorylation dynamics in humans.,True,N,high,Title explicitly names a database.
24666611,openBEB: open biological experiment browser for correlative measurements.,False,Y,high,Title describes a browser/tool for viewing data not a data repository.
23193283,The SILVA ribosomal RNA gene database project: improved data processing and web-based tools.,True,N,high,Title explicitly names a database project.
31032842,The MACADAM database: A MetAboliC pAthways DAtabase for Microbial taxonomic groups for mining potential metabolic capacities of archaeal and bacterial taxonomic groups.,False,N,high,Title explicitly names a database despite lacking URL.
31844049,ProTargetMiner as a proteome signature library of anticancer molecules for functional discovery.,True,N,high,Title describes a library/database resource.
22467915,DeOri: a database of eukaryotic DNA replication origins.,True,N,high,Title explicitly names a database.
34741074,Fibromine is a multi-omics database and mining tool for target discovery in pulmonary fibrosis.,True,N,medium,Title names a database though also mentions mining tool.
34992626,CottonGVD: A Comprehensive Genomic Variation Database for Cultivated Cottons.,True,N,high,Title explicitly names a database.
23161688,SwissBioisostere: a database of molecular replacements for ligand design.,True,N,high,Title explicitly names a database.
22112530,LIPABASE: a database for 'true' lipase family enzymes.,True,N,high,Title explicitly names a database.
22120661,SalmonDB: a bioinformatics resource for Salmo salar and Oncorhynchus mykiss.,True,N,high,Title describes a bioinformatics resource/database.
29912458,CircadiOmics: circadian omic web portal.,True,N,high,Title describes a web portal for omic data.
32487193,SCDb: an integrated database of stomach cancer.,True,N,high,Title explicitly names a database.
28708831,biochem4j: Integrated and extensible biochemical knowledge through graph databases.,True,N,high,Title describes a knowledge base using graph databases.
26989147,HistoneDB 2.0: a histone database with variants--an integrated resource to explore histones and their variants.,True,N,high,Title explicitly names a database.
22434826,Considerations for creating and annotating the budding yeast Genome Map at SGD: a progress report.,True,N,medium,Title describes annotation work for existing database.
32990748,miRNASNP-v3: a comprehensive database for SNPs and disease-related variations in miRNAs and miRNA targets.,True,N,high,Title explicitly names a database.
33181826,WGVD: an integrated web-database for wheat genome variation and selective signatures.,True,N,high,Title explicitly names a database.
23846593,lncRNome: a comprehensive knowledgebase of human long noncoding RNAs.,True,N,high,Title contains 'knowledgebase' indicating data resource.
26582920,iGNM 2.0: the Gaussian network model database for biomolecular structural dynamics.,True,N,high,Title explicitly names a database.
23894186,BGDB: a database of bivalent genes.,True,N,high,Title explicitly names a database.
26201819,"The Arabidopsis information resource: Making and mining the ""gold standard"" annotated reference plant genome.",False,N,medium,Title describes an information resource for genome data.
29956270,Data Mining: Applying the AD&FTD Mutation Database to Progranulin.,True,Y,medium,Title emphasizes data mining application rather than database itself.
33095885,IndiGenomes: a comprehensive resource of genetic variants from over 1000 Indian genomes.,True,N,high,Title describes a comprehensive resource for genetic data.
26989151,KinetochoreDB: a comprehensive online resource for the kinetochore and its related proteins.,True,N,high,Title explicitly names a database resource.
26450965,CircNet: a database of circular RNAs derived from transcriptome sequencing data.,True,N,high,Title explicitly names a database.
27635320,"CardioTF, a database of deconstructing transcriptional circuits in the heart system.",True,N,high,Title explicitly names a database.
32306309,Structural Database for Lectins and the UniLectin Web Platform.,False,N,high,Title explicitly names a database for structural data.
25398903,PNRD: a plant non-coding RNA database.,True,N,high,Title explicitly names a database.
28651291,"Development of a Reference Standard Library of Chloroplast Genome Sequences, GenomeTrakrCP.",True,N,high,Title describes development of a reference library/database.
28549078,HEROD: a human ethnic and regional specific omics database.,True,N,high,Title explicitly names a database.
29109711,miPepBase: A Database of Experimentally Verified Peptides Involved in Molecular Mimicry.,True,N,high,Title explicitly names a database.
33067342,OpenPepXL: An Open-Source Tool for Sensitive Identification of Cross-Linked Peptides in XL-MS.,True,Y,high,Title describes a tool for identification/analysis not a data resource.
23093589,ValidNESs: a database of validated leucine-rich nuclear export signals.,True,N,high,Title explicitly names a database.
33270643,SeqRepo: A system for managing local collections of biological sequences.,False,Y,high,Title describes a system/tool for managing data not a data repository itself.
28415075,HopBase: a unified resource for Humulus genomics.,True,N,high,Title describes a unified resource for genomic data.
26590254,UET: a database of evolutionarily-predicted functional determinants of protein sequences that cluster as functional sites in protein structures.,True,N,high,Title explicitly names a database.
28966693,The Stratospheric Water and Ozone Satellite Homogenized (SWOOSH) database: a long-term database for climate studies.,False,N,medium,Title explicitly names a database for climate data despite lacking URL.
26042145,FAST: FAST Analysis of Sequences Toolbox.,False,Y,high,Title describes an analysis toolbox not a data repository.
21672956,BioPortal: enhanced functionality via new Web services from the National Center for Biomedical Ontology to access and use ontologies in software applications.,True,N,high,Title describes a portal for accessing ontology data.
"26657895, 30945201",CANTATAdb: A Collection of Plant Long Non-Coding RNAs.,True,N,high,Title describes a collection/database of RNA data.
25392409,"GEM2Net: from gene expression modeling to -omics networks, a new CATdb module to investigate Arabidopsis thaliana genes involved in stress response.",True,N,high,Title describes a database module for gene data.
27623959,"BmncRNAdb: a comprehensive database of non-coding RNAs in the silkworm, Bombyx mori.",True,N,high,Title explicitly names a database.
29059333,The AraGWAS Catalog: a curated and standardized Arabidopsis thaliana GWAS catalog.,True,N,high,Title describes a catalog/database of GWAS data.
30185512,TaxAss: Leveraging a Custom Freshwater Database Achieves Fine-Scale Taxonomic Resolution.,False,Y,high,Title emphasizes methodology for achieving resolution not the database itself.
30486838,CHESS: a new human gene catalog curated from thousands of large-scale RNA sequencing experiments reveals extensive transcriptional noise.,True,N,high,Title describes a gene catalog/database.
30535139,AStrap: identification of alternative splicing from transcript sequences without a reference genome.,False,Y,high,Title describes a tool for identification/analysis not a data resource.
31197322,MetOSite: an integrated resource for the study of methionine residues sulfoxidation.,True,N,high,Title describes an integrated resource for protein data.
33221906,EVLncRNAs 2.0: an updated database of manually curated functional long non-coding RNAs validated by low-throughput experiments.,True,N,high,Title explicitly names a database.
26016777,SeqGL Identifies Context-Dependent Binding Signals in Genome-Wide Regulatory Element Maps.,True,Y,medium,Title emphasizes identification methodology though includes data component.
24082050,yApoptosis: yeast apoptosis database.,True,N,high,Title explicitly names a database.
32163115,The Glycine Receptor Allosteric Ligands Library (GRALL).,True,N,high,Title describes a library/database of ligands.
30820573,PASS2 version 6: a database of structure-based sequence alignments of protein domain superfamilies in accordance with SCOPe.,False,N,high,Title explicitly names a database despite lacking URL.
26678566,YAGM: a web tool for mining associated genes in yeast based on diverse biological associations.,True,Y,medium,Title emphasizes 'tool for mining' suggesting methodology focus.
34538772,GenOrigin: A comprehensive protein-coding gene origination database on the evolutionary timescale of life.,True,N,high,Title explicitly names a database.
31724711,The SCOP database in 2020: expanded classification of representative family and superfamily domains of known protein structures.,True,N,high,Title explicitly names a database.
"32679065, 32707486",A Manually Curated Database on Clinical Studies Involving Cell Products Derived from Human Pluripotent Stem Cells.,True,N,high,Title explicitly describes a curated database.
29145608,MeDReaders: a database for transcription factors that bind to methylated DNA.,True,N,high,Title explicitly names a database.
33994075,A Review of the Literature Organized Into a New Database: RHeference.,True,N,high,Title explicitly names a database though also review component.
26578596,HPMCD: the database of human microbial communities from metagenomic datasets and microbial reference genomes.,True,N,high,Title explicitly names a database.
32055858,GREG-studying transcriptional regulation using integrative graph databases.,True,N,high,Title describes study using graph databases as resource.
23095476,The Hawaiian Freshwater Algal Database (HfwADB): a laboratory LIMS and online biodiversity resource.,True,N,high,Title explicitly names a database.
26635364,Wasabi: An Integrated Platform for Evolutionary Sequence Analysis and Data Visualization.,True,Y,medium,Title emphasizes platform for analysis/visualization though includes data component.
23193292,NPIDB: Nucleic acid-Protein Interaction DataBase.,True,N,high,Title explicitly names a database.
29177508,MVP: a microbe-phage interaction database.,True,N,high,Title explicitly names a database.
22493537,BacterialLectinDb: An integrated bacterial lectin database.,True,N,high,Title explicitly names a database.
32596782,The Human Gene Mutation Database (HGMD<sup>®</sup>): optimizing its use in a clinical diagnostic or research setting.,False,Y,medium,Title emphasizes optimizing use of database not the database itself.
33552037,BioMaster: An Integrated Database and Analytic Platform to Provide Comprehensive Information About BioBrick Parts.,True,N,high,Title names an integrated database.
26827236,OGDD (Olive Genetic Diversity Database): a microsatellite markers' genotypes database of worldwide olive trees for cultivar identification and virgin olive oil traceability.,True,N,high,Title explicitly names a database.
25993562,"RulNet: A Web-Oriented Platform for Regulatory Network Inference, Application to Wheat -Omics Data.",False,Y,high,Title describes a platform for network inference not a data repository.
33306800,CEG 2.0: an updated database of clusters of essential genes including eukaryotic organisms.,True,N,high,Title explicitly names a database.
22080561,GABI-Kat SimpleSearch: new features of the Arabidopsis thaliana T-DNA mutant database.,True,N,high,Title explicitly names a database.
22238269,GROMACS molecule & liquid database.,True,N,high,Title explicitly names a database.
34485385,Fuzzle 2.0: Ligand Binding in Natural Protein Building Blocks.,True,N,medium,Title suggests database though not explicitly stated.
24391364,"MAPS Database: Medicinal plant Activities, Phytochemical and Structural Database.",True,N,high,Title explicitly names a database.
22080565,modMine: flexible access to modENCODE data.,True,N,high,Title describes access to modENCODE data repository.
28481528,PubChemQC Project: A Large-Scale First-Principles Electronic Structure Database for Data-Driven Chemistry.,True,N,high,Title explicitly names a database.
31796964,Plant Regulomics Portal (PRP): a comprehensive integrated regulatory information and analysis portal for plant genomes.,True,N,high,Title describes a portal for regulatory data.
34195963,Constructing CircRNA-miRNA-mRNA Regulatory Networks by Using GreenCircRNA Database.,False,Y,high,Title emphasizes constructing networks using a database not the database itself.
24234003,footprintDB: a database of transcription factors with annotated cis elements and binding interfaces.,True,N,high,Title explicitly names a database.
33381847,"MirCure: a tool for quality control, filter and curation of microRNAs of animals and plants.",True,Y,high,Title describes a tool for QC/filtering not a data repository.
29069466,MGA repository: a curated data resource for ChIP-seq and other genome annotated data.,True,N,high,Title contains 'repository' indicating data storage.
25536965,MACE: mutation-oriented profiling of chemical response and gene expression in cancers.,True,N,medium,Title suggests database though emphasizes profiling.
28985418,The SysteMHC Atlas project.,True,N,high,Title contains 'atlas' indicating curated data collection.
31410491,The ABCD database: a repository for chemically defined antibodies.,True,N,high,Title explicitly names a database and repository.
34296749,circExp database: an online transcriptome platform for human circRNA expressions in cancers.,True,N,high,Title explicitly names a database.
23550210,Integrative analysis of complex cancer genomics and clinical profiles using the cBioPortal.,True,N,high,Title describes portal for genomic data integration.
24558125,Mantra 2.0: an online collaborative resource for drug mode of action and repurposing by network analysis.,True,N,high,Title describes a resource for drug data.
"31586406, 34427650",YEASTRACT+: a portal for cross-species comparative genomics of transcription regulation in yeasts.,True,N,high,Title describes a portal for genomic data.
21472436,"The Structural Biology Knowledgebase: a portal to protein structures, sequences, functions, and methods.",True,N,high,Title contains 'knowledgebase' and 'portal' for structural data.
25762455,"amamutdb.no: A relational database for MAN2B1 allelic variants that compiles genotypes, clinical phenotypes, and biochemical and structural data of mutant MAN2B1 in α-mannosidosis.",True,N,high,Title explicitly names a database.
23203885,Factorbook.org: a Wiki-based database for transcription factor-binding data generated by the ENCODE consortium.,True,N,high,Title explicitly names a database.
23958730,HippDB: a database of readily targeted helical protein-protein interactions.,True,N,high,Title explicitly names a database.
28797229,"ODG: Omics database generator - a tool for generating, querying, and analyzing multi-omics comparative databases to facilitate biological understanding.",False,Y,high,Title describes a tool for generating databases not a database itself.
27671474,ANTISTAPHYBASE: database of antimicrobial peptides (AMPs) and essential oils (EOs) against methicillin-resistant Staphylococcus aureus (MRSA) and Staphylococcus aureus.,True,N,high,Title explicitly names a database.
30837356,MusatransSSRDB (a transcriptome derived SSR database) - An advanced tool for banana improvement.,True,N,medium,Title names a database though also mentions tool.
22748121,Genes2FANs: connecting genes through functional association networks.,True,N,medium,Title suggests network database resource.
28423831,The BioTop Family of Upper Level Ontological Resources for Biomedicine.,True,N,high,Title describes ontological resources/database.
34272855,The Progenetix oncogenomic resource in 2021.,False,N,high,Title describes an oncogenomic resource/database.
26423722,DMAP: a connectivity map database to enable identification of novel drug repositioning candidates.,True,N,high,Title explicitly names a database.
32367111,UPCLASS: a deep learning-based classifier for UniProtKB entry publications.,True,Y,high,Title describes a classifier tool not a data repository.
25953079,GBIS: the information system of the German Genebank.,True,N,high,Title describes an information system/database.
29746699,RepeatsDB-lite: a web server for unit annotation of tandem repeat proteins.,True,N,medium,Title describes a server for annotation with database component.
27503226,shinyGEO: a web-based application for analyzing gene expression omnibus datasets.,True,Y,high,Title describes an application for analyzing data not a data repository.
33121433,circVAR database: genome-wide archive of genetic variants for human circular RNAs.,True,N,high,Title explicitly names a database and archive.
28651548,Canis mtDNA HV1 database: a web-based tool for collecting and surveying Canis mtDNA HV1 haplotype in public database.,True,N,high,Title explicitly names a database.
29337142,Express: A database of transcriptome profiles encompassing known and novel transcripts across multiple development stages in eye tissues.,True,N,high,Title explicitly names a database.
22096232,The BioSample Database (BioSD) at the European Bioinformatics Institute.,True,N,high,Title explicitly names a database.
22084255,PubChem promiscuity: a web resource for gathering compound promiscuity data from PubChem.,True,N,high,Title describes a web resource for compound data.
23893318,Cancer Digital Slide Archive: an informatics resource to support integrated in silico analysis of TCGA pathology data.,True,N,high,Title contains 'archive' indicating data storage.
22238270,BESC knowledgebase public portal.,True,N,high,Title contains 'knowledgebase' indicating data resource.
24436130,The Equine PeptideAtlas: a resource for developing proteomics-based veterinary research.,False,N,high,Title contains 'atlas' indicating curated data collection.
22067447,Ensembl Genomes: an integrative resource for genome-scale data from non-vertebrate species.,True,N,high,Title describes a resource for genome data.
30052772,The Terabase Search Engine: a large-scale relational database of short-read sequences.,True,N,high,Title explicitly names a database.
29329409,Recent development of Ori-Finder system and DoriC database for microbial replication origins.,False,N,high,Title explicitly names a database despite lacking URL.
32608479,CHDGKB: a knowledgebase for systematic understanding of genetic variations associated with non-syndromic congenital heart disease.,True,N,high,Title contains 'knowledgebase' indicating data resource.
28152980,DMDtoolkit: a tool for visualizing the mutated dystrophin protein and predicting the clinical severity in DMD.,True,Y,medium,Title describes a tool for visualization/prediction not a data repository.
29899596,Cyanobacterial diversity held in microbial biological resource centers as a biotechnological asset: the case study of the newly established LEGE culture collection.,True,N,high,Title describes a culture collection/biological resource center.
27153614,Rail-dbGaP: analyzing dbGaP-protected data in the cloud with Amazon Elastic MapReduce.,True,Y,high,Title describes a tool for analyzing data not a data repository.
29854170,Initializing and Growing a Database of Health Information Technology (HIT) Events by Using TF-IDF and Biterm Topic Modeling.,False,Y,medium,Title emphasizes methodology for building database not the database itself.
25097383,IntergenicDB: a database for intergenic sequences.,True,N,high,Title explicitly names a database.
24163100,uORFdb--a comprehensive literature database on eukaryotic uORF biology.,True,N,high,Title explicitly names a database.
31161214,WDSPdb: an updated resource for WD40 proteins.,True,N,high,Title describes an updated resource/database.
30231853,AgriSeqDB: an online RNA-Seq database for functional studies of agriculturally relevant plant species.,True,N,high,Title explicitly names a database.
22135298,PhosphoSitePlus: a comprehensive resource for investigating the structure and function of experimentally determined post-translational modifications in man and mouse.,True,N,high,Title describes a comprehensive resource for PTM data.
22267903,LCGbase: A Comprehensive Database for Lineage-Based Co-regulated Genes.,True,N,high,Title explicitly names a database.
31284879,ImtRDB: a database and software for mitochondrial imperfect interspersed repeats annotation.,True,N,medium,Title names a database though also includes software component.
21418024,PlantPIs--an interactive web resource on plant protease inhibitors.,True,N,high,Title describes a web resource for protein data.
30726866,RiboD: a comprehensive database for prokaryotic riboswitches.,True,N,high,Title explicitly names a database.
27716338,Rational design of cancer gene panels with OncoPaD.,True,Y,medium,Title emphasizes design methodology though includes database component.
26748106,EpimiRBase: a comprehensive database of microRNA-epilepsy associations.,True,N,high,Title explicitly names a database.
29028885,HoTResDB: host transcriptional response database for viral hemorrhagic fevers.,True,N,high,Title explicitly names a database.
32510565,GreenCircRNA: a database for plant circRNAs that act as miRNA decoys.,True,N,high,Title explicitly names a database.
23161674,Voronoia4RNA--a database of atomic packing densities of RNA structures and their complexes.,True,N,high,Title explicitly names a database.
26393351,"The NIDDK Information Network: A Community Portal for Finding Data, Materials, and Tools for Researchers Studying Diabetes, Digestive, and Kidney Diseases.",True,N,high,Title describes a portal for finding research resources.
34325724,GenoVault: a cloud based genomics repository.,False,N,high,Title describes a genomics repository/database.
34188160,NOD: a web server to predict New use of Old Drugs to facilitate drug repurposing.,True,Y,medium,Title describes a prediction server/tool though may include data.
"26173699, 27903896, 31665416",IMG-ABC: A Knowledge Base To Fuel Discovery of Biosynthetic Gene Clusters and Novel Secondary Metabolites.,True,N,high,Title contains 'knowledge base' indicating data resource.
29472600,PANDA: Protein function prediction using domain architecture and affinity propagation.,True,Y,high,Title emphasizes prediction methodology not a data repository.
32345360,CircAtlas: an integrated resource of one million highly accurate circular RNAs from 1070 vertebrate transcriptomes.,True,N,high,Title contains 'atlas' indicating curated data collection.
24739306,RetrogeneDB--a database of animal retrogenes.,True,N,high,Title explicitly names a database.
