name_modification_flags,ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,affiliation_countries,best_name_original,url_validation,review_remove,paper_titles,source_batch,qc_manual_review,qc_fix_applied,qc_confidence,qc_issue_category,was_merged,best_name_updated,full_name_updated,confidence,notes
TITLE_CAPITALIZED,31337975,SAROTUP,0.9967861,sarotup,0.9967861,,0.9967861,1,http://i.uestc.edu.cn/sarotup3,200,China,"(30.6667,104.0667)",,2019-06-02,"School of Medicine, Guizhou University, Guiyang 550025, China.","Chen H, He B, Huang J, Li N",,,24,China,sarotup,ok,,SAROTUP: a suite of tools for finding potential target-unrelated peptides from phage display data.,2010-2022,,,,,False,SAROTUP,SAROTUP,HIGH,No expansion in title - using short name
TITLE_CAPITALIZED,27716338,OncoPaD,0.99898756,,0.99898756,oncopad,0.99898756,1,http://www.intogen.org/oncopad,200,Spain,"(41.3888,2.1590)",,2016-10-03,"Research Program on Biomedical Informatics, IMIM Hospital del Mar Medical Research Institute and Universitat Pompeu Fabra, Doctor Aiguader 88, 08003, Barcelona, Catalonia, Spain.","Deu-Pons J, Gonzalez-Perez A, Lopez-Bigas N, Rubio-Perez C, Tamborero D","RYC-2013-14554, SAF2012-36199","Departament d&apos;Innovació, Generalitat de Catalunya, Ministerio de Economía y Competitividad, Universitats i Empresa",2,"Andorra, Morocco, Spain",oncopad,ok,,Rational design of cancer gene panels with OncoPaD.,2010-2022,,,,,False,OncoPaD,OncoPaD,HIGH,No expansion in title - using short name
"CAPITALIZED,TITLE_CAPITALIZED",30525651,Proxl,0.99863285,proxl,0.99863285,,0.99863285,1,http://proxl-ms.org/,200,United States,"(37.7621,-122.3971)",,2018-12-19,"Department of Biochemistry , University of Washington , Seattle , Washington 98195 , United States.","Davis TN, Jaschob D, Riffle M, Zelter A","P41 GM103533, UWPR95794","NIGMS NIH HHS, National Institute of General Medical Sciences, University of Washington",7,United States,proxl,ok,,"Proxl (Protein Cross-Linking Database): A Public Server, QC Tools, and Other Major Updates.",2010-2022,,,,,False,Proxl,Protein Cross-Linking,HIGH,Explicit expansion: NAME (Full Name)
CAPITALIZED,"26527191, 30358807",UGENE,0.99845755,ugene,0.99845755,,0.99845755,2,http://ugene.net/download.html,200,United States,"(37.7621,-122.3971)",,2015-09-03,"BioInfoExperts, LLC, Thibodaux, LA, USA.","Fursov MY, Golosova O, Grekhov GA, Prosperi M, Protsyuk IV, Rose R, Sukhomlinov D, Tiunov A, Tiunov AV",634650,European Union’s Horizon 2020,55,United States,ugene,ok,1,Shared bioinformatics databases within the Unipro UGENE platform. | Flexible design of multiple metagenomics classification pipelines with UGENE.,2010-2022,,,,,False,UGENE,UGENE,HIGH,No expansion in title - using short name
TITLE_CAPITALIZED,33401349,LIVECAT,0.99821717,livecat,0.99821717,,0.99821717,1,http://www.thecatkorea.com/,200,"Korea, Republic of","(37.5660,126.9784)",,2020-09-29,"Department of Psychology, College of Social Sciences & Hallym Applied Psychology Institute, Hallym University, Chuncheon, Korea.","Choi J, Seo DG",,,4,,livecat,ok,,Introduction to the LIVECAT web-based computerized adaptive testing platform.,2010-2022,,,,,False,LIVECAT,LIVECAT,HIGH,No expansion in title - using short name
TITLE_CAPITALIZED,23671334,PSICQUIC,0.9979907,psicquic,0.9979907,,0.9979907,1,http://www.ebi.ac.uk/Tools/webservices/psicquic/view/main.xhtml,200,United Kingdom,"(51.8797,-0.4175)",,2013-05-13,"EMBL-European Bioinformatics Institute, Hinxton, Cambridge CB10 1SD, UK. ntoro@ebi.ac.uk","Breuer K, Dumousseau M, Galeota E, Goll J, Hermjakob H, Jimenez RC, Launay G, Ono K, Orchard S, Salwinski L, del-Toro N","HHSN268201000035C, R01 GM071909, R01GM071909","CIHR, NHLBI NIH HHS, NIGMS NIH HHS",82,United Kingdom,psicquic,ok,,A new reference implementation of the PSICQUIC web service.,2010-2022,,,,,False,PSICQUIC,PSICQUIC,HIGH,No expansion in title - using short name
CAPITALIZED,26907748,OASIS,0.996898,oasis,0.996898,,0.996898,1,https://db.tt/yYTZYCga,200,United States,"(37.7621,-122.3971)",,2017-04-01,"Department of Psychology, Harvard University, Cambridge, MA, 02138, USA.","Banaji MR, Kurdi B, Lozano S",,,239,United States,oasis,ok,1,Introducing the Open Affective Standardized Image Set (OASIS).,2010-2022,,,,,False,OASIS,Open Affective Standardized Image Set,HIGH,Explicit expansion: Full Name (NAME)
TITLE_CAPITALIZED,22761559,ProteinHistorian,0.99504775,,0.99504775,proteinhistorian,0.99504775,1,http://lighthouse.ucsf.edu/ProteinHistorian/,200,United States,"(37.7749,-122.4194)",,2012-06-28,"J. David Gladstone Institutes, University of California, San Francisco, California, United States of America. tony.capra@gladstone.ucsf.edu","Capra JA, Pollard KS, Williams AG","GM82901, R01 GM082901",NIGMS NIH HHS,68,United States,proteinhistorian,ok,,ProteinHistorian: tools for the comparative analysis of eukaryote protein origin.,2010-2022,,,,,False,ProteinHistorian,ProteinHistorian,HIGH,No expansion in title - using short name
TITLE_CAPITALIZED,21496247,CDAO-store,0.99439746,,0.99439746,cdao-store,0.99439746,1,http://www.cs.nmsu.edu/~cdaostore,200,United States,"(32.3123,-106.7783)",,2011-04-15,"Department of Computer Science, New Mexico State University, Las Cruces, USA.","Chisham B, Le T, Pontelli E, Son TC, Wright B",,,11,"Mexico, United States",cdao-store,ok,,CDAO-store: ontology-driven data integration for phylogenetic analysis.,2010-2022,,,,,False,CDAO-store,CDAO-store,HIGH,No expansion in title - using short name
TITLE_CAPITALIZED,29762782,MetaboAnalyst,0.99098855,,0.99098855,metaboanalyst,0.99098855,1,http://metaboanalyst.ca,200,Canada,"(45.5088,-73.5878)",,2018-07-01,"Institute of Parasitology, McGill University, Montreal, Québec, Canada.","Bourque G, Caraus I, Chong J, Li C, Li S, Soufan O, Wishart DS, Xia J",,CIHR,2441,Canada,metaboanalyst,ok,,MetaboAnalyst 4.0: towards more transparent and integrative metabolomics analysis.,2010-2022,,,,,True,MetaboAnalyst,MetaboAnalyst,HIGH,No expansion in title - using short name
TITLE_CAPITALIZED,34593819,AusTraits,0.9990803,,0.9990803,austraits,0.9990803,1,http://www.worldagroforestry.org/output/wood-density-database,200,United States,"(39.0437,-77.4875)",,2021-09-30,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Sydney, Australia. daniel.falster@unsw.edu.au.","Adams MA, Ahrens CW, Alfonzetti M, Allen S, Andrew SC, Angevin T, Apgaua DMG, Arndt S, Atkin OK, Atkinson J, Auld T, Baker A, Baxter C, Bean A, Blackman CJ, Bloomfield K, Bowman DMJS, Bragg J, Brodribb TJ, Buckton G, Burrows G, Caldwell E, Camac J, Carpenter R, Catford JA, Cawthray GR, Cernusak LA, Chandler G, Chapman AR, Cheal D, Cheesman AW, Chen SC, Choat B, Clinton B, Clode PL, Coleman H, Cornwell WK, Cosgrove M, Crisp M, Cross E, Crous KY, Cunningham S, Curran T, Curtis E, Daws MI, DeGabriel JL, Denton MD, Dong N, Du P, Duan H, Duncan DH, Duncan RP, Duretto M, Dwyer JM, Edwards C, Esperon-Rodriguez M, Evans JR, Everingham SE, Falster D, Farrell C, Firn J, Fonseca CR, French BJ, Frood D, Fuchs A, Funk JL, Gallagher R, Geange SR, Ghannoum O, Gleason SM, Gosper CR, Gray E, Groom PK, Grootemaat S, Gross C, Guerin G, Guilherme Pereira C, Guja L, Hahs AK, Harrison MT, Hayes PE, Henery M, Hochuli D, Howell J, Huang G, Hughes L, Huisman J, Ilic J, Indiarto D, Jagdish A, Jin D, Jordan G, Jurado E, Kanowski J, Kar F, Kasel S, Kellermann J, Kenny B, Kohout M, Kooyman RM, Kotowska MM, Lai HR, Laliberté E, Lambers H, Lamont BB, Lanfear R, Laughlin DC, Laugier-Kitchener BA, Laurance S, Lawson J, Lehmann CER, Leigh A, Leishman MR, Lenz T, Lepschi B, Lewis JD, Lim F, Liu U, Lord J, Lusk CH, López-Martinez A, Macinnis-Ng C, Magallón S, Manea A, Mayfield M, McCarthy JK, McPherson H, Meers T, Metcalfe DJ, Milberg P, Mokany K, Moles AT, Monro A, Moore BD, Moore N, Morgan JW, Morris W, Muir A, Munroe S, Nicholson Á, Nicolle D, Nicotra AB, Niinemets Ü, North T, O'Reilly-Nugent A, O'Sullivan OS, Oberle B, Onoda Y, Ooi MKJ, Osborne CP, Paczkowska G, Pekin B, Pickering C, Pickup M, Pollock LJ, Poot P, Powell JR, Power SA, Prentice IC, Prior L, Prober SM, Read J, Reynolds V, Richards AE, Richardson B, Roderick ML, Rosell JA, Rossetto M, Rye B, Rymer PD, Sams MA, Sanson G, Sauquet H, Schmidt S, Schulze ED, Schönenberger J, Sendall K, Sinclair S, Smith B, Smith R, Soper F, Sparrow B, Standish RJ, Staples TL, Stephens R, Szota C, Taseski G, Tasker E, Thomas F, Tissue DT, Tjoelker MG, Tng DYP, Tomlinson K, Turner NC, Veneklaas EJ, Venn S, Vesk P, Vlasveld C, Vorontsova MS, Warren CA, Warwick N, Weerasinghe LK, Wells J, Wenk EH, Westoby M, White M, Williams NSG, Wills J, Wilson PG, Wright IJ, Yates C, Zanne AE, Zemunik G, Ziemińska K, de Tombeur F, van Langevelde F, van der Merwe M, von Balthazar M","DE170100208, FT160100113","Department of Education and Training | Australian Research Council, Department of Education and Training | Australian Research Council (ARC)",72,"Andorra, Australia",austraits,ok,1,"AusTraits, a curated plant trait database for the Australian flora.",2010-2022,,,,,False,AusTraits,AusTraits,HIGH,No expansion in title - using short name
"CAPITALIZED,TITLE_CAPITALIZED",30341991,GloNAF,0.99886733,glonaf,0.99886733,,0.99886733,1,http://www.theplantlist.org/,200,United States,"(38.6185,-90.2564)",,2018-12-05,,"Aleksanyan A, Ansong M, Antonova LA, Barcelona JF, Breckle SW, Brundu G, Cabezas FJ, Castaño N, Chacón E, Chatelain C, Conn B, Cárdenas D, Cárdenas-Toro J, Dawson W, Dufour-Dror JM, Dullinger S, Ebel AL, Essl F, Figueiredo E, Fragman-Sapir O, Fuentes N, Groom QJ, Henderson L, Inderjit, Jogan N, Kartesz J, Kreft H, Krestov P, Kupriyanov A, König C, Lenzner B, Masciadri S, Maurel N, Meerman J, Morozova O, Moser D, Nickrent D, Nishino M, Nowak A, Patzelt A, Pelser PB, Pergl J, Pyšek P, Seebens H, Shu WS, Stein A, Thomas J, Uludag A, Velayos M, Verkhosina A, Villaseñor JL, Weber E, Weigelt P, Wieringa JJ, Winter M, Yazlık A, Zeddam A, Zykova E, de Sá Dechoum M, van Kleunen M",I 3757,Austrian Science Fund FWF,96,,glonaf,ok,1,The Global Naturalized Alien Flora (GloNAF) database.,2010-2022,,,,,False,GloNAF,Global Naturalized Alien Flora,HIGH,Explicit expansion: Full Name (NAME)
CAPITALIZED,28402545,ORIO,0.9986298,orio,0.9986298,,0.9986298,1,https://orio.niehs.nih.gov/,200,United States,"(36.0512,-78.8577)",,2017-06-01,"Integrative Bioinformatics, National Institute of Environmental Health Sciences, National Institutes of Health, Research Triangle Park, NC 27709, USA.","Adelman K, Bennett BD, Burkholder AB, Fargo DC, Lavender CA, Shapiro AJ",,,9,United States,orio,ok,,ORIO (Online Resource for Integrative Omics): a web-based platform for rapid integration of next generation sequencing data.,2010-2022,,,,,False,ORIO,Online Resource for Integrative Omics,HIGH,Explicit expansion: NAME (Full Name)
TITLE_CAPITALIZED,33631799,ConnecTF,0.9986218,,0.9986218,connectf,0.9986218,1,https://ConnecTF.org,200,United States,"(39.0437,-77.4875)",,2021-02-01,"Center for Genomics and Systems Biology, Department of Biology, New York University, NY, USA.","Alvarez JM, Brooks MD, Cirrone J, Coruzzi GM, Huang J, Juang CL, Katari MS, Pasquino A, Shanks C, Shih HJ","F32 GM116347, F32GM116347, IOS-1339362, IOS-1840761, R01 GM121753, RO1-GM121753","NIGMS, NIGMS NIH HHS, NIH, NSF-PGRP",39,"Andorra, United States",connectf,ok,,ConnecTF: A platform to integrate transcription factor-gene interactions and validate regulatory networks.,2010-2022,,,,,False,ConnecTF,ConnecTF,HIGH,No expansion in title - using short name
TITLE_CAPITALIZED,31762961,MaizeSNPDB,0.9984377,,0.9984377,maizesnpdb,0.9984377,1,http://150.109.59.144:3838/MaizeSNPDB/,200,,,,2019-11-07,"College of Life Sciences, Xinyang Normal University, Xinyang 464000, China.","Wang L, Yao W, Zheng W, Zhou W","2018YFD0200601, 30500581, 31600983","Henan Agricultural University, National Natural Science Foundation of China",10,China,maizesnpdb,ok,,MaizeSNPDB: A comprehensive database for efficient retrieve and analysis of SNPs among 1210 maize lines.,2010-2022,,,,,False,MaizeSNPDB,MaizeSNPDB,HIGH,No expansion in title - using short name
TITLE_CAPITALIZED,33882120,APICURON,0.99828243,apicuron,0.99828243,,0.99828243,1,https://apicuron.org,200,Italy,"(45.4080,11.8859)",,2021-04-01,"Department of Biomedical Sciences, University of Padua, Via Ugo Bassi 58/B, Padova 35131, Italy.","Hatos A, Piovesan D, Quaglia F, Tosatto SCE","2017483NH8, 778247, 823886","ELIXIR, European Union’s Horizon 2020 research and innovation programme, Italian Ministry of University and Research (MIUR), PRIN, the research infrastructure for life-science data - ELIXIR Data Platform",16,Italy,apicuron,ok,,APICURON: a database to credit and acknowledge the work of biocurators.,2010-2022,,,,,False,APICURON,APICURON,HIGH,No expansion in title - using short name
TITLE_CAPITALIZED,21851635,SolRgene,0.9979592,,0.9979592,solrgene,0.9979592,1,http://www.plantbreeding.wur.nl/SolRgenes,200,Netherlands,"(51.9700,5.6667)",,2011-08-18,"Wageningen UR Plant Breeding, Wageningen University and Research Centre, P.O. Box 386, 6700 AJ Wageningen, The Netherlands. Vivianne.Vleeshouwers@wur.nl","Bakker E, Budding D, Champouret N, Finkers R, Goverse A, Hoekstra R, Huigen D, Jacobs MM, Jacobsen E, Krenek P, Pel M, Rietman H, Visser M, Visser RG, Vleeshouwers VG, Vosman B, van Berloo R",,,23,"Andorra, Netherlands",solrgene,ok,,SolRgene: an online database to explore disease resistance genes in tuber-bearing Solanum species.,2010-2022,,,,,False,SolRgene,SolRgene,HIGH,No expansion in title - using short name
TITLE_CAPITALIZED,27055827,RegenBase,0.9979438,,0.9979438,regenbase,0.9979438,1,http://regenbase.org,200,United States,"(25.7743,-80.1937)",,2016-04-07,"Stanford Center for Biomedical Informatics Research, Stanford University, Stanford, CA 94305.","Abeyruwan SW, Al-Ali H, Bixby JL, Callahan A, Ferguson AR, Lemmon VP, Popovich PG, Sakurai K, Shah NH, Visser U","HD057632, NS080145, R01 NS067092","NICHD NIH HHS, NINDS NIH HHS",13,,regenbase,ok,,RegenBase: a knowledge base of spinal cord injury biology for translational research.,2010-2022,,,,,False,RegenBase,RegenBase,HIGH,No expansion in title - using short name
TITLE_CAPITALIZED,27733503,Ontobee,0.99790317,,0.99790317,ontobee,0.99790317,1,http://www.ontobee.org/,200,United States,"(42.2776,-83.7409)",,2016-10-12,"University of Michigan Medical School, Ann Arbor, MI 48109, USA.","Courtot M, He Y, Lin Y, Liu Y, Mungall C, Ong E, Ruttenberg A, Xiang Z, Zhao B, Zheng J",R01 AI081062,NIAID NIH HHS,94,United States,ontobee,ok,,"Ontobee: A linked ontology data server to support ontology term dereferencing, linkage, query and integration.",2010-2022,,,,,False,Ontobee,Ontobee,HIGH,No expansion in title - using short name
