name_modification_flags,ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,extracted_url,review_remove,paper_titles,best_name_updated,full_name_updated,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,affiliation_countries,best_name_original,url_validation,source_batch,qc_manual_review,qc_fix_applied,qc_confidence,qc_issue_category,was_merged,confidence,notes,grep_remove
"CAPITALIZED,TITLE_CAPITALIZED",30525651,Proxl,0.99863285,proxl,0.99863285,,0.99863285,1,http://proxl-ms.org/,,"Proxl (Protein Cross-Linking Database): A Public Server, QC Tools, and Other Major Updates.",Proxl,Protein Cross-Linking,200,United States,"(37.7621,-122.3971)",,2018-12-19,"Department of Biochemistry , University of Washington , Seattle , Washington 98195 , United States.","Davis TN, Jaschob D, Riffle M, Zelter A","P41 GM103533, UWPR95794","NIGMS NIH HHS, National Institute of General Medical Sciences, University of Washington",7.0,United States,proxl,ok,2010-2022,,,,,False,HIGH,Explicit expansion: NAME (Full Name),
TITLE_CAPITALIZED,33401349,LIVECAT,0.99821717,livecat,0.99821717,,0.99821717,1,http://www.thecatkorea.com/,,Introduction to the LIVECAT web-based computerized adaptive testing platform.,LIVECAT,LIVECAT,200,"Korea, Republic of","(37.5660,126.9784)",,2020-09-29,"Department of Psychology, College of Social Sciences & Hallym Applied Psychology Institute, Hallym University, Chuncheon, Korea.","Choi J, Seo DG",,,4.0,,livecat,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
TITLE_CAPITALIZED,23671334,PSICQUIC,0.9979907,psicquic,0.9979907,,0.9979907,1,http://www.ebi.ac.uk/Tools/webservices/psicquic/view/main.xhtml,,A new reference implementation of the PSICQUIC web service.,PSICQUIC,PSICQUIC,200,United Kingdom,"(51.8797,-0.4175)",,2013-05-13,"EMBL-European Bioinformatics Institute, Hinxton, Cambridge CB10 1SD, UK. ntoro@ebi.ac.uk","Breuer K, Dumousseau M, Galeota E, Goll J, Hermjakob H, Jimenez RC, Launay G, Ono K, Orchard S, Salwinski L, del-Toro N","HHSN268201000035C, R01 GM071909, R01GM071909","CIHR, NHLBI NIH HHS, NIGMS NIH HHS",82.0,United Kingdom,psicquic,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
TITLE_CAPITALIZED,22761559,ProteinHistorian,0.99504775,,0.99504775,proteinhistorian,0.99504775,1,http://lighthouse.ucsf.edu/ProteinHistorian/,,ProteinHistorian: tools for the comparative analysis of eukaryote protein origin.,ProteinHistorian,ProteinHistorian,200,United States,"(37.7749,-122.4194)",,2012-06-28,"J. David Gladstone Institutes, University of California, San Francisco, California, United States of America. tony.capra@gladstone.ucsf.edu","Capra JA, Pollard KS, Williams AG","GM82901, R01 GM082901",NIGMS NIH HHS,68.0,United States,proteinhistorian,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
TITLE_CAPITALIZED,21496247,CDAO-store,0.99439746,,0.99439746,cdao-store,0.99439746,1,http://www.cs.nmsu.edu/~cdaostore,,CDAO-store: ontology-driven data integration for phylogenetic analysis.,CDAO-store,CDAO-store,200,United States,"(32.3123,-106.7783)",,2011-04-15,"Department of Computer Science, New Mexico State University, Las Cruces, USA.","Chisham B, Le T, Pontelli E, Son TC, Wright B",,,11.0,"Mexico, United States",cdao-store,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
TITLE_CAPITALIZED,29762782,MetaboAnalyst,0.99098855,,0.99098855,metaboanalyst,0.99098855,1,http://metaboanalyst.ca,,MetaboAnalyst 4.0: towards more transparent and integrative metabolomics analysis.,MetaboAnalyst,MetaboAnalyst,200,Canada,"(45.5088,-73.5878)",,2018-07-01,"Institute of Parasitology, McGill University, Montreal, Québec, Canada.","Bourque G, Caraus I, Chong J, Li C, Li S, Soufan O, Wishart DS, Xia J",,CIHR,2441.0,Canada,metaboanalyst,ok,2010-2022,,,,,True,HIGH,No expansion in title - using short name,
CAPITALIZED,28402545,ORIO,0.9986298,orio,0.9986298,,0.9986298,1,https://orio.niehs.nih.gov/,,ORIO (Online Resource for Integrative Omics): a web-based platform for rapid integration of next generation sequencing data.,ORIO,Online Resource for Integrative Omics,200,United States,"(36.0512,-78.8577)",,2017-06-01,"Integrative Bioinformatics, National Institute of Environmental Health Sciences, National Institutes of Health, Research Triangle Park, NC 27709, USA.","Adelman K, Bennett BD, Burkholder AB, Fargo DC, Lavender CA, Shapiro AJ",,,9.0,United States,orio,ok,2010-2022,,,,,False,HIGH,Explicit expansion: NAME (Full Name),
TITLE_CAPITALIZED,33631799,ConnecTF,0.9986218,,0.9986218,connectf,0.9986218,1,https://ConnecTF.org,,ConnecTF: A platform to integrate transcription factor-gene interactions and validate regulatory networks.,ConnecTF,ConnecTF,200,United States,"(39.0437,-77.4875)",,2021-02-01,"Center for Genomics and Systems Biology, Department of Biology, New York University, NY, USA.","Alvarez JM, Brooks MD, Cirrone J, Coruzzi GM, Huang J, Juang CL, Katari MS, Pasquino A, Shanks C, Shih HJ","F32 GM116347, F32GM116347, IOS-1339362, IOS-1840761, R01 GM121753, RO1-GM121753","NIGMS, NIGMS NIH HHS, NIH, NSF-PGRP",39.0,"Andorra, United States",connectf,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
TITLE_CAPITALIZED,31762961,MaizeSNPDB,0.9984377,,0.9984377,maizesnpdb,0.9984377,1,http://150.109.59.144:3838/MaizeSNPDB/,,MaizeSNPDB: A comprehensive database for efficient retrieve and analysis of SNPs among 1210 maize lines.,MaizeSNPDB,MaizeSNPDB,200,,,,2019-11-07,"College of Life Sciences, Xinyang Normal University, Xinyang 464000, China.","Wang L, Yao W, Zheng W, Zhou W","2018YFD0200601, 30500581, 31600983","Henan Agricultural University, National Natural Science Foundation of China",10.0,China,maizesnpdb,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
TITLE_CAPITALIZED,33882120,APICURON,0.99828243,apicuron,0.99828243,,0.99828243,1,https://apicuron.org,,APICURON: a database to credit and acknowledge the work of biocurators.,APICURON,APICURON,200,Italy,"(45.4080,11.8859)",,2021-04-01,"Department of Biomedical Sciences, University of Padua, Via Ugo Bassi 58/B, Padova 35131, Italy.","Hatos A, Piovesan D, Quaglia F, Tosatto SCE","2017483NH8, 778247, 823886","ELIXIR, European Union’s Horizon 2020 research and innovation programme, Italian Ministry of University and Research (MIUR), PRIN, the research infrastructure for life-science data - ELIXIR Data Platform",16.0,Italy,apicuron,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
TITLE_CAPITALIZED,21851635,SolRgene,0.9979592,,0.9979592,solrgene,0.9979592,1,http://www.plantbreeding.wur.nl/SolRgenes,,SolRgene: an online database to explore disease resistance genes in tuber-bearing Solanum species.,SolRgene,SolRgene,200,Netherlands,"(51.9700,5.6667)",,2011-08-18,"Wageningen UR Plant Breeding, Wageningen University and Research Centre, P.O. Box 386, 6700 AJ Wageningen, The Netherlands. Vivianne.Vleeshouwers@wur.nl","Bakker E, Budding D, Champouret N, Finkers R, Goverse A, Hoekstra R, Huigen D, Jacobs MM, Jacobsen E, Krenek P, Pel M, Rietman H, Visser M, Visser RG, Vleeshouwers VG, Vosman B, van Berloo R",,,23.0,"Andorra, Netherlands",solrgene,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
TITLE_CAPITALIZED,27055827,RegenBase,0.9979438,,0.9979438,regenbase,0.9979438,1,http://regenbase.org,,RegenBase: a knowledge base of spinal cord injury biology for translational research.,RegenBase,RegenBase,200,United States,"(25.7743,-80.1937)",,2016-04-07,"Stanford Center for Biomedical Informatics Research, Stanford University, Stanford, CA 94305.","Abeyruwan SW, Al-Ali H, Bixby JL, Callahan A, Ferguson AR, Lemmon VP, Popovich PG, Sakurai K, Shah NH, Visser U","HD057632, NS080145, R01 NS067092","NICHD NIH HHS, NINDS NIH HHS",13.0,,regenbase,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
TITLE_CAPITALIZED,27733503,Ontobee,0.99790317,,0.99790317,ontobee,0.99790317,1,http://www.ontobee.org/,,"Ontobee: A linked ontology data server to support ontology term dereferencing, linkage, query and integration.",Ontobee,Ontobee,200,United States,"(42.2776,-83.7409)",,2016-10-12,"University of Michigan Medical School, Ann Arbor, MI 48109, USA.","Courtot M, He Y, Lin Y, Liu Y, Mungall C, Ong E, Ruttenberg A, Xiang Z, Zhao B, Zheng J",R01 AI081062,NIAID NIH HHS,94.0,United States,ontobee,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
"CAPITALIZED,TITLE_CAPITALIZED",26403370,Vaxvec,0.9978543,vaxvec,0.9978543,,0.9978543,1,http://www.violinet.org/vaxvec,,Vaxvec: The first web-based recombinant vaccine vector database and its data analysis.,Vaxvec,Vaxvec,200,United States,"(42.2776,-83.7409)",,2015-09-25,"Department of Veterinary Medicine, Jiangxi Agricultural University, Nanchang, Jiangxi 330045, China; Unit for Laboratory Animal Medicine, University of Michigan Medical School, Ann Arbor, MI 48109, USA.","Deng S, He Y, Martin C, Patil R, Xiang Z, Zhao B, Zhu F","R01 AI081062, R01AI081062","NIAID NIH HHS, USA NIH National Institute of Allergy and Infectious Diseases (NIAID), Undergraduate Research Opportunity Program (UROP)",2.0,"China, United States",vaxvec,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
TITLE_CAPITALIZED,30320221,WHONDRS,0.9969063,whondrs,0.9969063,,0.9969063,1,https://whondrs.pnnl.gov/,,WHONDRS: a Community Resource for Studying Dynamic River Corridors.,WHONDRS,WHONDRS,200,United States,"(46.2454,-119.1962)",,2018-09-01,"Ecosystem Sciences Team, Pacific Northwest National Laboratory, Richland, Washington, USA.","Goldman AE, Stegen JC",54737,U.S. Department of Energy Office of Science,12.0,United States,whondrs,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
CAPITALIZED,28610638,BADERI,0.9961977,baderi,0.9961977,,0.9961977,1,http://www.baderi.com/login.php,,BADERI: an online database to coordinate handsearching activities of controlled clinical trials for their potential inclusion in systematic reviews.,BADERI,BADERI,200,Spain,"(41.9831,2.8249)",,2017-06-13,"Iberoamerican Cochrane Centre, Sant Pau Biomedical Research Institute (IIB Sant Pau), Carrer Sant Antoni Maria Claret, 167, Pavelló 18, Ground Floor, Barcelona, Spain. hpardo@santpau.cat.","Barajas-Nava LA, Bonfill X, Buitrago-Garcia D, Garzón JV, Martínez-Zapata MJ, Pardo-Hernandez H, Urrútia G",Not applicable,"Cochrane Collaboration Steering Committee Discretionary Fund, Iberoamerican Cochrane Centre",6.0,Spain,baderi,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
TITLE_CAPITALIZED,26481362,BindingDB,0.9933968,,0.9933968,bindingdb,0.9933968,1,http://www.bindingdb.org,,"BindingDB in 2015: A public database for medicinal chemistry, computational chemistry and systems pharmacology.",BindingDB,BindingDB,200,United States,"(32.7157,-117.1647)",,2015-10-19,"Skaggs School of Pharmacy and Pharmaceutical Sciences, University of California, San Diego, 9500 Gilman Drive, La Jolla, CA 92093-0736, USA mgilson@ucsd.edu.","Baitaluk M, Chong J, Gilson MK, Hwang L, Liu T, Nicola G","R01 GM070064, R01GM070064",NIGMS NIH HHS,935.0,"Andorra, United States",bindingdb,ok,2010-2022,,,,,True,HIGH,No expansion in title - using short name,
CAPITALIZED,32527260,PINOT,0.9933933,pinot,0.9933933,,0.9933933,1,http://www.reading.ac.uk/bioinf/PINOT/PINOT_form.html,,PINOT: an intuitive resource for integrating protein-protein interactions.,PINOT,PINOT,200,United Kingdom,"(51.4562,-0.9711)",,2020-06-11,"School of Pharmacy, University of Reading, Whiteknights, Reading, RG6 6AP, UK.","Ferrari R, Hardy J, Lewis PA, Lovering RC, Manzoni C, McGuffin LJ, Tomkins JE, Vavouraki N","1644051, 202903/Z/16/Z, 2108175, 284, ARUK-NAS2017A-1, BAND3 18063, BB/M017222/1, EP/M508123/1, MR/L010933/1, MR/N026004/1, UKDRI-1009","Alzheimer's Society, Alzheimer’s Research UK, Alzheimer’s Society, Biotechnology and Biological Sciences Research Council, Engineering and Physical Sciences Research Council, Medical Research Council, Michael J. Fox Foundation for Parkinson&apos;s Research, Wellcome Trust",17.0,United Kingdom,pinot,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
CAPITALIZED,"23193261, 25348399",HAMAP,0.9761126,hamap,0.9761126,,0.9761126,2,http://hamap.expasy.org/,,"HAMAP in 2013, new developments in the protein family classification and annotation system. | HAMAP in 2015: updates to the protein family classification and annotation system.",HAMAP,HAMAP,200,Switzerland,"(46.5290,6.5626)",,2012-11-27,"Swiss-Prot Group, SIB Swiss Institute of Bioinformatics, CMU, 1 rue Michel-Servet, CH-1211 Geneva 4, Switzerland.; Swiss-Prot Group, SIB Swiss Institute of Bioinformatics, CMU, 1 rue Michel-Servet, CH-1211 Geneva 4, Switzerland.","Auchincloss AH, Baratin D, Bougueleret L, Bridge A, Coudert E, Cuche BA, Keller G, Pedruzzi I, Poux S, Redaschi N, Rivoire C, Xenarios I, de Castro E","1 U41 HG006104-03, 2P41 HG02273, 3R01GM080646-07S1, 5G08LM010720-03, 5R01GM080646-07, 8P20GM103446-12, SP/07/007/23671, U41 HG007822, U41HG006104","British Heart Foundation, NHGRI NIH HHS, NIGMS NIH HHS, NLM NIH HHS",171.0,Switzerland,hamap,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
"CAPITALIZED,TITLE_CAPITALIZED",26500753,Colil,0.9650525,colil,0.9650525,,0.9650525,1,http://colil.dbcls.jp/sparql,,Colil: a database and search service for citation contexts in the life sciences domain.,Colil,Colil,200,Japan,"(35.1167,138.9167)",,2015-10-19,"INTEC Inc, 1-3-3 Shinsuna, Koto-ku, Tokyo, 136-8637 Japan.","Fujiwara T, Yamamoto Y",,,5.0,Japan,colil,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
CAPITALIZED,31411687,CDEK,0.99928707,cdek,0.99928707,,0.99928707,1,http://cdek.wustl.edu,,CDEK: Clinical Drug Experience Knowledgebase.,CDEK,CDEK,200,United States,"(47.6339,-122.3476)",,2019-01-01,"Center for Research Innovation in Biotechnology, Washington University in St. Louis, MO 63110, USA.","Griesenauer RH, Kinch MS, Schillebeeckx C","TL1 TR002344, TL1TR002344, U01 AI025903, UL1 TR002345, UL1TR002345","Institute of Clinical and Translational Sciences, NCATS, NCATS NIH HHS, NIAID NIH HHS, NIH",9.0,United States,cdek,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
TITLE_CAPITALIZED,33066523,circ2GO,0.9990857,,0.9990857,circ2go,0.9990857,1,https://circ2GO.dkfz.de,,circ2GO: A Database Linking Circular RNAs to Gene Function.,circ2GO,circ2GO,200,Germany,"(49.4077,8.6908)",,2020-10-14,"Department of Thoracic Surgery, Division of Cancer Research, Medical Center-University of Freiburg, Faculty of Medicine, University of Freiburg, 79106 Freiburg, Germany.","Caudron-Herger M, Diederichs S, Lyu Y","70113349, Yanhong Lyu","China Scholarship Council, Deutsche Krebshilfe",11.0,Germany,circ2go,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
"CAPITALIZED,TITLE_CAPITALIZED",32037563,ZEBrA,0.9990339,zebra,0.9990339,,0.9990339,1,http://www.zebrafinchatlas.org,,ZEBrA: Zebra finch Expression Brain Atlas-A resource for comparative molecular neuroanatomy and brain evolution studies.,ZEBrA,ZEBrA,200,United States,"(39.0437,-77.4875)",,2020-02-19,"Department of Behavioral Neuroscience, Oregon Health and Science University, Portland, Oregon.","Buckner AA, Carleton JB, Kaser T, Lovell PV, McHugh AK, Mello CV, Mitra PP, Snider BR, Tolpygo A, Wirthlin M","R03 NS059755, R03 NS115145, R03/NS059755, R24 GM092842, R24 GM120464, R24/GM092842, R24/GM120464","G. Harold and Leila Y. Mathers Charitable Foundation, NIGMS NIH HHS, NINDS NIH HHS, National Institutes of Health",37.0,Andorra,zebra,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
"CAPITALIZED,TITLE_CAPITALIZED",31598718,SEAweb,0.9990335,seaweb,0.9990335,,0.9990335,1,http://sea.ims.bio/,,SEAweb: the small RNA Expression Atlas web application.,SEAweb,SEAweb,200,France,"(48.5839,7.7455)",,2020-01-01,"Institute of Medical Systems Biology, Center for Molecular Neurobiology, University Medical Center Hamburg-Eppendorf, 20251 Hamburg, Germany.","Bansal V, Bethune J, Bonn S, Fiosins M, Fluck J, Gautam A, Heins S, Liebhoff AM, Liwinski T, Madan S, Magruder DS, Mollenhauer B, Rahman RU, Rajput A, Sattar A, Sun T, Trenkwalder C","031L0029B, 255154572, 278045702","BMBF Integrative Data Semantics, KFO 296 Feto-maternal immune cross talk, KFO 306 Primär Sklerosierende Cholangitis, Network of Centres of Excellence in Neurodegeneration (CoEN) Initiative",15.0,Germany,seaweb,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
"CAPITALIZED,DISAMBIGUATED,QC_FIX_HIGH",27794551,HIPPIE,0.9988042,hippie,0.9988042,,0.9988042,1,http://cbdm.uni-mainz.de/hippie/,,HIPPIE v2.0: enhancing meaningfulness and reliability of protein-protein interaction networks.,HIPPIE,HIPPIE,200,Germany,"(49.9819,8.2801)",,2016-10-24,"Faculty of Biology, Johannes Gutenberg Universität, Mainz, Germany.","Alanis-Lobato G, Andrade-Navarro MA, Schaefer MH",,,342.0,Germany,hippie,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
